Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-08-16,25.55,27.18,23.37,24.46,2691800,0.0,0.0
1996-08-19,25.01,25.82,23.65,23.78,441500,0.0,0.0
1996-08-20,23.92,24.46,23.65,23.92,240000,0.0,0.0
1996-08-21,23.92,23.92,22.83,22.83,582800,0.0,0.0
1996-08-22,23.1,23.1,22.83,22.83,845600,0.0,0.0
1996-08-23,22.83,23.1,22.83,23.1,136600,0.0,0.0
1996-08-26,23.1,23.1,22.83,22.83,72100,0.0,0.0
1996-08-27,22.83,23.1,22.83,22.83,39800,0.0,0.0
1996-08-28,23.1,23.1,22.83,23.1,52600,0.0,0.0
1996-08-29,23.1,23.1,22.83,22.9,14200,0.0,0.0
1996-08-30,22.83,23.1,22.83,22.83,16000,0.0,0.0
1996-09-03,23.1,23.1,22.7,22.83,139300,0.0,0.0
1996-09-04,22.83,23.1,22.83,22.83,63000,0.0,0.0
1996-09-05,23.1,23.1,22.83,22.83,54000,0.0,0.0
1996-09-06,22.83,23.1,22.83,22.83,49300,0.0,0.0
1996-09-09,23.1,23.1,22.83,22.83,66700,0.0,0.0
1996-09-10,22.83,23.1,22.83,22.83,29700,0.0,0.0
1996-09-11,23.1,23.1,19.03,19.03,293800,0.0,0.0
1996-09-12,19.84,20.38,19.03,19.84,197000,0.0,0.0
1996-09-13,20.38,20.66,19.57,20.38,55100,0.0,0.0
1996-09-16,20.38,20.38,19.57,19.84,71500,0.0,0.0
1996-09-17,19.84,19.84,18.48,18.75,101800,0.0,0.0
1996-09-18,18.75,18.75,17.94,18.21,101900,0.0,0.0
1996-09-19,18.21,18.75,17.94,18.48,74400,0.0,0.0
1996-09-20,18.21,20.93,18.21,20.93,219000,0.0,0.0
1996-09-23,20.93,20.93,19.84,20.11,145000,0.0,0.0
1996-09-24,20.11,20.11,19.3,19.84,80000,0.0,0.0
1996-09-25,19.84,20.66,19.57,20.66,147200,0.0,0.0
1996-09-26,20.66,23.37,20.38,23.37,174600,0.0,0.0
1996-09-27,23.37,27.72,23.1,27.18,245900,0.0,0.0
1996-09-30,27.18,30.17,27.18,28.67,214500,0.0,0.0
1996-10-01,28.81,28.81,23.65,23.92,293400,0.0,0.0
1996-10-02,23.92,24.19,23.92,24.19,61600,0.0,0.0
1996-10-03,24.19,26.36,23.92,26.09,82600,0.0,0.0
1996-10-04,26.09,27.45,26.09,26.91,83700,0.0,0.0
1996-10-07,26.64,29.08,26.36,26.91,163300,0.0,0.0
1996-10-08,26.64,26.91,25.01,25.28,95300,0.0,0.0
1996-10-09,25.55,25.55,23.92,25.01,107300,0.0,0.0
1996-10-10,24.46,26.91,24.46,26.64,127400,0.0,0.0
1996-10-11,26.91,28.81,26.64,27.18,277900,0.0,0.0
1996-10-14,26.91,27.18,26.36,26.64,100000,0.0,0.0
1996-10-15,26.64,27.18,25.82,26.36,90300,0.0,0.0
1996-10-16,26.36,27.45,25.82,26.64,107400,0.0,0.0
1996-10-17,26.64,27.72,26.36,27.18,92000,0.0,0.0
1996-10-18,27.72,27.72,27.18,27.18,104800,0.0,0.0
1996-10-21,27.72,27.72,27.18,27.18,27400,0.0,0.0
1996-10-22,27.72,27.72,25.55,25.55,66600,0.0,0.0
1996-10-23,25.28,25.82,24.73,25.82,99300,0.0,0.0
1996-10-24,25.82,26.09,25.28,25.55,45200,0.0,0.0
1996-10-25,25.55,25.55,24.46,24.6,20500,0.0,0.0
1996-10-28,24.73,24.73,23.37,23.65,97300,0.0,0.0
1996-10-29,23.37,23.92,23.37,23.37,51000,0.0,0.0
1996-10-30,23.65,23.65,23.37,23.65,41400,0.0,0.0
1996-10-31,24.19,25.01,23.92,24.19,195000,0.0,0.0
1996-11-01,24.46,24.46,21.2,21.47,118800,0.0,0.0
1996-11-04,21.47,22.56,20.93,21.2,110400,0.0,0.0
1996-11-05,21.2,21.47,19.57,20.11,87400,0.0,0.0
1996-11-06,20.11,22.29,19.84,21.74,207400,0.0,0.0
1996-11-07,21.74,22.02,20.93,20.93,83000,0.0,0.0
1996-11-08,21.2,21.2,20.38,21.2,29700,0.0,0.0
1996-11-11,21.2,21.2,20.38,20.38,44700,0.0,0.0
1996-11-12,20.38,21.2,19.03,19.57,100500,0.0,0.0
1996-11-13,19.84,20.11,19.3,19.57,63800,0.0,0.0
1996-11-14,19.57,21.47,19.3,20.93,71700,0.0,0.0
1996-11-15,20.93,21.74,20.93,21.47,38300,0.0,0.0
1996-11-18,21.47,21.74,20.93,21.74,51100,0.0,0.0
1996-11-19,21.74,22.29,21.47,22.02,64400,0.0,0.0
1996-11-20,21.74,22.02,21.74,22.02,15200,0.0,0.0
1996-11-21,21.74,23.92,21.74,23.88,84200,0.0,0.0
1996-11-22,23.65,24.46,22.83,23.1,57400,0.0,0.0
1996-11-25,23.65,24.46,22.83,23.37,44600,0.0,0.0
1996-11-26,23.92,23.92,23.1,23.1,27700,0.0,0.0
1996-11-27,23.92,23.92,23.1,23.1,42400,0.0,0.0
1996-11-29,23.92,23.92,23.1,23.78,10900,0.0,0.0
1996-12-02,23.92,23.92,23.37,23.37,14100,0.0,0.0
1996-12-03,23.1,25.28,22.02,24.73,154600,0.0,0.0
1996-12-04,24.19,27.72,24.19,25.55,149700,0.0,0.0
1996-12-05,25.82,26.36,25.55,26.36,28600,0.0,0.0
1996-12-06,25.28,25.55,24.46,25.01,47400,0.0,0.0
1996-12-09,25.55,27.45,25.01,26.91,117900,0.0,0.0
1996-12-10,27.18,27.18,26.09,26.09,69000,0.0,0.0
1996-12-11,26.09,26.36,24.46,25.28,41700,0.0,0.0
1996-12-12,25.82,25.82,25.01,25.82,15800,0.0,0.0
1996-12-13,25.55,26.09,25.01,25.55,30800,0.0,0.0
1996-12-16,25.82,25.82,24.46,24.46,40400,0.0,0.0
1996-12-17,24.46,25.28,23.92,24.73,13600,0.0,0.0
1996-12-18,25.82,25.82,24.73,24.73,84800,0.0,0.0
1996-12-19,24.73,25.01,23.65,24.46,51200,0.0,0.0
1996-12-20,24.46,24.46,23.65,23.92,58000,0.0,0.0
1996-12-23,24.46,24.46,23.92,24.46,1200,0.0,0.0
1996-12-24,24.19,24.46,23.92,24.19,180000,0.0,0.0
1996-12-26,24.46,24.46,23.92,24.19,6600,0.0,0.0
1996-12-27,24.19,25.01,24.19,24.46,15000,0.0,0.0
1996-12-30,25.01,25.01,24.19,24.73,34000,0.0,0.0
1996-12-31,25.01,25.01,24.46,25.01,13800,0.0,0.0
1997-01-02,24.46,24.73,24.19,24.46,55000,0.0,0.0
1997-01-03,24.19,24.73,23.92,24.19,32000,0.0,0.0
1997-01-06,24.73,26.09,24.19,25.82,42200,0.0,0.0
1997-01-07,26.09,26.91,25.82,26.36,48400,0.0,0.0
1997-01-08,26.36,26.64,25.82,25.82,22600,0.0,0.0
1997-01-09,25.55,26.36,24.73,25.01,20800,0.0,0.0
1997-01-10,24.73,26.09,24.46,26.09,36300,0.0,0.0
1997-01-13,26.09,26.64,25.28,26.64,42100,0.0,0.0
1997-01-14,26.09,26.91,25.55,25.82,21100,0.0,0.0
1997-01-15,25.82,26.91,25.28,26.64,48600,0.0,0.0
1997-01-16,26.64,27.18,26.64,27.18,38000,0.0,0.0
1997-01-17,27.18,28.0,26.64,27.45,80400,0.0,0.0
1997-01-20,27.45,29.08,26.91,28.81,87000,0.0,0.0
1997-01-21,28.54,35.61,28.27,35.61,490700,0.0,0.0
1997-01-22,37.51,42.13,37.24,42.13,693700,0.0,0.0
1997-01-23,42.4,42.94,39.68,40.23,333700,0.0,0.0
1997-01-24,39.95,41.59,39.95,41.04,137500,0.0,0.0
1997-01-27,41.31,41.59,39.95,40.23,95200,0.0,0.0
1997-01-28,39.95,40.23,36.96,38.6,155300,0.0,0.0
1997-01-29,38.32,39.14,38.32,38.87,81700,0.0,0.0
1997-01-30,38.87,39.14,38.32,38.87,34100,0.0,0.0
1997-01-31,38.87,39.14,38.32,38.32,26400,0.0,0.0
1997-02-03,38.32,39.14,38.32,38.87,82200,0.0,0.0
1997-02-04,39.14,39.14,38.87,39.14,47100,0.0,0.0
1997-02-05,39.14,39.68,38.05,38.87,191700,0.0,0.0
1997-02-06,38.32,39.14,36.42,36.56,103000,0.0,0.0
1997-02-07,36.69,36.69,33.16,33.7,142400,0.0,0.0
1997-02-10,33.7,34.79,32.34,32.34,104400,0.0,0.0
1997-02-11,31.8,32.34,29.35,30.71,258100,0.0,0.0
1997-02-12,30.71,33.7,29.63,32.07,258100,0.0,0.0
1997-02-13,32.62,35.88,32.07,35.61,114800,0.0,0.0
1997-02-14,35.88,38.32,35.61,36.69,211700,0.0,0.0
1997-02-18,36.96,36.96,34.25,35.33,388800,0.0,0.0
1997-02-19,35.33,39.41,34.52,39.14,330600,0.0,0.0
1997-02-20,39.14,39.95,38.6,39.41,253400,0.0,0.0
1997-02-21,39.41,42.13,39.41,42.13,324300,0.0,0.0
1997-02-24,41.31,49.74,40.5,48.24,872400,0.0,0.0
1997-02-25,48.65,48.92,43.76,43.76,570200,0.0,0.0
1997-02-26,43.76,44.03,40.23,43.22,362800,0.0,0.0
1997-02-27,43.22,47.56,43.22,46.21,353900,0.0,0.0
1997-02-28,46.75,52.19,46.48,52.19,583200,0.0,0.0
1997-03-03,51.37,56.53,50.83,54.9,424900,0.0,0.0
1997-03-04,55.45,57.89,52.46,54.09,468300,0.0,0.0
1997-03-05,55.18,55.99,53.54,54.9,166200,0.0,0.0
1997-03-06,54.9,54.9,50.83,51.1,133200,0.0,0.0
1997-03-07,51.37,54.63,49.74,54.09,210700,0.0,0.0
1997-03-10,54.63,54.63,52.46,52.73,147300,0.0,0.0
1997-03-11,53.0,53.54,51.1,51.64,101200,0.0,0.0
1997-03-12,50.01,50.28,47.02,49.06,427000,0.0,0.0
1997-03-13,47.84,49.2,45.66,47.02,164900,0.0,0.0
1997-03-14,47.29,49.47,42.94,45.39,402200,0.0,0.0
1997-03-17,45.66,46.21,42.4,44.3,452600,0.0,0.0
1997-03-18,44.03,45.12,43.08,43.49,101900,0.0,0.0
1997-03-19,43.22,43.49,42.4,42.67,91000,0.0,0.0
1997-03-20,42.94,43.49,40.23,41.86,383000,0.0,0.0
1997-03-21,42.13,42.13,39.95,41.31,98400,0.0,0.0
1997-03-24,41.31,41.59,38.05,39.27,251400,0.0,0.0
1997-03-25,39.68,39.95,37.78,39.68,209600,0.0,0.0
1997-03-26,39.95,39.95,38.87,39.14,188400,0.0,0.0
1997-03-27,39.41,39.68,38.05,38.87,103900,0.0,0.0
1997-03-31,38.05,39.68,36.96,39.14,196300,0.0,0.0
1997-04-01,39.41,42.67,39.14,40.5,301900,0.0,0.0
1997-04-02,40.5,40.5,38.05,38.46,189000,0.0,0.0
1997-04-03,38.05,38.6,35.88,37.1,146300,0.0,0.0
1997-04-04,35.33,38.87,34.25,38.05,183400,0.0,0.0
1997-04-07,38.32,41.31,38.05,40.5,193200,0.0,0.0
1997-04-08,40.5,41.86,40.23,41.45,139500,0.0,0.0
1997-04-09,43.22,43.22,41.59,41.86,112900,0.0,0.0
1997-04-10,41.86,42.13,40.77,41.31,45700,0.0,0.0
1997-04-11,39.95,40.77,38.87,38.87,87000,0.0,0.0
1997-04-14,39.14,39.14,38.05,38.19,53200,0.0,0.0
1997-04-15,39.14,39.95,38.05,38.32,83700,0.0,0.0
1997-04-16,38.32,38.32,37.24,37.78,41800,0.0,0.0
1997-04-17,38.32,38.32,34.25,34.65,311300,0.0,0.0
1997-04-18,34.52,38.05,34.25,37.1,154200,0.0,0.0
1997-04-21,37.24,38.6,35.61,35.88,114500,0.0,0.0
1997-04-22,35.61,36.42,34.79,35.61,97400,0.0,0.0
1997-04-23,35.61,35.88,33.16,35.47,212600,0.0,0.0
1997-04-24,38.05,41.59,37.78,38.46,663100,0.0,0.0
1997-04-25,37.78,37.78,32.62,33.97,501600,0.0,0.0
1997-04-28,33.7,33.7,32.07,33.43,345800,0.0,0.0
1997-04-29,33.16,33.97,30.17,32.07,726900,0.0,0.0
1997-04-30,31.8,33.16,31.53,32.62,315500,0.0,0.0
