Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.02,0.02,0.02,82800,0.0,0.0
1972-06-02,0.02,0.02,0.02,0.02,119600,0.0,0.0
1972-06-05,0.02,0.02,0.02,0.02,107600,0.0,0.0
1972-06-06,0.02,0.02,0.02,0.02,327200,0.0,0.0
1972-06-07,0.02,0.02,0.02,0.02,42400,0.0,0.0
1972-06-08,0.02,0.02,0.02,0.02,86400,0.0,0.0
1972-06-09,0.02,0.02,0.02,0.02,497600,0.0,0.0
1972-06-12,0.02,0.02,0.02,0.02,108400,0.0,0.0
1972-06-13,0.02,0.02,0.02,0.02,103200,0.0,0.0
1972-06-14,0.02,0.02,0.02,0.02,34000,0.0,0.0
1972-06-15,0.02,0.02,0.02,0.02,61600,0.0,0.0
1972-06-16,0.02,0.02,0.02,0.02,50400,0.0,0.0
1972-06-19,0.02,0.02,0.02,0.02,46800,0.0,0.0
1972-06-20,0.02,0.02,0.02,0.02,190800,0.0,0.0
1972-06-21,0.02,0.02,0.02,0.02,136400,0.0,0.0
1972-06-22,0.02,0.02,0.02,0.02,53200,0.0,0.0
1972-06-23,0.02,0.02,0.02,0.02,94800,0.0,0.0
1972-06-26,0.02,0.02,0.02,0.02,700400,0.0,0.0
1972-06-27,0.02,0.02,0.02,0.02,349200,0.0,0.0
1972-06-28,0.02,0.02,0.02,0.02,83600,0.0,0.0
1972-06-29,0.02,0.02,0.02,0.02,104800,0.0,0.0
1972-06-30,0.02,0.02,0.02,0.02,108400,0.0,0.0
1972-07-03,0.02,0.02,0.02,0.02,46800,0.0,0.0
1972-07-05,0.02,0.02,0.02,0.02,42400,0.0,0.0
1972-07-06,0.02,0.02,0.02,0.02,140800,0.0,0.0
1972-07-07,0.02,0.02,0.02,0.02,133600,0.0,0.0
1972-07-10,0.02,0.02,0.02,0.02,83600,0.0,0.0
1972-07-11,0.02,0.02,0.02,0.02,20000,0.0,0.0
1972-07-12,0.02,0.02,0.02,0.02,46800,0.0,0.0
1972-07-13,0.02,0.02,0.02,0.02,514400,0.0,0.0
1972-07-14,0.02,0.02,0.02,0.02,49600,0.0,0.0
1972-07-17,0.02,0.02,0.02,0.02,138000,0.0,0.0
1972-07-18,0.02,0.02,0.02,0.02,132400,0.0,0.0
1972-07-19,0.02,0.02,0.02,0.02,99200,0.0,0.0
1972-07-20,0.02,0.02,0.02,0.02,91200,0.0,0.0
1972-07-21,0.02,0.02,0.02,0.02,61600,0.0,0.0
1972-07-24,0.02,0.02,0.02,0.02,368400,0.0,0.0
1972-07-25,0.02,0.02,0.02,0.02,399200,0.0,0.0
1972-07-26,0.02,0.02,0.02,0.02,162800,0.0,0.0
1972-07-27,0.02,0.02,0.02,0.02,212800,0.0,0.0
1972-07-28,0.02,0.02,0.02,0.02,162800,0.0,0.0
1972-07-31,0.02,0.02,0.02,0.02,182400,0.0,0.0
1972-08-01,0.02,0.02,0.02,0.02,368400,0.01687,0.0
1972-08-02,0.02,0.02,0.02,0.02,204400,0.0,0.0
1972-08-03,0.02,0.02,0.02,0.02,116000,0.0,0.0
1972-08-04,0.02,0.02,0.02,0.02,88400,0.0,0.0
1972-08-07,0.02,0.02,0.02,0.02,86400,0.0,0.0
1972-08-08,0.02,0.02,0.02,0.02,182400,0.0,0.0
1972-08-09,0.02,0.02,0.02,0.02,141600,0.0,0.0
1972-08-10,0.02,0.02,0.02,0.02,78000,0.0,0.0
1972-08-11,0.02,0.02,0.02,0.02,356800,0.0,0.0
1972-08-14,0.02,0.02,0.02,0.02,138000,0.0,0.0
1972-08-15,0.02,0.02,0.02,0.02,1568000,0.0,0.0
1972-08-16,0.02,0.02,0.02,0.02,121600,0.0,0.0
1972-08-17,0.02,0.02,0.02,0.02,49600,0.0,0.0
1972-08-18,0.02,0.02,0.02,0.02,179600,0.0,0.0
1972-08-21,0.02,0.02,0.02,0.02,270800,0.0,0.0
1972-08-22,0.02,0.02,0.02,0.02,74400,0.0,0.0
1972-08-23,0.02,0.02,0.02,0.02,121600,0.0,0.0
1972-08-24,0.02,0.02,0.02,0.02,207200,0.0,0.0
1972-08-25,0.02,0.02,0.02,0.02,78000,0.0,0.0
1972-08-28,0.02,0.02,0.02,0.02,74400,0.0,0.0
1972-08-29,0.02,0.02,0.02,0.02,262400,0.0,0.0
1972-08-30,0.02,0.02,0.02,0.02,207200,0.0,0.0
1972-08-31,0.02,0.02,0.02,0.02,265200,0.0,0.0
1972-09-01,0.02,0.02,0.02,0.02,66000,0.0,0.0
1972-09-05,0.02,0.02,0.02,0.02,104800,0.0,0.0
1972-09-06,0.02,0.02,0.02,0.02,254400,0.0,0.0
1972-09-07,0.02,0.02,0.02,0.02,67200,0.0,0.0
1972-09-08,0.02,0.02,0.02,0.02,352000,0.0,0.0
1972-09-11,0.02,0.02,0.02,0.02,58000,0.0,0.0
1972-09-12,0.02,0.02,0.02,0.02,149200,0.0,0.0
