Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-08-14,75.6,76.77,73.71,75.3,4010600,0,0.0
2013-08-15,74.64,77.01,74.55,76.35,573700,0,0.0
2013-08-16,77.37,78.05,76.5,76.95,272300,0,0.0
2013-08-19,76.95,77.07,73.86,75.6,279700,0,0.0
2013-08-20,75.45,75.72,75.03,75.6,138500,0,0.0
2013-08-21,75.24,76.26,75.12,75.15,198200,0,0.0
2013-08-22,75.15,75.81,75.15,75.3,76700,0,0.0
2013-08-23,75.15,76.32,75.15,76.2,71400,0,0.0
2013-08-26,76.32,78.47,75.78,77.75,175000,0,0.0
2013-08-27,76.05,78.35,75.84,78.05,110800,0,0.0
2013-08-28,77.87,78.44,77.34,78.08,81700,0,0.0
2013-08-29,78.05,79.01,78.02,78.98,176900,0,0.0
2013-08-30,79.28,79.7,78.14,78.56,313700,0,0.0
2013-09-03,76.86,80.06,76.74,79.94,148500,0,0.0
2013-09-04,80.69,82.34,80.45,82.01,261500,0,0.0
2013-09-05,81.86,81.95,80.33,80.84,271500,0,0.0
2013-09-06,82.37,82.37,80.03,80.57,125500,0,0.0
2013-09-09,80.45,81.41,80.0,80.24,135300,0,0.0
2013-09-10,79.94,81.41,79.79,81.26,100500,0,0.0
2013-09-11,80.72,84.94,80.6,84.67,220000,0,0.0
2013-09-12,84.82,85.93,83.59,85.3,88400,0,0.0
2013-09-13,86.14,86.47,85.27,85.36,99200,0,0.0
2013-09-16,84.49,85.15,81.26,82.19,189200,0,0.0
2013-09-17,82.78,83.8,82.37,83.8,284600,0,0.0
2013-09-18,83.83,84.73,83.65,84.19,153100,0,0.0
2013-09-19,84.49,84.58,83.29,83.59,86300,0,0.0
2013-09-20,83.23,83.65,80.06,80.36,315100,0,0.0
2013-09-23,81.68,81.89,78.56,80.36,451400,0,0.0
2013-09-24,80.81,80.81,79.31,80.36,210000,0,0.0
2013-09-25,80.75,80.78,78.32,79.28,216000,0,0.0
2013-09-26,79.28,80.03,78.89,79.22,218900,0,0.0
2013-09-27,78.86,79.28,78.05,78.08,260300,0,0.0
2013-09-30,78.05,80.24,76.38,77.93,997700,0,0.0
2013-10-01,78.47,78.8,77.75,78.47,209000,0,0.0
2013-10-02,79.37,81.23,78.68,80.51,565200,0,0.0
2013-10-03,80.96,86.8,80.96,84.43,405200,0,0.0
2013-10-04,84.76,89.22,84.73,87.66,336400,0,0.0
2013-10-07,87.57,88.41,86.68,87.93,134400,0,0.0
2013-10-08,88.05,88.05,86.32,86.56,100100,0,0.0
2013-10-09,86.47,87.22,84.25,86.68,126200,0,0.0
2013-10-10,87.72,89.34,86.41,87.49,237000,0,0.0
2013-10-11,87.13,87.37,85.84,86.38,46400,0,0.0
2013-10-14,85.66,87.4,85.27,85.27,92800,0,0.0
2013-10-15,85.21,85.78,83.08,84.19,180100,0,0.0
2013-10-16,84.94,87.72,84.91,86.53,110800,0,0.0
2013-10-17,86.74,87.49,85.75,87.49,169400,0,0.0
2013-10-18,87.9,89.37,87.69,87.9,151400,0,0.0
2013-10-21,87.81,88.98,86.41,87.4,78200,0,0.0
2013-10-22,87.31,87.96,86.89,87.13,61700,0,0.0
2013-10-23,86.95,86.98,85.99,86.83,39000,0,0.0
2013-10-24,87.04,87.37,85.78,86.8,54100,0,0.0
2013-10-25,86.44,86.95,85.45,86.08,41700,0,0.0
2013-10-28,86.35,88.62,86.14,87.34,104300,0,0.0
2013-10-29,87.69,88.38,86.35,87.37,76100,0,0.0
2013-10-30,87.84,88.29,85.09,86.92,84300,0,0.0
2013-10-31,87.16,89.01,86.59,86.98,122500,0,0.0
2013-11-01,86.86,87.25,85.69,86.95,64800,0,0.0
2013-11-04,87.13,88.2,86.92,87.81,55700,0,0.0
2013-11-05,87.81,88.14,86.08,87.49,46600,0,0.0
2013-11-06,87.78,87.9,86.62,86.83,84900,0,0.0
2013-11-07,87.25,87.28,84.22,85.36,79900,0,0.0
2013-11-08,85.12,86.83,84.79,84.91,99300,0,0.0
2013-11-11,85.03,85.36,84.19,84.91,129500,0,0.0
2013-11-12,85.03,85.39,84.19,84.85,85600,0,0.0
2013-11-13,84.4,84.82,83.56,84.04,139900,0,0.0
2013-11-14,85.15,87.54,84.7,85.63,318200,0,0.0
2013-11-15,86.2,86.77,83.53,86.08,142500,0,0.0
2013-11-18,86.44,88.32,85.57,86.71,84700,0,0.0
2013-11-19,86.83,86.83,82.4,82.93,408100,0,0.0
2013-11-20,83.2,85.03,80.84,84.37,135600,0,0.0
2013-11-21,84.7,86.74,83.83,86.5,114700,0,0.0
2013-11-22,86.53,87.46,86.02,87.43,162500,0,0.0
2013-11-25,87.16,88.35,86.62,86.95,10600,0,0.0
2013-11-26,86.74,88.41,86.41,86.65,161100,0,0.0
2013-11-27,86.65,90.0,86.65,89.82,161200,0,0.0
2013-11-29,90.15,90.99,88.59,88.68,32800,0,0.0
2013-12-02,88.65,88.71,87.4,88.32,309100,0,0.0
2013-12-03,88.38,89.61,86.74,87.63,137700,0,0.0
2013-12-04,87.66,89.91,87.4,89.55,108600,0,0.0
2013-12-05,89.28,92.04,89.19,90.78,99300,0,0.0
2013-12-06,91.32,93.2,90.99,92.78,193700,0,0.0
2013-12-09,92.96,97.43,92.72,96.56,274800,0,0.0
2013-12-10,96.8,96.8,94.58,95.66,165100,0,0.0
2013-12-11,95.45,95.84,93.44,93.59,127300,0,0.0
2013-12-12,93.17,94.85,92.34,94.13,121400,0,0.0
2013-12-13,94.79,98.77,94.22,97.13,166600,0,0.0
2013-12-16,95.87,99.85,93.5,99.73,220200,0,0.0
2013-12-17,99.64,99.64,96.47,97.25,344500,0,0.0
2013-12-18,98.89,101.38,97.96,100.54,236800,0,0.0
2013-12-19,100.51,102.16,100.42,102.07,119500,0,0.0
2013-12-20,101.95,103.59,101.38,103.35,855500,0,0.0
2013-12-23,103.11,104.94,102.28,104.43,92300,0,0.0
2013-12-24,104.04,104.19,103.59,104.04,46300,0,0.0
