Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-07-10,5.43,5.63,5.43,5.63,5438000,0.0,0.0
1995-07-11,5.78,5.78,5.69,5.75,4907000,0.0,0.0
1995-07-12,5.75,6.01,5.72,6.01,1055800,0.0,0.0
1995-07-13,5.98,6.04,5.95,6.01,1373600,0.0,0.0
1995-07-14,5.98,6.01,5.95,5.98,985600,0.0,0.0
1995-07-17,5.98,5.98,5.92,5.95,947600,0.0,0.0
1995-07-18,5.95,5.95,5.78,5.81,727400,0.0,0.0
1995-07-19,5.78,5.78,5.38,5.46,558200,0.0,0.0
1995-07-20,5.4,5.43,5.4,5.43,464600,0.0,0.0
1995-07-21,5.46,5.61,5.46,5.55,721200,0.0,0.0
1995-07-24,5.55,5.63,5.55,5.55,509000,0.0,0.0
1995-07-25,5.58,5.69,5.55,5.58,847000,0.0,0.0
1995-07-26,5.63,5.78,5.63,5.78,1584800,0.0,0.0
1995-07-27,5.75,5.92,5.75,5.92,2082600,0.0,0.0
1995-07-28,5.92,6.3,5.84,6.3,14640800,0.0,0.0
1995-07-31,6.27,6.27,6.09,6.21,2544600,0.0,0.0
1995-08-01,6.18,6.18,6.09,6.12,1956000,0.0,0.0
1995-08-02,6.12,6.12,5.81,5.84,2307600,0.0,0.0
1995-08-03,5.78,5.98,5.78,5.98,1762800,0.0,0.0
1995-08-04,5.92,5.95,5.75,5.84,903800,0.0,0.0
1995-08-07,5.81,5.81,5.72,5.78,837000,0.0,0.0
1995-08-08,5.75,5.78,5.72,5.72,729000,0.0,0.0
1995-08-09,5.72,5.72,5.61,5.63,586600,0.0,0.0
1995-08-10,5.63,5.78,5.63,5.69,1319400,0.0,0.0
1995-08-11,5.69,5.81,5.69,5.75,1152000,0.0,0.0
1995-08-14,5.75,5.75,5.58,5.63,379800,0.0,0.0
1995-08-15,5.63,5.69,5.63,5.66,349600,0.0,0.0
1995-08-16,5.72,5.75,5.66,5.69,440200,0.0,0.0
1995-08-17,5.69,5.78,5.66,5.78,410600,0.0,0.0
1995-08-18,5.78,5.78,5.61,5.63,598800,0.0,0.0
1995-08-21,5.66,5.72,5.58,5.58,440400,0.0,0.0
1995-08-22,5.61,5.63,5.46,5.52,444200,0.0,0.0
1995-08-23,5.55,5.55,5.32,5.43,193200,0.0,0.0
