Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1978-04-12,0.85,0.88,0.85,0.85,11657600,0.0,0.0
1978-04-13,0.88,0.91,0.88,0.88,7366400,0.0,0.0
1978-04-14,0.94,0.98,0.94,0.94,6771200,0.0,0.0
1978-04-17,0.94,0.94,0.91,0.91,4076800,0.0,0.0
1978-04-18,0.91,0.93,0.91,0.91,2966400,0.0,0.0
1978-04-19,0.92,0.95,0.92,0.92,2272000,0.0,0.0
1978-04-20,0.95,0.98,0.95,0.95,1699200,0.0,0.0
1978-04-21,0.95,0.96,0.94,0.94,1046400,0.0,0.0
1978-04-24,0.94,0.95,0.92,0.92,931200,0.0,0.0
1978-04-25,0.96,0.99,0.96,0.96,2256000,0.0,0.0
1978-04-26,1.01,1.04,1.01,1.01,1264000,0.0,0.0
1978-04-27,1.01,1.04,1.01,1.01,1075200,0.0,0.0
1978-04-28,1.07,1.1,1.07,1.07,1971200,0.0,0.0
1978-05-01,1.06,1.06,1.03,1.03,1500800,0.0,0.0
1978-05-02,1.04,1.07,1.04,1.04,816000,0.0,0.0
1978-05-03,1.04,1.04,1.01,1.01,627200,0.0,0.0
1978-05-04,1.03,1.06,1.03,1.03,1046400,0.0,0.0
1978-05-05,1.04,1.07,1.04,1.04,681600,0.0,0.0
1978-05-08,1.05,1.07,1.05,1.05,918400,0.0,0.0
1978-05-09,1.06,1.08,1.06,1.06,694400,0.0,0.0
1978-05-10,1.07,1.09,1.07,1.07,774400,0.0,0.0
1978-05-11,1.1,1.14,1.1,1.1,1449600,0.0,0.0
1978-05-12,1.12,1.15,1.12,1.12,627200,0.0,0.0
1978-05-15,1.12,1.14,1.11,1.11,307200,0.0,0.0
1978-05-16,1.18,1.21,1.18,1.18,1225600,0.0,0.0
1978-05-17,1.18,1.2,1.17,1.17,534400,0.0,0.0
1978-05-18,1.17,1.19,1.16,1.16,633600,0.0,0.0
1978-05-19,1.13,1.13,1.1,1.1,1040000,0.0,0.0
1978-05-22,1.1,1.12,1.09,1.09,451200,0.0,0.0
1978-05-23,1.07,1.07,1.05,1.05,656000,0.0,0.0
1978-05-24,1.04,1.04,1.01,1.01,912000,0.0,0.0
1978-05-25,1.04,1.07,1.04,1.04,1171200,0.0,0.0
1978-05-26,1.06,1.08,1.06,1.06,499200,0.0,0.0
1978-05-30,1.1,1.13,1.1,1.1,355200,0.0,0.0
1978-05-31,1.1,1.13,1.1,1.1,870400,0.0,0.0
1978-06-01,1.1,1.12,1.09,1.09,230400,0.0,0.0
1978-06-02,1.09,1.11,1.08,1.08,272000,0.0,0.0
1978-06-05,1.1,1.13,1.1,1.1,332800,0.0,0.0
1978-06-06,1.12,1.15,1.12,1.12,1222400,0.0,0.0
1978-06-07,1.12,1.14,1.1,1.1,576000,0.0,0.0
1978-06-08,1.12,1.15,1.12,1.12,569600,0.0,0.0
1978-06-09,1.12,1.14,1.11,1.11,339200,0.0,0.0
1978-06-12,1.14,1.16,1.14,1.14,774400,0.0,0.0
1978-06-13,1.2,1.23,1.2,1.2,1721600,0.0,0.0
1978-06-14,1.22,1.24,1.22,1.22,646400,0.0,0.0
1978-06-15,1.22,1.24,1.22,1.22,691200,0.0,0.0
1978-06-16,1.21,1.21,1.18,1.18,643200,0.0,0.0
1978-06-19,1.17,1.17,1.15,1.15,1452800,0.0,0.0
1978-06-20,1.13,1.13,1.1,1.1,502400,0.0,0.0
1978-06-21,1.1,1.1,1.07,1.07,521600,0.0,0.0
1978-06-22,1.09,1.12,1.09,1.09,742400,0.0,0.0
1978-06-23,1.09,1.1,1.07,1.07,412800,0.0,0.0
1978-06-26,1.07,1.07,1.04,1.04,348800,0.0,0.0
1978-06-27,1.04,1.06,1.03,1.03,822400,0.0,0.0
1978-06-28,1.04,1.07,1.04,1.04,656000,0.0,0.0
1978-06-29,1.07,1.1,1.07,1.07,598400,0.0,0.0
1978-06-30,1.12,1.15,1.12,1.12,550400,0.0,0.0
1978-07-03,1.13,1.15,1.13,1.13,176000,0.0,0.0
1978-07-05,1.13,1.14,1.11,1.11,499200,0.0,0.0
1978-07-06,1.17,1.2,1.17,1.17,1104000,0.0,0.0
1978-07-07,1.19,1.22,1.19,1.19,777600,0.0,0.0
1978-07-10,1.21,1.23,1.21,1.21,339200,0.0,0.0
1978-07-11,1.23,1.26,1.23,1.23,1475200,0.0,0.0
1978-07-12,1.23,1.24,1.22,1.22,700800,0.0,0.0
1978-07-13,1.22,1.23,1.21,1.21,323200,0.0,0.0
1978-07-14,1.23,1.25,1.23,1.23,201600,0.0,0.0
1978-07-17,1.28,1.31,1.28,1.28,1248000,0.0,0.0
1978-07-18,1.28,1.31,1.28,1.28,1075200,0.0,0.0
1978-07-19,1.32,1.36,1.32,1.32,947200,0.0,0.0
1978-07-20,1.32,1.35,1.32,1.32,784000,0.0,0.0
1978-07-21,1.31,1.31,1.29,1.29,441600,0.0,0.0
1978-07-24,1.29,1.31,1.29,1.29,646400,0.0,0.0
1978-07-25,1.29,1.31,1.28,1.28,1161600,0.0,0.0
1978-07-26,1.28,1.31,1.28,1.28,675200,0.0,0.0
1978-07-27,1.3,1.32,1.3,1.3,508800,0.0,0.0
1978-07-28,1.3,1.32,1.3,1.3,304000,0.0,0.0
1978-07-31,1.3,1.31,1.29,1.29,192000,0.0,0.0
1978-08-01,1.31,1.34,1.31,1.31,390400,0.0,0.0
1978-08-02,1.33,1.36,1.33,1.33,416000,0.0,0.0
1978-08-03,1.39,1.42,1.39,1.39,1081600,0.0,0.0
1978-08-04,1.47,1.5,1.47,1.47,972800,0.0,0.0
1978-08-07,1.52,1.55,1.52,1.52,1008000,0.0,0.0
1978-08-08,1.56,1.58,1.56,1.56,1068800,0.0,0.0
1978-08-09,1.56,1.58,1.55,1.55,636800,0.0,0.0
1978-08-10,1.55,1.57,1.54,1.54,595200,0.0,0.0
1978-08-11,1.54,1.57,1.54,1.54,268800,0.0,0.0
1978-08-14,1.55,1.58,1.55,1.55,563200,0.0,0.0
1978-08-15,1.58,1.61,1.58,1.58,710400,0.0,0.0
1978-08-16,1.65,1.68,1.65,1.65,611200,0.0,0.0
1978-08-17,1.71,1.74,1.71,1.71,1126400,0.0,0.0
1978-08-18,1.71,1.71,1.68,1.68,550400,0.0,0.0
1978-08-21,1.59,1.59,1.57,1.57,918400,0.0,0.0
1978-08-22,1.58,1.6,1.58,1.58,1011200,0.0,0.0
1978-08-23,1.66,1.68,1.66,1.66,1174400,0.0,0.0
1978-08-24,1.76,1.79,1.76,1.76,1219200,0.0,0.0
1978-08-25,1.84,1.87,1.84,1.84,1484800,0.0,0.0
1978-08-28,1.81,1.81,1.78,1.78,790400,0.0,0.0
1978-08-29,1.74,1.74,1.72,1.72,816000,0.0,0.0
1978-08-30,1.69,1.69,1.66,1.66,736000,0.0,0.0
1978-08-31,1.65,1.65,1.62,1.62,387200,0.0,0.0
1978-09-01,1.65,1.68,1.65,1.65,182400,0.0,0.0
1978-09-05,1.72,1.74,1.72,1.72,528000,0.0,0.0
1978-09-06,1.74,1.77,1.74,1.74,608000,0.0,0.0
1978-09-07,1.74,1.77,1.74,1.74,518400,0.0,0.0
1978-09-08,1.83,1.87,1.83,1.83,649600,0.0,0.0
1978-09-11,1.87,1.9,1.87,1.87,752000,0.0,0.0
1978-09-12,1.9,1.92,1.9,1.9,416000,0.0,0.0
1978-09-13,1.9,1.9,1.87,1.87,681600,0.0,0.0
1978-09-14,1.87,1.87,1.84,1.84,566400,0.0,0.0
1978-09-15,1.84,1.87,1.84,1.84,867200,0.0,0.0
1978-09-18,1.78,1.78,1.75,1.75,729600,0.0,0.0
1978-09-19,1.73,1.73,1.7,1.7,611200,0.0,0.0
1978-09-20,1.66,1.66,1.63,1.63,748800,0.0,0.0
1978-09-21,1.59,1.59,1.57,1.57,1222400,0.0,0.0
1978-09-22,1.5,1.5,1.47,1.47,1737600,0.0,0.0
1978-09-25,1.49,1.51,1.49,1.49,1126400,0.0,0.0
1978-09-26,1.59,1.64,1.59,1.59,1835200,0.0,2.0
1978-09-27,1.65,1.69,1.65,1.65,1366400,0.0,0.0
1978-09-28,1.75,1.79,1.75,1.75,696000,0.0,0.0
1978-09-29,1.79,1.83,1.79,1.79,1027200,0.0,0.0
1978-10-02,1.85,1.89,1.85,1.85,505600,0.0,0.0
1978-10-03,1.85,1.86,1.82,1.82,652800,0.0,0.0
1978-10-04,1.82,1.83,1.79,1.79,483200,0.0,0.0
1978-10-05,1.81,1.85,1.81,1.81,414400,0.0,0.0
1978-10-06,1.83,1.87,1.83,1.83,110400,0.0,0.0
1978-10-09,1.89,1.93,1.89,1.89,283200,0.0,0.0
1978-10-10,1.89,1.91,1.86,1.86,296000,0.0,0.0
1978-10-11,1.91,1.94,1.91,1.91,174400,0.0,0.0
1978-10-12,1.92,1.96,1.92,1.92,771200,0.0,0.0
1978-10-13,1.92,1.93,1.89,1.89,264000,0.0,0.0
1978-10-16,1.77,1.77,1.73,1.73,332800,0.0,0.0
1978-10-17,1.71,1.71,1.66,1.66,913600,0.0,0.0
1978-10-18,1.66,1.66,1.62,1.62,339200,0.0,0.0
1978-10-19,1.59,1.59,1.54,1.54,388800,0.0,0.0
1978-10-20,1.5,1.5,1.46,1.46,576000,0.0,0.0
1978-10-23,1.44,1.44,1.4,1.4,814400,0.0,0.0
1978-10-24,1.4,1.41,1.37,1.37,499200,0.0,0.0
1978-10-25,1.37,1.38,1.34,1.34,761600,0.0,0.0
1978-10-26,1.22,1.22,1.17,1.17,1131200,0.0,0.0
1978-10-27,1.17,1.22,1.17,1.17,672000,0.0,0.0
1978-10-30,1.08,1.08,1.03,1.03,1032000,0.0,0.0
1978-10-31,1.12,1.16,1.12,1.12,814400,0.0,0.0
1978-11-01,1.29,1.32,1.29,1.29,884800,0.0,0.0
1978-11-02,1.31,1.36,1.31,1.31,905600,0.0,0.0
1978-11-03,1.34,1.38,1.34,1.34,672000,0.0,0.0
1978-11-06,1.34,1.37,1.32,1.32,390400,0.0,0.0
1978-11-07,1.29,1.29,1.24,1.24,416000,0.0,0.0
1978-11-08,1.24,1.24,1.2,1.2,451200,0.0,0.0
1978-11-09,1.22,1.26,1.22,1.22,680000,0.0,0.0
1978-11-10,1.27,1.31,1.27,1.27,390400,0.0,0.0
1978-11-13,1.24,1.24,1.2,1.2,177600,0.0,0.0
1978-11-14,1.17,1.17,1.14,1.14,534400,0.0,0.0
1978-11-15,1.16,1.2,1.16,1.16,324800,0.0,0.0
1978-11-16,1.22,1.26,1.22,1.22,188800,0.0,0.0
1978-11-17,1.31,1.36,1.31,1.31,537600,0.0,0.0
