Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-11-10,9.36,9.36,9.14,9.16,947200,0.0,0.0
1997-11-11,9.16,9.25,9.14,9.21,514700,0.0,0.0
1997-11-12,9.18,9.41,9.14,9.32,344700,0.0,0.0
1997-11-13,9.3,9.43,9.3,9.41,1007700,0.0,0.0
1997-11-14,9.41,9.46,9.34,9.46,1394900,0.0,0.0
1997-11-17,9.43,9.55,9.41,9.5,706600,0.0,0.0
1997-11-18,9.46,9.59,9.43,9.48,625800,0.0,0.0
1997-11-19,9.46,9.55,9.46,9.55,342400,0.0,0.0
1997-11-20,9.52,9.68,9.52,9.64,558800,0.0,0.0
1997-11-21,9.73,9.77,9.64,9.77,640800,0.0,0.0
1997-11-24,9.68,9.82,9.64,9.77,330800,0.0,0.0
1997-11-25,9.75,9.91,9.73,9.86,1021000,0.0,0.0
1997-11-26,9.89,9.89,9.77,9.77,488700,0.0,0.0
1997-11-28,9.82,9.82,9.77,9.82,244200,0.0,0.0
1997-12-01,9.82,9.96,9.8,9.96,836200,0.0,0.0
1997-12-02,9.91,9.96,9.84,9.86,437800,0.0,0.0
1997-12-03,9.91,9.91,9.77,9.86,338400,0.0,0.0
1997-12-04,9.91,10.07,9.84,9.96,1405800,0.0,0.0
1997-12-05,9.86,10.14,9.86,9.93,362500,0.0,0.0
1997-12-08,9.96,9.98,9.86,9.93,312900,0.0,0.0
1997-12-09,9.89,9.93,9.8,9.89,365300,0.0,0.0
1997-12-10,9.98,10.0,9.89,9.93,354100,0.0,0.0
1997-12-11,9.91,9.93,9.8,9.86,199600,0.0,0.0
1997-12-12,9.91,9.93,9.82,9.89,680500,0.0,0.0
1997-12-15,9.89,10.02,9.89,10.0,489500,0.0,0.0
1997-12-16,10.0,10.02,9.96,9.98,310200,0.0,0.0
1997-12-17,10.02,10.02,9.93,9.98,386100,0.0,0.0
1997-12-18,9.98,10.11,9.96,10.11,1640900,0.0,0.0
1997-12-19,10.11,10.3,10.07,10.3,2164100,0.0,0.0
1997-12-22,10.3,10.48,10.27,10.41,851400,0.0,0.0
