Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-06-20,10.14,10.35,10.1,10.1,11000,0.0,0
2001-06-21,10.35,10.77,10.35,10.77,39300,0.0,0
2001-06-22,10.77,10.84,10.77,10.81,33800,0.0,0
2001-06-25,10.94,11.19,10.94,11.19,9100,0.0,0
2001-06-26,11.19,11.19,11.05,11.17,109800,0.0,0
2001-06-27,11.17,11.24,11.17,11.24,185300,0.0,0
2001-06-28,11.32,11.62,11.32,11.62,66000,0.0,0
2001-06-29,11.64,11.87,11.64,11.83,71300,0.0,0
2001-07-02,11.83,12.0,11.83,11.83,69700,0.0,0
2001-07-03,11.83,11.9,11.83,11.85,56200,0.0,0
2001-07-05,11.85,11.85,11.8,11.81,61900,0.0,0
2001-07-06,11.81,12.67,11.36,12.67,3337400,0.0,0
2001-07-09,12.67,13.22,12.59,12.64,1674700,0.0,0
2001-07-10,12.64,12.68,12.06,12.06,1210400,0.0,0
2001-07-11,12.02,12.25,11.99,12.04,2426400,0.0,0
2001-07-12,12.04,12.76,12.04,12.44,1294600,0.0,0
2001-07-13,12.4,12.68,12.25,12.25,709500,0.0,0
2001-07-16,12.25,12.51,12.05,12.14,593900,0.0,0
2001-07-17,12.14,12.57,12.13,12.5,837100,0.0,0
2001-07-18,12.47,12.67,12.43,12.46,396600,0.0,0
2001-07-19,12.44,12.46,12.17,12.21,303600,0.0,0
2001-07-20,12.17,12.31,12.17,12.23,519000,0.0,0
2001-07-23,12.23,12.25,12.08,12.25,206100,0.0,0
2001-07-24,12.23,12.38,12.14,12.24,268600,0.0,0
2001-07-25,12.24,12.58,12.14,12.48,385200,0.0,0
2001-07-26,12.42,12.65,12.33,12.64,208500,0.0,0
2001-07-27,12.64,12.91,12.63,12.9,274600,0.0,0
2001-07-30,12.9,13.58,12.9,13.36,289200,0.0,0
2001-07-31,13.35,14.15,13.35,13.95,357300,0.0,0
2001-08-01,13.98,14.48,13.98,14.36,759800,0.0,0
2001-08-02,14.34,14.45,14.22,14.24,365500,0.0,0
2001-08-03,14.15,14.17,13.77,13.79,139800,0.0,0
2001-08-06,13.86,13.9,13.55,13.58,161700,0.0,0
2001-08-07,13.58,13.81,13.56,13.71,186400,0.0,0
2001-08-08,13.73,13.77,13.52,13.72,322400,0.0,0
2001-08-09,13.73,13.77,13.67,13.73,169400,0.0,0
2001-08-10,13.73,13.83,13.56,13.58,328500,0.0,0
2001-08-13,13.58,13.58,13.51,13.52,396200,0.0,0
2001-08-14,13.94,13.94,13.72,13.85,269000,0.0,0
2001-08-15,13.86,13.98,13.52,13.52,307000,0.0,0
2001-08-16,13.52,13.58,13.43,13.52,280600,0.0,0
2001-08-17,13.5,13.62,13.43,13.62,211200,0.0,0
2001-08-20,13.64,13.64,13.52,13.53,150900,0.0,0
2001-08-21,13.52,13.71,13.52,13.64,321800,0.0,0
2001-08-22,13.6,13.78,13.58,13.73,234300,0.0,0
2001-08-23,13.62,13.73,13.6,13.69,72300,0.0,0
2001-08-24,13.67,13.69,13.6,13.67,69600,0.0,0
2001-08-27,13.67,13.83,13.67,13.79,80900,0.0,0
2001-08-28,13.82,13.82,13.65,13.68,241000,0.0,0
2001-08-29,13.68,13.83,13.64,13.83,261600,0.0,0
2001-08-30,13.81,13.99,13.81,13.94,182300,0.0,0
2001-08-31,14.05,14.51,14.05,14.51,277600,0.0,0
2001-09-04,14.51,14.83,14.5,14.74,760800,0.0,0
2001-09-05,14.74,14.74,14.24,14.24,296900,0.0,0
2001-09-06,14.24,14.24,13.87,13.94,333900,0.0,0
2001-09-07,13.94,13.96,13.73,13.79,186200,0.0,0
2001-09-10,13.73,13.88,13.73,13.83,179400,0.0,0
2001-09-17,13.52,13.54,12.67,12.71,279800,0.0,0
2001-09-18,12.71,13.0,12.66,12.99,389000,0.0,0
2001-09-19,13.03,13.18,12.82,13.02,222200,0.0,0
2001-09-20,12.97,13.03,12.38,12.62,653700,0.0,0
