Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-06-22,1.44,1.44,1.25,1.28,22363200,0.0,0.0
1993-06-23,1.31,1.33,1.28,1.31,3168800,0.0,0.0
1993-06-24,1.31,1.33,1.31,1.31,703200,0.0,0.0
1993-06-25,1.31,1.36,1.31,1.33,1654400,0.0,0.0
1993-06-28,1.33,1.36,1.33,1.33,1398400,0.0,0.0
1993-06-29,1.36,1.36,1.31,1.36,756800,0.0,0.0
1993-06-30,1.31,1.31,1.25,1.25,1027200,0.0,0.0
1993-07-01,1.31,1.31,1.25,1.31,627200,0.0,0.0
1993-07-02,1.31,1.31,1.25,1.25,213600,0.0,0.0
1993-07-06,1.25,1.31,1.25,1.25,141600,0.0,0.0
1993-07-07,1.19,1.22,1.11,1.18,1111200,0.0,0.0
1993-07-08,1.14,1.22,1.14,1.17,648800,0.0,0.0
1993-07-09,1.14,1.19,1.14,1.19,255200,0.0,0.0
1993-07-12,1.14,1.19,1.14,1.17,828000,0.0,0.0
1993-07-13,1.14,1.22,1.14,1.21,182400,0.0,0.0
1993-07-14,1.19,1.33,1.19,1.31,583200,0.0,0.0
1993-07-15,1.31,1.33,1.28,1.33,230400,0.0,0.0
1993-07-16,1.33,1.33,1.28,1.28,128800,0.0,0.0
1993-07-19,1.33,1.33,1.28,1.31,692000,0.0,0.0
1993-07-20,1.28,1.33,1.28,1.31,68800,0.0,0.0
1993-07-21,1.28,1.33,1.28,1.28,35200,0.0,0.0
1993-07-22,1.31,1.33,1.31,1.31,448800,0.0,0.0
1993-07-23,1.31,1.33,1.19,1.24,332800,0.0,0.0
1993-07-26,1.19,1.19,1.14,1.19,286400,0.0,0.0
1993-07-27,1.14,1.19,1.14,1.14,411200,0.0,0.0
1993-07-28,1.17,1.19,1.14,1.14,70400,0.0,0.0
1993-07-29,1.19,1.22,1.14,1.22,144800,0.0,0.0
1993-07-30,1.17,1.22,1.15,1.19,984800,0.0,0.0
1993-08-02,1.17,1.19,1.17,1.17,64000,0.0,0.0
1993-08-03,1.17,1.19,1.17,1.17,64000,0.0,0.0
1993-08-04,1.19,1.19,1.17,1.17,65600,0.0,0.0
1993-08-05,1.17,1.19,1.17,1.17,39200,0.0,0.0
1993-08-06,1.17,1.19,1.17,1.17,23200,0.0,0.0
1993-08-09,1.17,1.19,1.17,1.17,51200,0.0,0.0
1993-08-10,1.14,1.17,1.08,1.11,568800,0.0,0.0
1993-08-11,1.08,1.08,0.94,1.06,1015200,0.0,0.0
1993-08-12,1.06,1.06,1.0,1.01,1605600,0.0,0.0
1993-08-13,1.0,1.06,1.0,1.0,319200,0.0,0.0
1993-08-16,1.0,1.11,1.0,1.06,200000,0.0,0.0
1993-08-17,1.06,1.11,1.06,1.06,459200,0.0,0.0
1993-08-18,1.06,1.11,1.06,1.08,50400,0.0,0.0
1993-08-19,1.06,1.08,1.0,1.07,548000,0.0,0.0
1993-08-20,1.0,1.08,1.0,1.06,8000,0.0,0.0
