Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-12-01,7.31,9.79,7.31,9.4,23200,0.0,0.0
2000-12-04,9.66,10.44,9.48,10.44,31000,0.0,0.0
2000-12-05,10.79,10.79,10.44,10.53,12800,0.0,0.0
2000-12-06,10.44,10.57,10.44,10.44,10400,0.0,0.0
2000-12-07,10.44,10.44,10.31,10.31,2600,0.0,0.0
2000-12-08,10.4,10.44,10.4,10.44,4200,0.0,0.0
2000-12-11,10.4,10.57,10.31,10.57,32600,0.0,0.0
2000-12-12,10.35,10.53,10.35,10.53,3600,0.0,0.0
2000-12-13,10.61,10.7,10.61,10.7,2400,0.0,0.0
2000-12-14,10.66,10.66,10.61,10.61,2800,0.0,0.0
2000-12-15,10.48,10.53,10.27,10.27,83000,0.0,0.0
2000-12-18,10.27,10.53,10.27,10.53,23200,0.0,0.0
2000-12-19,10.44,10.61,10.44,10.53,3600,0.0,0.0
2000-12-20,10.44,10.44,10.18,10.27,42400,0.0,0.0
2000-12-21,10.22,10.22,10.01,10.05,243400,0.0,0.0
2000-12-22,10.27,11.53,10.27,11.35,585200,0.0,0.0
2000-12-26,11.33,11.44,11.18,11.25,278600,0.0,0.0
2000-12-27,11.29,11.51,11.29,11.51,421000,0.0,0.0
2000-12-28,11.38,11.57,11.35,11.55,316200,0.0,0.0
2000-12-29,11.51,11.59,11.05,11.51,539800,0.0,0.0
2001-01-02,11.48,12.05,11.48,11.92,570400,0.0,0.0
2001-01-03,12.14,12.22,11.94,12.09,824200,0.0,0.0
2001-01-04,12.05,12.09,11.92,12.05,525200,0.0,0.0
2001-01-05,11.98,12.07,11.66,11.7,1357600,0.0,0.0
2001-01-08,11.83,11.85,11.66,11.72,1843600,0.0,0.0
2001-01-09,11.64,11.7,11.59,11.68,422200,0.0,0.0
2001-01-10,11.59,11.7,11.57,11.68,414200,0.0,0.0
2001-01-11,11.68,11.72,11.55,11.64,523400,0.0,0.0
2001-01-12,11.59,11.64,11.57,11.57,802600,0.0,0.0
2001-01-16,11.4,11.53,11.4,11.48,541000,0.0,0.0
2001-01-17,11.48,11.75,11.44,11.64,410600,0.0,0.0
2001-01-18,11.57,11.68,11.51,11.64,798200,0.0,0.0
2001-01-19,11.55,11.61,11.42,11.46,511200,0.0,0.0
2001-01-22,11.29,11.44,11.2,11.29,368400,0.0,0.0
2001-01-23,11.22,11.35,11.14,11.35,583000,0.0,0.0
2001-01-24,11.31,11.38,11.14,11.33,479800,0.0,0.0
2001-01-25,11.31,11.57,11.31,11.55,408200,0.0,0.0
2001-01-26,11.55,11.64,11.51,11.55,645400,0.0,0.0
2001-01-29,11.49,11.55,11.4,11.42,772400,0.0,0.0
2001-01-30,11.33,11.33,11.03,11.07,377200,0.0,0.0
2001-01-31,10.86,11.32,10.86,11.29,633200,0.0,0.0
2001-02-01,11.0,12.53,11.0,12.01,1433400,0.0,0.0
2001-02-02,11.97,12.27,11.87,11.87,1039600,0.0,0.0
2001-02-05,11.8,12.3,11.73,11.73,665000,0.0,0.0
2001-02-06,11.55,12.25,11.55,12.18,726600,0.0,0.0
2001-02-07,12.18,12.68,12.18,12.6,829800,0.0,0.0
2001-02-08,12.53,13.23,12.49,13.23,1198400,0.0,0.0
2001-02-09,13.1,13.41,12.98,13.41,755000,0.0,0.0
2001-02-12,13.41,13.74,13.31,13.71,781600,0.0,0.0
2001-02-13,13.43,13.89,13.38,13.64,968800,0.0,0.0
2001-02-14,13.47,13.61,13.38,13.47,559000,0.0,0.0
2001-02-15,13.54,13.72,13.52,13.64,502200,0.0,0.0
2001-02-16,13.22,13.33,12.96,13.06,446000,0.0,0.0
2001-02-20,13.05,13.19,12.6,12.6,402600,0.0,0.0
2001-02-21,12.6,12.72,12.55,12.56,363600,0.0,0.0
2001-02-22,12.56,12.79,12.41,12.78,635600,0.0,0.0
2001-02-23,12.78,12.93,12.77,12.89,913000,0.0,0.0
2001-02-26,13.05,13.92,13.05,13.75,2160800,0.0,0.0
2001-02-27,13.4,13.57,13.34,13.39,835800,0.0,0.0
2001-02-28,13.22,13.64,13.21,13.27,804800,0.0,0.0
2001-03-01,13.49,13.57,13.01,13.31,734800,0.0,0.0
2001-03-02,13.28,14.09,13.24,14.06,1102600,0.0,0.0
2001-03-05,14.27,16.36,13.99,16.13,2998800,0.0,0.0
2001-03-06,15.49,15.93,14.62,14.99,3856400,0.0,0.0
2001-03-07,14.79,15.76,14.79,15.59,2447200,0.0,0.0
2001-03-08,15.56,16.53,15.56,16.27,2596400,0.0,0.0
2001-03-09,16.01,16.35,15.94,16.3,2293600,0.0,0.0
2001-03-12,16.1,16.36,16.03,16.08,1365600,0.0,0.0
2001-03-13,16.21,16.28,15.45,15.77,1012200,0.16,0.0
2001-03-14,15.59,15.89,14.89,15.06,1622000,0.0,0.0
2001-03-15,15.14,15.79,15.1,15.76,1240600,0.0,0.0
2001-03-16,15.54,15.54,15.27,15.45,1990600,0.0,0.0
2001-03-19,15.49,15.72,15.24,15.29,776200,0.0,0.0
2001-03-20,15.31,15.45,15.23,15.23,533000,0.0,0.0
2001-03-21,15.33,15.33,14.77,14.85,597000,0.0,0.0
2001-03-22,14.76,14.93,13.81,14.13,853000,0.0,0.0
2001-03-23,14.33,14.63,14.26,14.51,881000,0.0,0.0
2001-03-26,14.44,14.77,14.4,14.56,558000,0.0,0.0
2001-03-27,14.58,14.68,14.51,14.68,676000,0.0,0.0
2001-03-28,14.85,14.96,14.73,14.75,758400,0.0,0.0
2001-03-29,14.75,15.94,14.75,15.86,3210400,0.0,0.0
2001-03-30,16.03,16.12,15.56,15.59,3574000,0.0,0.0
2001-04-02,15.31,15.62,14.96,15.15,1173400,0.0,0.0
2001-04-03,15.17,15.24,14.39,14.52,673800,0.0,0.0
2001-04-04,14.52,14.89,14.51,14.8,965400,0.0,0.0
2001-04-05,14.95,15.07,14.77,14.83,302600,0.0,0.0
2001-04-06,14.81,14.83,14.23,14.36,361800,0.0,0.0
2001-04-09,14.37,14.77,14.37,14.71,563600,0.0,0.0
2001-04-10,14.76,15.07,14.74,14.96,798800,0.0,0.0
2001-04-11,14.89,14.95,14.68,14.74,447000,0.0,0.0
2001-04-12,14.68,14.93,14.59,14.77,370000,0.0,0.0
2001-04-16,14.95,15.45,14.95,15.42,641800,0.0,0.0
2001-04-17,15.33,15.61,15.28,15.59,950400,0.0,0.0
2001-04-18,15.54,15.93,15.54,15.85,1656400,0.0,0.0
2001-04-19,15.86,15.89,15.64,15.77,452000,0.0,0.0
2001-04-20,15.86,15.94,15.73,15.82,642800,0.0,0.0
2001-04-23,15.33,15.96,15.33,15.96,825600,0.0,0.0
2001-04-24,16.05,17.15,16.05,16.89,2779800,0.0,0.0
2001-04-25,16.65,18.12,16.65,18.12,3340000,0.0,0.0
2001-04-26,18.22,19.1,18.21,19.01,3440400,0.0,0.0
2001-04-27,18.99,19.35,18.57,19.33,1261600,0.0,0.0
2001-04-30,19.24,19.24,18.31,18.47,2507000,0.0,0.0
2001-05-01,18.5,19.2,18.05,19.15,1268800,0.0,0.0
2001-05-02,18.92,19.1,18.03,18.12,2498000,0.0,0.0
2001-05-03,18.08,18.08,17.63,17.87,1657200,0.0,0.0
2001-05-04,17.5,18.36,17.17,18.36,1734200,0.0,0.0
2001-05-07,18.36,18.66,18.16,18.22,1192000,0.0,0.0
2001-05-08,18.29,18.49,18.15,18.25,1081600,0.0,0.0
2001-05-09,18.29,18.38,17.95,18.11,718600,0.0,0.0
2001-05-10,18.2,19.24,18.18,19.05,1858000,0.0,0.0
2001-05-11,19.05,19.2,18.7,18.84,817400,0.0,0.0
2001-05-14,18.75,18.96,18.75,18.92,635200,0.0,0.0
2001-05-15,18.71,18.89,18.71,18.82,573800,0.0,0.0
2001-05-16,18.9,19.97,18.8,19.94,3878000,0.0,0.0
2001-05-17,19.97,20.97,19.97,20.68,3601800,0.0,0.0
2001-05-18,20.61,20.69,20.22,20.5,1690000,0.0,0.0
2001-05-21,20.4,20.64,20.29,20.61,1559600,0.0,0.0
2001-05-22,20.61,22.15,20.61,21.95,2849200,0.0,0.0
2001-05-23,21.95,21.95,21.12,21.22,1443000,0.0,0.0
2001-05-24,21.25,21.4,20.22,21.22,1561200,0.0,0.0
2001-05-25,21.2,21.27,20.38,20.41,792400,0.0,0.0
