Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.32,0.3,0.3,94800,0.0,0.0
1980-03-18,0.0,0.32,0.3,0.3,89400,0.0,0.0
1980-03-19,0.0,0.32,0.3,0.3,26100,0.0,0.0
1980-03-20,0.0,0.31,0.29,0.29,42300,0.0,0.0
1980-03-21,0.0,0.3,0.28,0.28,77400,0.0,0.0
1980-03-24,0.0,0.3,0.28,0.28,72900,0.0,0.0
1980-03-25,0.0,0.3,0.28,0.28,63300,0.0,0.0
1980-03-26,0.0,0.3,0.28,0.28,78600,0.0,0.0
1980-03-27,0.0,0.28,0.26,0.26,252900,0.0,0.0
1980-03-28,0.0,0.3,0.28,0.28,39000,0.0,0.0
1980-03-31,0.0,0.3,0.28,0.28,67500,0.0,0.0
1980-04-01,0.0,0.3,0.28,0.28,149700,0.0,0.0
1980-04-02,0.0,0.3,0.28,0.28,30000,0.0,0.0
1980-04-03,0.0,0.3,0.28,0.28,65100,0.0,0.0
1980-04-07,0.0,0.29,0.27,0.27,113400,0.0,0.0
1980-04-08,0.0,0.31,0.29,0.29,238800,0.0,0.0
1980-04-09,0.0,0.31,0.29,0.29,63300,0.0,0.0
1980-04-10,0.0,0.3,0.28,0.28,35100,0.0,0.0
1980-04-11,0.0,0.3,0.28,0.28,52500,0.0,0.0
1980-04-14,0.0,0.3,0.28,0.28,28800,0.0,0.0
1980-04-15,0.0,0.29,0.27,0.27,63300,0.0,0.0
1980-04-16,0.0,0.29,0.27,0.27,82800,0.0,0.0
1980-04-17,0.0,0.29,0.27,0.27,65100,0.0,0.0
1980-04-18,0.0,0.29,0.27,0.27,142200,0.0,0.0
1980-04-21,0.0,0.29,0.27,0.27,79500,0.0,0.0
1980-04-22,0.0,0.29,0.27,0.27,97200,0.0,0.0
1980-04-23,0.0,0.3,0.28,0.28,129900,0.0,0.0
1980-04-24,0.0,0.31,0.29,0.29,93600,0.0,0.0
1980-04-25,0.0,0.31,0.29,0.29,151500,0.0,0.0
1980-04-28,0.0,0.31,0.29,0.29,87600,0.0,0.0
1980-04-29,0.0,0.3,0.28,0.28,115200,0.0,0.0
1980-04-30,0.0,0.31,0.29,0.29,93600,0.0,0.0
1980-05-01,0.0,0.31,0.29,0.29,117300,0.0,0.0
1980-05-02,0.0,0.31,0.29,0.29,12600,0.0,0.0
1980-05-05,0.0,0.31,0.29,0.29,26100,0.0,0.0
1980-05-06,0.0,0.32,0.3,0.3,48900,0.0,0.0
1980-05-07,0.0,0.32,0.3,0.3,32400,0.0,0.0
1980-05-08,0.0,0.32,0.3,0.3,24600,0.0,0.0
1980-05-09,0.0,0.31,0.29,0.29,84900,0.0,0.0
1980-05-12,0.0,0.31,0.29,0.29,32400,0.0,0.0
1980-05-13,0.0,0.31,0.29,0.29,16200,0.0,0.0
1980-05-14,0.0,0.31,0.29,0.29,55200,0.0,0.0
1980-05-15,0.0,0.31,0.29,0.29,18000,0.0,0.0
1980-05-16,0.0,0.31,0.29,0.29,12600,0.0,0.0
1980-05-19,0.0,0.31,0.29,0.29,129600,0.0,0.0
1980-05-20,0.0,0.31,0.29,0.29,22800,0.0,0.0
1980-05-21,0.0,0.32,0.3,0.3,67500,0.0,0.0
1980-05-22,0.0,0.33,0.31,0.31,105600,0.0,0.0
1980-05-23,0.0,0.33,0.31,0.31,35100,0.0,0.0
1980-05-27,0.0,0.33,0.31,0.31,108000,0.0,0.0
1980-05-28,0.0,0.33,0.31,0.31,64800,0.0,0.0
1980-05-29,0.0,0.32,0.3,0.3,115200,0.0,0.0
1980-05-30,0.0,0.32,0.3,0.3,28800,0.0,0.0
1980-06-02,0.0,0.33,0.31,0.31,99000,0.0,0.0
1980-06-03,0.0,0.33,0.31,0.31,54300,0.0,0.0
1980-06-04,0.0,0.33,0.31,0.31,36300,0.0,0.0
1980-06-05,0.0,0.33,0.31,0.31,91800,0.0,0.0
1980-06-06,0.0,0.32,0.3,0.3,83700,0.0,0.0
1980-06-09,0.0,0.32,0.3,0.3,99000,0.0,0.0
1980-06-10,0.0,0.32,0.3,0.3,93600,0.0,0.0
1980-06-11,0.0,0.32,0.3,0.3,18000,0.0,0.0
1980-06-12,0.0,0.33,0.31,0.31,48900,0.0,0.0
1980-06-13,0.0,0.33,0.31,0.31,90900,0.0,0.0
1980-06-16,0.0,0.33,0.31,0.31,32700,0.0,0.0
1980-06-17,0.0,0.33,0.31,0.31,74700,0.0,0.0
1980-06-18,0.0,0.33,0.31,0.31,111000,0.0,0.0
1980-06-19,0.0,0.33,0.31,0.31,66600,0.0,0.0
1980-06-20,0.0,0.32,0.3,0.3,85500,0.0,0.0
1980-06-23,0.0,0.32,0.3,0.3,61200,0.0,0.0
1980-06-24,0.0,0.32,0.3,0.3,70500,0.0,0.0
1980-06-25,0.0,0.33,0.31,0.31,32400,0.0,0.0
1980-06-26,0.0,0.32,0.3,0.3,62400,0.0,0.0
1980-06-27,0.0,0.32,0.3,0.3,46200,0.0,0.0
1980-06-30,0.0,0.32,0.3,0.3,66600,0.0,0.0
1980-07-01,0.0,0.32,0.3,0.3,63300,0.0,0.0
1980-07-02,0.0,0.32,0.3,0.3,91800,0.0,0.0
1980-07-03,0.0,0.33,0.32,0.32,232500,0.0,0.0
1980-07-07,0.0,0.33,0.33,0.33,57000,0.0,0.0
1980-07-08,0.0,0.33,0.33,0.33,269100,0.0,0.0
1980-07-09,0.0,0.33,0.33,0.33,105300,0.0,0.0
1980-07-10,0.0,0.34,0.34,0.34,220500,0.0,0.0
1980-07-11,0.0,0.35,0.34,0.34,167700,0.0,0.0
1980-07-14,0.0,0.36,0.35,0.35,113400,0.0,0.0
1980-07-15,0.0,0.36,0.35,0.35,506700,0.0,0.0
1980-07-16,0.0,0.37,0.36,0.36,103800,0.0,0.0
1980-07-17,0.0,0.37,0.36,0.36,62400,0.0,0.0
1980-07-18,0.0,0.38,0.37,0.37,290100,0.0,0.0
1980-07-21,0.0,0.38,0.37,0.37,123300,0.0,0.0
1980-07-22,0.0,0.36,0.35,0.35,261900,0.0,0.0
1980-07-23,0.0,0.36,0.35,0.35,86700,0.0,0.0
1980-07-24,0.0,0.37,0.36,0.36,230700,0.0,0.0
1980-07-25,0.0,0.37,0.36,0.36,78600,0.0,0.0
1980-07-28,0.0,0.37,0.36,0.36,94800,0.0,0.0
1980-07-29,0.0,0.38,0.37,0.37,293400,0.0,0.0
1980-07-30,0.0,0.39,0.38,0.38,265800,0.0,0.0
1980-07-31,0.0,0.39,0.38,0.38,234900,0.0,0.0
1980-08-01,0.0,0.39,0.39,0.39,267600,0.0,0.0
1980-08-04,0.0,0.39,0.39,0.39,214500,0.0,0.0
1980-08-05,0.0,0.4,0.39,0.39,189000,0.0,0.0
1980-08-06,0.0,0.43,0.42,0.42,275400,0.0,0.0
1980-08-07,0.0,0.45,0.44,0.44,808500,0.0,0.0
1980-08-08,0.0,0.45,0.44,0.44,508800,0.0,0.0
1980-08-11,0.0,0.44,0.43,0.43,391500,0.0,0.0
1980-08-12,0.0,0.45,0.44,0.44,516900,0.0,0.0
1980-08-13,0.0,0.44,0.43,0.43,326700,0.0,0.0
1980-08-14,0.0,0.44,0.43,0.43,253800,0.0,0.0
1980-08-15,0.0,0.43,0.43,0.43,157800,0.0,0.0
1980-08-18,0.0,0.41,0.41,0.41,152400,0.0,0.0
1980-08-19,0.0,0.41,0.41,0.41,87600,0.0,0.0
1980-08-20,0.0,0.44,0.43,0.43,259200,0.0,0.0
1980-08-21,0.0,0.45,0.44,0.44,217200,0.0,0.0
1980-08-22,0.0,0.45,0.45,0.45,206400,0.0,0.0
1980-08-25,0.0,0.45,0.44,0.44,345900,0.0,0.0
1980-08-26,0.0,0.45,0.45,0.45,326700,0.0,0.0
1980-08-27,0.0,0.46,0.45,0.45,356700,0.0,0.0
1980-08-28,0.0,0.47,0.47,0.47,246900,0.0,0.0
1980-08-29,0.0,0.48,0.48,0.48,192900,0.0,0.0
1980-09-02,0.0,0.49,0.48,0.48,192900,0.0,0.0
1980-09-03,0.0,0.49,0.48,0.48,178500,0.0,0.0
1980-09-04,0.0,0.46,0.45,0.45,330600,0.0,0.0
1980-09-05,0.0,0.47,0.46,0.46,113400,0.0,0.0
1980-09-08,0.0,0.45,0.45,0.45,264900,0.0,0.0
1980-09-09,0.0,0.45,0.45,0.45,159600,0.0,0.0
1980-09-10,0.0,0.46,0.45,0.45,140400,0.0,0.0
1980-09-11,0.0,0.47,0.46,0.46,93600,0.0,0.0
1980-09-12,0.0,0.46,0.45,0.45,91800,0.0,0.0
1980-09-15,0.0,0.46,0.45,0.45,46200,0.0,0.0
1980-09-16,0.0,0.47,0.47,0.47,108000,0.0,0.0
1980-09-17,0.0,0.47,0.47,0.47,55200,0.0,0.0
1980-09-18,0.0,0.47,0.47,0.47,59400,0.0,0.0
1980-09-19,0.0,0.47,0.47,0.47,62400,0.0,0.0
1980-09-22,0.0,0.47,0.47,0.47,158400,0.0,0.0
1980-09-23,0.0,0.46,0.45,0.45,407700,0.0,0.0
1980-09-24,0.0,0.45,0.44,0.44,197100,0.0,0.0
1980-09-25,0.0,0.45,0.44,0.44,89100,0.0,0.0
1980-09-26,0.0,0.44,0.43,0.43,126000,0.0,0.0
1980-09-29,0.0,0.44,0.43,0.43,151500,0.0,0.0
1980-09-30,0.0,0.44,0.44,0.44,126000,0.0,0.0
1980-10-01,0.0,0.44,0.44,0.44,109800,0.0,0.0
1980-10-02,0.0,0.44,0.44,0.44,62400,0.0,0.0
1980-10-03,0.0,0.45,0.44,0.44,70500,0.0,0.0
1980-10-06,0.0,0.47,0.46,0.46,263700,0.0,0.0
1980-10-07,0.0,0.51,0.5,0.5,370200,0.0,0.0
1980-10-08,0.0,0.52,0.52,0.52,411600,0.0,0.0
1980-10-09,0.0,0.51,0.5,0.5,174000,0.0,0.0
1980-10-10,0.0,0.51,0.5,0.5,148500,0.0,0.0
1980-10-13,0.0,0.51,0.5,0.5,38100,0.0,0.0
1980-10-14,0.0,0.51,0.51,0.51,38100,0.0,0.0
1980-10-15,0.0,0.53,0.52,0.52,102900,0.0,0.0
1980-10-16,0.0,0.52,0.51,0.51,980100,0.0,0.0
1980-10-17,0.0,0.52,0.51,0.51,180900,0.0,0.0
1980-10-20,0.0,0.52,0.51,0.51,103800,0.0,0.0
1980-10-21,0.0,0.52,0.51,0.51,133500,0.0,0.0
1980-10-22,0.0,0.52,0.51,0.51,128100,0.0,0.0
1980-10-23,0.0,0.53,0.52,0.52,168600,0.0,0.0
1980-10-24,0.0,0.53,0.52,0.52,57000,0.0,0.0
1980-10-27,0.0,0.53,0.53,0.53,166500,0.0,0.0
1980-10-28,0.0,0.53,0.52,0.52,133500,0.0,0.0
1980-10-29,0.0,0.52,0.51,0.51,894900,0.0,0.0
1980-10-30,0.0,0.51,0.51,0.51,45000,0.0,0.0
1980-10-31,0.0,0.49,0.48,0.48,163800,0.0,0.0
1980-11-03,0.0,0.51,0.5,0.5,226800,0.0,0.0
1980-11-05,0.0,0.53,0.53,0.53,293400,0.0,0.0
1980-11-06,0.0,0.52,0.51,0.51,86700,0.0,0.0
1980-11-07,0.0,0.52,0.51,0.51,44400,0.0,0.0
1980-11-10,0.0,0.52,0.51,0.51,57000,0.0,0.0
1980-11-11,0.0,0.51,0.51,0.51,61200,0.0,0.0
1980-11-12,0.0,0.51,0.51,0.51,89400,0.0,0.0
1980-11-13,0.0,0.52,0.51,0.51,249600,0.0,0.0
1980-11-14,0.0,0.52,0.51,0.51,213300,0.0,0.0
1980-11-17,0.0,0.51,0.51,0.51,86700,0.0,0.0
1980-11-18,0.0,0.51,0.51,0.51,30900,0.0,0.0
1980-11-19,0.0,0.51,0.51,0.51,113700,0.0,0.0
1980-11-20,0.0,0.51,0.51,0.51,70500,0.0,0.0
1980-11-21,0.0,0.5,0.49,0.49,68700,0.0,0.0
1980-11-24,0.0,0.49,0.48,0.48,48600,0.0,0.0
1980-11-25,0.0,0.5,0.49,0.49,113400,0.0,0.0
1980-11-26,0.0,0.5,0.49,0.49,24300,0.0,0.0
1980-11-28,0.0,0.51,0.51,0.51,148500,0.0,0.0
1980-12-01,0.0,0.52,0.51,0.51,82800,0.0,0.0
1980-12-02,0.0,0.52,0.51,0.51,53100,0.0,0.0
1980-12-03,0.0,0.52,0.51,0.51,53100,0.0,0.0
1980-12-04,0.0,0.52,0.52,0.52,157800,0.0,0.0
