Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-06-15,3.82,3.94,3.81,3.83,4937600,0.0,0.0
2001-06-18,3.83,3.86,3.76,3.77,3216800,0.0,0.0
2001-06-19,3.8,3.8,3.65,3.66,4008400,0.0,0.0
2001-06-20,3.64,3.65,3.47,3.65,5226800,0.0,0.0
2001-06-21,3.63,3.63,3.5,3.51,4319200,0.0,0.0
2001-06-22,3.51,3.52,3.51,3.51,1360000,0.0,0.0
2001-06-25,3.51,3.51,3.51,3.51,130800,0.0,0.0
2001-06-26,3.51,3.51,3.51,3.51,728800,0.0,0.0
2001-06-27,3.51,3.51,3.44,3.47,4140800,0.0,0.0
2001-06-28,3.47,3.51,3.45,3.45,2248800,0.0,0.0
2001-06-29,3.45,3.62,3.45,3.62,780800,0.0,0.0
2001-07-02,3.62,3.62,3.45,3.47,380400,0.0,0.0
2001-07-03,3.46,3.46,3.33,3.35,919200,0.0,0.0
2001-07-05,3.37,3.42,3.37,3.42,673200,0.0,0.0
2001-07-06,3.41,3.42,3.4,3.4,391600,0.0,0.0
2001-07-09,3.41,3.46,3.36,3.36,2055200,0.0,0.0
2001-07-10,3.36,3.36,3.15,3.16,3034400,0.0,0.0
2001-07-11,3.17,3.23,3.15,3.17,2623600,0.0,0.0
2001-07-12,3.17,3.17,3.15,3.17,1444000,0.0,0.0
2001-07-13,3.19,3.31,3.19,3.28,1692800,0.0,0.0
2001-07-16,3.24,3.24,3.13,3.15,695600,0.0,0.0
2001-07-17,3.13,3.17,3.05,3.08,1402800,0.0,0.0
2001-07-18,3.07,3.16,3.07,3.13,549600,0.0,0.0
2001-07-19,3.14,3.25,3.14,3.18,695200,0.0,0.0
2001-07-20,3.17,3.18,3.14,3.17,1542800,0.0,0.0
2001-07-23,3.17,3.18,3.14,3.16,308000,0.0,0.0
2001-07-24,3.14,3.31,3.13,3.16,851200,0.0,0.0
2001-07-25,3.16,3.4,3.11,3.37,1179600,0.0,0.0
2001-07-26,3.35,3.37,3.31,3.35,384400,0.0,0.0
2001-07-27,3.32,3.32,3.23,3.24,343600,0.0,0.0
2001-07-30,3.25,3.26,3.19,3.24,106800,0.0,0.0
2001-07-31,3.25,3.27,3.11,3.17,1671200,0.0,0.0
