Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-01-22,0.47,0.6,0.47,0.55,168022400,0.0,0.0
1992-01-23,0.57,0.62,0.55,0.6,38368000,0.0,0.0
1992-01-24,0.61,0.64,0.59,0.61,12044800,0.0,0.0
1992-01-27,0.64,0.66,0.61,0.66,10716800,0.0,0.0
1992-01-28,0.65,0.66,0.62,0.64,19913600,0.0,0.0
1992-01-29,0.62,0.64,0.6,0.6,13238400,0.0,0.0
1992-01-30,0.6,0.61,0.53,0.53,10848000,0.0,0.0
1992-01-31,0.55,0.57,0.53,0.57,2496000,0.0,0.0
1992-02-03,0.57,0.57,0.55,0.56,2320000,0.0,0.0
1992-02-04,0.57,0.6,0.57,0.6,2499200,0.0,0.0
1992-02-05,0.6,0.6,0.58,0.58,1148800,0.0,0.0
1992-02-06,0.6,0.6,0.58,0.6,5504000,0.0,0.0
1992-02-07,0.59,0.6,0.57,0.57,4560000,0.0,0.0
1992-02-10,0.57,0.59,0.53,0.54,14140800,0.0,0.0
1992-02-11,0.54,0.54,0.49,0.49,9868800,0.0,0.0
1992-02-12,0.5,0.5,0.48,0.5,3942400,0.0,0.0
1992-02-13,0.5,0.5,0.47,0.49,3241600,0.0,0.0
1992-02-14,0.49,0.49,0.47,0.47,13753600,0.0,0.0
1992-02-18,0.48,0.48,0.42,0.43,3046400,0.0,0.0
1992-02-19,0.42,0.46,0.42,0.44,4284800,0.0,0.0
1992-02-20,0.49,0.53,0.48,0.5,4784000,0.0,0.0
1992-02-21,0.5,0.52,0.49,0.52,1865600,0.0,0.0
1992-02-24,0.52,0.56,0.51,0.53,3129600,0.0,0.0
1992-02-25,0.54,0.54,0.48,0.48,3129600,0.0,0.0
1992-02-26,0.47,0.49,0.47,0.48,1657600,0.0,0.0
1992-02-27,0.49,0.49,0.47,0.49,204800,0.0,0.0
1992-02-28,0.48,0.49,0.47,0.49,227200,0.0,0.0
1992-03-02,0.49,0.49,0.44,0.44,5177600,0.0,0.0
1992-03-03,0.45,0.47,0.44,0.47,531200,0.0,0.0
1992-03-04,0.47,0.49,0.45,0.48,464000,0.0,0.0
1992-03-05,0.47,0.49,0.47,0.47,454400,0.0,0.0
1992-03-06,0.46,0.48,0.44,0.45,1744000,0.0,0.0
1992-03-09,0.45,0.49,0.44,0.48,1078400,0.0,0.0
1992-03-10,0.47,0.53,0.47,0.51,1542400,0.0,0.0
1992-03-11,0.53,0.53,0.49,0.49,1020800,0.0,0.0
1992-03-12,0.48,0.48,0.45,0.47,5561600,0.0,0.0
1992-03-13,0.46,0.47,0.46,0.47,1744000,0.0,0.0
1992-03-16,0.48,0.48,0.46,0.46,835200,0.0,0.0
1992-03-17,0.46,0.48,0.46,0.46,396800,0.0,0.0
1992-03-18,0.48,0.48,0.46,0.46,630400,0.0,0.0
1992-03-19,0.5,0.53,0.47,0.53,3443200,0.0,0.0
1992-03-20,0.53,0.53,0.46,0.47,2876800,0.0,0.0
1992-03-23,0.48,0.48,0.46,0.47,608000,0.0,0.0
1992-03-24,0.49,0.51,0.45,0.47,2704000,0.0,0.0
1992-03-25,0.47,0.47,0.44,0.47,960000,0.0,0.0
1992-03-26,0.47,0.47,0.44,0.47,150400,0.0,0.0
1992-03-27,0.44,0.46,0.4,0.42,3897600,0.0,0.0
1992-03-30,0.41,0.44,0.41,0.44,3225600,0.0,0.0
1992-03-31,0.44,0.49,0.43,0.45,9430400,0.0,0.0
1992-04-01,0.44,0.45,0.42,0.43,3820800,0.0,0.0
1992-04-02,0.42,0.44,0.41,0.41,3200000,0.0,0.0
1992-04-03,0.4,0.42,0.4,0.42,6723200,0.0,0.0
1992-04-06,0.42,0.42,0.4,0.42,3872000,0.0,0.0
1992-04-07,0.41,0.42,0.36,0.36,2460800,0.0,0.0
1992-04-08,0.36,0.36,0.31,0.36,4124800,0.0,0.0
1992-04-09,0.38,0.38,0.35,0.38,1187200,0.0,0.0
1992-04-10,0.38,0.38,0.36,0.37,3033600,0.0,0.0
1992-04-13,0.37,0.37,0.34,0.34,483200,0.0,0.0
1992-04-14,0.37,0.37,0.34,0.34,534400,0.0,0.0
1992-04-15,0.37,0.37,0.34,0.34,1961600,0.0,0.0
1992-04-16,0.37,0.37,0.3,0.32,2217600,0.0,0.0
1992-04-20,0.32,0.32,0.29,0.3,3571200,0.0,0.0
1992-04-21,0.29,0.31,0.28,0.31,19568000,0.0,0.0
1992-04-22,0.3,0.33,0.29,0.3,3036800,0.0,0.0
1992-04-23,0.33,0.33,0.3,0.32,2550400,0.0,0.0
1992-04-24,0.3,0.32,0.3,0.32,790400,0.0,0.0
1992-04-27,0.32,0.33,0.3,0.31,4931200,0.0,0.0
