Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.05,1.04,1.05,111600,0.0,0.0
1980-03-18,0.0,1.09,1.04,1.09,88300,0.0,0.0
1980-03-19,0.0,1.11,1.09,1.11,69000,0.0,0.0
1980-03-20,0.0,1.12,1.11,1.11,36400,0.0,0.0
1980-03-21,0.0,1.11,1.09,1.09,53500,0.0,0.0
1980-03-24,0.0,1.09,1.06,1.06,247200,0.0,0.0
1980-03-25,0.0,1.07,1.05,1.06,21600,0.0,0.0
1980-03-26,0.0,1.11,1.05,1.11,187600,0.0,0.0
1980-03-27,0.0,1.09,1.06,1.09,248400,0.0,0.0
1980-03-28,0.0,1.13,1.08,1.12,174100,0.0,0.0
1980-03-31,0.0,1.13,1.11,1.13,74200,0.0,0.0
1980-04-01,0.0,1.14,1.12,1.14,42700,0.0,0.0
1980-04-02,0.0,1.14,1.11,1.12,63000,0.0,0.0
1980-04-03,0.0,1.14,1.14,1.14,28300,0.0,0.0
1980-04-07,0.0,1.13,1.1,1.11,90000,0.0,0.0
1980-04-08,0.0,1.14,1.12,1.13,15400,0.0,0.0
1980-04-09,0.0,1.14,1.13,1.14,115300,0.0,0.0
1980-04-10,0.0,1.14,1.13,1.14,90400,0.0,0.0
1980-04-11,0.0,1.12,1.09,1.1,135600,0.0,0.0
1980-04-14,0.0,1.1,1.01,1.02,40600,0.0,0.0
1980-04-15,0.0,1.03,1.02,1.03,244900,0.0,0.0
1980-04-16,0.0,1.03,1.01,1.01,91000,0.0,0.0
1980-04-17,0.0,1.01,1.01,1.01,34600,0.0,0.0
1980-04-18,0.0,1.02,1.01,1.01,24300,0.0,0.0
1980-04-21,0.0,1.01,1.0,1.01,101200,0.0,0.0
1980-04-22,0.0,1.03,1.01,1.01,244900,0.0,0.0
1980-04-23,0.0,1.01,0.99,0.99,144000,0.0,0.0
1980-04-24,0.0,1.02,0.99,0.99,102600,0.0,0.0
1980-04-25,0.0,1.01,0.99,0.99,95400,0.0,0.0
1980-04-28,0.0,1.03,0.99,1.01,173400,0.0,0.0
1980-04-29,0.0,1.03,1.01,1.03,349600,0.0,0.0
1980-04-30,0.0,1.03,1.0,1.02,96000,0.0,0.0
1980-05-01,0.0,1.02,1.0,1.0,68800,0.0,0.0
1980-05-02,0.0,1.0,0.99,0.99,47400,0.0,0.0
1980-05-05,0.0,1.0,0.99,1.0,59500,0.0,0.0
1980-05-06,0.0,1.01,0.98,1.01,169300,0.0,0.0
1980-05-07,0.0,1.01,0.99,0.99,91300,0.0,0.0
1980-05-08,0.0,1.01,0.98,1.0,144600,0.0,0.0
1980-05-09,0.0,1.0,0.99,0.99,82300,0.0,0.0
1980-05-12,0.0,0.99,0.98,0.99,12100,0.0,0.0
1980-05-13,0.0,1.04,0.99,1.04,127500,0.0,0.0
1980-05-14,0.0,1.08,1.04,1.07,123700,0.0,0.0
1980-05-15,0.0,1.14,1.09,1.14,64000,0.0,0.0
1980-05-16,0.0,1.14,1.12,1.13,51900,0.0,0.0
1980-05-19,0.0,1.15,1.13,1.14,132900,0.0,0.0
1980-05-20,0.0,1.15,1.14,1.14,160800,0.0,0.0
1980-05-21,0.0,1.14,1.13,1.14,47800,0.0,0.0
1980-05-22,0.0,1.14,1.12,1.14,78300,0.0,0.0
1980-05-23,0.0,1.14,1.12,1.12,20200,0.0,0.0
1980-05-27,0.0,1.14,1.14,1.14,96400,0.0,0.0
1980-05-28,0.0,1.15,1.14,1.15,17500,0.0,0.0
1980-05-29,0.0,1.15,1.14,1.14,83800,0.0,0.0
1980-05-30,0.0,1.13,1.11,1.13,57600,0.0,0.0
1980-06-02,0.0,1.12,1.12,1.12,85900,0.0,0.0
1980-06-03,0.0,1.14,1.12,1.14,89200,0.0,0.0
1980-06-04,0.0,1.14,1.13,1.13,23100,0.0,0.0
1980-06-05,0.0,1.15,1.13,1.14,49500,0.0,0.0
1980-06-06,0.0,1.14,1.11,1.13,97300,0.0,0.0
1980-06-09,0.0,1.18,1.14,1.18,85900,0.0,0.0
1980-06-10,0.0,1.2,1.17,1.19,52600,0.0,0.0
1980-06-11,0.0,1.21,1.2,1.21,31600,0.0,0.0
1980-06-12,0.0,1.21,1.15,1.16,129700,0.0,0.0
1980-06-13,0.0,1.17,1.14,1.15,126900,0.0,0.0
1980-06-16,0.0,1.15,1.14,1.15,12300,0.0,0.0
1980-06-17,0.0,1.14,1.09,1.09,237100,0.0,0.0
1980-06-18,0.0,1.14,1.1,1.14,58900,0.0,0.0
1980-06-19,0.0,1.18,1.15,1.16,116200,0.0,0.0
1980-06-20,0.0,1.17,1.15,1.16,19500,0.0,0.0
1980-06-23,0.0,1.19,1.17,1.19,118300,0.0,0.0
1980-06-24,0.0,1.19,1.15,1.18,42700,0.0,0.0
1980-06-25,0.0,1.19,1.16,1.19,84300,0.0,0.0
1980-06-26,0.0,1.19,1.17,1.19,118300,0.0,0.0
1980-06-27,0.0,1.2,1.17,1.19,60900,0.0,0.0
1980-06-30,0.0,1.19,1.15,1.17,24400,0.0,0.0
1980-07-01,0.0,1.19,1.17,1.17,182400,0.0,0.0
1980-07-02,0.0,1.2,1.18,1.19,81900,0.0,0.0
1980-07-03,0.0,1.2,1.18,1.18,13500,0.0,0.0
1980-07-07,0.0,1.24,1.19,1.24,169300,0.0,0.0
1980-07-08,0.0,1.25,1.23,1.25,45400,0.0,0.0
1980-07-09,0.0,1.28,1.24,1.28,72100,0.0,0.0
1980-07-10,0.0,1.31,1.28,1.28,83800,0.0,0.0
1980-07-11,0.0,1.3,1.28,1.3,27600,0.0,0.0
1980-07-14,0.0,1.43,1.3,1.43,110200,0.0,0.0
1980-07-15,0.0,1.41,1.36,1.36,355600,0.0,0.0
1980-07-16,0.0,1.35,1.3,1.3,79200,0.0,0.0
1980-07-17,0.0,1.32,1.29,1.29,33700,0.0,0.0
1980-07-18,0.0,1.3,1.28,1.28,112600,0.0,0.0
1980-07-21,0.0,1.28,1.24,1.25,120700,0.0,0.0
1980-07-22,0.0,1.26,1.24,1.24,566200,0.0,0.0
1980-07-23,0.0,1.25,1.24,1.24,320100,0.0,0.0
1980-07-24,0.0,1.25,1.24,1.25,125500,0.0,0.0
1980-07-25,0.0,1.25,1.24,1.25,68100,0.0,0.0
1980-07-28,0.0,1.26,1.24,1.25,30300,0.0,0.0
1980-07-29,0.0,1.25,1.24,1.25,42700,0.0,0.0
1980-07-30,0.0,1.3,1.25,1.29,54600,0.0,0.0
1980-07-31,0.0,1.32,1.29,1.32,49500,0.0,0.0
1980-08-01,0.0,1.31,1.3,1.31,25600,0.0,0.0
1980-08-04,0.0,1.34,1.31,1.34,34300,0.0,0.0
1980-08-05,0.0,1.35,1.32,1.33,19500,0.0,0.0
1980-08-06,0.0,1.33,1.32,1.33,36400,0.0,0.0
1980-08-07,0.0,1.36,1.33,1.36,117400,0.0,0.0
1980-08-08,0.0,1.36,1.33,1.35,212500,0.0,0.0
1980-08-11,0.0,1.33,1.31,1.31,45900,0.0,0.0
1980-08-12,0.0,1.31,1.3,1.3,60900,0.0,0.0
1980-08-13,0.0,1.28,1.23,1.23,286300,0.0,0.0
1980-08-14,0.0,1.28,1.24,1.28,116700,0.0,0.0
1980-08-15,0.0,1.31,1.28,1.29,85900,0.0,0.0
1980-08-18,0.0,1.3,1.26,1.27,49900,0.0,0.0
1980-08-19,0.0,1.28,1.26,1.28,17500,0.0,0.0
1980-08-20,0.0,1.29,1.27,1.28,133800,0.0,0.0
1980-08-21,0.0,1.28,1.27,1.28,38400,0.0,0.0
1980-08-22,0.0,1.28,1.25,1.25,118800,0.0,0.0
1980-08-25,0.0,1.3,1.24,1.3,112600,0.0,0.0
