Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-01-16,3.34,3.34,3.34,3.34,3200,0.0,0.0
2001-01-17,3.34,3.34,3.34,3.34,122800,0.0,0.0
2001-01-18,3.45,3.68,3.45,3.68,167200,0.0,0.0
2001-01-19,3.73,3.82,3.73,3.82,59600,0.0,0.0
2001-01-22,3.79,4.12,3.79,4.07,146800,0.0,0.0
2001-01-23,4.01,4.26,4.01,4.18,76000,0.0,0.0
2001-01-24,4.12,4.12,4.07,4.07,560000,0.0,0.0
2001-01-25,4.15,4.18,4.12,4.18,143200,0.0,0.0
2001-01-26,4.12,4.14,4.12,4.12,82000,0.0,0.0
2001-01-29,4.13,4.18,4.1,4.17,262000,0.0,0.0
2001-01-30,4.17,4.17,4.09,4.14,339200,0.0,0.0
2001-01-31,4.17,4.24,4.17,4.18,326000,0.0,0.0
2001-02-01,4.23,4.72,4.18,4.66,2556800,0.0,0.0
2001-02-02,4.62,4.68,4.59,4.64,795600,0.0,0.0
2001-02-05,4.65,4.78,4.44,4.45,644800,0.0,0.0
2001-02-06,4.43,4.46,4.4,4.4,1338800,0.0,0.0
2001-02-07,4.39,4.46,4.38,4.46,1350400,0.0,0.0
2001-02-08,4.46,4.49,4.35,4.35,578800,0.0,0.0
2001-02-09,4.35,4.4,4.35,4.4,441600,0.0,0.0
2001-02-12,4.4,4.4,4.3,4.3,327200,0.0,0.0
2001-02-13,4.3,4.35,4.29,4.29,648800,0.0,0.0
2001-02-14,4.29,4.29,4.25,4.25,135600,0.0,0.0
2001-02-15,4.26,4.27,4.08,4.08,454400,0.0,0.0
2001-02-16,4.03,4.03,3.88,4.03,427200,0.0,0.0
2001-02-20,4.03,4.04,3.97,4.03,1000400,0.0,0.0
2001-02-21,4.03,4.03,3.99,4.03,443600,0.0,0.0
2001-02-22,4.03,4.04,3.99,4.02,623600,0.0,0.0
2001-02-23,4.03,4.17,4.01,4.11,1222800,0.0,0.0
2001-02-26,4.12,4.26,4.12,4.23,1182400,0.0,0.0
2001-02-27,4.23,4.23,4.21,4.21,690000,0.0,0.0
2001-02-28,4.21,4.23,4.2,4.23,326000,0.0,0.0
2001-03-01,4.21,4.21,4.17,4.17,155200,0.0,0.0
2001-03-02,4.18,4.19,4.17,4.18,836800,0.0,0.0
2001-03-05,4.18,4.24,4.18,4.24,402800,0.0,0.0
2001-03-06,4.24,4.26,4.19,4.19,610000,0.0,0.0
2001-03-07,4.19,4.23,4.19,4.23,89600,0.0,0.0
2001-03-08,4.23,4.23,4.19,4.19,211600,0.0,0.0
2001-03-09,4.19,4.19,4.17,4.18,269600,0.0,0.0
2001-03-12,4.18,4.21,4.16,4.17,106400,0.0,0.0
2001-03-13,4.2,4.2,4.11,4.11,671600,0.0,0.0
2001-03-14,4.11,4.13,3.98,3.99,455600,0.0,0.0
2001-03-15,3.97,3.97,3.82,3.88,1160400,0.0,0.0
2001-03-16,3.91,3.97,3.87,3.87,402800,0.0,0.0
2001-03-19,3.82,3.96,3.82,3.83,1173600,0.0,0.0
2001-03-20,3.84,3.91,3.79,3.81,222000,0.0,0.0
2001-03-21,3.81,3.83,3.62,3.71,135200,0.0,0.0
2001-03-22,3.84,3.98,3.79,3.98,2125600,0.0,0.0
2001-03-23,3.99,4.08,3.99,4.08,757600,0.0,0.0
2001-03-26,4.11,4.12,4.07,4.12,207600,0.0,0.0
2001-03-27,4.1,4.11,4.04,4.09,435200,0.0,0.0
2001-03-28,4.08,4.1,3.98,3.98,420800,0.0,0.0
2001-03-29,3.97,3.97,3.85,3.85,535200,0.0,0.0
