Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-12-08,4.55,6.58,4.35,5.75,17149800,0.0,0.0
2000-12-11,6.52,6.54,5.71,6.09,2919200,0.0,0.0
2000-12-12,6.1,6.11,5.57,5.71,1077400,0.0,0.0
2000-12-13,5.97,6.0,5.68,5.71,422400,0.0,0.0
2000-12-14,5.75,5.82,5.71,5.79,265400,0.0,0.0
2000-12-15,5.82,5.82,5.17,5.79,950200,0.0,0.0
2000-12-18,5.89,5.89,5.59,5.77,483600,0.0,0.0
2000-12-19,5.76,5.77,5.53,5.64,457400,0.0,0.0
2000-12-20,5.57,5.64,5.17,5.25,1228800,0.0,0.0
2000-12-21,5.19,5.32,5.1,5.23,1017400,0.0,0.0
2000-12-22,5.35,5.57,5.32,5.53,416000,0.0,0.0
2000-12-26,5.55,5.57,5.43,5.46,754000,0.0,0.0
2000-12-27,5.44,5.5,5.25,5.34,361400,0.0,0.0
2000-12-28,5.35,5.57,5.26,5.35,1048600,0.0,0.0
2000-12-29,5.46,5.79,5.39,5.68,232800,0.0,0.0
2001-01-02,5.8,5.82,5.37,5.53,330400,0.0,0.0
2001-01-03,5.4,5.57,5.03,5.07,545400,0.0,0.0
2001-01-04,5.16,5.46,5.07,5.19,287600,0.0,0.0
2001-01-05,5.21,5.32,5.1,5.21,962000,0.0,0.0
2001-01-08,5.17,5.23,5.03,5.03,631000,0.0,0.0
2001-01-09,5.15,5.17,4.89,4.96,821800,0.0,0.0
2001-01-10,4.94,4.96,4.82,4.89,976800,0.0,0.0
2001-01-11,4.9,5.32,4.89,5.23,1357000,0.0,0.0
2001-01-12,5.35,5.53,5.32,5.5,566200,0.0,0.0
2001-01-16,5.64,5.89,5.43,5.46,663200,0.0,0.0
2001-01-17,5.49,5.71,5.43,5.57,486000,0.0,0.0
2001-01-18,5.6,5.61,5.32,5.46,292800,0.0,0.0
2001-01-19,5.48,5.53,5.25,5.28,254200,0.0,0.0
2001-01-22,5.35,5.35,5.07,5.14,764600,0.0,0.0
2001-01-23,5.25,5.28,5.14,5.14,442600,0.0,0.0
2001-01-24,5.14,5.17,4.87,4.89,1197200,0.0,0.0
2001-01-25,4.96,5.17,4.67,5.14,985800,0.0,0.0
2001-01-26,5.03,5.57,4.99,5.35,249000,0.0,0.0
2001-01-29,5.46,5.75,5.35,5.73,206600,0.0,0.0
2001-01-30,5.73,5.77,5.44,5.77,188800,0.0,0.0
2001-01-31,5.68,5.77,5.57,5.59,84200,0.0,0.0
2001-02-01,5.57,5.77,5.57,5.71,100600,0.0,0.0
2001-02-02,5.77,6.25,5.75,6.22,477200,0.0,0.0
2001-02-05,6.34,7.01,6.25,6.86,562400,0.0,0.0
2001-02-06,6.97,7.38,6.86,7.12,585600,0.0,0.0
2001-02-07,6.94,7.19,6.86,7.01,189400,0.0,0.0
2001-02-08,6.98,7.29,6.97,7.22,451400,0.0,0.0
2001-02-09,7.2,7.24,6.9,6.9,730200,0.0,0.0
2001-02-12,6.97,7.01,6.76,6.76,2362200,0.0,0.0
2001-02-13,6.85,7.08,6.72,7.01,228600,0.0,0.0
2001-02-14,7.04,7.08,6.14,6.4,1363600,0.0,0.0
2001-02-15,6.54,6.61,5.97,6.11,359400,0.0,0.0
2001-02-16,6.09,6.43,5.79,6.14,264200,0.0,0.0
2001-02-20,6.32,6.32,5.5,5.64,391400,0.0,0.0
2001-02-21,5.54,5.79,5.43,5.64,196800,0.0,0.0
2001-02-22,5.64,5.64,5.34,5.34,197400,0.0,0.0
2001-02-23,5.32,5.91,5.28,5.89,122800,0.0,0.0
2001-02-26,5.89,6.18,5.88,6.1,118600,0.0,0.0
2001-02-27,6.18,6.32,6.14,6.32,271800,0.0,0.0
2001-02-28,6.36,6.36,6.27,6.29,142600,0.0,0.0
2001-03-01,6.25,6.29,5.43,5.75,232000,0.0,0.0
2001-03-02,5.8,5.82,5.53,5.79,167000,0.0,0.0
2001-03-05,5.89,6.07,5.8,6.0,110000,0.0,0.0
2001-03-06,6.04,6.14,5.75,5.75,257000,0.0,0.0
2001-03-07,5.96,6.0,5.77,5.93,175800,0.0,0.0
2001-03-08,5.97,5.97,5.61,5.71,137000,0.0,0.0
2001-03-09,5.74,5.89,5.61,5.64,140000,0.0,0.0
2001-03-12,5.53,5.64,5.21,5.21,255000,0.0,0.0
2001-03-13,5.28,5.46,5.23,5.43,229200,0.0,0.0
2001-03-14,5.32,5.82,5.25,5.7,184000,0.0,0.0
2001-03-15,5.73,5.89,5.71,5.82,57200,0.0,0.0
2001-03-16,5.86,5.86,5.66,5.66,75800,0.0,0.0
2001-03-19,5.66,5.68,5.43,5.57,120800,0.0,0.0
2001-03-20,5.61,5.89,5.5,5.5,309800,0.0,0.0
2001-03-21,5.5,5.79,5.5,5.73,75200,0.0,0.0
2001-03-22,5.78,5.79,5.53,5.64,126800,0.0,0.0
2001-03-23,5.75,5.93,5.64,5.75,339800,0.0,0.0
2001-03-26,5.75,5.93,5.71,5.82,491400,0.0,0.0
2001-03-27,5.71,5.82,5.68,5.68,230800,0.0,0.0
2001-03-28,5.64,5.71,5.17,5.39,172400,0.0,0.0
2001-03-29,5.39,5.5,5.21,5.48,129600,0.0,0.0
2001-03-30,5.46,5.75,5.46,5.71,97200,0.0,0.0
2001-04-02,5.57,5.75,5.57,5.68,125000,0.0,0.0
2001-04-03,5.75,5.79,5.32,5.32,224600,0.0,0.0
2001-04-04,5.43,5.82,5.28,5.77,190000,0.0,0.0
2001-04-05,5.82,5.86,5.73,5.82,109600,0.0,0.0
2001-04-06,5.79,5.79,5.46,5.5,138800,0.0,0.0
2001-04-09,5.44,5.44,5.16,5.25,801400,0.0,0.0
2001-04-10,5.36,5.39,5.3,5.33,488200,0.0,0.0
2001-04-11,5.43,5.43,5.25,5.27,347600,0.0,0.0
2001-04-12,5.23,5.32,5.2,5.2,120000,0.0,0.0
2001-04-16,5.2,5.3,5.15,5.19,149600,0.0,0.0
2001-04-17,5.22,5.32,5.22,5.29,80600,0.0,0.0
2001-04-18,5.33,5.46,5.12,5.17,599400,0.0,0.0
2001-04-19,5.2,5.21,5.17,5.17,258400,0.0,0.0
2001-04-20,5.32,5.35,5.23,5.34,391200,0.0,0.0
2001-04-23,5.32,5.32,5.28,5.31,151600,0.0,0.0
2001-04-24,5.26,5.32,5.25,5.29,135400,0.0,0.0
2001-04-25,5.27,5.35,5.21,5.23,366200,0.0,0.0
2001-04-26,5.22,5.39,5.22,5.36,350600,0.0,0.0
2001-04-27,5.39,5.76,5.38,5.76,956000,0.0,0.0
2001-04-30,5.97,6.63,5.57,6.04,1306400,0.0,0.0
2001-05-01,6.04,6.24,6.04,6.19,393600,0.0,0.0
2001-05-02,6.22,6.32,6.01,6.04,754200,0.0,0.0
2001-05-03,6.04,6.09,6.01,6.05,512600,0.0,0.0
2001-05-04,6.06,6.36,6.04,6.28,189000,0.0,0.0
2001-05-07,6.32,6.32,6.19,6.27,76000,0.0,0.0
2001-05-08,6.37,6.64,6.3,6.62,244000,0.0,0.0
2001-05-09,6.63,6.76,6.61,6.73,108800,0.0,0.0
2001-05-10,6.83,7.07,6.81,7.03,306400,0.0,0.0
2001-05-11,7.03,7.1,6.84,6.87,448400,0.0,0.0
2001-05-14,6.87,6.87,6.55,6.55,278200,0.0,0.0
2001-05-15,6.61,6.86,6.5,6.77,375200,0.0,0.0
2001-05-16,6.87,6.87,6.53,6.64,210600,0.0,0.0
2001-05-17,6.73,7.13,6.61,7.1,348400,0.0,0.0
2001-05-18,7.1,7.1,6.9,6.97,335600,0.0,0.0
2001-05-21,6.93,6.93,6.74,6.8,182800,0.0,0.0
2001-05-22,6.76,6.87,6.58,6.61,337800,0.0,0.0
2001-05-23,6.61,6.73,6.59,6.59,96600,0.0,0.0
2001-05-24,6.64,6.7,6.61,6.7,452400,0.0,0.0
2001-05-25,6.7,6.7,6.6,6.63,342200,0.0,0.0
2001-05-29,6.63,6.67,6.33,6.34,731200,0.0,0.0
2001-05-30,6.25,6.27,5.72,5.84,647200,0.0,0.0
2001-05-31,5.68,5.79,5.51,5.75,830400,0.0,0.0
2001-06-01,5.73,5.78,5.7,5.75,571800,0.0,0.0
2001-06-04,5.73,5.77,5.53,5.72,617800,0.0,0.0
2001-06-05,5.64,6.27,5.64,5.99,1325200,0.0,0.0
2001-06-06,6.0,6.44,5.94,6.13,1691400,0.0,0.0
2001-06-07,6.18,6.45,6.07,6.35,375800,0.0,0.0
2001-06-08,6.49,6.59,6.37,6.5,436200,0.0,0.0
2001-06-11,6.47,6.5,6.27,6.31,275400,0.0,0.0
2001-06-12,6.34,6.41,6.3,6.37,212000,0.0,0.0
2001-06-13,6.43,6.51,6.25,6.32,297200,0.0,0.0
2001-06-14,6.35,6.38,6.3,6.32,178200,0.0,0.0
2001-06-15,6.3,6.49,6.3,6.48,155800,0.0,0.0
2001-06-18,6.48,6.5,6.38,6.4,84200,0.0,0.0
2001-06-19,6.44,6.48,6.3,6.4,210000,0.0,0.0
2001-06-20,6.38,6.47,6.32,6.45,185000,0.0,0.0
2001-06-21,6.41,6.43,6.3,6.35,163400,0.0,0.0
2001-06-22,6.36,6.49,6.34,6.47,394400,0.0,0.0
2001-06-25,6.45,6.52,6.44,6.44,272600,0.0,0.0
2001-06-26,6.48,6.48,6.43,6.43,210000,0.0,0.0
2001-06-27,6.43,6.61,6.41,6.61,316600,0.0,0.0
2001-06-28,6.61,6.7,6.51,6.61,311800,0.0,0.0
2001-06-29,6.62,6.68,6.5,6.57,282400,0.0,0.0
2001-07-02,6.64,6.68,6.61,6.66,155400,0.0,0.0
2001-07-03,6.68,6.7,6.61,6.66,75800,0.0,0.0
2001-07-05,6.66,6.7,6.63,6.67,154400,0.0,0.0
2001-07-06,6.66,6.73,6.66,6.71,362000,0.0,0.0
2001-07-09,6.69,6.7,6.67,6.7,181600,0.0,0.0
