Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-05-04,60.65,61.65,55.86,56.16,22320900,0.0,0
1999-05-05,55.76,55.76,52.87,55.16,7565700,0.0,0
1999-05-06,54.26,55.36,53.52,54.21,2905700,0.0,0
1999-05-07,54.21,59.75,53.27,59.15,4862300,0.0,0
1999-05-10,58.55,58.65,56.06,56.41,2589400,0.0,0
1999-05-11,55.86,56.81,55.46,56.36,1839800,0.0,0
1999-05-12,56.66,59.75,55.16,58.65,2659300,0.0,0
1999-05-13,58.45,60.05,57.86,58.4,1142900,0.0,0
1999-05-14,56.86,57.66,55.11,56.01,2058400,0.0,0
1999-05-17,55.16,56.06,54.26,54.76,2075000,0.0,0
1999-05-18,54.46,56.21,54.36,54.76,1407100,0.0,0
1999-05-19,55.36,55.71,54.86,55.31,727400,0.0,0
1999-05-20,55.51,55.96,54.56,54.56,520800,0.0,0
1999-05-21,54.36,54.91,53.87,53.87,936200,0.0,0
1999-05-24,53.47,53.67,51.87,52.12,1493000,0.0,0
1999-05-25,51.17,52.62,51.07,51.47,1662400,0.0,0
1999-05-26,52.37,53.17,50.32,52.72,1602900,0.0,0
1999-05-27,51.87,54.06,51.62,54.06,1220500,0.0,0
1999-05-28,54.06,54.91,53.47,54.21,901900,0.0,0
1999-06-01,53.17,53.17,50.72,51.22,953900,0.0,0
1999-06-02,50.87,51.12,49.48,50.47,2204300,0.0,0
1999-06-03,51.07,51.22,50.37,50.77,852600,0.0,0
1999-06-04,51.32,53.47,51.32,52.17,1357400,0.0,0
1999-06-07,52.02,54.06,52.02,52.62,891900,0.0,0
1999-06-08,52.17,52.42,50.87,50.87,571700,0.0,0
1999-06-09,51.27,52.27,50.77,52.27,611400,0.0,0
1999-06-10,51.77,51.82,50.52,50.57,664200,0.0,0
1999-06-11,51.02,51.32,49.73,50.47,969300,0.0,0
1999-06-14,50.67,51.07,48.28,48.88,821100,0.0,0
1999-06-15,50.17,50.57,49.68,50.07,831700,0.0,0
1999-06-16,51.02,52.22,51.02,52.07,690300,0.0,0
1999-06-17,51.47,53.37,51.47,51.87,955700,0.0,0
1999-06-18,51.27,51.77,50.67,51.72,613900,0.0,0
1999-06-21,53.22,55.81,53.12,55.46,1811000,0.0,0
1999-06-22,55.96,55.96,54.06,54.26,1165900,0.0,0
1999-06-23,53.52,53.82,51.77,51.87,1351700,0.0,0
1999-06-24,52.72,53.07,51.47,51.92,1408900,0.0,0
1999-06-25,52.27,53.32,52.17,52.87,1111500,0.0,0
1999-06-28,53.02,53.87,52.47,53.12,784600,0.0,0
1999-06-29,52.67,54.66,52.67,54.06,629800,0.0,0
1999-06-30,54.66,57.66,52.77,57.66,2127600,0.0,0
1999-07-01,56.96,57.01,55.66,56.51,813600,0.0,0
1999-07-02,56.31,56.81,55.61,56.61,536900,0.0,0
1999-07-06,55.86,56.81,55.26,56.26,747600,0.0,0
1999-07-07,55.51,55.86,54.26,54.26,648800,0.0,0
1999-07-08,54.26,54.96,53.62,53.67,424400,0.0,0
1999-07-09,53.82,54.41,53.67,53.67,312700,0.0,0
1999-07-12,54.26,55.01,54.16,54.56,547700,0.0,0
1999-07-13,54.46,54.81,53.96,54.16,969600,0.0,0
1999-07-14,53.77,54.06,53.72,53.96,888200,0.0,0
1999-07-15,54.26,54.26,53.87,54.21,864700,0.0,0
1999-07-16,54.06,54.86,54.06,54.31,476700,0.0,0
1999-07-19,54.46,56.46,54.46,55.41,646100,0.0,0
1999-07-20,55.16,56.21,54.16,54.36,886100,0.0,0
1999-07-21,54.26,54.31,53.57,54.16,626100,0.0,0
1999-07-22,54.36,54.46,53.07,53.07,579500,0.0,0
1999-07-23,52.97,52.97,51.07,51.12,767200,0.0,0
1999-07-26,51.27,51.67,50.42,50.47,749500,0.0,0
1999-07-27,51.27,52.47,50.52,52.27,592200,0.0,0
1999-07-28,52.07,52.97,51.07,52.72,584800,0.0,0
1999-07-29,52.27,52.27,51.47,51.87,646000,0.0,0
1999-07-30,51.87,51.87,50.77,51.32,629600,0.0,0
1999-08-02,51.27,51.52,49.78,50.12,566400,0.0,0
1999-08-03,50.12,50.12,48.48,48.53,837700,0.0,0
1999-08-04,48.33,49.08,47.88,47.88,1281600,0.0,0
1999-08-05,47.73,47.88,46.13,47.28,1539900,0.0,0
1999-08-06,47.03,47.03,44.69,44.89,1308500,0.0,0
1999-08-09,45.09,45.89,44.54,44.54,1347500,0.0,0
1999-08-10,44.98,45.73,44.13,45.58,1817400,0.12,0
1999-08-11,46.28,49.23,45.93,49.18,1369200,0.0,0
1999-08-12,49.13,49.73,48.43,48.53,832800,0.0,0
1999-08-13,49.93,50.58,49.63,50.48,557400,0.0,0
1999-08-16,50.38,50.38,48.68,50.28,762600,0.0,0
1999-08-17,50.58,51.58,50.08,50.38,936900,0.0,0
1999-08-18,50.38,50.38,48.83,49.83,819300,0.0,0
1999-08-19,49.28,49.98,48.63,49.23,624600,0.0,0
1999-08-20,49.43,50.33,49.28,49.83,439600,0.0,0
1999-08-23,50.23,51.03,50.08,50.88,837200,0.0,0
1999-08-24,50.83,51.98,50.23,50.73,894200,0.0,0
1999-08-25,50.48,51.43,49.83,51.18,449900,0.0,0
1999-08-26,51.18,51.88,50.18,50.18,378400,0.0,0
1999-08-27,50.38,50.38,49.18,49.23,265300,0.0,0
1999-08-30,49.38,49.38,47.43,47.43,438100,0.0,0
1999-08-31,47.58,48.38,46.93,47.83,496600,0.0,0
1999-09-01,48.43,48.53,47.83,48.23,560100,0.0,0
1999-09-02,47.58,48.33,47.08,47.38,727600,0.0,0
1999-09-03,48.58,50.48,48.58,50.48,754900,0.0,0
1999-09-07,50.38,51.53,49.93,49.98,813600,0.0,0
1999-09-08,49.93,50.88,49.68,50.03,732100,0.0,0
1999-09-09,49.98,50.03,48.78,49.38,448800,0.0,0
1999-09-10,49.88,50.46,49.28,50.46,636300,0.0,0
1999-09-13,49.73,50.23,49.58,49.68,250700,0.0,0
1999-09-14,49.08,49.08,46.98,47.48,1160600,0.0,0
1999-09-15,48.08,48.08,46.43,46.63,970200,0.0,0
1999-09-16,46.83,47.28,45.93,46.13,753200,0.0,0
1999-09-17,46.88,48.03,46.78,48.03,1116700,0.0,0
1999-09-20,48.03,48.58,47.58,48.58,721800,0.0,0
1999-09-21,48.43,49.38,46.68,47.28,2369100,0.0,0
1999-09-22,47.93,49.58,47.23,49.03,1534700,0.0,0
1999-09-23,49.38,49.78,48.58,48.63,889800,0.0,0
1999-09-24,48.83,49.73,48.68,49.53,831400,0.0,0
1999-09-27,49.58,50.08,48.98,49.23,624700,0.0,0
1999-09-28,49.03,49.78,48.83,49.78,819900,0.0,0
1999-09-29,49.88,50.18,48.88,49.13,800900,0.0,0
1999-09-30,49.53,49.98,48.78,48.78,1113400,0.0,0
1999-10-01,48.78,48.98,46.63,47.33,793300,0.0,0
1999-10-04,47.58,49.33,47.58,49.33,739400,0.0,0
1999-10-05,49.68,50.58,49.08,49.78,1040500,0.0,0
1999-10-06,49.68,51.18,49.43,51.18,944200,0.0,0
1999-10-07,51.18,51.28,50.53,50.53,366300,0.0,0
1999-10-08,49.98,51.13,49.48,51.13,488800,0.0,0
1999-10-11,50.98,51.13,50.78,50.93,229300,0.0,0
1999-10-12,50.93,50.98,50.18,50.33,644200,0.0,0
1999-10-13,49.88,50.08,48.53,48.78,393000,0.0,0
1999-10-14,48.38,50.03,47.08,49.58,1016000,0.0,0
1999-10-15,48.38,48.48,46.58,47.78,1088000,0.0,0
1999-10-18,48.18,48.18,46.33,47.38,732700,0.0,0
1999-10-19,47.58,48.78,47.58,48.28,1082700,0.0,0
1999-10-20,48.38,49.88,48.38,49.38,499800,0.0,0
1999-10-21,49.08,49.53,48.98,49.53,281900,0.12,0
1999-10-22,50.28,52.68,50.23,52.48,1644700,0.0,0
1999-10-25,52.03,52.08,50.68,51.28,665000,0.0,0
1999-10-26,50.88,51.73,49.53,49.53,650200,0.0,0
1999-10-27,49.73,51.88,49.68,51.58,1412500,0.0,0
1999-10-28,51.68,58.09,51.68,57.69,3983400,0.0,0
1999-10-29,57.74,59.09,56.24,56.89,2490500,0.0,0
1999-11-01,56.49,56.89,55.54,55.59,949300,0.0,0
1999-11-02,55.44,57.49,55.39,55.89,543000,0.0,0
1999-11-03,55.94,55.99,54.74,55.09,924000,0.0,0
1999-11-04,55.84,56.69,55.64,56.19,570400,0.0,0
1999-11-05,57.69,59.55,57.09,59.04,1304900,0.0,0
1999-11-08,58.89,58.89,58.09,58.49,651600,0.0,0
1999-11-09,58.89,58.94,57.49,57.59,695600,0.0,0
1999-11-10,56.89,58.29,56.59,57.64,678700,0.0,0
1999-11-11,57.69,58.89,57.34,58.74,574300,0.0,0
1999-11-12,59.24,63.95,59.09,63.9,2227700,0.0,0
1999-11-15,63.1,64.05,61.9,62.5,997100,0.0,0
1999-11-16,62.8,66.51,62.8,66.36,1505100,0.0,0
1999-11-17,65.0,65.2,62.95,63.75,1245400,0.0,0
1999-11-18,63.95,65.0,63.5,64.25,1111500,0.0,0
1999-11-19,64.1,64.8,63.8,64.05,329600,0.0,0
1999-11-22,63.7,64.3,62.9,63.85,329900,0.0,0
1999-11-23,64.05,64.6,62.1,62.3,656300,0.0,0
1999-11-24,62.1,62.3,61.5,61.8,515700,0.0,0
1999-11-26,61.85,62.3,61.4,61.95,107600,0.0,0
1999-11-29,61.9,61.9,59.6,59.7,517900,0.0,0
1999-11-30,59.9,61.8,59.7,60.2,925000,0.0,0
1999-12-01,59.9,61.05,59.9,61.05,500000,0.0,0
1999-12-02,61.1,62.2,61.1,62.1,453600,0.0,0
1999-12-03,62.9,64.65,62.8,63.35,669500,0.0,0
1999-12-06,63.45,63.55,61.35,61.7,295100,0.0,0
1999-12-07,61.9,64.85,61.9,64.85,883100,0.0,0
1999-12-08,65.55,65.55,64.1,64.1,732200,0.0,0
1999-12-09,64.7,65.91,63.9,64.1,1205700,0.0,0
1999-12-10,64.1,66.06,63.75,65.7,1386300,0.0,0
1999-12-13,65.3,66.46,64.95,65.75,938500,0.0,0
1999-12-14,65.25,65.25,62.35,63.1,1105800,0.0,0
1999-12-15,62.3,63.7,62.3,63.65,1073800,0.0,0
1999-12-16,63.45,63.7,62.3,62.95,307900,0.0,0
1999-12-17,63.0,64.55,62.85,64.25,542100,0.0,0
1999-12-20,65.7,67.01,64.7,65.6,1302600,0.0,0
1999-12-21,64.6,66.51,63.7,64.85,1189900,0.0,0
1999-12-22,64.9,65.2,63.4,63.85,526800,0.0,0
1999-12-23,64.9,66.06,64.65,64.9,532000,0.0,0
1999-12-27,64.5,66.41,64.5,65.75,389200,0.0,0
1999-12-28,65.75,68.66,65.75,68.11,821800,0.0,0
1999-12-29,68.51,70.66,68.41,70.51,794800,0.0,0
1999-12-30,72.12,74.42,71.76,73.87,969200,0.0,0
1999-12-31,73.67,75.97,73.32,75.47,383500,0.0,0
2000-01-03,75.47,75.62,70.31,70.76,1822600,0.0,0
2000-01-04,69.71,70.11,65.91,66.31,1647700,0.0,0
2000-01-05,64.8,65.6,62.8,63.2,1516600,0.0,0
2000-01-06,63.0,67.71,63.0,65.91,1845100,0.0,0
2000-01-07,66.56,66.66,64.0,66.16,1127400,0.0,0
2000-01-10,65.5,68.01,65.5,67.61,803100,0.0,0
2000-01-11,68.11,69.11,67.76,67.96,808600,0.0,0
2000-01-12,67.41,68.91,66.81,67.61,916100,0.0,0
