Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,1.95,1.91,1.94,32000,0.0,0.0
1962-01-03,0.0,1.93,1.9,1.9,28000,0.0,0.0
1962-01-04,0.0,1.93,1.88,1.89,29200,0.0,0.0
1962-01-05,0.0,1.93,1.89,1.91,28000,0.0,0.0
1962-01-08,0.0,1.91,1.87,1.88,43200,0.0,0.0
1962-01-09,0.0,1.99,1.84,1.86,46000,0.0,0.0
1962-01-10,0.0,1.89,1.84,1.87,16000,0.0,0.0
1962-01-11,0.0,1.89,1.85,1.87,24800,0.0,0.0
1962-01-12,0.0,1.93,1.87,1.87,32000,0.0,0.0
1962-01-15,0.0,1.87,1.84,1.87,20800,0.0,0.0
1962-01-16,0.0,1.87,1.84,1.87,14800,0.0,0.0
1962-01-17,0.0,1.87,1.83,1.84,22000,0.0,0.0
1962-01-18,0.0,1.82,1.73,1.8,56000,0.0,0.0
1962-01-19,0.0,1.8,1.78,1.79,72800,0.0,0.0
1962-01-22,0.0,1.83,1.78,1.81,27600,0.0,0.0
1962-01-23,0.0,1.86,1.8,1.85,38400,0.0,0.0
1962-01-24,0.0,1.86,1.81,1.86,28000,0.0,0.0
1962-01-25,0.0,1.88,1.83,1.83,35200,0.0,0.0
1962-01-26,0.0,1.84,1.81,1.84,27200,0.0,0.0
1962-01-29,0.0,1.84,1.81,1.83,28000,0.0,0.0
1962-01-30,0.0,1.87,1.81,1.87,35600,0.0,0.0
1962-01-31,0.0,1.89,1.87,1.89,22800,0.0,0.0
1962-02-01,0.0,1.91,1.87,1.89,26000,0.0,0.0
1962-02-02,0.0,1.9,1.87,1.9,19600,0.0,0.0
1962-02-05,0.0,1.9,1.87,1.89,25200,0.0,0.0
1962-02-06,0.0,1.93,1.89,1.93,45600,0.0,0.0
1962-02-07,0.0,1.94,1.91,1.93,23200,0.0,0.0
1962-02-08,0.0,1.94,1.91,1.91,35200,0.0,0.0
1962-02-09,0.0,1.94,1.91,1.92,26400,0.05625,0.0
1962-02-12,0.0,1.93,1.9,1.9,16400,0.0,0.0
1962-02-13,0.0,1.9,1.85,1.85,16800,0.0,0.0
1962-02-14,0.0,1.89,1.85,1.89,20800,0.0,0.0
1962-02-15,0.0,1.9,1.87,1.9,23600,0.0,0.0
1962-02-16,0.0,1.92,1.9,1.91,18400,0.0,0.0
1962-02-19,0.0,1.91,1.88,1.91,22800,0.0,0.0
1962-02-20,0.0,1.91,1.88,1.88,28000,0.0,0.0
1962-02-21,0.0,1.91,1.86,1.86,29200,0.0,0.0
1962-02-23,0.0,1.89,1.87,1.85,19200,0.0,0.0
1962-02-26,0.0,1.9,1.85,1.9,26800,0.0,0.0
1962-02-27,0.0,1.92,1.89,1.91,34800,0.0,0.0
1962-02-28,0.0,1.94,1.9,1.92,31600,0.0,0.0
1962-03-01,0.0,1.94,1.91,1.91,17200,0.0,0.0
1962-03-02,0.0,1.94,1.9,1.9,28400,0.0,0.0
1962-03-05,0.0,1.9,1.88,1.88,4000,0.0,0.0
1962-03-06,0.0,1.9,1.84,1.87,28400,0.0,0.0
1962-03-07,0.0,1.88,1.85,1.87,15200,0.0,0.0
1962-03-08,0.0,1.87,1.86,1.87,23200,0.0,0.0
1962-03-09,0.0,1.87,1.84,1.87,31200,0.0,0.0
1962-03-12,0.0,1.87,1.85,1.87,22000,0.0,0.0
1962-03-13,0.0,1.87,1.84,1.86,20000,0.0,0.0
1962-03-14,0.0,1.9,1.85,1.9,36400,0.0,0.0
1962-03-15,0.0,1.91,1.89,1.91,17200,0.0,0.0
1962-03-16,0.0,1.92,1.9,1.91,15600,0.0,0.0
1962-03-19,0.0,1.93,1.89,1.91,31600,0.0,0.0
1962-03-20,0.0,1.92,1.89,1.89,16400,0.0,0.0
1962-03-21,0.0,1.94,1.89,1.94,29600,0.0,0.0
1962-03-22,0.0,1.94,1.91,1.92,30400,0.0,0.0
1962-03-23,0.0,1.92,1.89,1.91,25200,0.0,0.0
1962-03-26,0.0,1.92,1.89,1.92,17200,0.0,0.0
1962-03-27,0.0,1.92,1.89,1.89,18400,0.0,0.0
1962-03-28,0.0,1.92,1.89,1.92,18400,0.0,0.0
1962-03-29,0.0,1.92,1.91,1.92,20800,0.0,0.0
1962-03-30,0.0,1.94,1.9,1.9,31200,0.0,0.0
1962-04-02,0.0,1.92,1.89,1.9,25600,0.0,0.0
1962-04-03,0.0,1.91,1.88,1.88,18000,0.0,0.0
1962-04-04,0.0,1.91,1.88,1.89,24400,0.0,0.0
1962-04-05,0.0,1.91,1.87,1.9,27600,0.0,0.0
1962-04-06,0.0,1.93,1.91,1.92,20800,0.0,0.0
1962-04-09,0.0,1.92,1.86,1.86,22000,0.0,0.0
1962-04-10,0.0,1.92,1.86,1.92,21200,0.0,0.0
1962-04-11,0.0,1.94,1.91,1.91,32400,0.0,0.0
1962-04-12,0.0,1.92,1.85,1.85,32400,0.0,0.0
1962-04-13,0.0,1.89,1.85,1.85,17200,0.0,0.0
1962-04-16,0.0,1.91,1.86,1.87,28000,0.0,0.0
1962-04-17,0.0,1.9,1.86,1.87,21200,0.0,0.0
1962-04-18,0.0,1.91,1.86,1.9,31600,0.0,0.0
1962-04-19,0.0,1.9,1.87,1.89,22400,0.0,0.0
1962-04-23,0.0,1.91,1.87,1.88,20800,0.0,0.0
1962-04-24,0.0,1.89,1.86,1.87,21600,0.0,0.0
1962-04-25,0.0,1.88,1.82,1.83,32400,0.0,0.0
1962-04-26,0.0,1.83,1.78,1.8,41200,0.0,0.0
1962-04-27,0.0,1.81,1.75,1.79,31200,0.0,0.0
1962-04-30,0.0,1.83,1.75,1.75,35200,0.0,0.0
1962-05-01,0.0,1.8,1.74,1.8,44400,0.0,0.0
1962-05-02,0.0,1.81,1.77,1.78,22800,0.0,0.0
1962-05-03,0.0,1.83,1.79,1.81,22400,0.0,0.0
1962-05-04,0.0,1.83,1.8,1.8,30000,0.0,0.0
1962-05-07,0.0,1.81,1.78,1.79,22800,0.0,0.0
1962-05-08,0.0,1.81,1.74,1.74,21600,0.0,0.0
1962-05-09,0.0,1.77,1.72,1.72,36000,0.0,0.0
1962-05-10,0.0,1.74,1.69,1.69,32400,0.05625,0.0
1962-05-11,0.0,1.74,1.7,1.72,32400,0.0,0.0
1962-05-14,0.0,1.71,1.67,1.69,31200,0.0,0.0
1962-05-15,0.0,1.72,1.67,1.69,35600,0.0,0.0
1962-05-16,0.0,1.71,1.68,1.7,33200,0.0,0.0
1962-05-17,0.0,1.7,1.66,1.67,28000,0.0,0.0
1962-05-18,0.0,1.68,1.66,1.68,17600,0.0,0.0
1962-05-21,0.0,1.67,1.64,1.66,24800,0.0,0.0
1962-05-22,0.0,1.67,1.56,1.56,43200,0.0,0.0
1962-05-23,0.0,1.58,1.54,1.56,68000,0.0,0.0
1962-05-24,0.0,1.6,1.54,1.54,126800,0.0,0.0
1962-05-25,0.0,1.58,1.52,1.52,36800,0.0,0.0
1962-05-28,0.0,1.51,1.39,1.39,78400,0.0,0.0
