Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.38,0.37,0.38,158400.0,0.0,0.0
1972-06-02,0.38,0.38,0.38,0.38,704800.0,0.0,0.0
1972-06-05,0.38,0.38,0.37,0.37,284400.0,0.01044,0.0
1972-06-06,0.37,0.37,0.36,0.37,203600.0,0.0,0.0
1972-06-07,0.37,0.37,0.36,0.36,85600.0,0.0,0.0
1972-06-08,0.36,0.37,0.36,0.36,191200.0,0.0,0.0
1972-06-09,0.36,0.36,0.36,0.36,292000.0,0.0,0.0
1972-06-12,0.36,0.37,0.36,0.36,128400.0,0.0,0.0
1972-06-13,0.36,0.36,0.36,0.36,720000.0,0.0,0.0
1972-06-14,0.36,0.36,0.36,0.36,594000.0,0.0,0.0
1972-06-15,0.36,0.37,0.36,0.36,251600.0,0.0,0.0
1972-06-16,0.36,0.37,0.36,0.37,279200.0,0.0,0.0
1972-06-19,0.37,0.37,0.37,0.37,516000.0,0.0,0.0
1972-06-20,0.37,0.37,0.37,0.37,375200.0,0.0,0.0
1972-06-21,0.37,0.37,0.37,0.37,246400.0,0.0,0.0
1972-06-22,0.37,0.37,0.37,0.37,208800.0,0.0,0.0
1972-06-23,0.37,0.38,0.37,0.38,498400.0,0.0,0.0
1972-06-26,0.38,0.38,0.38,0.38,251600.0,0.0,0.0
1972-06-27,0.38,0.38,0.38,0.38,271600.0,0.0,0.0
1972-06-28,0.38,0.38,0.38,0.38,110800.0,0.0,0.0
1972-06-29,0.38,0.38,0.38,0.38,211200.0,0.0,0.0
1972-06-30,0.38,0.38,0.38,0.38,120800.0,0.0,0.0
1972-07-03,0.38,0.38,0.38,0.38,128400.0,0.0,0.0
1972-07-05,0.38,0.38,0.38,0.38,118000.0,0.0,0.0
1972-07-06,0.38,0.38,0.38,0.38,236400.0,0.0,0.0
1972-07-07,0.38,0.38,0.37,0.37,226400.0,0.0,0.0
1972-07-10,0.37,0.38,0.37,0.38,370000.0,0.0,0.0
1972-07-11,0.38,0.38,0.37,0.37,148400.0,0.0,0.0
1972-07-12,0.37,0.37,0.37,0.37,271600.0,0.0,0.0
1972-07-13,0.37,0.37,0.36,0.37,269200.0,0.0,0.0
1972-07-14,0.37,0.37,0.37,0.37,742800.0,0.0,0.0
1972-07-17,0.37,0.37,0.37,0.37,536400.0,0.0,0.0
1972-07-18,0.37,0.37,0.37,0.37,186000.0,0.0,0.0
1972-07-19,0.37,0.38,0.37,0.37,339600.0,0.0,0.0
1972-07-20,0.37,0.37,0.37,0.37,312000.0,0.0,0.0
1972-07-21,0.37,0.37,0.37,0.37,360000.0,0.0,0.0
1972-07-24,0.37,0.37,0.37,0.37,543600.0,0.0,0.0
1972-07-25,0.37,0.38,0.37,0.38,941600.0,0.0,0.0
1972-07-26,0.38,0.38,0.38,0.38,203600.0,0.0,0.0
1972-07-27,0.38,0.38,0.38,0.38,360000.0,0.0,0.0
1972-07-28,0.38,0.38,0.38,0.38,395200.0,0.0,0.0
1972-07-31,0.38,0.38,0.38,0.38,138400.0,0.0,0.0
1972-08-01,0.38,0.39,0.38,0.39,193600.0,0.0,0.0
1972-08-02,0.39,0.4,0.39,0.4,904000.0,0.0,0.0
1972-08-03,0.4,0.42,0.4,0.41,523600.0,0.0,0.0
1972-08-04,0.42,0.42,0.42,0.42,496000.0,0.0,0.0
1972-08-07,0.42,0.42,0.41,0.41,188800.0,0.0,0.0
1972-08-08,0.41,0.43,0.41,0.43,307200.0,0.0,0.0
1972-08-09,0.43,0.43,0.43,0.43,448000.0,0.0,0.0
1972-08-10,0.43,0.43,0.43,0.43,246400.0,0.0,0.0
1972-08-11,0.43,0.45,0.43,0.44,400400.0,0.0,0.0
1972-08-14,0.44,0.45,0.44,0.45,314400.0,0.0,0.0
1972-08-15,0.45,0.45,0.44,0.44,218800.0,0.0,0.0
1972-08-16,0.44,0.45,0.44,0.44,196400.0,0.0,0.0
1972-08-17,0.44,0.44,0.44,0.44,432800.0,0.0,0.0
1972-08-18,0.44,0.44,0.44,0.44,236400.0,0.0,0.0
1972-08-21,0.44,0.44,0.43,0.43,183600.0,0.0,0.0
1972-08-22,0.43,0.44,0.43,0.44,304400.0,0.0,0.0
1972-08-23,0.44,0.44,0.44,0.44,440400.0,0.0,0.0
1972-08-24,0.44,0.44,0.43,0.43,55200.0,0.0,0.0
1972-08-25,0.42,0.42,0.41,0.41,594000.0,0.0,0.0
1972-08-28,0.41,0.41,0.4,0.41,344800.0,0.0,0.0
1972-08-29,0.41,0.41,0.4,0.4,236400.0,0.0,0.0
1972-08-30,0.41,0.42,0.41,0.41,354800.0,0.0,0.0
1972-08-31,0.41,0.43,0.41,0.43,516000.0,0.0,0.0
1972-09-01,0.43,0.44,0.43,0.43,352400.0,0.01044,0.0
1972-09-05,0.43,0.43,0.42,0.42,307200.0,0.0,0.0
1972-09-06,0.42,0.43,0.42,0.42,601600.0,0.0,0.0
1972-09-07,0.42,0.43,0.42,0.42,344800.0,0.0,0.0
1972-09-08,0.42,0.42,0.42,0.42,375200.0,0.0,0.0
1972-09-11,0.42,0.42,0.42,0.42,282000.0,0.0,0.0
1972-09-12,0.42,0.42,0.41,0.41,707600.0,0.0,0.0
1972-09-13,0.41,0.42,0.41,0.41,382400.0,0.0,0.0
1972-09-14,0.41,0.42,0.41,0.42,425200.0,0.0,0.0
1972-09-15,0.42,0.42,0.41,0.42,422800.0,0.0,0.0
1972-09-18,0.42,0.42,0.41,0.42,140800.0,0.0,0.0
1972-09-19,0.42,0.42,0.41,0.41,317200.0,0.0,0.0
1972-09-20,0.41,0.41,0.41,0.41,367600.0,0.0,0.0
1972-09-21,0.41,0.41,0.41,0.41,511200.0,0.0,0.0
1972-09-22,0.41,0.42,0.41,0.42,334800.0,0.0,0.0
1972-09-25,0.42,0.42,0.42,0.42,367600.0,0.0,0.0
1972-09-26,0.42,0.42,0.42,0.42,244000.0,0.0,0.0
1972-09-27,0.42,0.43,0.42,0.43,647200.0,0.0,0.0
1972-09-28,0.43,0.44,0.43,0.44,856000.0,0.0,0.0
1972-09-29,0.45,0.46,0.45,0.45,632000.0,0.0,0.0
1972-10-02,0.45,0.46,0.44,0.45,1029600.0,0.0,0.0
1972-10-03,0.45,0.46,0.45,0.46,294400.0,0.0,0.0
1972-10-04,0.46,0.47,0.46,0.46,418000.0,0.0,0.0
1972-10-05,0.46,0.46,0.45,0.45,410400.0,0.0,0.0
1972-10-06,0.45,0.45,0.44,0.44,760400.0,0.0,0.0
1972-10-09,0.45,0.45,0.45,0.45,178800.0,0.0,0.0
1972-10-10,0.45,0.46,0.45,0.46,536400.0,0.0,0.0
1972-10-11,0.46,0.46,0.45,0.46,322000.0,0.0,0.0
1972-10-12,0.46,0.46,0.45,0.46,302000.0,0.0,0.0
1972-10-13,0.46,0.46,0.45,0.46,299600.0,0.0,0.0
1972-10-16,0.46,0.46,0.45,0.45,324800.0,0.0,0.0
1972-10-17,0.45,0.46,0.45,0.45,561200.0,0.0,0.0
1972-10-18,0.45,0.47,0.45,0.46,591600.0,0.0,0.0
1972-10-19,0.46,0.47,0.46,0.46,652000.0,0.0,0.0
1972-10-20,0.46,0.47,0.46,0.47,1354800.0,0.0,0.0
1972-10-23,0.48,0.48,0.48,0.48,463200.0,0.0,0.0
1972-10-24,0.48,0.48,0.47,0.48,380000.0,0.0,0.0
1972-10-25,0.48,0.48,0.47,0.47,113200.0,0.0,0.0
1972-10-26,0.47,0.48,0.47,0.47,256800.0,0.0,0.0
1972-10-27,0.47,0.47,0.47,0.47,425200.0,0.0,0.0
1972-10-30,0.47,0.48,0.47,0.47,259200.0,0.0,0.0
1972-10-31,0.48,0.49,0.48,0.49,564000.0,0.0,0.0
1972-11-01,0.49,0.5,0.49,0.5,521200.0,0.0,0.0
1972-11-02,0.5,0.5,0.5,0.5,443200.0,0.0,0.0
1972-11-03,0.5,0.51,0.5,0.51,412800.0,0.0,0.0
1972-11-06,0.51,0.52,0.51,0.52,490800.0,0.0,0.0
