Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.48,0.46,0.46,14800.0,0.0,0.0
1980-03-18,0.0,0.47,0.45,0.45,12900.0,0.0,0.0
1980-03-19,0.0,0.48,0.46,0.46,14800.0,0.0,0.0
1980-03-20,0.46,0.46,0.46,0.46,0.0,0.0,0.0
1980-03-21,0.0,0.48,0.46,0.46,4200.0,0.0,0.0
1980-03-24,0.0,0.48,0.46,0.46,2600.0,0.0,0.0
1980-03-25,0.0,0.47,0.45,0.45,15200.0,0.0,0.0
1980-03-26,0.0,0.47,0.45,0.45,4200.0,0.0,0.0
1980-03-27,0.0,0.46,0.44,0.44,15200.0,0.0,0.0
1980-03-28,0.0,0.46,0.44,0.44,200.0,0.0,0.0
1980-03-31,0.0,0.51,0.49,0.49,60500.0,0.0,0.0
1980-04-01,0.0,0.56,0.54,0.54,125000.0,0.0,0.0
1980-04-02,0.0,0.55,0.53,0.53,31400.0,0.0,0.0
1980-04-03,0.0,0.53,0.52,0.52,39300.0,0.0,0.0
1980-04-07,0.0,0.5,0.48,0.48,66900.0,0.0,0.0
1980-04-08,0.0,0.49,0.47,0.47,200.0,0.0,0.0
1980-04-09,0.0,0.5,0.48,0.48,2600.0,0.0,0.0
1980-04-10,0.0,0.5,0.48,0.48,1700.0,0.0,0.0
1980-04-11,0.0,0.5,0.48,0.48,1700.0,0.0,0.0
1980-04-14,0.0,0.48,0.46,0.46,15200.0,0.0,0.0
1980-04-15,0.0,0.48,0.46,0.46,23400.0,0.0,0.0
1980-04-16,0.46,0.46,0.46,0.46,0.0,0.0,0.0
1980-04-17,0.0,0.47,0.45,0.45,4200.0,0.0,0.0
1980-04-18,0.0,0.47,0.45,0.45,9400.0,0.0,0.0
1980-04-21,0.0,0.47,0.45,0.45,1700.0,0.0,0.0
1980-04-22,0.0,0.47,0.45,0.45,14800.0,0.0,0.0
1980-04-23,0.0,0.47,0.45,0.45,20000.0,0.0,0.0
1980-04-24,0.0,0.46,0.44,0.44,28100.0,0.0,0.0
1980-04-25,0.0,0.46,0.44,0.44,200.0,0.0,0.0
1980-04-28,0.0,0.46,0.44,0.44,14800.0,0.0,0.0
1980-04-29,0.0,0.46,0.44,0.44,59400.0,0.0,0.0
1980-04-30,0.0,0.46,0.44,0.44,4200.0,0.0,0.0
1980-05-01,0.0,0.46,0.44,0.44,22500.0,0.0,0.0
1980-05-02,0.0,0.46,0.44,0.44,6700.0,0.0,0.0
1980-05-05,0.0,0.47,0.45,0.45,122600.0,0.0,0.0
1980-05-06,0.0,0.47,0.45,0.45,14800.0,0.0,0.0
1980-05-07,0.45,0.45,0.45,0.45,0.0,0.0,0.0
1980-05-08,0.0,0.47,0.45,0.45,25600.0,0.0,0.0
1980-05-09,0.0,0.47,0.45,0.45,15200.0,0.0,0.0
1980-05-12,0.0,0.48,0.46,0.46,10600.0,0.0,0.0
1980-05-13,0.0,0.49,0.47,0.47,28100.0,0.0,0.0
1980-05-14,0.0,0.49,0.47,0.47,6700.0,0.0,0.0
1980-05-15,0.0,0.49,0.47,0.47,10600.0,0.0,0.0
1980-05-16,0.0,0.49,0.47,0.47,23400.0,0.0,0.0
1980-05-19,0.0,0.49,0.47,0.47,4200.0,0.0,0.0
1980-05-20,0.0,0.49,0.47,0.47,21000.0,0.0,0.0
1980-05-21,0.0,0.49,0.47,0.47,15200.0,0.0,0.0
1980-05-22,0.0,0.49,0.47,0.47,200.0,0.0,0.0
1980-05-23,0.47,0.47,0.47,0.47,0.0,0.0,0.0
1980-05-27,0.0,0.5,0.48,0.48,26200.0,0.0,0.0
1980-05-28,0.0,0.5,0.48,0.48,51500.0,0.0,0.0
1980-05-29,0.0,0.51,0.49,0.49,21000.0,0.0,0.0
1980-05-30,0.0,0.52,0.5,0.5,25600.0,0.0,0.0
1980-06-02,0.0,0.52,0.5,0.5,9400.0,0.0,0.0
1980-06-03,0.0,0.52,0.5,0.5,47400.0,0.0,0.0
1980-06-04,0.5,0.5,0.5,0.5,0.0,0.0,0.0
1980-06-05,0.0,0.52,0.51,0.51,31400.0,0.0,0.0
1980-06-06,0.0,0.53,0.51,0.51,2600.0,0.0,0.0
1980-06-09,0.0,0.53,0.51,0.51,5000.0,0.0,0.0
1980-06-10,0.0,0.53,0.51,0.51,5000.0,0.0,0.0
1980-06-11,0.0,0.53,0.52,0.52,2600.0,0.0,0.0
