Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-09-06,3.88,4.18,3.83,4.13,30584000,0.0,0.0
2006-09-07,4.13,4.47,4.02,4.33,21539200,0.0,0.0
2006-09-08,4.29,4.45,4.23,4.32,15618000,0.0,0.0
2006-09-11,4.21,4.3,4.21,4.26,20751600,0.0,0.0
2006-09-12,4.25,4.32,4.2,4.29,9154000,0.0,0.0
2006-09-13,4.31,4.54,4.31,4.41,12278800,0.0,0.0
2006-09-14,4.36,4.4,4.24,4.27,5515200,0.0,0.0
2006-09-15,4.25,4.27,4.15,4.16,8064000,0.0,0.0
2006-09-18,4.21,4.26,4.16,4.24,3601600,0.0,0.0
2006-09-19,4.22,4.4,4.16,4.19,3788800,0.0,0.0
2006-09-20,4.18,4.36,4.18,4.35,2536800,0.0,0.0
2006-09-21,4.25,4.31,4.24,4.26,2767600,0.0,0.0
2006-09-22,4.26,4.35,4.24,4.33,1448800,0.0,0.0
2006-09-25,4.29,4.41,4.28,4.36,3204000,0.0,0.0
2006-09-26,4.38,4.4,4.36,4.38,1690000,0.0,0.0
2006-09-27,4.28,4.44,4.27,4.42,4552400,0.0,0.0
2006-09-28,4.37,4.49,4.36,4.39,2999600,0.0,0.0
2006-09-29,4.41,4.43,4.35,4.41,3173200,0.0,0.0
2006-10-02,4.38,4.43,4.36,4.4,2194000,0.0,0.0
2006-10-03,4.42,4.45,4.37,4.41,2680400,0.0,0.0
2006-10-04,4.38,4.52,4.36,4.44,2998800,0.0,0.0
2006-10-05,4.42,4.55,4.42,4.53,4523200,0.0,0.0
2006-10-06,4.51,4.53,4.45,4.49,1599200,0.0,0.0
2006-10-09,4.46,4.53,4.43,4.5,993600,0.0,0.0
2006-10-10,4.41,4.47,4.38,4.44,3932000,0.0,0.0
2006-10-11,4.44,4.45,4.37,4.43,3731200,0.0,0.0
2006-10-12,4.57,4.6,4.48,4.5,6095200,0.0,0.0
2006-10-13,4.52,4.59,4.52,4.57,4036400,0.0,0.0
2006-10-16,4.57,4.57,4.5,4.5,1898400,0.0,0.0
2006-10-17,4.5,4.51,4.46,4.46,2042800,0.0,0.0
2006-10-18,4.48,4.51,4.45,4.5,2838800,0.0,0.0
2006-10-19,4.5,4.52,4.45,4.5,1372800,0.0,0.0
2006-10-20,4.5,4.58,4.5,4.55,722400,0.0,0.0
2006-10-23,4.55,4.64,4.55,4.61,2190800,0.0,0.0
