Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-10-15,2.14,2.19,2.14,2.19,77600,0.0,2.0
1980-10-16,2.19,2.3,2.15,2.16,158400,0.0,0.0
1980-10-17,2.15,2.15,2.1,2.11,33600,0.0,0.0
1980-10-20,2.11,2.11,2.08,2.11,30400,0.0,0.0
1980-10-21,2.11,2.15,2.11,2.13,36000,0.0,0.0
1980-10-22,2.13,2.14,2.1,2.1,28000,0.0,0.0
1980-10-23,2.08,2.08,2.05,2.07,63600,0.0,0.0
1980-10-24,2.07,2.11,2.01,2.11,124800,0.0,0.0
1980-10-27,2.08,2.08,2.0,2.02,63600,0.0,0.0
1980-10-28,2.02,2.05,2.02,2.05,14800,0.0,0.0
1980-10-29,2.05,2.08,2.04,2.05,38800,0.0,0.0
1980-10-30,2.05,2.07,2.0,2.01,11600,0.0,0.0
1980-10-31,2.01,2.01,1.98,2.01,50000,0.0,0.0
1980-11-03,2.01,2.13,2.01,2.13,20000,0.0,0.0
1980-11-05,2.2,2.3,2.2,2.2,183200,0.0,0.0
1980-11-06,2.2,2.2,2.18,2.19,18800,0.0,0.0
1980-11-07,2.16,2.16,2.13,2.15,35600,0.0,0.0
1980-11-10,2.16,2.17,2.16,2.16,26400,0.0,0.0
1980-11-11,2.16,2.16,2.13,2.16,41600,0.0,0.0
1980-11-12,2.18,2.21,2.18,2.2,173600,0.0,0.0
1980-11-13,2.23,2.23,2.23,2.23,230800,0.0,0.0
1980-11-14,2.23,2.25,2.2,2.25,96400,0.0,0.0
1980-11-17,2.24,2.24,2.19,2.24,72400,0.0,0.0
1980-11-18,2.24,2.29,2.23,2.26,49200,0.0,0.0
1980-11-19,2.28,2.32,2.28,2.3,119600,0.0,0.0
1980-11-20,2.3,2.43,2.3,2.39,114000,0.0,0.0
1980-11-21,2.45,2.51,2.45,2.51,89200,0.0,0.0
1980-11-24,2.46,2.46,2.38,2.45,66800,0.0,0.0
1980-11-25,2.48,2.57,2.48,2.56,191600,0.0,0.0
1980-11-26,2.56,2.57,2.51,2.53,78000,0.0,0.0
1980-11-28,2.53,2.54,2.51,2.54,58800,0.0,0.0
1980-12-01,2.54,2.55,2.49,2.49,54400,0.0,0.0
1980-12-02,2.45,2.45,2.23,2.29,103200,0.0,0.0
1980-12-03,2.35,2.42,2.35,2.42,253600,0.0,0.0
1980-12-04,2.42,2.43,2.38,2.39,52000,0.0,0.0
1980-12-05,2.35,2.35,2.27,2.34,70800,0.0,0.0
1980-12-08,2.33,2.33,2.16,2.17,112400,0.0,0.0
1980-12-09,2.17,2.21,2.16,2.21,130000,0.0,0.0
1980-12-10,2.2,2.2,2.11,2.16,43600,0.0,0.0
1980-12-11,2.16,2.23,2.12,2.23,302400,0.0,0.0
1980-12-12,2.23,2.3,2.23,2.3,84000,0.0,0.0
1980-12-15,2.32,2.35,2.32,2.35,135600,0.0,0.0
1980-12-16,2.35,2.35,2.32,2.33,36800,0.0,0.0
1980-12-17,2.35,2.48,2.35,2.45,98000,0.0,0.0
1980-12-18,2.47,2.59,2.47,2.49,82800,0.0,0.0
1980-12-19,2.49,2.51,2.47,2.51,22800,0.0,0.0
1980-12-22,2.51,2.53,2.47,2.49,37200,0.0,0.0
1980-12-23,2.49,2.49,2.45,2.45,39600,0.0,0.0
1980-12-24,2.45,2.55,2.45,2.55,55600,0.0,0.0
1980-12-26,2.53,2.53,2.52,2.53,5200,0.0,0.0
1980-12-29,2.59,2.65,2.59,2.59,75200,0.0,0.0
1980-12-30,2.59,2.59,2.51,2.51,105600,0.0,0.0
1980-12-31,2.51,2.51,2.49,2.49,103200,0.0,0.0
1981-01-02,2.49,2.58,2.49,2.55,118000,0.0,0.0
1981-01-05,2.55,2.56,2.51,2.52,70000,0.0,0.0
1981-01-06,2.51,2.51,2.41,2.41,75600,0.0,0.0
1981-01-07,2.36,2.36,2.33,2.35,280000,0.0,0.0
1981-01-08,2.35,2.41,2.27,2.27,184400,0.0,0.0
1981-01-09,2.27,2.3,2.25,2.27,256000,0.0,0.0
1981-01-12,2.27,2.27,2.18,2.19,66400,0.0,0.0
1981-01-13,2.19,2.19,2.1,2.19,111200,0.0,0.0
1981-01-14,2.19,2.23,2.19,2.23,153200,0.0,0.0
1981-01-15,2.23,2.27,2.23,2.27,24400,0.0,0.0
1981-01-16,2.27,2.3,2.26,2.29,58000,0.0,0.0
1981-01-19,2.29,2.3,2.29,2.3,34800,0.0,0.0
1981-01-20,2.3,2.3,2.27,2.29,168800,0.0,0.0
1981-01-21,2.25,2.25,2.22,2.22,100800,0.0,0.0
1981-01-22,2.22,2.25,2.21,2.23,24800,0.0,0.0
1981-01-23,2.21,2.21,2.13,2.16,52000,0.0,0.0
1981-01-26,2.16,2.17,2.12,2.12,25200,0.0,0.0
1981-01-27,2.13,2.2,2.13,2.14,39200,0.0,0.0
1981-01-28,2.16,2.18,2.16,2.16,94400,0.0,0.0
1981-01-29,2.16,2.17,2.13,2.16,20400,0.0,0.0
1981-01-30,2.16,2.19,2.14,2.14,215200,0.0,0.0
1981-02-02,2.1,2.1,1.92,1.95,120400,0.0,0.0
1981-02-03,1.98,2.04,1.98,2.02,168000,0.0,0.0
1981-02-04,2.02,2.1,2.02,2.09,333600,0.0,0.0
1981-02-05,2.13,2.17,2.13,2.17,108800,0.0,0.0
1981-02-06,2.16,2.16,2.13,2.13,87600,0.0,0.0
1981-02-09,2.13,2.13,2.02,2.02,76800,0.0,0.0
1981-02-10,2.02,2.08,2.02,2.08,38000,0.0,0.0
1981-02-11,2.08,2.08,2.02,2.02,219200,0.0,0.0
1981-02-12,2.02,2.06,2.02,2.03,140800,0.0,0.0
1981-02-13,2.03,2.06,2.01,2.06,92400,0.0,0.0
1981-02-17,2.06,2.25,2.04,2.2,348800,0.0,0.0
1981-02-18,2.2,2.26,2.19,2.25,406800,0.0,0.0
1981-02-19,2.25,2.25,2.17,2.17,106000,0.0,0.0
1981-02-20,2.16,2.16,2.05,2.06,95200,0.0,0.0
1981-02-23,2.06,2.09,2.05,2.09,209200,0.0,0.0
1981-02-24,2.08,2.08,1.99,2.01,148800,0.0,0.0
1981-02-25,2.01,2.02,1.97,2.02,196400,0.0,0.0
1981-02-26,2.07,2.15,2.07,2.15,118800,0.0,0.0
1981-02-27,2.18,2.21,2.18,2.2,125200,0.0,0.0
1981-03-02,2.2,2.29,2.2,2.29,104400,0.0,0.0
1981-03-03,2.29,2.31,2.26,2.26,107600,0.0,0.0
1981-03-04,2.26,2.26,2.23,2.23,135200,0.0,0.0
1981-03-05,2.23,2.23,2.18,2.18,100800,0.0,0.0
1981-03-06,2.18,2.19,2.16,2.17,56400,0.0,0.0
1981-03-09,2.17,2.25,2.17,2.25,28800,0.0,0.0
1981-03-10,2.25,2.27,2.23,2.23,72800,0.0,0.0
1981-03-11,2.23,2.3,2.2,2.21,124400,0.0,0.0
1981-03-12,2.17,2.17,2.13,2.15,63600,0.0,0.0
1981-03-13,2.14,2.14,2.07,2.07,30800,0.0,0.0
1981-03-16,2.07,2.09,2.04,2.09,75600,0.0,0.0
1981-03-17,2.09,2.16,2.09,2.15,44400,0.0,0.0
1981-03-18,2.15,2.23,2.15,2.16,80800,0.0,0.0
1981-03-19,2.18,2.23,2.18,2.2,112000,0.0,0.0
1981-03-20,2.2,2.2,2.17,2.17,35200,0.0,0.0
1981-03-23,2.17,2.26,2.17,2.26,36800,0.0,0.0
1981-03-24,2.26,2.27,2.24,2.25,250400,0.0,0.0
1981-03-25,2.25,2.31,2.25,2.31,88000,0.0,0.0
1981-03-26,2.3,2.3,2.26,2.29,37200,0.0,0.0
1981-03-27,2.29,2.29,2.25,2.25,52000,0.0,0.0
1981-03-30,2.23,2.23,2.2,2.21,66400,0.0,0.0
1981-03-31,2.21,2.31,2.2,2.3,157600,0.0,0.0
1981-04-01,2.3,2.33,2.29,2.31,52800,0.0,0.0
1981-04-02,2.32,2.35,2.32,2.35,108000,0.0,0.0
1981-04-03,2.35,2.39,2.35,2.39,67200,0.0,0.0
1981-04-06,2.39,2.41,2.36,2.38,92400,0.0,0.0
1981-04-07,2.38,2.41,2.37,2.41,93200,0.0,0.0
1981-04-08,2.39,2.39,2.37,2.37,69600,0.0,0.0
1981-04-09,2.37,2.39,2.35,2.39,166400,0.0,0.0
1981-04-10,2.41,2.47,2.41,2.47,288400,0.0,0.0
1981-04-13,2.46,2.46,2.39,2.39,170000,0.0,0.0
1981-04-14,2.33,2.33,2.2,2.2,230000,0.0,0.0
1981-04-15,2.2,2.29,2.2,2.28,200800,0.0,0.0
1981-04-16,2.33,2.39,2.33,2.37,218800,0.0,0.0
1981-04-20,2.37,2.42,2.37,2.42,365600,0.0,0.0
1981-04-21,2.42,2.45,2.35,2.35,114800,0.0,0.0
1981-04-22,2.35,2.35,2.13,2.18,345600,0.0,0.0
1981-04-23,2.17,2.17,2.13,2.17,121200,0.0,0.0
