Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-10-19,9.64,9.64,8.58,8.62,2721200,0.0,0.0
2015-10-20,8.46,8.82,8.46,8.79,1220800,0.0,0.0
2015-10-21,8.99,9.04,8.54,8.58,135200,0.0,0.0
2015-10-22,8.7,8.88,8.46,8.83,189200,0.0,0.0
2015-10-23,8.99,8.99,8.78,8.86,102900,0.0,0.0
2015-10-26,8.91,8.91,8.5,8.55,885600,0.0,0.0
2015-10-27,8.63,8.73,8.13,8.19,1094200,0.0,0.0
2015-10-28,8.28,8.52,8.25,8.48,509700,0.0,0.0
2015-10-29,8.34,8.48,8.1,8.31,499600,0.0,0.0
2015-10-30,8.28,8.39,7.67,7.67,4214100,0.0,0.0
2015-11-02,7.81,7.9,7.22,7.55,70312600,0.0,0.0
2015-11-03,7.33,7.66,7.12,7.48,69176300,0.0,0.0
2015-11-04,7.5,7.56,7.09,7.12,54241800,0.0,0.0
2015-11-05,7.11,7.24,6.83,6.92,38179900,0.0,0.0
2015-11-06,6.87,7.54,6.85,7.5,51702600,0.0,0.0
2015-11-09,7.43,7.54,7.36,7.4,30158000,0.0,0.0
2015-11-10,7.36,7.52,7.3,7.51,25426000,0.0,0.0
2015-11-11,7.4,7.45,7.34,7.35,18942200,0.0,0.0
2015-11-12,7.19,7.2,7.08,7.14,35050600,0.0,0.0
2015-11-13,7.09,7.17,6.85,6.97,25678400,0.0,0.0
2015-11-16,6.96,7.09,6.84,6.97,23712100,0.0,0.0
2015-11-17,6.97,7.03,6.83,6.89,21370500,0.0,0.0
2015-11-18,7.02,7.15,6.87,7.11,22402400,0.0,0.0
2015-11-19,7.05,7.24,7.04,7.18,22662200,0.0,0.0
2015-11-20,7.18,7.62,7.13,7.4,31932300,0.0,0.0
2015-11-23,7.38,7.4,7.07,7.21,26354200,0.0,0.0
2015-11-24,7.07,7.31,7.03,7.13,41484100,0.0,0.0
2015-11-25,7.25,7.74,7.21,7.36,39017100,0.0,0.0
2015-11-27,7.36,7.63,7.32,7.47,10395000,0.0,0.0
2015-11-30,7.41,7.81,7.39,7.74,50075500,0.0,0.0
2015-12-01,7.75,8.27,7.74,8.13,43197200,0.0,0.0
2015-12-02,8.01,8.09,7.75,7.79,21818500,0.0,0.0
2015-12-03,7.81,7.99,7.59,7.62,32527300,0.0,0.0
2015-12-04,7.5,7.97,7.42,7.93,20648400,0.0,0.0
2015-12-07,7.86,8.11,7.82,8.1,16424400,0.055,0.0
2015-12-08,7.91,8.01,7.66,7.95,19988600,0.0,0.0
2015-12-09,7.86,8.07,7.69,7.78,24538300,0.0,0.0
2015-12-10,7.75,7.76,7.62,7.72,19528600,0.0,0.0
2015-12-11,7.86,8.07,7.41,7.43,18265700,0.0,0.0
2015-12-14,7.5,7.6,7.3,7.57,19834700,0.0,0.0
2015-12-15,7.61,7.85,7.59,7.63,22175600,0.0,0.0
2015-12-16,7.66,7.76,7.63,7.71,13490800,0.0,0.0
2015-12-17,7.66,7.72,7.45,7.5,13118600,0.0,0.0
2015-12-18,7.48,7.54,7.34,7.42,33271400,0.0,0.0
2015-12-21,7.4,7.55,7.27,7.35,16970300,0.0,0.0
2015-12-22,7.36,7.41,7.3,7.37,12547100,0.0,0.0
2015-12-23,7.44,7.85,7.36,7.82,19359600,0.0,0.0
2015-12-24,7.76,7.95,7.75,7.87,3748100,0.0,0.0
2015-12-28,7.8,8.01,7.77,7.98,10203800,0.0,0.0
2015-12-29,8.01,8.09,7.96,7.97,10797800,0.0,0.0
2015-12-30,8.01,8.11,7.94,8.01,10796700,0.0,0.0
2015-12-31,7.98,8.02,7.91,7.97,11644800,0.0,0.0
2016-01-04,7.85,7.94,7.73,7.93,25940400,0.0,0.0
2016-01-05,7.93,7.99,7.83,7.88,17770100,0.0,0.0
2016-01-06,7.66,7.86,7.61,7.76,19468100,0.0,0.0
2016-01-07,7.6,7.63,7.15,7.19,34143900,0.0,0.0
2016-01-08,7.22,7.35,6.98,7.1,28272000,0.0,0.0
