Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.01,0.01,0.01,0.01,2480300,0.0,0.0
1962-01-03,0.01,0.01,0.01,0.01,507300,0.0,0.0
1962-01-04,0.01,0.01,0.01,0.01,845500,0.0,0.0
1962-01-05,0.01,0.01,0.01,0.01,338200,0.0,0.0
1962-01-08,0.01,0.01,0.01,0.01,873700,0.0,0.0
1962-01-09,0.01,0.01,0.01,0.01,930100,0.0,0.0
1962-01-10,0.01,0.01,0.01,0.01,450900,0.0,0.0
1962-01-11,0.01,0.01,0.01,0.01,422700,0.0,0.0
1962-01-12,0.01,0.01,0.01,0.01,535500,0.0,0.0
1962-01-15,0.01,0.01,0.01,0.01,310000,0.0,0.0
1962-01-16,0.01,0.01,0.01,0.01,197200,0.0,0.0
1962-01-17,0.01,0.01,0.01,0.01,422700,0.0,0.0
1962-01-18,0.01,0.01,0.01,0.01,479100,0.0,0.0
1962-01-19,0.01,0.01,0.01,0.01,1409200,0.0,0.0
1962-01-22,0.01,0.01,0.01,0.01,563700,0.0,0.0
1962-01-23,0.01,0.01,0.01,0.01,817300,0.0,0.0
1962-01-24,0.01,0.01,0.01,0.01,338200,0.0,0.0
1962-01-25,0.01,0.01,0.01,0.01,817300,0.0,0.0
1962-01-26,0.01,0.01,0.01,0.01,1381000,0.0,0.0
1962-01-29,0.01,0.01,0.01,0.01,197200,0.0,0.0
1962-01-30,0.01,0.01,0.01,0.01,197200,0.0,0.0
1962-01-31,0.01,0.01,0.01,0.01,563700,0.0,0.0
1962-02-01,0.01,0.01,0.01,0.01,535500,0.0,0.0
1962-02-02,0.01,0.01,0.01,0.01,140900,0.0,0.0
1962-02-05,0.01,0.01,0.01,0.01,676400,0.0,0.0
1962-02-06,0.01,0.01,0.01,0.01,563700,0.0,0.0
1962-02-07,0.01,0.01,0.01,0.01,535500,0.0,0.0
1962-02-08,0.01,0.01,0.01,0.01,732800,0.0,0.0
1962-02-09,0.01,0.01,0.01,0.01,366400,0.0,0.0
1962-02-12,0.01,0.01,0.01,0.01,310000,0.0,0.0
1962-02-13,0.01,0.01,0.01,0.01,197200,0.0,0.0
1962-02-14,0.01,0.01,0.01,0.01,394500,0.0,0.0
1962-02-15,0.01,0.01,0.01,0.01,817300,0.0,0.0
1962-02-16,0.01,0.01,0.01,0.01,620000,0.0,0.0
1962-02-19,0.01,0.01,0.01,0.01,591800,0.0,0.0
1962-02-20,0.01,0.01,0.01,0.01,873700,0.0,0.0
1962-02-21,0.01,0.01,0.01,0.01,56300,0.0,0.0
1962-02-23,0.01,0.01,0.01,0.01,704600,0.0,0.0
1962-02-26,0.01,0.01,0.01,0.01,845500,0.0,0.0
1962-02-27,0.01,0.01,0.01,0.01,676400,0.0,0.0
1962-02-28,0.01,0.01,0.01,0.01,450900,0.0,0.0
1962-03-01,0.01,0.01,0.01,0.01,225400,0.0,0.0
1962-03-02,0.01,0.01,0.01,0.01,845500,0.0,0.0
1962-03-05,0.01,0.01,0.01,0.01,1155600,0.0,0.0
1962-03-06,0.01,0.01,0.01,0.01,648200,0.0,0.0
1962-03-07,0.01,0.01,0.01,0.01,1014600,0.0,0.0
1962-03-08,0.01,0.01,0.01,0.01,479100,0.0,0.0
1962-03-09,0.01,0.01,0.01,0.01,648200,0.0,0.0
1962-03-12,0.01,0.01,0.01,0.01,366400,0.0,0.0
1962-03-13,0.01,0.01,0.01,0.01,450900,0.0,0.0
1962-03-14,0.01,0.01,0.01,0.01,535500,0.0,0.0
1962-03-15,0.01,0.01,0.01,0.01,930100,0.0,0.0
1962-03-16,0.01,0.01,0.01,0.01,648200,0.0,0.0
1962-03-19,0.01,0.01,0.01,0.01,479100,0.0,0.0
1962-03-20,0.01,0.01,0.01,0.01,338200,0.0,0.0
1962-03-21,0.01,0.01,0.01,0.01,1296500,0.0,0.0
1962-03-22,0.01,0.01,0.01,0.01,732800,0.0,0.0
1962-03-23,0.01,0.01,0.01,0.01,2593000,0.0,0.0
1962-03-26,0.01,0.01,0.01,0.01,450900,0.0,0.0
1962-03-27,0.01,0.01,0.01,0.01,761000,0.0,0.0
1962-03-28,0.01,0.01,0.01,0.01,648200,0.0,0.0
1962-03-29,0.01,0.01,0.01,0.01,563700,0.0,0.0
1962-03-30,0.01,0.01,0.01,0.01,1042800,0.0,0.0
1962-04-02,0.01,0.01,0.01,0.01,817300,0.0,0.0
1962-04-03,0.01,0.01,0.01,0.01,1127400,0.0,0.0
1962-04-04,0.01,0.01,0.01,0.01,789100,0.0,0.0
1962-04-05,0.01,0.01,0.01,0.01,901900,0.0,0.0
1962-04-06,0.01,0.01,0.01,0.01,2987600,0.0,0.0
1962-04-09,0.01,0.01,0.01,0.01,1155600,0.0,0.0
1962-04-10,0.01,0.01,0.01,0.01,1719300,0.0,0.0
1962-04-11,0.01,0.01,0.01,0.01,986400,0.0,0.0
1962-04-12,0.01,0.01,0.01,0.01,422700,0.0,0.0
1962-04-13,0.01,0.01,0.01,0.01,2254800,0.0,0.0
1962-04-16,0.01,0.01,0.01,0.01,1634700,0.0,0.0
1962-04-17,0.01,0.01,0.01,0.01,620000,0.0,0.0
1962-04-18,0.01,0.01,0.01,0.01,1522000,0.0,0.0
1962-04-19,0.01,0.01,0.01,0.01,1437400,0.0,0.0
1962-04-23,0.01,0.01,0.01,0.01,845500,0.0,0.0
1962-04-24,0.01,0.01,0.01,0.01,620000,0.0,0.0
1962-04-25,0.01,0.01,0.01,0.01,789100,0.0,0.0
1962-04-26,0.01,0.01,0.01,0.01,873700,0.0,0.0
1962-04-27,0.01,0.01,0.01,0.01,1662900,0.0,0.0
1962-04-30,0.01,0.01,0.01,0.01,1099200,0.0,0.0
1962-05-01,0.01,0.01,0.01,0.01,986400,0.0,0.0
1962-05-02,0.01,0.01,0.01,0.01,873700,0.0,0.0
1962-05-03,0.01,0.01,0.01,0.01,873700,0.0,0.0
1962-05-04,0.01,0.01,0.01,0.01,1071000,0.0,0.0
1962-05-07,0.01,0.01,0.01,0.01,450900,0.0,0.0
1962-05-08,0.01,0.01,0.01,0.01,535500,0.0,0.0
1962-05-09,0.01,0.01,0.01,0.01,873700,0.0,0.0
1962-05-10,0.01,0.01,0.0,0.0,1099200,0.0,0.0
1962-05-11,0.0,0.01,0.0,0.0,1522000,0.0,0.0
1962-05-14,0.0,0.01,0.0,0.01,1747500,0.0,0.0
1962-05-15,0.01,0.01,0.01,0.01,1014600,0.0,0.0
1962-05-16,0.01,0.01,0.01,0.01,873700,0.0,0.0
1962-05-17,0.01,0.01,0.01,0.01,394500,0.0,0.0
1962-05-18,0.01,0.01,0.01,0.01,394500,0.0,0.0
1962-05-21,0.01,0.01,0.01,0.01,563700,0.0,0.0
1962-05-22,0.01,0.01,0.01,0.01,2029300,0.0,0.0
1962-05-23,0.01,0.01,0.0,0.01,1944800,0.0,0.0
1962-05-24,0.01,0.01,0.0,0.0,2536700,0.0,0.0
1962-05-25,0.0,0.0,0.0,0.0,1944800,0.0,0.0
1962-05-28,0.0,0.0,0.0,0.0,2395700,0.0,0.0
1962-05-29,0.0,0.0,0.0,0.0,6510800,0.0,0.0
1962-05-31,0.0,0.0,0.0,0.0,2508500,0.0,0.0
1962-06-01,0.0,0.0,0.0,0.0,1888400,0.0,0.0
1962-06-04,0.0,0.0,0.0,0.0,1916600,0.0,0.0
1962-06-05,0.0,0.0,0.0,0.0,4876100,0.0,0.0
1962-06-06,0.0,0.0,0.0,0.0,3100400,0.0,0.0
1962-06-07,0.0,0.0,0.0,0.0,1381000,0.0,0.0
1962-06-08,0.0,0.0,0.0,0.0,817300,0.0,0.0
1962-06-11,0.0,0.0,0.0,0.0,620000,0.0,0.0
1962-06-12,0.0,0.0,0.0,0.0,1719300,0.0,0.0
1962-06-13,0.0,0.0,0.0,0.0,3635900,0.0,0.0
1962-06-14,0.0,0.0,0.0,0.0,4312300,0.0,0.0
1962-06-15,0.0,0.0,0.0,0.0,3945900,0.0,0.0
1962-06-18,0.0,0.0,0.0,0.0,1747500,0.0,0.0
1962-06-19,0.0,0.0,0.0,0.0,1493800,0.0,0.0
1962-06-20,0.0,0.0,0.0,0.0,479100,0.0,0.0
1962-06-21,0.0,0.0,0.0,0.0,873700,0.0,0.0
1962-06-22,0.0,0.0,0.0,0.0,2931300,0.0,0.0
1962-06-25,0.0,0.0,0.0,0.0,1578300,0.0,0.0
1962-06-26,0.0,0.0,0.0,0.0,1972900,0.0,0.0
1962-06-27,0.0,0.0,0.0,0.0,1719300,0.0,0.0
1962-06-28,0.0,0.0,0.0,0.0,3072200,0.0,0.0
1962-06-29,0.0,0.0,0.0,0.0,2790300,0.0,0.0
1962-07-02,0.0,0.0,0.0,0.0,1127400,0.0,0.0
1962-07-03,0.0,0.0,0.0,0.0,4058700,0.0,0.0
1962-07-05,0.0,0.0,0.0,0.0,1662900,0.0,0.0
1962-07-06,0.0,0.0,0.0,0.0,1268300,0.0,0.0
1962-07-09,0.0,0.0,0.0,0.0,958300,0.0,0.0
1962-07-10,0.0,0.0,0.0,0.0,2395700,0.0,0.0
1962-07-11,0.0,0.0,0.0,0.0,1127400,0.0,0.0
1962-07-12,0.0,0.0,0.0,0.0,2395700,0.0,0.0
1962-07-13,0.0,0.0,0.0,0.0,1437400,0.0,0.0
1962-07-16,0.0,0.0,0.0,0.0,1634700,0.0,0.0
1962-07-17,0.0,0.0,0.0,0.0,1155600,0.0,0.0
1962-07-18,0.0,0.0,0.0,0.0,3156700,0.0,0.0
1962-07-19,0.0,0.0,0.0,0.0,930100,0.0,0.0
1962-07-20,0.0,0.0,0.0,0.0,648200,0.0,0.0
1962-07-23,0.0,0.0,0.0,0.0,281800,0.0,0.0
1962-07-24,0.0,0.0,0.0,0.0,704600,0.0,0.0
1962-07-25,0.0,0.0,0.0,0.0,958300,0.0,0.0
1962-07-26,0.0,0.0,0.0,0.0,338200,0.0,0.0
1962-07-27,0.0,0.0,0.0,0.0,676400,0.0,0.0
1962-07-30,0.0,0.0,0.0,0.0,620000,0.0,0.0
1962-07-31,0.0,0.0,0.0,0.0,2057500,0.0,0.0
1962-08-01,0.0,0.0,0.0,0.0,281800,0.0,0.0
1962-08-02,0.0,0.0,0.0,0.0,422700,0.0,0.0
1962-08-03,0.0,0.0,0.0,0.0,817300,0.0,0.0
1962-08-06,0.0,0.0,0.0,0.0,479100,0.0,0.0
1962-08-07,0.0,0.0,0.0,0.0,930100,0.0,0.0
1962-08-08,0.0,0.0,0.0,0.0,873700,0.0,0.0
1962-08-09,0.0,0.0,0.0,0.0,507300,0.0,0.0
1962-08-10,0.0,0.0,0.0,0.0,535500,0.0,0.0
1962-08-13,0.0,0.0,0.0,0.0,958300,0.0,0.0
1962-08-14,0.0,0.0,0.0,0.0,535500,0.0,0.0
1962-08-15,0.0,0.0,0.0,0.0,2649400,0.0,0.0
1962-08-16,0.0,0.0,0.0,0.0,535500,0.0,0.0
1962-08-17,0.0,0.0,0.0,0.0,591800,0.0,0.0
1962-08-20,0.0,0.0,0.0,0.0,1493800,0.0,0.0
1962-08-21,0.0,0.0,0.0,0.0,1155600,0.0,0.0
1962-08-22,0.0,0.0,0.0,0.0,1155600,0.0,0.0
1962-08-23,0.0,0.0,0.0,0.0,1155600,0.0,0.0
1962-08-24,0.0,0.0,0.0,0.0,338200,0.0,0.0
1962-08-27,0.0,0.0,0.0,0.0,930100,0.0,0.0
1962-08-28,0.0,0.0,0.0,0.0,1211900,0.0,0.0
1962-08-29,0.0,0.0,0.0,0.0,1578300,0.0,0.0
1962-08-30,0.0,0.0,0.0,0.0,366400,0.0,0.0
1962-08-31,0.0,0.0,0.0,0.0,281800,0.0,0.0
1962-09-04,0.0,0.0,0.0,0.0,112700,0.0,0.0
1962-09-05,0.0,0.0,0.0,0.0,479100,0.0,0.0
1962-09-06,0.0,0.0,0.0,0.0,648200,0.0,0.0
1962-09-07,0.0,0.0,0.0,0.0,563700,0.0,0.0
1962-09-10,0.0,0.0,0.0,0.0,845500,0.0,0.0
1962-09-11,0.0,0.0,0.0,0.0,648200,0.0,0.0
1962-09-12,0.0,0.0,0.0,0.0,507300,0.0,0.0
1962-09-13,0.0,0.0,0.0,0.0,789100,0.0,0.0
1962-09-14,0.0,0.0,0.0,0.0,450900,0.0,0.0
1962-09-17,0.0,0.0,0.0,0.0,930100,0.0,0.0
1962-09-18,0.0,0.0,0.0,0.0,1465600,0.0,0.0
1962-09-19,0.0,0.0,0.0,0.0,591800,0.0,0.0
1962-09-20,0.0,0.0,0.0,0.0,563700,0.0,0.0
1962-09-21,0.0,0.0,0.0,0.0,1240100,0.0,0.0
1962-09-24,0.0,0.0,0.0,0.0,873700,0.0,0.0
1962-09-25,0.0,0.0,0.0,0.0,676400,0.0,0.0
1962-09-26,0.0,0.0,0.0,0.0,732800,0.0,0.0
1962-09-27,0.0,0.0,0.0,0.0,620000,0.0,0.0
1962-09-28,0.0,0.0,0.0,0.0,112700,0.0,0.0
1962-10-01,0.0,0.0,0.0,0.0,1578300,0.0,0.0
1962-10-02,0.0,0.0,0.0,0.0,789100,0.0,0.0
1962-10-03,0.0,0.0,0.0,0.0,901900,0.0,0.0
1962-10-04,0.0,0.0,0.0,0.0,789100,0.0,0.0
1962-10-05,0.0,0.0,0.0,0.0,591800,0.0,0.0
1962-10-08,0.0,0.0,0.0,0.0,422700,0.0,0.0
1962-10-09,0.0,0.0,0.0,0.0,1493800,0.0,0.0
1962-10-10,0.0,0.0,0.0,0.0,873700,0.0,0.0
1962-10-11,0.0,0.0,0.0,0.0,422700,0.0,0.0
1962-10-12,0.0,0.0,0.0,0.0,225400,0.0,0.0
1962-10-15,0.0,0.0,0.0,0.0,648200,0.0,0.0
1962-10-16,0.0,0.0,0.0,0.0,507300,0.0,0.0
1962-10-17,0.0,0.0,0.0,0.0,732800,0.0,0.0
1962-10-18,0.0,0.0,0.0,0.0,535500,0.0,0.0
1962-10-19,0.0,0.0,0.0,0.0,1437400,0.0,0.0
1962-10-22,0.0,0.0,0.0,0.0,1606500,0.0,0.0
1962-10-23,0.0,0.0,0.0,0.0,2536700,0.0,0.0
1962-10-24,0.0,0.0,0.0,0.0,2480300,0.0,0.0
1962-10-25,0.0,0.0,0.0,0.0,986400,0.0,0.0
1962-10-26,0.0,0.0,0.0,0.0,450900,0.0,0.0
1962-10-29,0.0,0.0,0.0,0.0,1211900,0.0,0.0
1962-10-30,0.0,0.0,0.0,0.0,1296500,0.0,0.0
1962-10-31,0.0,0.0,0.0,0.0,1324700,0.0,0.0
1962-11-01,0.0,0.0,0.0,0.0,986400,0.0,0.0
1962-11-02,0.0,0.0,0.0,0.0,1437400,0.0,0.0
1962-11-05,0.0,0.0,0.0,0.0,958300,0.0,0.0
1962-11-07,0.0,0.0,0.0,0.0,1127400,0.0,0.0
1962-11-08,0.0,0.0,0.0,0.0,281800,0.0,0.0
1962-11-09,0.0,0.0,0.0,0.0,2170200,0.0,0.0
1962-11-12,0.0,0.0,0.0,0.0,817300,0.0,0.0
1962-11-13,0.0,0.0,0.0,0.0,535500,0.0,0.0
1962-11-14,0.0,0.0,0.0,0.0,1522000,0.0,0.0
1962-11-15,0.0,0.0,0.0,0.0,2395700,0.0,0.0
1962-11-16,0.0,0.0,0.0,0.0,1352900,0.0,0.0
1962-11-19,0.0,0.0,0.0,0.0,704600,0.0,0.0
1962-11-20,0.0,0.0,0.0,0.0,1211900,0.0,0.0
1962-11-21,0.0,0.0,0.0,0.0,3748600,0.0,0.0
1962-11-23,0.0,0.01,0.0,0.0,2536700,0.0,0.0
1962-11-26,0.0,0.0,0.0,0.0,3044000,0.0,0.0
1962-11-27,0.0,0.0,0.0,0.0,1493800,0.0,0.0
1962-11-28,0.0,0.01,0.0,0.0,1409200,0.0,0.0
1962-11-29,0.0,0.01,0.0,0.0,591800,0.0,0.0
1962-11-30,0.0,0.0,0.0,0.0,1127400,0.0,0.0
1962-12-03,0.0,0.01,0.0,0.0,1691100,0.0,0.0
1962-12-04,0.0,0.01,0.0,0.01,4566000,0.0,0.0
1962-12-05,0.01,0.01,0.01,0.01,2649400,0.0,0.0
1962-12-06,0.01,0.01,0.01,0.01,1042800,0.0,0.0
1962-12-07,0.01,0.01,0.0,0.01,479100,0.0,0.0
1962-12-10,0.01,0.01,0.0,0.0,1465600,0.0,0.0
1962-12-11,0.0,0.0,0.0,0.0,789100,0.0,0.0
1962-12-12,0.0,0.0,0.0,0.0,535500,0.0,0.0
1962-12-13,0.0,0.0,0.0,0.0,648200,0.0,0.0
1962-12-14,0.0,0.0,0.0,0.0,1042800,0.0,0.0
1962-12-17,0.0,0.0,0.0,0.0,817300,0.0,0.0
1962-12-18,0.0,0.0,0.0,0.0,1381000,0.0,0.0
1962-12-19,0.0,0.0,0.0,0.0,648200,0.0,0.0
1962-12-20,0.0,0.0,0.0,0.0,507300,0.0,0.0
1962-12-21,0.0,0.0,0.0,0.0,704600,0.0,0.0
1962-12-24,0.0,0.0,0.0,0.0,789100,0.0,0.0
1962-12-26,0.0,0.0,0.0,0.0,253600,0.0,0.0
1962-12-27,0.0,0.0,0.0,0.0,845500,0.0,0.0
1962-12-28,0.0,0.0,0.0,0.0,338200,0.0,0.0
1962-12-31,0.0,0.0,0.0,0.0,1127400,0.0,0.0
1963-01-02,0.0,0.0,0.0,0.0,789100,0.0,0.0
1963-01-03,0.0,0.0,0.0,0.0,732800,0.0,0.0
1963-01-04,0.0,0.0,0.0,0.0,507300,0.0,0.0
1963-01-07,0.0,0.0,0.0,0.0,1042800,0.0,0.0
1963-01-08,0.0,0.0,0.0,0.0,873700,0.0,0.0
1963-01-09,0.0,0.01,0.0,0.0,1155600,0.0,0.0
1963-01-10,0.0,0.01,0.0,0.01,2621200,0.0,0.0
1963-01-11,0.01,0.01,0.01,0.01,2029300,0.0,0.0
1963-01-14,0.01,0.01,0.01,0.01,845500,0.0,0.0
1963-01-15,0.01,0.01,0.01,0.01,930100,0.0,0.0
1963-01-16,0.01,0.01,0.0,0.01,845500,0.0,0.0
1963-01-17,0.01,0.01,0.0,0.01,1071000,0.0,0.0
1963-01-18,0.01,0.01,0.01,0.01,253600,0.0,0.0
1963-01-21,0.01,0.01,0.01,0.01,648200,0.0,0.0
1963-01-22,0.01,0.01,0.01,0.01,930100,0.0,0.0
1963-01-23,0.01,0.01,0.01,0.01,873700,0.0,0.0
1963-01-24,0.01,0.01,0.01,0.01,310000,0.0,0.0
1963-01-25,0.01,0.01,0.01,0.01,225400,0.0,0.0
1963-01-28,0.01,0.01,0.01,0.01,704600,0.0,0.0
1963-01-29,0.01,0.01,0.0,0.01,591800,0.0,0.0
1963-01-30,0.01,0.01,0.0,0.0,450900,0.0,0.0
1963-01-31,0.0,0.0,0.0,0.0,563700,0.0,0.0
1963-02-01,0.0,0.0,0.0,0.0,4847900,0.0,0.0
1963-02-04,0.0,0.0,0.0,0.0,648200,0.0,0.0
1963-02-05,0.0,0.0,0.0,0.0,845500,0.0,0.0
