Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,0.01,0.01,0.01,339200,0.0,0.0
1973-02-22,0.0,0.01,0.01,0.01,627200,0.0,0.0
1973-02-23,0.0,0.01,0.01,0.01,668800,0.0,0.0
1973-02-26,0.0,0.01,0.01,0.01,521600,0.0,0.0
1973-02-27,0.0,0.01,0.01,0.01,816000,0.0,0.0
1973-02-28,0.0,0.01,0.01,0.01,752000,0.0,0.0
1973-03-01,0.0,0.01,0.01,0.01,3104000,0.0,0.0
1973-03-02,0.0,0.01,0.01,0.01,4691200,0.0,0.0
1973-03-05,0.0,0.01,0.01,0.01,547200,0.0,0.0
1973-03-06,0.0,0.01,0.01,0.01,1532800,0.0,0.0
1973-03-07,0.0,0.01,0.01,0.01,1152000,0.0,0.0
1973-03-08,0.0,0.01,0.01,0.01,1104000,0.0,0.0
1973-03-09,0.0,0.01,0.01,0.01,518400,0.0,0.0
1973-03-12,0.0,0.01,0.01,0.01,649600,0.0,0.0
1973-03-13,0.0,0.01,0.01,0.01,425600,0.0,0.0
1973-03-14,0.0,0.01,0.01,0.01,563200,0.0,0.0
1973-03-15,0.0,0.01,0.01,0.01,953600,0.0,0.0
1973-03-16,0.0,0.01,0.01,0.01,278400,0.0,0.0
1973-03-19,0.0,0.01,0.01,0.01,441600,0.0,0.0
1973-03-20,0.0,0.01,0.01,0.01,300800,0.0,0.0
1973-03-21,0.0,0.01,0.01,0.01,300800,0.0,0.0
1973-03-22,0.0,0.01,0.01,0.01,460800,0.0,0.0
1973-03-23,0.0,0.01,0.01,0.01,396800,0.0,0.0
1973-03-26,0.0,0.01,0.01,0.01,598400,0.0,0.0
1973-03-27,0.0,0.01,0.01,0.01,592000,0.0,0.0
1973-03-28,0.0,0.01,0.01,0.01,681600,0.0,0.0
1973-03-29,0.0,0.01,0.01,0.01,454400,0.0,0.0
1973-03-30,0.0,0.01,0.01,0.01,428800,0.0,0.0
1973-04-02,0.0,0.01,0.01,0.01,403200,0.0,0.0
1973-04-03,0.0,0.01,0.01,0.01,339200,0.0,0.0
1973-04-04,0.0,0.01,0.01,0.01,256000,0.0,0.0
1973-04-05,0.0,0.01,0.01,0.01,473600,0.0,0.0
1973-04-06,0.0,0.01,0.01,0.01,614400,0.0,0.0
1973-04-09,0.0,0.01,0.01,0.01,1228800,0.0,0.0
1973-04-10,0.0,0.01,0.01,0.01,841600,0.0,0.0
1973-04-11,0.0,0.01,0.01,0.01,428800,0.0,0.0
1973-04-12,0.0,0.01,0.01,0.01,553600,0.0,0.0
1973-04-13,0.0,0.01,0.01,0.01,601600,0.0,0.0
1973-04-16,0.0,0.01,0.01,0.01,691200,0.0,0.0
1973-04-17,0.0,0.01,0.01,0.01,524800,0.0,0.0
1973-04-18,0.0,0.01,0.01,0.01,704000,0.0,0.0
1973-04-19,0.0,0.01,0.01,0.01,204800,0.0,0.0
1973-04-23,0.0,0.01,0.01,0.01,476800,0.0,0.0
1973-04-24,0.0,0.01,0.01,0.01,1456000,0.0,0.0
1973-04-25,0.0,0.01,0.01,0.01,1379200,0.0,0.0
1973-04-26,0.0,0.01,0.01,0.01,595200,0.0,0.0
1973-04-27,0.0,0.01,0.01,0.01,393600,0.0,0.0
1973-04-30,0.0,0.01,0.01,0.01,982400,0.0,0.0
