Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,1.97,1.99,1.95,1.95,67800,0.0,0.0
1982-01-04,2.0,2.02,1.96,2.02,106500,0.0,0.0
1982-01-05,2.0,2.04,1.97,1.97,240600,0.0,0.0
1982-01-06,1.97,1.99,1.94,1.96,238900,0.0,0.0
1982-01-07,1.95,1.96,1.95,1.96,162600,0.0,0.0
1982-01-08,1.97,1.98,1.95,1.97,210900,0.0,0.0
1982-01-11,1.97,1.99,1.94,1.94,218100,0.0,0.0
1982-01-12,1.93,1.94,1.92,1.93,198100,0.0,0.0
1982-01-13,1.93,1.93,1.92,1.93,465000,0.0,0.0
1982-01-14,1.9,1.91,1.88,1.9,288100,0.0,0.0
1982-01-15,1.89,1.9,1.88,1.88,408100,0.0,0.0
1982-01-18,1.87,1.88,1.85,1.86,623400,0.0,0.0
1982-01-19,1.85,1.88,1.82,1.83,420600,0.0,0.0
1982-01-20,1.81,1.83,1.79,1.82,345700,0.0,0.0
1982-01-21,1.81,1.82,1.8,1.81,339900,0.0,0.0
1982-01-22,1.8,1.81,1.79,1.79,257700,0.0,0.0
1982-01-25,1.81,1.82,1.79,1.79,269200,0.0,0.0
1982-01-26,1.77,1.8,1.75,1.75,187200,0.0,0.0
1982-01-27,1.76,1.77,1.75,1.76,236800,0.0,0.0
1982-01-28,1.84,1.91,1.77,1.91,448600,0.0,0.0
1982-01-29,1.97,2.0,1.95,1.98,432100,0.0,0.0
1982-02-01,1.93,1.96,1.89,1.9,315000,0.0,1.5
1982-02-02,1.9,1.91,1.88,1.91,206500,0.0,0.0
1982-02-03,1.93,1.95,1.91,1.95,153400,0.0,0.0
1982-02-04,1.89,1.93,1.84,1.88,201600,0.0,0.0
1982-02-05,1.94,1.97,1.9,1.96,310200,0.0,0.0
1982-02-08,1.99,2.07,1.92,1.97,374400,0.0,0.0
1982-02-09,1.97,2.02,1.92,1.93,225600,0.0,0.0
1982-02-10,1.97,2.0,1.93,1.98,233400,0.0,0.0
1982-02-11,1.98,2.01,1.94,1.97,239400,0.0,0.0
1982-02-12,2.01,2.04,1.97,2.02,180000,0.0,0.0
1982-02-16,1.99,2.01,1.97,1.99,340600,0.0,0.0
1982-02-17,2.03,2.05,2.0,2.03,212700,0.0,0.0
1982-02-18,2.08,2.11,2.04,2.09,199300,0.0,0.0
1982-02-19,2.12,2.17,2.07,2.13,434800,0.0,0.0
1982-02-22,2.12,2.18,2.04,2.04,430200,0.0,0.0
1982-02-23,2.03,2.08,1.99,2.04,280000,0.0,0.0
1982-02-24,2.04,2.09,2.0,2.09,235000,0.0,0.0
1982-02-25,2.11,2.15,2.07,2.09,208900,0.0,0.0
1982-02-26,2.07,2.12,2.0,2.04,200200,0.0,0.0
1982-03-01,2.1,2.13,2.07,2.08,157800,0.0,0.0
1982-03-02,2.08,2.08,2.07,2.07,69400,0.0,0.0
1982-03-03,2.04,2.07,2.01,2.02,171600,0.0,0.0
1982-03-04,1.97,2.0,1.93,1.98,269400,0.0,0.0
1982-03-05,1.93,1.97,1.88,1.93,148500,0.0,0.0
1982-03-08,1.88,1.95,1.79,1.8,444100,0.0,0.0
1982-03-09,1.87,1.96,1.77,1.92,366700,0.0,0.0
1982-03-10,1.91,1.93,1.88,1.88,103000,0.0,0.0
1982-03-11,1.85,1.88,1.8,1.83,471600,0.0,0.0
1982-03-12,1.79,1.86,1.73,1.74,321000,0.0,0.0
1982-03-15,1.75,1.77,1.72,1.76,185100,0.0,0.0
1982-03-16,1.79,1.83,1.76,1.78,317700,0.0,0.0
1982-03-17,1.74,1.79,1.68,1.71,852600,0.0,0.0
1982-03-18,1.74,1.76,1.71,1.76,355600,0.0,0.0
1982-03-19,1.84,1.86,1.8,1.81,191100,0.0,0.0
1982-03-22,1.87,1.9,1.83,1.9,245400,0.0,0.0
1982-03-23,1.93,1.95,1.9,1.94,362100,0.0,0.0
1982-03-24,2.02,2.07,1.98,2.0,270000,0.0,0.0
1982-03-25,2.0,2.01,1.98,2.0,157200,0.0,0.0
1982-03-26,1.97,2.0,1.94,1.96,435000,0.0,0.0
1982-03-29,1.94,1.95,1.93,1.95,49000,0.0625,0.0
1982-03-30,1.97,1.99,1.94,1.97,134100,0.0,0.0
1982-03-31,1.99,2.0,1.97,1.98,149800,0.0,0.0
1982-04-01,1.97,2.0,1.93,1.97,689800,0.0,0.0
1982-04-02,2.04,2.1,1.97,2.1,615700,0.0,0.0
1982-04-05,2.11,2.13,2.08,2.08,353800,0.0,0.0
1982-04-06,2.09,2.11,2.06,2.09,213400,0.0,0.0
1982-04-07,2.11,2.13,2.09,2.11,215400,0.0,0.0
1982-04-08,2.13,2.14,2.11,2.14,288000,0.0,0.0
1982-04-12,2.14,2.17,2.11,2.11,46900,0.0,0.0
1982-04-13,2.16,2.18,2.13,2.14,186000,0.0,0.0
1982-04-14,2.12,2.13,2.1,2.1,187300,0.0,0.0
1982-04-15,2.13,2.16,2.1,2.14,184900,0.0,0.0
1982-04-16,2.21,2.26,2.16,2.23,375400,0.0,0.0
1982-04-19,2.2,2.25,2.16,2.16,133800,0.0,0.0
1982-04-20,2.15,2.18,2.12,2.13,219700,0.0,0.0
1982-04-21,2.12,2.13,2.1,2.1,164400,0.0,0.0
1982-04-22,2.12,2.13,2.11,2.12,91800,0.0,0.0
1982-04-23,2.15,2.17,2.13,2.15,123300,0.0,0.0
1982-04-26,2.18,2.24,2.13,2.24,235500,0.0,0.0
1982-04-27,2.25,2.26,2.23,2.23,322800,0.0,0.0
1982-04-28,2.23,2.24,2.2,2.21,112600,0.0,0.0
1982-04-29,2.17,2.18,2.15,2.17,110400,0.0,0.0
1982-04-30,2.17,2.19,2.15,2.17,94200,0.0,0.0
1982-05-03,2.18,2.2,2.15,2.2,171000,0.0,0.0
1982-05-04,2.2,2.21,2.18,2.19,103900,0.0,0.0
1982-05-05,2.18,2.19,2.16,2.17,318900,0.0,0.0
1982-05-06,2.19,2.21,2.17,2.17,186000,0.0,0.0
1982-05-07,2.17,2.18,2.15,2.16,47800,0.0,0.0
1982-05-10,2.13,2.15,2.11,2.13,69900,0.0,0.0
1982-05-11,2.13,2.14,2.12,2.14,68700,0.0,0.0
1982-05-12,2.13,2.15,2.11,2.12,141700,0.0,0.0
1982-05-13,2.12,2.14,2.1,2.13,82900,0.0,0.0
1982-05-14,2.12,2.13,2.1,2.1,114000,0.0,0.0
1982-05-17,2.12,2.13,2.11,2.13,55300,0.0,0.0
1982-05-18,2.1,2.13,2.06,2.09,105900,0.0,0.0
1982-05-19,2.09,2.1,2.08,2.08,40200,0.0,0.0
1982-05-20,2.07,2.09,2.04,2.06,85000,0.0,0.0
1982-05-21,2.07,2.08,2.05,2.08,256900,0.0,0.0
1982-05-24,2.06,2.08,2.03,2.04,194500,0.0,0.0
1982-05-25,2.05,2.06,2.04,2.06,90300,0.0,0.0
1982-05-26,2.04,2.05,2.02,2.03,111900,0.0,0.0
1982-05-27,1.99,2.03,1.96,1.99,328900,0.0,0.0
1982-05-28,1.97,1.99,1.95,1.97,173100,0.0,0.0
1982-06-01,1.93,1.96,1.9,1.91,234600,0.0,0.0
1982-06-02,1.88,1.91,1.85,1.9,661800,0.0,0.0
1982-06-03,1.91,1.92,1.89,1.91,122400,0.0,0.0
1982-06-04,1.89,1.92,1.86,1.87,84300,0.0,0.0
1982-06-07,1.85,1.88,1.82,1.86,273900,0.0,0.0
1982-06-08,1.85,1.86,1.84,1.85,132400,0.0,0.0
1982-06-09,1.85,1.87,1.83,1.85,208900,0.0,0.0
1982-06-10,1.86,1.87,1.84,1.87,211200,0.0,0.0
1982-06-11,1.98,2.03,1.93,2.02,511300,0.0,0.0
1982-06-14,2.0,2.02,1.98,1.99,229200,0.0,0.0
1982-06-15,2.02,2.04,1.98,2.04,102900,0.0,0.0
1982-06-16,2.02,2.04,1.98,1.98,245800,0.0,0.0
1982-06-17,1.97,1.98,1.96,1.98,225600,0.0,0.0
1982-06-18,1.97,1.98,1.96,1.97,108000,0.0,0.0
1982-06-21,2.0,2.04,1.97,2.0,124600,0.0,0.0
1982-06-22,2.04,2.06,2.0,2.04,58900,0.0,0.0
1982-06-23,2.0,2.04,1.97,2.04,315600,0.0,0.0
1982-06-24,2.07,2.09,2.04,2.05,269400,0.0,0.0
1982-06-25,2.05,2.08,2.02,2.05,89200,0.0,0.0
1982-06-28,2.06,2.09,2.03,2.07,126900,0.0,0.0
1982-06-29,2.06,2.07,2.05,2.07,90900,0.0625,0.0
1982-06-30,2.09,2.12,2.06,2.11,722400,0.0,0.0
1982-07-01,2.08,2.09,2.07,2.08,267300,0.0,0.0
1982-07-02,2.07,2.08,2.05,2.06,206700,0.0,0.0
1982-07-06,2.05,2.08,2.02,2.03,171300,0.0,0.0
1982-07-07,2.01,2.03,1.99,2.01,232800,0.0,0.0
1982-07-08,1.99,2.01,1.96,2.0,76500,0.0,0.0
1982-07-09,2.01,2.02,2.0,2.02,486600,0.0,0.0
1982-07-12,2.12,2.23,2.02,2.19,270900,0.0,0.0
1982-07-13,2.19,2.23,2.12,2.21,332100,0.0,0.0
1982-07-14,2.21,2.23,2.02,2.19,270900,0.0,0.0
1982-07-15,2.19,2.2,2.17,2.18,236100,0.0,0.0
1982-07-16,2.19,2.22,2.14,2.2,317800,0.0,0.0
1982-07-19,2.26,2.28,2.24,2.28,291100,0.0,0.0
1982-07-20,2.29,2.32,2.26,2.32,366000,0.0,0.0
1982-07-21,2.34,2.37,2.31,2.32,415300,0.0,0.0
1982-07-22,2.33,2.37,2.29,2.34,267900,0.0,0.0
1982-07-23,2.32,2.34,2.3,2.33,135600,0.0,0.0
1982-07-26,2.32,2.34,2.3,2.3,255700,0.0,0.0
1982-07-27,2.28,2.31,2.24,2.26,213300,0.0,0.0
1982-07-28,2.22,2.26,2.17,2.18,307000,0.0,0.0
1982-07-29,2.24,2.28,2.2,2.28,372600,0.0,0.0
1982-07-30,2.27,2.3,2.24,2.24,86700,0.0,0.0
1982-08-02,2.27,2.28,2.25,2.28,330000,0.0,0.0
1982-08-03,2.26,2.32,2.2,2.22,462300,0.0,0.0
1982-08-04,2.2,2.22,2.17,2.18,168000,0.0,0.0
1982-08-05,2.14,2.19,2.09,2.13,230700,0.0,0.0
1982-08-06,2.14,2.17,2.11,2.11,72600,0.0,0.0
1982-08-09,2.06,2.08,2.03,2.07,196200,0.0,0.0
1982-08-10,2.08,2.12,2.04,2.09,290400,0.0,0.0
1982-08-11,2.09,2.11,2.07,2.09,117600,0.0,0.0
1982-08-12,2.13,2.17,2.09,2.15,176500,0.0,0.0
1982-08-13,2.18,2.21,2.14,2.2,337800,0.0,0.0
1982-08-16,2.24,2.27,2.21,2.21,195400,0.0,0.0
1982-08-17,2.26,2.3,2.21,2.3,436500,0.0,0.0
1982-08-18,2.36,2.39,2.32,2.32,599400,0.0,0.0
1982-08-19,2.32,2.34,2.29,2.33,410700,0.0,0.0
1982-08-20,2.39,2.41,2.36,2.41,422700,0.0,0.0
1982-08-23,2.39,2.41,2.36,2.41,1043200,0.0,0.0
1982-08-24,2.47,2.51,2.43,2.45,745200,0.0,0.0
1982-08-25,2.51,2.56,2.46,2.53,629500,0.0,0.0
1982-08-26,2.64,2.72,2.55,2.59,593500,0.0,0.0
1982-08-27,2.58,2.6,2.55,2.57,171400,0.0,0.0
1982-08-30,2.55,2.59,2.49,2.59,115200,0.0,0.0
1982-08-31,2.67,2.7,2.63,2.69,438600,0.0,0.0
1982-09-01,2.66,2.69,2.62,2.64,231400,0.0,0.0
1982-09-02,2.63,2.66,2.59,2.66,399100,0.0,0.0
1982-09-03,2.75,2.8,2.68,2.72,1023900,0.0,0.0
1982-09-07,2.63,2.69,2.57,2.62,209400,0.0,0.0
1982-09-08,2.62,2.64,2.59,2.6,192900,0.0,0.0
1982-09-09,2.61,2.62,2.59,2.6,122700,0.0,0.0
1982-09-10,2.57,2.59,2.53,2.56,93600,0.0,0.0
1982-09-13,2.52,2.57,2.47,2.53,235800,0.0,0.0
1982-09-14,2.6,2.65,2.55,2.57,297000,0.0,0.0
1982-09-15,2.72,2.77,2.67,2.74,704800,0.0,0.0
1982-09-16,2.76,2.78,2.72,2.72,200200,0.0,0.0
1982-09-17,2.68,2.74,2.62,2.62,261000,0.0,0.0
1982-09-20,2.63,2.66,2.6,2.62,73300,0.0,0.0
1982-09-21,2.68,2.79,2.58,2.76,443400,0.0,0.0
1982-09-22,2.79,2.84,2.72,2.72,1336200,0.0,0.0
1982-09-23,2.74,2.79,2.67,2.79,500700,0.0,0.0
1982-09-24,2.78,2.81,2.75,2.78,283800,0.0,0.0
1982-09-27,2.75,2.79,2.69,2.79,524100,0.0,0.0
1982-09-28,2.8,2.83,2.76,2.77,379800,0.0625,0.0
1982-09-29,2.74,2.78,2.68,2.73,177300,0.0,0.0
1982-09-30,2.71,2.73,2.67,2.72,272200,0.0,0.0
1982-10-01,2.77,2.83,2.69,2.8,320400,0.0,0.0
1982-10-04,2.79,2.81,2.76,2.79,216600,0.0,0.0
1982-10-05,2.84,2.88,2.81,2.85,227800,0.0,0.0
