Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-11-16,6.13,6.95,6.06,6.17,97759000,0.0,0.0
2005-11-17,6.34,6.57,5.35,5.54,34308500,0.0,0.0
2005-11-18,5.69,5.81,5.44,5.5,12810000,0.0,0.0
2005-11-21,5.54,5.66,5.48,5.65,6404000,0.0,0.0
2005-11-22,5.58,5.58,5.39,5.5,6533000,0.0,0.0
2005-11-23,5.46,5.5,4.96,5.34,12421000,0.0,0.0
2005-11-25,5.31,5.42,5.29,5.37,1316000,0.0,0.0
2005-11-28,5.33,5.33,5.12,5.24,3155000,0.0,0.0
2005-11-29,5.24,5.27,4.92,5.03,4477500,0.0,0.0
2005-11-30,5.05,5.1,4.97,5.08,3894500,0.0,0.0
2005-12-01,5.08,5.54,5.06,5.5,5688500,0.0,0.0
2005-12-02,5.5,5.71,5.49,5.68,5120000,0.0,0.0
2005-12-05,5.69,5.89,5.69,5.79,4592500,0.0,0.0
2005-12-06,5.79,5.92,5.73,5.75,3202500,0.0,0.0
2005-12-07,5.76,5.76,5.43,5.58,2473000,0.0,0.0
2005-12-08,5.61,5.71,5.59,5.66,1823500,0.0,0.0
2005-12-09,5.66,5.73,5.63,5.69,808000,0.0,0.0
2005-12-12,5.73,5.74,5.67,5.73,953500,0.0,0.0
2005-12-13,5.73,5.73,5.58,5.6,1843000,0.0,0.0
2005-12-14,5.58,5.61,5.47,5.5,1422000,0.0,0.0
2005-12-15,5.5,5.5,5.29,5.35,3273000,0.0,0.0
2005-12-16,5.32,5.42,5.27,5.38,8170500,0.0,0.0
2005-12-19,5.35,5.41,5.33,5.41,2242000,0.0,0.0
2005-12-20,5.44,5.57,5.41,5.5,2423500,0.0,0.0
2005-12-21,5.49,5.5,5.43,5.47,916500,0.0,0.0
2005-12-22,5.47,5.47,5.39,5.46,1171000,0.0,0.0
2005-12-23,5.42,5.46,5.36,5.39,985000,0.0,0.0
2005-12-27,5.43,5.58,5.43,5.54,1214000,0.0,0.0
2005-12-28,5.54,5.58,5.51,5.52,581000,0.0,0.0
2005-12-29,5.49,5.7,5.49,5.68,1076500,0.0,0.0
2005-12-30,5.7,5.72,5.58,5.72,923500,0.0,0.0
2006-01-03,5.74,6.02,5.66,5.95,2993000,0.0,0.0
2006-01-04,5.96,5.96,5.72,5.8,1196500,0.0,0.0
2006-01-05,6.01,6.25,6.01,6.18,3478500,0.0,0.0
2006-01-06,6.17,6.35,6.15,6.34,2306500,0.0,0.0
2006-01-09,6.45,6.97,6.43,6.86,8702000,0.0,0.0
2006-01-10,6.82,7.36,6.82,7.24,8667500,0.0,0.0
2006-01-11,7.31,7.58,7.13,7.38,7560000,0.0,0.0
2006-01-12,7.45,7.53,6.8,6.91,4841500,0.0,0.0
2006-01-13,6.87,7.02,6.76,7.01,2010500,0.0,0.0
2006-01-17,7.16,7.39,7.08,7.29,2609500,0.0,0.0
2006-01-18,7.29,7.29,7.08,7.2,1397500,0.0,0.0
2006-01-19,7.19,7.52,6.92,7.46,3307000,0.0,0.0
2006-01-20,7.55,7.61,7.27,7.28,2309500,0.0,0.0
2006-01-23,7.28,7.52,7.26,7.51,1744500,0.0,0.0
2006-01-24,7.51,8.4,7.38,8.3,5615000,0.0,0.0
2006-01-25,8.41,8.68,7.89,8.34,7019000,0.0,0.0
2006-01-26,8.37,8.52,8.21,8.25,2424000,0.0,0.0
2006-01-27,7.87,8.27,7.64,8.02,6929000,0.0,0.0
2006-01-30,7.9,8.05,7.6,7.73,2970000,0.0,0.0
2006-01-31,7.73,8.02,7.25,7.99,6552500,0.0,0.0
2006-02-01,8.26,8.97,8.16,8.75,7184500,0.0,0.0
2006-02-02,8.71,9.12,8.35,8.68,10589500,0.0,0.0
2006-02-03,8.84,9.18,8.7,8.73,5790500,0.0,0.0
2006-02-06,9.01,9.01,8.61,8.76,3958000,0.0,0.0
2006-02-07,8.74,8.83,8.09,8.41,3575000,0.0,0.0
2006-02-08,8.57,8.62,8.27,8.41,1954000,0.0,0.0
2006-02-09,8.45,8.54,8.3,8.33,2131500,0.0,0.0
2006-02-10,8.37,8.37,7.7,8.14,3580500,0.0,0.0
2006-02-13,8.02,8.44,8.02,8.29,1660500,0.0,0.0
2006-02-14,8.29,8.33,8.13,8.18,1478000,0.0,0.0
2006-02-15,8.18,8.23,8.11,8.18,882000,0.0,0.0
2006-02-16,8.21,8.23,8.03,8.11,848000,0.0,0.0
2006-02-17,8.14,8.17,7.89,8.08,1626500,0.0,0.0
2006-02-21,8.08,8.08,7.67,7.81,2389500,0.0,0.0
2006-02-22,7.73,7.84,7.57,7.74,3314500,0.0,0.0
2006-02-23,7.9,8.16,7.7,7.85,7781500,0.0,0.0
2006-02-24,8.15,8.77,8.15,8.57,11018000,0.0,0.0
2006-02-27,8.65,9.0,8.54,8.94,4822000,0.0,0.0
2006-02-28,8.9,9.11,8.5,8.61,4038000,0.0,0.0
2006-03-01,8.65,8.94,8.65,8.93,3081000,0.0,0.0
2006-03-02,8.9,9.35,8.77,9.34,4253000,0.0,0.0
2006-03-03,9.52,9.9,9.44,9.53,6878500,0.0,0.0
2006-03-06,9.67,9.91,9.45,9.64,4600500,0.0,0.0
2006-03-07,9.64,9.64,9.31,9.44,3193000,0.0,0.0
2006-03-08,9.59,9.6,9.24,9.31,5132500,0.0,0.0
2006-03-09,9.35,10.14,9.35,10.06,5446500,0.0,0.0
2006-03-10,10.06,10.6,9.86,10.56,7088000,0.0,0.0
2006-03-13,10.73,11.25,10.6,11.21,9415500,0.0,0.0
2006-03-14,11.25,11.36,10.7,10.79,9242500,0.0,0.0
2006-03-15,10.81,11.18,10.62,10.9,5496000,0.0,0.0
2006-03-16,10.9,11.04,10.24,10.5,7085500,0.0,0.0
2006-03-17,10.5,10.76,10.13,10.71,5977000,0.0,0.0
2006-03-20,10.86,11.19,10.86,11.19,5575500,0.0,0.0
2006-03-21,11.28,11.57,10.95,11.05,6876500,0.0,0.0
2006-03-22,10.78,10.86,10.33,10.69,6843500,0.0,0.0
2006-03-23,10.66,10.9,10.43,10.55,2925500,0.0,0.0
2006-03-24,10.38,10.74,10.34,10.57,2114000,0.0,0.0
2006-03-27,10.67,11.12,10.58,10.99,5238500,0.0,0.0
2006-03-28,10.99,11.13,10.65,10.79,3080000,0.0,0.0
2006-03-29,10.79,10.96,10.62,10.66,1981000,0.0,0.0
2006-03-30,10.93,11.29,10.89,11.22,5514000,0.0,0.0
2006-03-31,11.28,11.5,10.59,10.86,9687000,0.0,0.0
2006-04-03,11.0,11.02,9.78,9.92,10266000,0.0,0.0
2006-04-04,10.07,10.41,9.53,10.22,9966500,0.0,0.0
2006-04-05,10.34,10.36,9.74,9.88,9132500,0.0,0.0
2006-04-06,9.88,10.14,9.24,9.41,12852000,0.0,0.0
2006-04-07,9.12,9.12,8.23,8.34,24447000,0.0,0.0
2006-04-10,8.37,8.63,8.27,8.58,7960000,0.0,0.0
2006-04-11,8.63,8.93,8.6,8.9,9023500,0.0,0.0
2006-04-12,8.94,9.1,8.58,9.07,7027000,0.0,0.0
2006-04-13,9.07,9.31,8.9,9.24,4786000,0.0,0.0
2006-04-17,9.32,9.43,9.05,9.1,4060000,0.0,0.0
2006-04-18,9.28,10.44,9.27,10.41,13185500,0.0,0.0
2006-04-19,10.42,10.94,10.13,10.9,11672500,0.0,0.0
2006-04-20,10.94,11.07,10.58,11.01,8156500,0.0,0.0
2006-04-21,11.01,11.09,10.76,10.85,4925500,0.0,0.0
2006-04-24,10.71,10.76,10.5,10.58,6188500,0.0,0.0
2006-04-25,10.46,10.98,10.44,10.98,5205000,0.0,0.0
2006-04-26,10.97,11.08,10.79,11.06,4119000,0.0,0.0
2006-04-27,10.98,11.44,10.74,11.26,4162500,0.0,0.0
2006-04-28,11.17,11.38,11.11,11.22,4768000,0.0,0.0
