Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1974-12-17,0.0,2.09,1.88,2.06,310800,0.025,1.02
1974-12-18,0.0,2.2,2.13,2.14,95400,0.0,0.0
1974-12-19,0.0,2.29,2.1,2.25,143100,0.0,0.0
1974-12-20,0.0,2.26,2.19,2.19,75300,0.0,0.0
1974-12-23,0.0,2.27,2.15,2.27,112800,0.0,0.0
1974-12-24,0.0,2.36,2.28,2.32,65700,0.0,0.0
1974-12-26,0.0,2.4,2.29,2.32,40800,0.0,0.0
1974-12-27,0.0,2.29,2.2,2.21,82500,0.0,0.0
1974-12-30,0.0,2.29,2.19,2.29,37800,0.0,0.0
1974-12-31,0.0,2.4,2.33,2.34,74100,0.0,0.0
1975-01-02,0.0,2.53,2.34,2.44,119100,0.0,0.0
1975-01-03,0.0,2.44,2.36,2.38,43800,0.0,0.0
1975-01-06,0.0,2.47,2.36,2.36,137100,0.0,0.0
1975-01-07,0.0,2.35,2.32,2.34,25500,0.0,0.0
1975-01-08,0.0,2.4,2.28,2.29,95100,0.0,0.0
1975-01-09,0.0,2.34,2.23,2.32,128700,0.0,0.0
1975-01-10,0.0,2.48,2.38,2.38,101100,0.0,0.0
1975-01-13,0.0,2.42,2.34,2.34,95700,0.0,0.0
1975-01-14,0.0,2.42,2.34,2.42,145800,0.0,0.0
1975-01-15,0.0,2.48,2.39,2.48,161700,0.0,0.0
1975-01-16,0.0,2.54,2.46,2.46,80100,0.0,0.0
1975-01-17,0.0,2.46,2.34,2.36,61500,0.0,0.0
1975-01-20,0.0,2.41,2.34,2.4,51900,0.0,0.0
1975-01-21,0.0,2.48,2.44,2.44,62400,0.0,0.0
1975-01-22,0.0,2.4,2.34,2.38,57600,0.0,0.0
1975-01-23,0.0,2.46,2.39,2.45,41700,0.0,0.0
1975-01-24,0.0,2.46,2.36,2.44,89700,0.0,0.0
1975-01-27,0.0,2.61,2.53,2.58,99000,0.0,0.0
1975-01-28,0.0,2.65,2.53,2.6,134100,0.0,0.0
1975-01-29,0.0,2.61,2.55,2.58,111900,0.0,0.0
1975-01-30,0.0,2.6,2.46,2.48,71700,0.0,0.0
1975-01-31,0.0,2.6,2.47,2.58,113100,0.0,0.0
1975-02-03,0.0,2.77,2.59,2.72,78300,0.0,0.0
1975-02-04,0.0,2.77,2.6,2.61,74100,0.0,0.0
1975-02-05,0.0,2.72,2.62,2.7,126600,0.0,0.0
1975-02-06,0.0,2.87,2.71,2.71,205800,0.0,0.0
1975-02-07,0.0,2.65,2.6,2.62,85800,0.0,0.0
1975-02-10,0.0,2.66,2.62,2.66,141000,0.0,0.0
1975-02-11,0.0,2.65,2.6,2.6,66900,0.0,0.0
1975-02-12,0.0,2.65,2.58,2.64,316800,0.0,0.0
1975-02-13,0.0,2.72,2.64,2.64,231900,0.0,0.0
1975-02-14,0.0,2.68,2.62,2.64,122400,0.0,0.0
1975-02-18,0.0,2.62,2.53,2.57,67200,0.0,0.0
1975-02-19,0.0,2.59,2.47,2.59,99000,0.0,0.0
1975-02-20,0.0,2.64,2.48,2.64,120900,0.0,0.0
1975-02-21,0.0,2.62,2.53,2.57,151500,0.0,0.0
1975-02-24,0.0,2.64,2.57,2.58,138900,0.0,0.0
1975-02-25,0.0,2.6,2.49,2.53,100500,0.0,0.0
1975-02-26,0.0,2.58,2.52,2.57,99900,0.0,0.0
1975-02-27,0.0,2.62,2.55,2.58,87900,0.0,0.0
1975-02-28,0.0,2.65,2.58,2.65,37200,0.0,0.0
1975-03-03,0.0,2.74,2.67,2.74,78900,0.0,0.0
1975-03-04,0.0,2.93,2.8,2.84,224400,0.0,0.0
1975-03-05,0.0,2.98,2.8,2.91,159300,0.0,0.0
1975-03-06,0.0,3.0,2.86,2.99,55200,0.0,0.0
1975-03-07,0.0,3.09,2.96,3.01,174300,0.0,0.0
1975-03-10,0.0,3.05,2.94,3.03,85200,0.0,0.0
1975-03-11,0.0,3.05,2.96,2.98,109800,0.0,0.0
1975-03-12,0.0,2.98,2.88,2.88,161100,0.0,0.0
1975-03-13,0.0,2.92,2.83,2.92,26100,0.0,0.0
1975-03-14,0.0,2.87,2.79,2.83,144300,0.0,0.0
1975-03-17,0.0,3.01,2.84,3.01,114900,0.0,0.0
1975-03-18,0.0,3.07,2.96,3.02,134400,0.025,0.0
1975-03-19,0.0,3.01,2.9,2.92,53100,0.0,0.0
1975-03-20,0.0,2.97,2.9,2.92,72300,0.0,0.0
1975-03-21,0.0,3.03,2.83,2.94,105900,0.0,0.0
1975-03-24,0.0,2.84,2.77,2.82,151500,0.0,0.0
1975-03-25,0.0,2.87,2.63,2.86,240900,0.0,0.0
1975-03-26,0.0,2.92,2.82,2.87,104700,0.0,0.0
1975-03-27,0.0,2.95,2.86,2.86,69900,0.0,0.0
1975-03-31,0.0,2.9,2.81,2.84,59400,0.0,0.0
1975-04-01,0.0,2.8,2.7,2.76,173700,0.0,0.0
1975-04-02,0.0,2.8,2.68,2.71,306300,0.0,0.0
1975-04-03,0.0,2.78,2.68,2.75,30000,0.0,0.0
1975-04-04,0.0,2.74,2.65,2.69,263100,0.0,0.0
1975-04-07,0.0,2.73,2.65,2.71,74400,0.0,0.0
1975-04-08,0.0,2.75,2.69,2.7,68400,0.0,0.0
1975-04-09,0.0,2.89,2.71,2.89,93600,0.0,0.0
1975-04-10,0.0,3.09,2.88,3.03,112800,0.0,0.0
1975-04-11,0.0,3.13,2.96,3.13,94200,0.0,0.0
1975-04-14,0.0,3.13,2.94,3.1,94500,0.0,0.0
1975-04-15,0.0,3.16,2.99,2.99,66000,0.0,0.0
1975-04-16,0.0,3.09,2.92,3.09,151200,0.0,0.0
1975-04-17,0.0,3.22,3.12,3.19,138300,0.0,0.0
1975-04-18,0.0,3.19,3.09,3.13,112500,0.0,0.0
1975-04-21,0.0,3.21,3.13,3.21,131100,0.0,0.0
1975-04-22,0.0,3.33,3.2,3.2,115500,0.0,0.0
1975-04-23,0.0,3.24,3.13,3.13,57900,0.0,0.0
1975-04-24,0.0,3.27,3.09,3.24,66600,0.0,0.0
1975-04-25,0.0,3.27,3.14,3.22,37800,0.0,0.0
1975-04-28,0.0,3.24,3.19,3.2,32100,0.0,0.0
1975-04-29,0.0,3.24,3.15,3.15,64500,0.0,0.0
1975-04-30,0.0,3.2,3.1,3.2,68400,0.0,0.0
1975-05-01,0.0,3.24,3.15,3.16,40200,0.0,0.0
1975-05-02,0.0,3.22,3.1,3.18,81000,0.0,0.0
1975-05-05,0.0,3.21,3.15,3.18,73500,0.0,0.0
1975-05-06,0.0,3.18,3.0,3.08,182100,0.0,0.0
1975-05-07,0.0,3.03,2.89,2.95,182400,0.0,0.0
1975-05-08,0.0,2.97,2.75,2.96,90300,0.0,0.0
1975-05-09,0.0,3.14,3.02,3.13,96000,0.0,0.0
1975-05-12,0.0,3.15,3.05,3.06,82800,0.0,0.0
1975-05-13,0.0,3.13,3.01,3.09,93300,0.0,0.0
1975-05-14,0.0,3.22,3.1,3.21,101700,0.0,0.0
1975-05-15,0.0,3.21,2.99,2.99,91500,0.0,0.0
1975-05-16,0.0,3.01,2.89,2.94,100500,0.0,0.0
1975-05-19,0.0,3.0,2.86,2.96,117900,0.0,0.0
1975-05-20,0.0,2.97,2.9,2.9,31500,0.0,0.0
1975-05-21,0.0,2.94,2.84,2.84,91800,0.0,0.0
1975-05-22,0.0,2.95,2.86,2.9,52500,0.0,0.0
1975-05-23,0.0,2.94,2.84,2.88,342300,0.0,0.0
1975-05-27,0.0,2.96,2.84,2.94,17700,0.0,0.0
1975-05-28,0.0,2.95,2.9,2.9,87600,0.0,0.0
1975-05-29,0.0,2.96,2.9,2.96,26700,0.0,0.0
1975-05-30,0.0,3.06,2.95,3.06,40500,0.0,0.0
1975-06-02,0.0,3.18,3.1,3.13,173400,0.0,0.0
1975-06-03,0.0,3.19,3.13,3.18,96000,0.0,0.0
1975-06-04,0.0,3.15,3.1,3.15,60600,0.0,0.0
1975-06-05,0.0,3.16,3.12,3.15,116700,0.0,0.0
1975-06-06,0.0,3.16,3.1,3.12,42900,0.0,0.0
1975-06-09,0.0,3.1,3.01,3.01,30900,0.0,0.0
1975-06-10,0.0,3.02,2.92,2.94,122100,0.0,0.0
1975-06-11,0.0,2.99,2.94,2.99,60300,0.0,0.0
1975-06-12,0.0,2.94,2.89,2.92,60300,0.0,0.0
1975-06-13,0.0,2.95,2.92,2.94,38100,0.0,0.0
1975-06-16,0.0,3.1,2.94,3.06,67800,0.0,0.0
1975-06-17,0.0,3.09,2.92,2.95,84600,0.025,0.0
1975-06-18,0.0,2.96,2.86,2.96,60000,0.0,0.0
1975-06-19,0.0,3.03,2.92,3.03,49800,0.0,0.0
1975-06-20,0.0,3.11,2.98,2.98,93600,0.0,0.0
1975-06-23,0.0,2.97,2.9,2.96,75300,0.0,0.0
1975-06-24,0.0,3.06,2.99,3.01,52200,0.0,0.0
1975-06-25,0.0,3.03,2.98,2.99,32400,0.0,0.0
1975-06-26,0.0,3.01,2.95,3.01,53400,0.0,0.0
1975-06-27,0.0,3.01,2.98,2.99,51900,0.0,0.0
1975-06-30,0.0,2.98,2.96,2.98,27900,0.0,0.0
1975-07-01,0.0,2.99,2.93,2.96,42000,0.0,0.0
1975-07-02,0.0,2.92,2.83,2.87,201300,0.0,0.0
1975-07-03,0.0,2.92,2.86,2.92,30600,0.0,0.0
1975-07-07,0.0,2.92,2.82,2.82,63600,0.0,0.0
1975-07-08,0.0,2.89,2.8,2.86,84900,0.0,0.0
1975-07-09,0.0,3.01,2.87,2.98,127800,0.0,0.0
1975-07-10,0.0,3.08,2.97,3.03,102300,0.0,0.0
1975-07-11,0.0,3.03,2.91,2.95,192900,0.0,0.0
1975-07-14,0.0,2.97,2.89,2.97,34500,0.0,0.0
1975-07-15,0.0,2.99,2.95,2.98,24000,0.0,0.0
