Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-06-19,26.09,27.34,26.01,26.64,32014000,0.0,0.0
2014-06-20,26.64,27.39,26.64,26.89,3840000,0.0,0.0
2014-06-23,27.19,27.19,26.46,26.68,1526300,0.0,0.0
2014-06-24,26.51,27.02,26.39,26.7,1102900,0.0,0.0
2014-06-25,26.51,27.03,26.45,26.84,921100,0.0,0.0
2014-06-26,26.73,27.18,26.71,26.88,1034900,0.0,0.0
2014-06-27,26.92,27.17,26.64,26.92,1097700,0.0,0.0
2014-06-30,27.12,27.12,26.61,26.92,694500,0.0,0.0
2014-07-01,27.14,27.14,26.65,26.68,999600,0.0,0.0
2014-07-02,26.56,27.03,26.56,26.71,1401700,0.0,0.0
2014-07-03,26.6,27.04,26.6,26.89,467900,0.0,0.0
2014-07-07,26.9,26.94,26.6,26.88,264600,0.0,0.0
2014-07-08,26.88,26.89,26.57,26.8,445300,0.0,0.0
2014-07-09,26.76,26.9,26.67,26.82,224400,0.0,0.0
2014-07-10,26.44,26.81,26.08,26.6,470200,0.0,0.0
2014-07-11,26.6,26.88,26.49,26.62,484500,0.0,0.0
2014-07-14,26.44,26.64,25.45,26.03,2140600,0.0,0.0
2014-07-15,25.92,26.07,25.7,25.95,530900,0.0,0.0
2014-07-16,26.02,26.84,25.95,26.0,276400,0.0,0.0
2014-07-17,25.95,26.15,25.9,25.99,276900,0.0,0.0
2014-07-18,25.75,26.03,25.75,26.0,402900,0.0,0.0
2014-07-21,25.74,26.0,25.39,25.75,1044900,0.0,0.0
2014-07-22,25.97,25.97,25.24,25.55,1213800,0.0,0.0
2014-07-23,25.55,25.89,25.08,25.72,1004100,0.0,0.0
2014-07-24,25.46,25.78,25.24,25.63,579700,0.0,0.0
2014-07-25,25.44,26.05,25.16,26.0,706800,0.0,0.0
2014-07-28,25.87,26.19,25.48,26.08,306100,0.0,0.0
2014-07-29,26.19,26.24,25.9,25.91,237300,0.0,0.0
2014-07-30,26.14,26.14,25.46,25.94,220700,0.0,0.0
2014-07-31,25.61,25.93,25.13,25.26,367600,0.0,0.0
2014-08-01,25.01,25.38,24.78,24.95,400700,0.0,0.0
