Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.13,0.12,0.12,43200,0.0,0.0
1980-03-18,0.0,0.12,0.12,0.12,327600,0.0,0.0
1980-03-19,0.0,0.12,0.12,0.12,115200,0.0,0.0
1980-03-20,0.0,0.12,0.12,0.12,28800,0.0,0.0
1980-03-21,0.0,0.12,0.12,0.12,554400,0.0,0.0
1980-03-24,0.0,0.12,0.12,0.12,406800,0.0,0.0
1980-03-25,0.0,0.12,0.12,0.12,64800,0.0,0.0
1980-03-26,0.0,0.12,0.12,0.12,129600,0.0,0.0
1980-03-27,0.0,0.12,0.12,0.12,817200,0.0,0.0
1980-03-28,0.0,0.12,0.12,0.12,25200,0.0,0.0
1980-03-31,0.0,0.12,0.12,0.12,79200,0.0,0.0
1980-04-01,0.0,0.12,0.12,0.12,7200,0.0,0.0
1980-04-02,0.0,0.12,0.12,0.12,525600,0.0,0.0
1980-04-03,0.0,0.12,0.12,0.12,133200,0.0,0.0
1980-04-07,0.0,0.12,0.12,0.12,190800,0.0,0.0
1980-04-08,0.0,0.12,0.12,0.12,64800,0.0,0.0
1980-04-09,0.0,0.12,0.12,0.12,21600,0.0,0.0
1980-04-10,0.0,0.12,0.12,0.12,25200,0.0,0.0
1980-04-11,0.0,0.12,0.12,0.12,18000,0.0,0.0
1980-04-14,0.0,0.12,0.12,0.12,100800,0.0,0.0
1980-04-15,0.0,0.12,0.12,0.12,100800,0.0,0.0
1980-04-16,0.0,0.12,0.12,0.12,64800,0.0,0.0
1980-04-17,0.0,0.12,0.12,0.12,57600,0.0,0.0
1980-04-18,0.0,0.12,0.12,0.12,50400,0.0,0.0
1980-04-21,0.0,0.12,0.12,0.12,93600,0.0,0.0
1980-04-22,0.0,0.12,0.12,0.12,64800,0.0,0.0
1980-04-23,0.0,0.12,0.12,0.12,385200,0.0,0.0
1980-04-24,0.0,0.12,0.12,0.12,82800,0.0,0.0
1980-04-25,0.0,0.12,0.12,0.12,79200,0.0,0.0
1980-04-28,0.0,0.12,0.12,0.12,216000,0.0,0.0
1980-04-29,0.0,0.12,0.12,0.12,176400,0.0,0.0
