Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.09,0.09,0.09,687300,0.0,0.0
1980-03-18,0.0,0.09,0.09,0.09,1104200,0.0,0.0
1980-03-19,0.0,0.09,0.09,0.09,1367100,0.0,0.0
1980-03-20,0.0,0.09,0.09,0.09,484500,0.0,0.0
1980-03-21,0.0,0.09,0.09,0.09,489700,0.0,0.0
1980-03-24,0.0,0.09,0.08,0.08,463400,0.0,0.0
1980-03-25,0.0,0.08,0.08,0.08,529500,0.0,0.0
1980-03-26,0.0,0.08,0.08,0.08,170500,0.0,0.0
1980-03-27,0.0,0.08,0.08,0.08,452200,0.0,0.0
1980-03-28,0.0,0.09,0.08,0.09,1019300,0.0,0.0
1980-03-31,0.0,0.09,0.09,0.09,643700,0.0,0.0
1980-04-01,0.0,0.09,0.08,0.08,1398700,0.0,0.0
1980-04-02,0.0,0.09,0.09,0.09,244100,0.0,0.0
1980-04-03,0.0,0.09,0.08,0.08,117900,0.0,0.0
1980-04-07,0.0,0.09,0.08,0.08,1342300,0.0,0.0
1980-04-08,0.0,0.09,0.08,0.08,232800,0.0,0.0
1980-04-09,0.0,0.08,0.08,0.08,512300,0.0,0.0
1980-04-10,0.0,0.08,0.08,0.08,268100,0.0,0.0
1980-04-11,0.0,0.08,0.08,0.08,634700,0.0,0.0
1980-04-14,0.0,0.08,0.08,0.08,97600,0.0,0.0
1980-04-15,0.0,0.08,0.08,0.08,305700,0.0,0.0
1980-04-16,0.0,0.08,0.08,0.08,845100,0.0,0.0
1980-04-17,0.0,0.08,0.08,0.08,255400,0.0,0.0
1980-04-18,0.0,0.08,0.08,0.08,692600,0.0,0.0
1980-04-21,0.0,0.08,0.08,0.08,129200,0.0,0.0
1980-04-22,0.0,0.08,0.08,0.08,815000,0.0,0.0
1980-04-23,0.0,0.08,0.08,0.08,842800,0.0,0.0
1980-04-24,0.0,0.08,0.08,0.08,307900,0.0,0.0
1980-04-25,0.0,0.08,0.08,0.08,200500,0.0,0.0
1980-04-28,0.0,0.08,0.08,0.08,564900,0.0,0.0
1980-04-29,0.0,0.08,0.08,0.08,125400,0.0,0.0
1980-04-30,0.0,0.08,0.08,0.08,285400,0.0,0.0
1980-05-01,0.0,0.08,0.08,0.08,446900,0.0,0.0
1980-05-02,0.0,0.08,0.08,0.08,383100,0.0,0.0
1980-05-05,0.0,0.08,0.08,0.08,135200,0.0,0.0
1980-05-06,0.0,0.08,0.08,0.08,317000,0.0,0.0
1980-05-07,0.0,0.08,0.08,0.08,788700,0.0,0.0
1980-05-08,0.0,0.08,0.08,0.08,1785600,0.0,0.0
1980-05-09,0.0,0.08,0.08,0.08,503300,0.0,0.0
1980-05-12,0.0,0.08,0.08,0.08,484500,0.0,0.0
1980-05-13,0.0,0.08,0.08,0.08,217800,0.0,0.0
1980-05-14,0.0,0.08,0.08,0.08,315500,0.0,0.0
1980-05-15,0.0,0.08,0.08,0.08,219300,0.0,0.0
1980-05-16,0.0,0.08,0.08,0.08,317000,0.0,0.0
1980-05-19,0.0,0.08,0.08,0.08,405600,0.0,0.0
1980-05-20,0.0,0.08,0.08,0.08,123900,0.0,0.0
1980-05-21,0.0,0.08,0.08,0.08,330500,0.0,0.0
1980-05-22,0.0,0.09,0.08,0.09,835300,0.0,0.0
1980-05-23,0.0,0.09,0.09,0.09,970500,0.0,0.0
1980-05-27,0.0,0.09,0.09,0.09,459700,0.0,0.0
1980-05-28,0.0,0.09,0.09,0.09,390600,0.0,0.0
1980-05-29,0.0,0.09,0.09,0.09,304200,0.0,0.0
1980-05-30,0.0,0.09,0.09,0.09,221600,0.0,0.0
1980-06-02,0.0,0.09,0.09,0.09,718800,0.0,0.0
1980-06-03,0.0,0.09,0.09,0.09,880400,0.0,0.0
1980-06-04,0.0,0.09,0.09,0.09,91600,0.0,0.0
1980-06-05,0.0,0.09,0.09,0.09,199000,0.0,0.0
1980-06-06,0.0,0.09,0.09,0.09,82600,0.0,0.0
1980-06-09,0.0,0.09,0.09,0.09,180200,0.0,0.0
1980-06-10,0.0,0.09,0.09,0.09,215500,0.0,0.0
1980-06-11,0.0,0.09,0.09,0.09,497200,0.0,0.0
1980-06-12,0.0,0.09,0.09,0.09,323000,0.0,0.0
1980-06-13,0.0,0.09,0.09,0.09,120100,0.0,0.0
1980-06-16,0.0,0.09,0.09,0.09,112600,0.0,0.0
1980-06-17,0.0,0.09,0.09,0.09,116400,0.0,0.0
1980-06-18,0.0,0.09,0.09,0.09,358300,0.0,0.0
1980-06-19,0.0,0.09,0.09,0.09,916400,0.0,0.0
1980-06-20,0.0,0.09,0.09,0.09,97600,0.0,0.0
1980-06-23,0.0,0.09,0.09,0.09,151700,0.0,0.0
1980-06-24,0.0,0.09,0.09,0.09,195300,0.0,0.0
1980-06-25,0.0,0.1,0.09,0.09,349300,0.0,0.0
1980-06-26,0.0,0.1,0.09,0.1,478500,0.0,0.0
1980-06-27,0.0,0.1,0.1,0.1,585900,0.0,0.0
1980-06-30,0.0,0.1,0.1,0.1,463400,0.0,0.0
1980-07-01,0.0,0.1,0.1,0.1,262900,0.0,0.0
1980-07-02,0.0,0.1,0.1,0.1,120100,0.0,0.0
