Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-08-25,2.54,2.57,2.54,2.56,3541000,0.0,0.0
1995-08-28,2.66,2.66,2.61,2.63,1418500,0.2755,0.0
1995-08-29,2.65,2.66,2.6,2.63,879000,0.0,0.0
1995-08-30,2.63,2.64,2.62,2.64,436500,0.0,0.0
1995-08-31,2.64,2.64,2.61,2.63,606500,0.0,0.0
1995-09-01,2.63,2.64,2.62,2.64,217000,0.0,0.0
1995-09-05,2.63,2.64,2.62,2.63,385500,0.0,0.0
1995-09-06,2.62,2.63,2.61,2.62,247000,0.0,0.0
1995-09-07,2.62,2.62,2.59,2.6,738000,0.0,0.0
1995-09-08,2.58,2.59,2.47,2.47,946000,0.0,0.0
1995-09-11,2.48,2.57,2.48,2.53,434000,0.0,0.0
1995-09-12,2.57,2.62,2.57,2.61,817500,0.0,0.0
1995-09-13,2.65,2.66,2.61,2.62,542500,0.0,0.0
1995-09-14,2.62,2.63,2.61,2.63,154500,0.0,0.0
1995-09-15,2.62,2.63,2.62,2.63,218500,0.0,0.0
1995-09-18,2.62,2.64,2.61,2.64,422500,0.0,0.0
1995-09-19,2.63,2.63,2.61,2.62,116500,0.0,0.0
1995-09-20,2.61,2.61,2.57,2.57,124500,0.0,0.0
1995-09-21,2.59,2.6,2.57,2.59,157000,0.0,0.0
1995-09-22,2.57,2.57,2.54,2.54,94500,0.0,0.0
1995-09-25,2.56,2.56,2.53,2.53,53000,0.0,0.0
1995-09-26,2.57,2.59,2.57,2.57,266500,0.0,0.0
1995-09-27,2.56,2.57,2.56,2.56,95000,0.0,0.0
1995-09-28,2.57,2.6,2.57,2.59,205000,0.0,0.0
1995-09-29,2.67,2.72,2.67,2.71,1303000,0.0,0.0
1995-10-02,2.75,2.8,2.75,2.76,570000,0.0,0.0
1995-10-03,2.77,2.78,2.75,2.77,165000,0.0,0.0
1995-10-04,2.76,2.76,2.74,2.74,108500,0.0,0.0
1995-10-05,2.75,2.76,2.74,2.76,70500,0.0,0.0
1995-10-06,2.76,2.76,2.73,2.74,277000,0.0,0.0
1995-10-09,2.73,2.75,2.72,2.72,77000,0.0,0.0
1995-10-10,2.72,2.72,2.67,2.68,80000,0.0,0.0
1995-10-11,2.68,2.71,2.68,2.68,80500,0.0,0.0
1995-10-12,2.7,2.77,2.7,2.76,170000,0.0,0.0
1995-10-13,2.81,2.86,2.81,2.85,201000,0.0,0.0
1995-10-16,2.87,2.92,2.87,2.9,130000,0.0,0.0
1995-10-17,2.89,2.89,2.86,2.86,154500,0.0,0.0
1995-10-18,2.86,2.94,2.86,2.9,169000,0.0,0.0
1995-10-19,2.92,2.96,2.92,2.96,130500,0.0,0.0
1995-10-20,2.98,3.03,2.98,3.01,212500,0.0,0.0
1995-10-23,3.02,3.02,3.01,3.02,66000,0.0,0.0
1995-10-24,3.0,3.0,2.97,2.97,71500,0.0,0.0
1995-10-25,2.97,2.97,2.96,2.96,284500,0.0,0.0
1995-10-26,2.96,2.97,2.92,2.93,96000,0.0,0.0
1995-10-27,2.92,2.93,2.91,2.93,25000,0.0,0.0
1995-10-30,2.92,2.94,2.92,2.92,18500,0.0,0.0
1995-10-31,2.97,3.01,2.97,3.01,208000,0.0,0.0
1995-11-01,3.0,3.0,2.94,2.95,107000,0.0,0.0
1995-11-02,2.96,3.01,2.96,2.99,291000,0.0,0.0
1995-11-03,3.11,3.12,3.11,3.12,252500,0.0,0.0
1995-11-06,3.12,3.14,3.09,3.14,235000,0.0,0.0
1995-11-07,3.14,3.14,3.12,3.12,192000,0.0,0.0
1995-11-08,3.12,3.13,3.11,3.13,14500,0.0,0.0
1995-11-09,3.12,3.16,3.12,3.15,41500,0.0,0.0
1995-11-10,3.14,3.14,3.13,3.13,11000,0.0,0.0
1995-11-13,3.12,3.12,3.1,3.12,29000,0.0,0.0
1995-11-14,3.11,3.11,3.07,3.07,35500,0.0,0.0
1995-11-15,3.07,3.1,3.07,3.1,11500,0.0,0.0
1995-11-16,3.1,3.14,3.1,3.14,31000,0.0,0.0
1995-11-17,3.14,3.14,3.14,3.14,14500,0.0,0.0
1995-11-20,3.14,3.18,3.14,3.17,25000,0.0,0.0
1995-11-21,3.17,3.19,3.17,3.19,6500,0.0,0.0
1995-11-22,3.18,3.23,3.18,3.23,21500,0.0,0.0
1995-11-24,3.23,3.23,3.2,3.2,12000,0.0,0.0
1995-11-27,3.2,3.2,3.16,3.16,21000,0.0,0.0
1995-11-28,3.16,3.2,3.16,3.19,12000,0.0,0.0
1995-11-29,3.18,3.18,3.17,3.17,6500,0.0,0.0
1995-11-30,3.18,3.21,3.18,3.2,16000,0.0,0.0
1995-12-01,3.2,3.2,3.19,3.19,8500,0.0,0.0
1995-12-04,3.18,3.19,3.18,3.19,6500,0.0,0.0
1995-12-05,3.18,3.19,3.18,3.19,3000,0.0,0.0
1995-12-06,3.18,3.18,3.16,3.16,18000,0.0,0.0
1995-12-07,3.18,3.22,3.18,3.21,102500,0.0,0.0
1995-12-08,3.19,3.19,3.18,3.18,5500,0.0,0.0
1995-12-11,3.17,3.17,3.17,3.17,2500,0.0,0.0
1995-12-12,3.16,3.16,3.16,3.16,2000,0.0,0.0
1995-12-13,3.18,3.18,3.15,3.15,8500,0.0,0.0
1995-12-14,3.14,3.14,3.14,3.14,17000,0.0,0.0
1995-12-15,3.13,3.13,3.13,3.13,8000,0.0,0.0
1995-12-18,3.11,3.11,3.11,3.11,4000,0.0,0.0
1995-12-19,3.09,3.09,3.05,3.05,15500,0.0,0.0
1995-12-20,3.05,3.05,3.02,3.02,6500,0.0,0.0
1995-12-21,3.02,3.04,3.01,3.01,7000,0.0,0.0
1995-12-22,3.01,3.01,3.01,3.01,3000,0.0,0.0
1995-12-26,3.0,3.0,3.0,3.0,1500,0.0,0.0
1995-12-27,3.0,3.02,3.0,3.0,19500,0.0,0.0
1995-12-28,3.03,3.05,3.03,3.05,28000,0.0,0.0
1995-12-29,3.04,3.05,3.04,3.05,10500,0.0,0.0
1996-01-02,3.07,3.09,3.07,3.08,38500,0.0,0.0
1996-01-03,3.1,3.14,3.1,3.13,25000,0.0,0.0
1996-01-04,3.13,3.13,3.07,3.07,19500,0.0,0.0
1996-01-05,3.07,3.08,3.07,3.07,15500,0.0,0.0
1996-01-08,3.05,3.05,3.03,3.03,8500,0.0,0.0
1996-01-09,3.03,3.03,2.99,2.99,17500,0.0,0.0
1996-01-10,2.99,2.99,2.93,2.93,14500,0.0,0.0
1996-01-11,2.93,2.95,2.93,2.93,204000,0.0,0.0
1996-01-12,2.92,2.92,2.89,2.9,19000,0.0,0.0
1996-01-15,2.89,2.9,2.89,2.9,8000,0.0,0.0
1996-01-16,2.89,2.89,2.88,2.88,7000,0.0,0.0
1996-01-17,2.89,2.92,2.89,2.91,10000,0.0,0.0
1996-01-18,2.93,2.95,2.93,2.95,59000,0.0,0.0
1996-01-19,2.91,2.91,2.91,2.91,285000,0.0,0.0
1996-01-22,2.92,2.92,2.91,2.91,2000,0.0,0.0
1996-01-23,2.89,2.89,2.83,2.83,18000,0.0,0.0
1996-01-24,2.85,2.87,2.85,2.85,19000,0.0,0.0
1996-01-25,2.87,2.87,2.81,2.81,44000,0.0,0.0
1996-01-26,2.79,2.79,2.78,2.79,23000,0.0,0.0
1996-01-29,2.81,2.85,2.79,2.85,45000,0.0,0.0
1996-01-30,2.85,2.85,2.83,2.83,18000,0.0,0.0
1996-01-31,2.85,2.97,2.85,2.95,174000,0.0,0.0
1996-02-01,2.97,3.03,2.97,3.03,23500,0.0,0.0
1996-02-02,3.03,3.05,3.01,3.01,67500,0.0,0.0
1996-02-05,3.03,3.08,3.03,3.07,23000,0.0,0.0
1996-02-06,3.09,3.13,3.09,3.13,21000,0.0,0.0
1996-02-07,3.14,3.14,3.14,3.14,4000,0.0,0.0
1996-02-08,3.14,3.14,3.13,3.14,8500,0.0,0.0
1996-02-09,3.14,3.14,3.1,3.13,119500,0.0,0.0
1996-02-12,3.22,3.3,3.22,3.3,39500,0.0,0.0
1996-02-13,3.27,3.28,3.24,3.24,23500,0.0,0.0
1996-02-14,3.32,3.44,3.32,3.44,82000,0.0,0.0
1996-02-15,3.46,3.46,3.4,3.4,60000,0.0,0.0
1996-02-16,3.38,3.38,3.32,3.32,20000,0.0,0.0
1996-02-20,3.32,3.34,3.31,3.32,26000,0.0,0.0
1996-02-21,3.3,3.32,3.3,3.32,5500,0.0,0.0
1996-02-22,3.32,3.37,3.32,3.34,46500,0.0,0.0
1996-02-23,3.33,3.33,3.3,3.33,36500,0.0,0.0
1996-02-26,3.33,3.33,3.3,3.32,11000,0.0,0.0
1996-02-27,3.3,3.33,3.3,3.33,27500,0.0,0.0
1996-02-28,3.3,3.3,3.27,3.27,138500,0.0,0.0
1996-02-29,3.26,3.26,3.24,3.24,7500,0.0,0.0
1996-03-01,3.25,3.25,3.22,3.22,8000,0.0,0.0
1996-03-04,3.24,3.24,3.22,3.22,6000,0.0,0.0
1996-03-05,3.24,3.24,3.24,3.24,1000,0.0,0.0
1996-03-06,3.25,3.25,3.25,3.25,7000,0.0,0.0
1996-03-07,3.23,3.23,3.22,3.23,13000,0.0,0.0
1996-03-08,3.22,3.22,3.2,3.2,6500,0.0,0.0
1996-03-11,3.18,3.18,3.14,3.14,31000,0.0,0.0
1996-03-12,3.13,3.13,3.09,3.09,17500,0.0,0.0
1996-03-13,3.08,3.08,3.07,3.07,8500,0.0,0.0
1996-03-14,3.06,3.07,3.06,3.07,2000,0.0,0.0
1996-03-15,3.07,3.07,3.07,3.07,500,0.0,0.0
1996-03-18,3.08,3.11,3.08,3.09,7500,0.0,0.0
1996-03-19,3.11,3.14,3.11,3.14,15000,0.0,0.0
1996-03-20,3.16,3.2,3.16,3.2,11000,0.0,0.0
1996-03-21,3.21,3.23,3.2,3.2,15000,0.0,0.0
1996-03-22,3.18,3.18,3.16,3.16,9500,0.0,0.0
1996-03-25,3.14,3.14,3.13,3.14,8500,0.0,0.0
1996-03-26,3.13,3.18,3.13,3.16,37500,0.0,0.0
1996-03-27,3.16,3.16,3.14,3.15,7000,0.0,0.0
1996-03-28,3.14,3.15,3.14,3.14,3000,0.0,0.0
1996-03-29,3.15,3.15,3.14,3.15,8500,0.0,0.0
1996-04-01,3.15,3.15,3.11,3.11,18500,0.0,0.0
1996-04-02,3.13,3.13,3.1,3.11,9500,0.0,0.0
1996-04-03,3.13,3.14,3.13,3.14,4500,0.0,0.0
1996-04-04,3.16,3.16,3.13,3.13,27500,0.0,0.0
1996-04-08,3.13,3.13,3.11,3.12,8000,0.0,0.0
1996-04-09,3.38,3.38,3.34,3.34,11000,0.612,0.0
1996-04-10,3.34,3.34,3.32,3.32,5500,0.0,0.0
1996-04-11,3.29,3.29,3.24,3.24,30500,0.0,0.0
1996-04-12,3.24,3.24,3.17,3.2,131500,0.0,0.0
1996-04-15,3.22,3.23,3.18,3.18,13000,0.0,0.0
1996-04-16,3.17,3.17,3.17,3.17,2000,0.0,0.0
1996-04-17,3.16,3.2,3.16,3.2,28000,0.0,0.0
1996-04-18,3.22,3.22,3.16,3.17,9000,0.0,0.0
1996-04-19,3.15,3.15,3.13,3.13,11000,0.0,0.0
1996-04-22,3.13,3.14,3.13,3.14,13500,0.0,0.0
1996-04-23,3.16,3.22,3.16,3.17,328000,0.0,0.0
1996-04-24,3.2,3.22,3.2,3.22,13500,0.0,0.0
1996-04-25,3.24,3.24,3.2,3.2,7000,0.0,0.0
1996-04-26,3.2,3.23,3.2,3.23,10000,0.0,0.0
1996-04-29,3.24,3.25,3.23,3.23,10000,0.0,0.0
1996-04-30,3.21,3.21,3.15,3.15,177000,0.0,0.0
1996-05-01,3.17,3.17,3.13,3.13,134000,0.0,0.0
