Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.6,0.57,0.57,37600,0.0,0.0
1980-03-18,0.0,0.62,0.59,0.59,100800,0.0,0.0
1980-03-19,0.0,0.64,0.61,0.61,30400,0.0,0.0
1980-03-20,0.0,0.64,0.61,0.61,27200,0.0,0.0
1980-03-21,0.0,0.64,0.61,0.61,7200,0.0,0.0
1980-03-24,0.0,0.63,0.6,0.6,50400,0.0,0.0
1980-03-25,0.0,0.63,0.6,0.6,26400,0.0,0.0
1980-03-26,0.0,0.63,0.6,0.6,80800,0.0,0.0
1980-03-27,0.0,0.62,0.59,0.59,70400,0.0,0.0
1980-03-28,0.0,0.64,0.61,0.61,63200,0.0,0.0
1980-03-31,0.0,0.64,0.61,0.61,4800,0.0,0.0
1980-04-01,0.0,0.66,0.63,0.63,27200,0.0,0.0
1980-04-02,0.0,0.69,0.66,0.66,38400,0.0,0.0
1980-04-03,0.0,0.69,0.66,0.66,7200,0.0,0.0
1980-04-07,0.0,0.69,0.66,0.66,9600,0.0,0.0
1980-04-08,0.0,0.69,0.66,0.66,27200,0.0,0.0
1980-04-09,0.0,0.73,0.71,0.71,48000,0.0,0.0
1980-04-10,0.0,0.73,0.71,0.71,23200,0.0,0.0
1980-04-11,0.0,0.74,0.71,0.71,54400,0.0,0.0
1980-04-14,0.0,0.74,0.71,0.71,32800,0.0,0.0
1980-04-15,0.0,0.75,0.72,0.72,44000,0.0,0.0
1980-04-16,0.0,0.74,0.71,0.71,76000,0.0,0.0
1980-04-17,0.0,0.71,0.68,0.68,247200,0.0,0.0
1980-04-18,0.0,0.71,0.68,0.68,8000,0.0,0.0
1980-04-21,0.0,0.71,0.69,0.69,38400,0.0,0.0
1980-04-22,0.0,0.72,0.7,0.7,188800,0.0,0.0
1980-04-23,0.0,0.71,0.69,0.69,68800,0.0,0.0
1980-04-24,0.0,0.71,0.69,0.69,71200,0.0,0.0
1980-04-25,0.0,0.71,0.69,0.69,18400,0.0,0.0
1980-04-28,0.0,0.71,0.69,0.69,39200,0.0,0.0
1980-04-29,0.0,0.71,0.69,0.69,4000,0.0,0.0
1980-04-30,0.0,0.71,0.69,0.69,23200,0.0,0.0
1980-05-01,0.0,0.72,0.7,0.7,21600,0.0,0.0
1980-05-02,0.0,0.71,0.69,0.69,30400,0.0,0.0
1980-05-05,0.0,0.71,0.69,0.69,8800,0.0,0.0
1980-05-06,0.0,0.71,0.69,0.69,3200,0.0,0.0
1980-05-07,0.0,0.71,0.69,0.69,8800,0.0,0.0
1980-05-08,0.0,0.71,0.68,0.68,25600,0.0,0.0
1980-05-09,0.0,0.71,0.68,0.68,24800,0.0,0.0
1980-05-12,0.0,0.71,0.68,0.68,47200,0.0,0.0
1980-05-13,0.0,0.72,0.7,0.7,236800,0.0,0.0
1980-05-14,0.0,0.72,0.7,0.7,48800,0.0,0.0
1980-05-15,0.0,0.73,0.71,0.71,61600,0.0,0.0
1980-05-16,0.0,0.74,0.71,0.71,16000,0.0,0.0
1980-05-19,0.0,0.75,0.72,0.72,35200,0.0,0.0
1980-05-20,0.0,0.73,0.71,0.71,120800,0.0,0.0
1980-05-21,0.0,0.72,0.7,0.7,22400,0.0,0.0
1980-05-22,0.0,0.72,0.7,0.7,18400,0.0,0.0
1980-05-23,0.0,0.72,0.7,0.7,28800,0.0,0.0
1980-05-27,0.0,0.73,0.71,0.71,12800,0.0,0.0
1980-05-28,0.0,0.72,0.7,0.7,64800,0.0,0.0
1980-05-29,0.0,0.72,0.7,0.7,64000,0.0,0.0
1980-05-30,0.0,0.71,0.69,0.69,75200,0.0,0.0
1980-06-02,0.0,0.71,0.69,0.69,4000,0.0,0.0
1980-06-03,0.0,0.71,0.68,0.68,20800,0.0,0.0
1980-06-04,0.0,0.71,0.68,0.68,46400,0.0,0.0
1980-06-05,0.0,0.71,0.69,0.69,42400,0.0,0.0
1980-06-06,0.0,0.7,0.67,0.67,34400,0.0,0.0
1980-06-09,0.0,0.69,0.66,0.66,27200,0.0,0.0
1980-06-10,0.0,0.68,0.65,0.65,147200,0.0,0.0
1980-06-11,0.0,0.69,0.66,0.66,97600,0.0,0.0
1980-06-12,0.0,0.68,0.65,0.65,84800,0.0,0.0
1980-06-13,0.0,0.68,0.65,0.65,50400,0.0,0.0
1980-06-16,0.0,0.68,0.65,0.65,8800,0.0,0.0
1980-06-17,0.0,0.69,0.66,0.66,143200,0.0,0.0
