Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,0.38,0.37,0.37,140800,0.0,0.0
1973-02-22,0.0,0.38,0.37,0.38,128000,0.0,0.0
1973-02-23,0.0,0.38,0.36,0.36,104000,0.0,0.0
1973-02-26,0.0,0.37,0.36,0.36,108800,0.01688,0.0
1973-02-27,0.0,0.37,0.36,0.37,94400,0.0,0.0
1973-02-28,0.0,0.37,0.37,0.37,43200,0.0,0.0
1973-03-01,0.0,0.38,0.37,0.38,147200,0.0,0.0
1973-03-02,0.0,0.38,0.37,0.38,142400,0.0,0.0
1973-03-05,0.0,0.38,0.38,0.38,27200,0.0,0.0
1973-03-06,0.0,0.38,0.38,0.38,116800,0.0,0.0
1973-03-07,0.0,0.38,0.37,0.38,49600,0.0,0.0
1973-03-08,0.0,0.38,0.37,0.38,110400,0.0,0.0
1973-03-09,0.0,0.38,0.37,0.37,129600,0.0,0.0
1973-03-12,0.0,0.38,0.37,0.37,68800,0.0,0.0
1973-03-13,0.0,0.38,0.37,0.38,65600,0.0,0.0
1973-03-14,0.0,0.38,0.37,0.37,385600,0.0,0.0
1973-03-15,0.0,0.37,0.37,0.37,60800,0.0,0.0
1973-03-16,0.0,0.38,0.37,0.38,134400,0.0,0.0
1973-03-19,0.0,0.38,0.37,0.38,51200,0.0,0.0
1973-03-20,0.0,0.39,0.38,0.39,57600,0.0,0.0
1973-03-21,0.0,0.39,0.38,0.38,33600,0.0,0.0
1973-03-22,0.0,0.38,0.37,0.37,142400,0.0,0.0
1973-03-23,0.0,0.38,0.37,0.38,24000,0.0,0.0
1973-03-26,0.0,0.39,0.38,0.38,163200,0.0,0.0
1973-03-27,0.0,0.39,0.39,0.39,51200,0.0,0.0
1973-03-28,0.0,0.4,0.39,0.39,59200,0.0,0.0
1973-03-29,0.0,0.4,0.39,0.4,123200,0.0,0.0
1973-03-30,0.0,0.41,0.4,0.41,155200,0.0,0.0
1973-04-02,0.0,0.41,0.41,0.41,62400,0.0,0.0
1973-04-03,0.0,0.42,0.4,0.42,57600,0.0,0.0
1973-04-04,0.0,0.42,0.41,0.41,49600,0.0,0.0
1973-04-05,0.0,0.42,0.41,0.42,121600,0.0,0.0
1973-04-06,0.0,0.42,0.41,0.41,182400,0.0,0.0
1973-04-09,0.0,0.42,0.41,0.42,339200,0.0,0.0
1973-04-10,0.0,0.42,0.41,0.41,84800,0.0,0.0
1973-04-11,0.0,0.42,0.41,0.41,19200,0.0,0.0
1973-04-12,0.0,0.41,0.41,0.41,27200,0.0,0.0
1973-04-13,0.0,0.41,0.4,0.41,27200,0.0,0.0
1973-04-16,0.0,0.42,0.41,0.42,32000,0.0,0.0
1973-04-17,0.0,0.43,0.42,0.42,107200,0.0,0.0
1973-04-18,0.0,0.42,0.41,0.42,67200,0.0,0.0
1973-04-19,0.0,0.42,0.42,0.42,54400,0.0,0.0
1973-04-23,0.0,0.42,0.41,0.42,40000,0.0,0.0
1973-04-24,0.0,0.42,0.41,0.42,64000,0.0,0.0
1973-04-25,0.0,0.41,0.41,0.41,68800,0.0,0.0
1973-04-26,0.0,0.41,0.39,0.41,96000,0.0,0.0
1973-04-27,0.0,0.41,0.4,0.4,27200,0.0,0.0
1973-04-30,0.0,0.41,0.4,0.41,92000,0.0,2.0
1973-05-01,0.0,0.42,0.4,0.4,51200,0.0,0.0
1973-05-02,0.0,0.41,0.4,0.41,10400,0.0,0.0
1973-05-03,0.0,0.44,0.42,0.43,106400,0.0,0.0
1973-05-04,0.0,0.46,0.43,0.45,194400,0.0,0.0
1973-05-07,0.0,0.45,0.43,0.43,59200,0.0,0.0
1973-05-08,0.0,0.44,0.43,0.44,62400,0.0,0.0
1973-05-09,0.0,0.46,0.44,0.44,128800,0.0,0.0
1973-05-10,0.0,0.45,0.42,0.43,92000,0.0,0.0
1973-05-11,0.0,0.44,0.43,0.44,20800,0.0,0.0
1973-05-14,0.0,0.44,0.43,0.44,48800,0.0,0.0
1973-05-15,0.0,0.44,0.42,0.43,50400,0.0,0.0
1973-05-16,0.0,0.43,0.42,0.42,66400,0.0,0.0
1973-05-17,0.0,0.43,0.41,0.42,31200,0.0,0.0
1973-05-18,0.0,0.42,0.4,0.41,64800,0.0,0.0
1973-05-21,0.0,0.43,0.4,0.42,80000,0.0,0.0
1973-05-22,0.0,0.43,0.41,0.43,75200,0.0,0.0
1973-05-23,0.0,0.43,0.42,0.42,48000,0.0,0.0
1973-05-24,0.0,0.43,0.41,0.43,53600,0.0,0.0
1973-05-25,0.0,0.43,0.42,0.42,39200,0.0,0.0
1973-05-29,0.0,0.43,0.42,0.43,48000,0.0,0.0
1973-05-30,0.0,0.42,0.41,0.41,149600,0.0,0.0
1973-05-31,0.0,0.41,0.39,0.39,69600,0.0,0.0
1973-06-01,0.0,0.41,0.39,0.4,61600,0.0,0.0
1973-06-04,0.0,0.41,0.4,0.4,41600,0.0,0.0
1973-06-05,0.0,0.4,0.4,0.4,113600,0.0,0.0
1973-06-06,0.0,0.42,0.4,0.41,78400,0.0,0.0
1973-06-07,0.0,0.42,0.41,0.42,43200,0.0,0.0
1973-06-08,0.0,0.44,0.42,0.43,107200,0.0,0.0
1973-06-11,0.0,0.44,0.43,0.43,116800,0.0,0.0
1973-06-12,0.0,0.44,0.43,0.43,63200,0.0,0.0
1973-06-13,0.0,0.43,0.43,0.43,287200,0.0,0.0
1973-06-14,0.0,0.43,0.4,0.41,86400,0.0,0.0
1973-06-15,0.0,0.41,0.4,0.4,47200,0.0,0.0
1973-06-18,0.0,0.41,0.4,0.41,50400,0.0,0.0
1973-06-19,0.0,0.41,0.4,0.41,54400,0.0,0.0
1973-06-20,0.0,0.42,0.41,0.41,35200,0.0,0.0
1973-06-21,0.0,0.41,0.41,0.41,71200,0.0,0.0
1973-06-22,0.0,0.42,0.41,0.42,32000,0.0,0.0
1973-06-25,0.0,0.42,0.41,0.41,48800,0.0,0.0
1973-06-26,0.0,0.41,0.38,0.38,118400,0.0,0.0
1973-06-27,0.0,0.38,0.34,0.36,494400,0.0,0.0
1973-06-28,0.0,0.37,0.36,0.37,332800,0.0,0.0
1973-06-29,0.0,0.37,0.36,0.37,92800,0.0,0.0
1973-07-02,0.0,0.37,0.36,0.36,29600,0.0,0.0
1973-07-03,0.0,0.38,0.36,0.38,46400,0.0,0.0
1973-07-05,0.0,0.38,0.37,0.37,10400,0.0,0.0
1973-07-06,0.0,0.37,0.36,0.36,15200,0.0,0.0
1973-07-09,0.0,0.37,0.36,0.36,60800,0.0,0.0
1973-07-10,0.0,0.37,0.36,0.37,47200,0.0,0.0
1973-07-11,0.0,0.37,0.37,0.37,46400,0.0,0.0
1973-07-12,0.0,0.37,0.36,0.36,56800,0.0,0.0
1973-07-13,0.0,0.37,0.36,0.36,79200,0.0,0.0
1973-07-16,0.0,0.38,0.37,0.38,44800,0.0,0.0
1973-07-17,0.0,0.38,0.37,0.37,40000,0.0,0.0
1973-07-18,0.0,0.36,0.35,0.36,128000,0.0,0.0
1973-07-19,0.0,0.37,0.36,0.37,48800,0.0,0.0
1973-07-20,0.0,0.39,0.37,0.39,87200,0.0,0.0
1973-07-23,0.0,0.39,0.37,0.38,73600,0.0,0.0
1973-07-24,0.0,0.38,0.37,0.38,60800,0.0,0.0
1973-07-25,0.0,0.38,0.37,0.37,29600,0.0,0.0
1973-07-26,0.0,0.39,0.37,0.38,307200,0.0,0.0
1973-07-27,0.0,0.38,0.37,0.38,197600,0.0,0.0
1973-07-30,0.0,0.38,0.37,0.37,37600,0.0,0.0
1973-07-31,0.0,0.38,0.37,0.37,39200,0.0,0.0
1973-08-01,0.0,0.37,0.36,0.37,117600,0.0,0.0
1973-08-02,0.0,0.37,0.37,0.37,43200,0.0,0.0
1973-08-03,0.0,0.38,0.38,0.38,57600,0.0,0.0
1973-08-06,0.0,0.38,0.37,0.38,80000,0.0,0.0
1973-08-07,0.0,0.39,0.36,0.37,144800,0.0,0.0
1973-08-08,0.0,0.37,0.36,0.36,21600,0.0,0.0
1973-08-09,0.0,0.37,0.36,0.36,106400,0.0,0.0
1973-08-10,0.0,0.37,0.36,0.36,182400,0.0,0.0
1973-08-13,0.0,0.36,0.36,0.36,16800,0.0,0.0
1973-08-14,0.0,0.37,0.36,0.36,238400,0.0,0.0
1973-08-15,0.0,0.37,0.37,0.37,314400,0.0,0.0
1973-08-16,0.0,0.37,0.37,0.37,55200,0.0,0.0
1973-08-17,0.0,0.37,0.36,0.37,60800,0.0,0.0
1973-08-20,0.0,0.37,0.37,0.37,26400,0.0,0.0
1973-08-21,0.0,0.37,0.36,0.36,47200,0.0,0.0
1973-08-22,0.0,0.37,0.36,0.36,24800,0.0,0.0
1973-08-23,0.0,0.37,0.36,0.36,21600,0.0,0.0
1973-08-24,0.0,0.37,0.37,0.37,14400,0.0,0.0
1973-08-27,0.0,0.37,0.36,0.36,40800,0.0,0.0
1973-08-28,0.0,0.37,0.36,0.37,19200,0.0,0.0
1973-08-29,0.0,0.37,0.37,0.37,65600,0.0,0.0
1973-08-30,0.0,0.37,0.37,0.37,20000,0.0,0.0
1973-08-31,0.0,0.38,0.37,0.38,55200,0.0,0.0
1973-09-04,0.0,0.39,0.38,0.39,43200,0.0,0.0
1973-09-05,0.0,0.39,0.39,0.39,33600,0.0,0.0
1973-09-06,0.0,0.39,0.39,0.39,60800,0.0,0.0
1973-09-07,0.0,0.39,0.39,0.39,29600,0.0,0.0
1973-09-10,0.0,0.39,0.39,0.39,30400,0.0,0.0
1973-09-11,0.0,0.39,0.39,0.39,24800,0.0,0.0
1973-09-12,0.0,0.39,0.38,0.39,72800,0.0,0.0
1973-09-13,0.0,0.39,0.38,0.38,11200,0.0,0.0
1973-09-14,0.0,0.4,0.38,0.39,40000,0.0,0.0
1973-09-17,0.0,0.39,0.39,0.39,12800,0.0,0.0
1973-09-18,0.0,0.4,0.39,0.4,79200,0.0,0.0
1973-09-19,0.0,0.4,0.39,0.4,64000,0.0,0.0
1973-09-20,0.0,0.39,0.38,0.39,48800,0.0,0.0
1973-09-21,0.0,0.39,0.38,0.39,124000,0.0,0.0
1973-09-24,0.0,0.39,0.38,0.39,32800,0.0,0.0
1973-09-25,0.0,0.4,0.38,0.4,101600,0.0,0.0
1973-09-26,0.0,0.4,0.39,0.39,43200,0.0,0.0
1973-09-27,0.0,0.39,0.39,0.39,36000,0.0,0.0
1973-09-28,0.0,0.39,0.38,0.38,132000,0.0,0.0
1973-10-01,0.0,0.37,0.37,0.37,63200,0.0,0.0
1973-10-02,0.0,0.39,0.37,0.39,142400,0.0,0.0
1973-10-03,0.0,0.39,0.38,0.38,63200,0.0,0.0
1973-10-04,0.0,0.4,0.39,0.4,289600,0.0,0.0
1973-10-05,0.0,0.4,0.39,0.39,196000,0.0,0.0
1973-10-08,0.0,0.4,0.39,0.39,29600,0.0,0.0
1973-10-09,0.0,0.4,0.39,0.4,35200,0.0,0.0
1973-10-10,0.0,0.4,0.39,0.39,60800,0.0,0.0
1973-10-11,0.0,0.4,0.39,0.4,61600,0.0,0.0
1973-10-12,0.0,0.4,0.39,0.39,32800,0.0,0.0
1973-10-15,0.0,0.4,0.39,0.39,13600,0.0,0.0
1973-10-16,0.0,0.4,0.38,0.38,244800,0.0,0.0
1973-10-17,0.0,0.39,0.38,0.38,30400,0.0,0.0
1973-10-18,0.0,0.4,0.38,0.39,105600,0.0,0.0
1973-10-19,0.0,0.4,0.39,0.39,45600,0.0,0.0
1973-10-22,0.0,0.4,0.38,0.4,40800,0.0,0.0
1973-10-23,0.0,0.4,0.38,0.39,56000,0.0,0.0
1973-10-24,0.0,0.4,0.39,0.39,64000,0.0,0.0
1973-10-25,0.0,0.39,0.39,0.39,23200,0.0,0.0
1973-10-26,0.0,0.4,0.39,0.4,148000,0.0,0.0
1973-10-29,0.0,0.4,0.39,0.4,24800,0.0,0.0
1973-10-30,0.0,0.4,0.39,0.39,94400,0.0,0.0
1973-10-31,0.0,0.4,0.39,0.39,246400,0.0,0.0
