Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-11-05,0.44,0.44,0.44,0.44,55000,0.0,0.0
1987-11-06,0.44,0.45,0.44,0.44,212000,0.0,0.0
1987-11-09,0.44,0.44,0.43,0.43,107600,0.0,0.0
1987-11-10,0.43,0.44,0.43,0.44,61600,0.0,0.0
1987-11-11,0.43,0.44,0.43,0.44,65600,0.0,0.0
1987-11-12,0.45,0.47,0.44,0.46,102000,0.0,0.0
1987-11-13,0.46,0.47,0.46,0.46,30200,0.0,0.0
1987-11-16,0.46,0.47,0.46,0.46,53400,0.0,0.0
1987-11-17,0.46,0.47,0.45,0.45,29800,0.0,0.0
1987-11-18,0.45,0.45,0.44,0.44,38400,0.0,0.0
1987-11-19,0.43,0.44,0.42,0.42,422800,0.0,0.0
1987-11-20,0.42,0.42,0.41,0.42,111200,0.0,0.0
1987-11-23,0.42,0.42,0.42,0.42,31800,0.0,0.0
1987-11-24,0.44,0.46,0.43,0.45,198200,0.3,0.0
1987-11-25,0.45,0.45,0.44,0.44,96000,0.0,0.0
1987-11-27,0.44,0.45,0.44,0.45,31000,0.0,0.0
1987-11-30,0.44,0.44,0.43,0.44,74600,0.0,0.0
1987-12-01,0.43,0.45,0.43,0.44,96800,0.0,0.0
1987-12-02,0.44,0.45,0.44,0.44,78200,0.0,0.0
1987-12-03,0.44,0.44,0.43,0.43,29000,0.0,0.0
1987-12-04,0.43,0.43,0.43,0.43,73200,0.0,0.0
1987-12-07,0.42,0.43,0.42,0.42,46200,0.0,0.0
1987-12-08,0.42,0.44,0.42,0.44,84000,0.0,0.0
1987-12-09,0.43,0.44,0.41,0.42,111200,0.0,0.0
1987-12-10,0.42,0.42,0.41,0.42,63800,0.0,0.0
1987-12-11,0.42,0.42,0.41,0.42,48400,0.0,0.0
1987-12-14,0.42,0.43,0.41,0.42,92600,0.0,0.0
1987-12-15,0.42,0.43,0.42,0.43,67800,0.0,0.0
1987-12-16,0.43,0.44,0.42,0.42,131800,0.0,0.0
1987-12-17,0.42,0.45,0.42,0.44,295600,0.0,0.0
1987-12-18,0.44,0.45,0.44,0.45,198800,0.0,0.0
1987-12-21,0.45,0.47,0.44,0.45,109400,0.0,0.0
1987-12-22,0.45,0.45,0.44,0.45,114200,0.0,0.0
1987-12-23,0.45,0.48,0.44,0.47,135200,0.07746,0.0
1987-12-24,0.48,0.48,0.46,0.47,135800,0.0,0.0
1987-12-28,0.46,0.48,0.45,0.48,76800,0.0,0.0
1987-12-29,0.47,0.48,0.46,0.46,46800,0.0,0.0
1987-12-30,0.46,0.47,0.45,0.47,73800,0.0,0.0
1987-12-31,0.47,0.47,0.44,0.45,53600,0.0,0.0
1988-01-04,0.44,0.47,0.44,0.46,67800,0.0,0.0
1988-01-05,0.47,0.48,0.47,0.48,158400,0.0,0.0
1988-01-06,0.49,0.49,0.47,0.48,214800,0.0,0.0
1988-01-07,0.47,0.48,0.47,0.48,86000,0.0,0.0
1988-01-08,0.48,0.48,0.46,0.46,30600,0.0,0.0
1988-01-11,0.46,0.47,0.46,0.46,28800,0.0,0.0
1988-01-12,0.46,0.46,0.44,0.45,98400,0.0,0.0
1988-01-13,0.45,0.45,0.43,0.44,82400,0.0,0.0
1988-01-14,0.45,0.46,0.43,0.44,169000,0.0,0.0
1988-01-15,0.44,0.44,0.43,0.44,177800,0.0,0.0
1988-01-18,0.44,0.45,0.44,0.45,31200,0.0,0.0
1988-01-19,0.45,0.47,0.45,0.47,41400,0.0,0.0
1988-01-20,0.46,0.47,0.45,0.46,175800,0.0,0.0
1988-01-21,0.46,0.46,0.45,0.45,73200,0.0,0.0
1988-01-22,0.46,0.46,0.46,0.46,15000,0.0,0.0
1988-01-25,0.46,0.47,0.45,0.46,32000,0.0,0.0
1988-01-26,0.46,0.46,0.46,0.46,32000,0.0,0.0
1988-01-27,0.46,0.48,0.46,0.47,249600,0.0,0.0
1988-01-28,0.47,0.47,0.47,0.47,21200,0.0,0.0
1988-01-29,0.47,0.48,0.46,0.47,55600,0.0,0.0
1988-02-01,0.48,0.48,0.47,0.47,87000,0.0,0.0
1988-02-02,0.47,0.47,0.46,0.47,32400,0.0,0.0
1988-02-03,0.46,0.47,0.46,0.46,97800,0.0,0.0
1988-02-04,0.46,0.46,0.45,0.45,13800,0.0,0.0
1988-02-05,0.45,0.46,0.45,0.45,41400,0.0,0.0
1988-02-08,0.46,0.46,0.45,0.45,21800,0.0,0.0
1988-02-09,0.45,0.45,0.43,0.44,83800,0.0,0.0
1988-02-10,0.44,0.44,0.43,0.44,108600,0.0,0.0
1988-02-11,0.45,0.46,0.44,0.45,123800,0.0,0.0
1988-02-12,0.44,0.46,0.44,0.46,102600,0.0,0.0
1988-02-16,0.45,0.46,0.44,0.44,60600,0.0,0.0
1988-02-17,0.45,0.46,0.45,0.46,27600,0.0,0.0
1988-02-18,0.46,0.46,0.46,0.46,8600,0.0,0.0
1988-02-19,0.46,0.46,0.45,0.46,23000,0.0,0.0
1988-02-22,0.46,0.46,0.45,0.46,37800,0.0,0.0
1988-02-23,0.45,0.46,0.45,0.46,62400,0.0,0.0
1988-02-24,0.49,0.49,0.48,0.49,57800,0.34,0.0
1988-02-25,0.49,0.49,0.49,0.49,87000,0.0,0.0
1988-02-26,0.49,0.49,0.49,0.49,60000,0.0,0.0
1988-02-29,0.48,0.49,0.48,0.48,49800,0.0,0.0
1988-03-01,0.49,0.49,0.48,0.48,69600,0.0,0.0
1988-03-02,0.48,0.48,0.48,0.48,269800,0.0,0.0
1988-03-03,0.47,0.48,0.47,0.47,105600,0.0,0.0
1988-03-04,0.47,0.49,0.46,0.49,93800,0.0,0.0
1988-03-07,0.49,0.49,0.48,0.49,327400,0.0,0.0
1988-03-08,0.49,0.51,0.49,0.49,126400,0.0,0.0
1988-03-09,0.49,0.5,0.49,0.49,166200,0.0,0.0
1988-03-10,0.49,0.5,0.49,0.49,193600,0.0,0.0
1988-03-11,0.49,0.5,0.49,0.49,90600,0.0,0.0
1988-03-14,0.49,0.5,0.49,0.5,82600,0.0,0.0
1988-03-15,0.5,0.51,0.5,0.5,48600,0.0,0.0
1988-03-16,0.49,0.5,0.49,0.49,78200,0.0,0.0
1988-03-17,0.49,0.5,0.49,0.5,114800,0.0,0.0
1988-03-18,0.49,0.51,0.49,0.5,81600,0.0,0.0
1988-03-21,0.49,0.5,0.49,0.49,71800,0.0,0.0
1988-03-22,0.49,0.49,0.48,0.48,101400,0.0,0.0
1988-03-23,0.48,0.49,0.47,0.49,136000,0.0,0.0
1988-03-24,0.49,0.49,0.48,0.49,61400,0.0,0.0
1988-03-25,0.49,0.49,0.48,0.49,28400,0.08299,0.0
1988-03-28,0.48,0.49,0.48,0.48,81800,0.0,0.0
1988-03-29,0.49,0.49,0.48,0.48,195400,0.0,0.0
1988-03-30,0.48,0.48,0.47,0.48,57000,0.0,0.0
