Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-11-22,0.17,0.17,0.17,0.17,6522600,0.0,0.0
1991-11-25,0.17,0.17,0.17,0.17,868800,0.0,0.0
1991-11-26,0.17,0.17,0.17,0.17,165000,0.0,0.0
1991-11-27,0.17,0.17,0.17,0.17,93600,0.0,0.0
1991-11-29,0.17,0.17,0.17,0.17,151400,0.0,0.0
1991-12-02,0.17,0.17,0.17,0.17,420200,0.0,0.0
1991-12-03,0.17,0.17,0.17,0.17,154800,0.0,0.0
1991-12-04,0.17,0.17,0.17,0.17,189200,0.0,0.0
1991-12-05,0.17,0.17,0.17,0.17,173600,0.0,0.0
1991-12-06,0.17,0.17,0.17,0.17,270200,0.0,0.0
1991-12-09,0.17,0.17,0.17,0.17,54200,0.0,0.0
1991-12-10,0.17,0.17,0.17,0.17,177600,0.0,0.0
1991-12-11,0.16,0.17,0.16,0.17,302600,0.0,0.0
1991-12-12,0.17,0.17,0.16,0.17,72800,0.0,0.0
1991-12-13,0.17,0.17,0.17,0.17,157800,0.0,0.0
1991-12-16,0.17,0.17,0.17,0.17,49400,0.0,0.0
1991-12-17,0.17,0.17,0.17,0.17,63200,0.0,0.0
1991-12-18,0.17,0.17,0.17,0.17,24200,0.0,0.0
1991-12-19,0.17,0.17,0.17,0.17,62000,0.0,0.0
1991-12-20,0.17,0.17,0.17,0.17,137600,0.0,0.0
1991-12-23,0.17,0.17,0.17,0.17,158600,0.0,0.0
1991-12-24,0.17,0.17,0.17,0.17,62400,0.0,0.0
1991-12-26,0.17,0.18,0.17,0.17,83600,0.0,0.0
1991-12-27,0.17,0.17,0.17,0.17,183000,0.0,0.0
1991-12-30,0.17,0.17,0.17,0.17,101600,0.0,0.0
1991-12-31,0.17,0.18,0.17,0.18,126000,0.0,0.0
1992-01-02,0.18,0.18,0.18,0.18,173000,0.0,0.0
1992-01-03,0.18,0.18,0.18,0.18,215000,0.0,0.0
1992-01-06,0.18,0.19,0.18,0.19,198000,0.0,0.0
1992-01-07,0.19,0.19,0.19,0.19,434000,0.0,0.0
1992-01-08,0.19,0.19,0.19,0.19,131600,0.0,0.0
1992-01-09,0.19,0.19,0.19,0.19,149400,0.0,0.0
1992-01-10,0.19,0.19,0.19,0.19,184400,0.0,0.0
1992-01-13,0.19,0.19,0.19,0.19,92600,0.0,0.0
1992-01-14,0.19,0.19,0.19,0.19,153000,0.0,0.0
1992-01-15,0.19,0.19,0.19,0.19,106200,0.0,0.0
1992-01-16,0.2,0.2,0.19,0.19,73200,0.0,0.0
1992-01-17,0.19,0.19,0.19,0.19,116000,0.0,0.0
1992-01-20,0.19,0.2,0.19,0.19,60200,0.0,0.0
1992-01-21,0.19,0.2,0.19,0.19,37800,0.0,0.0
1992-01-22,0.19,0.2,0.19,0.19,36000,0.0,0.0
1992-01-23,0.19,0.2,0.19,0.19,50600,0.0,0.0
1992-01-24,0.2,0.2,0.2,0.2,44000,0.1584,0.0
1992-01-27,0.2,0.2,0.2,0.2,35400,0.0,0.0
1992-01-28,0.2,0.2,0.2,0.2,31400,0.0,0.0
1992-01-29,0.21,0.21,0.2,0.2,222600,0.0,0.0
1992-01-30,0.2,0.2,0.2,0.2,224400,0.0,0.0
1992-01-31,0.2,0.21,0.2,0.2,32600,0.0,0.0
1992-02-03,0.2,0.21,0.2,0.21,148400,0.0,0.0
1992-02-04,0.21,0.21,0.21,0.21,55800,0.0,0.0
1992-02-05,0.21,0.21,0.21,0.21,30600,0.0,0.0
1992-02-06,0.21,0.21,0.21,0.21,129000,0.0,0.0
1992-02-07,0.21,0.21,0.21,0.21,152400,0.0,0.0
1992-02-10,0.21,0.21,0.21,0.21,49400,0.0,0.0
1992-02-11,0.21,0.21,0.21,0.21,37800,0.0,0.0
1992-02-12,0.21,0.21,0.21,0.21,321200,0.0,0.0
1992-02-13,0.21,0.21,0.21,0.21,263600,0.0,0.0
1992-02-14,0.21,0.21,0.21,0.21,41400,0.0,0.0
1992-02-18,0.21,0.21,0.21,0.21,26000,0.0,0.0
1992-02-19,0.21,0.21,0.21,0.21,36200,0.0,0.0
1992-02-20,0.2,0.21,0.2,0.21,138600,0.0,0.0
1992-02-21,0.2,0.21,0.2,0.21,4800,0.0,0.0
1992-02-24,0.21,0.21,0.21,0.21,117000,0.0,0.0
1992-02-25,0.21,0.21,0.21,0.21,65600,0.0,0.0
1992-02-26,0.21,0.21,0.21,0.21,101000,0.0,0.0
1992-02-27,0.21,0.21,0.21,0.21,96600,0.0,0.0
1992-02-28,0.21,0.21,0.21,0.21,5600,0.0,0.0
1992-03-02,0.21,0.21,0.21,0.21,162200,0.0,0.0
1992-03-03,0.22,0.22,0.22,0.22,96200,0.0,0.0
1992-03-04,0.22,0.22,0.22,0.22,43400,0.0,0.0
