Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-10-08,0.0,0.66,0.65,0.65,2889600,0.0,0.0
1980-10-09,0.0,0.66,0.66,0.66,1176000,0.0,0.0
1980-10-10,0.0,0.73,0.71,0.71,1824000,0.0,0.0
1980-10-13,0.0,0.78,0.77,0.77,679200,0.0,0.0
1980-10-14,0.0,0.73,0.72,0.72,640800,0.0,0.0
1980-10-15,0.0,0.76,0.74,0.74,408000,0.0,0.0
1980-10-16,0.0,0.74,0.73,0.73,554400,0.0,0.0
1980-10-17,0.0,0.74,0.73,0.73,456000,0.0,0.0
1980-10-20,0.0,0.77,0.76,0.76,213600,0.0,0.0
1980-10-21,0.0,0.73,0.72,0.72,405600,0.0,0.0
1980-10-22,0.0,0.74,0.73,0.73,141600,0.0,0.0
1980-10-23,0.0,0.74,0.72,0.72,180000,0.0,0.0
1980-10-24,0.0,0.76,0.74,0.74,115200,0.0,0.0
1980-10-27,0.0,0.74,0.73,0.73,136800,0.0,0.0
1980-10-28,0.0,0.73,0.71,0.71,168000,0.0,0.0
1980-10-29,0.0,0.73,0.72,0.72,144000,0.0,0.0
1980-10-30,0.0,0.7,0.69,0.69,163200,0.0,0.0
1980-10-31,0.0,0.71,0.7,0.7,124800,0.0,0.0
1980-11-03,0.0,0.72,0.7,0.7,74400,0.0,0.0
1980-11-05,0.0,0.73,0.71,0.71,105600,0.0,0.0
1980-11-06,0.0,0.7,0.68,0.68,72000,0.0,0.0
1980-11-07,0.0,0.68,0.66,0.66,139200,0.0,0.0
1980-11-10,0.0,0.71,0.69,0.69,105600,0.0,0.0
1980-11-11,0.0,0.76,0.75,0.75,134400,0.0,0.0
1980-11-12,0.0,0.8,0.78,0.78,84000,0.0,0.0
1980-11-13,0.0,0.8,0.79,0.79,88800,0.0,0.0
1980-11-14,0.0,0.83,0.81,0.81,172800,0.0,0.0
1980-11-17,0.0,0.87,0.86,0.86,112800,0.0,0.0
1980-11-18,0.0,0.9,0.88,0.88,206400,0.0,0.0
1980-11-19,0.0,0.9,0.88,0.88,55200,0.0,0.0
1980-11-20,0.0,0.86,0.84,0.84,132000,0.0,0.0
1980-11-21,0.0,0.86,0.84,0.84,64800,0.0,0.0
1980-11-24,0.0,0.86,0.84,0.84,57600,0.0,0.0
1980-11-25,0.0,0.92,0.9,0.9,50400,0.0,0.0
1980-11-26,0.0,0.91,0.9,0.9,50400,0.0,0.0
1980-11-28,0.0,0.91,0.9,0.9,64800,0.0,0.0
1980-12-01,0.0,0.89,0.88,0.88,88800,0.0,0.0
1980-12-02,0.0,0.89,0.87,0.87,67200,0.0,0.0
1980-12-03,0.0,0.89,0.87,0.87,93600,0.0,0.0
1980-12-04,0.0,0.89,0.87,0.87,72000,0.0,0.0
1980-12-05,0.0,0.88,0.86,0.86,81600,0.0,0.0
1980-12-08,0.0,0.81,0.76,0.76,105600,0.0,0.0
1980-12-09,0.0,0.81,0.76,0.76,50400,0.0,0.0
1980-12-10,0.0,0.82,0.77,0.77,256800,0.0,0.0
1980-12-11,0.0,0.81,0.76,0.76,120000,0.0,0.0
1980-12-12,0.0,0.81,0.76,0.76,55200,0.0,0.0
1980-12-15,0.0,0.8,0.76,0.76,86400,0.0,0.0
1980-12-16,0.0,0.8,0.76,0.76,36000,0.0,0.0
1980-12-17,0.0,0.8,0.76,0.76,9600,0.0,0.0
1980-12-18,0.0,0.8,0.76,0.76,91200,0.0,0.0
1980-12-19,0.0,0.8,0.75,0.75,26400,0.0,0.0
1980-12-22,0.0,0.8,0.75,0.75,12000,0.0,0.0
1980-12-23,0.0,0.8,0.75,0.75,1063200,0.0,0.0
1980-12-24,0.0,0.8,0.75,0.75,57600,0.0,0.0
1980-12-26,0.0,0.8,0.75,0.75,28800,0.0,0.0
1980-12-29,0.0,0.8,0.75,0.75,40800,0.0,0.0
1980-12-30,0.0,0.8,0.75,0.75,40800,0.0,0.0
1980-12-31,0.0,0.79,0.75,0.75,76800,0.0,0.0
1981-01-02,0.0,0.79,0.75,0.75,16800,0.0,0.0
1981-01-05,0.0,0.79,0.74,0.74,86400,0.0,0.0
1981-01-06,0.0,0.8,0.75,0.75,144000,0.0,0.0
1981-01-07,0.0,0.74,0.69,0.69,196800,0.0,0.0
1981-01-08,0.0,0.72,0.68,0.68,55200,0.0,0.0
1981-01-09,0.0,0.72,0.68,0.68,14400,0.0,0.0
1981-01-12,0.0,0.75,0.71,0.71,93600,0.0,0.0
1981-01-13,0.0,0.74,0.7,0.7,40800,0.0,0.0
1981-01-14,0.0,0.74,0.69,0.69,24000,0.0,0.0
1981-01-15,0.0,0.74,0.69,0.69,28800,0.0,0.0
1981-01-16,0.0,0.65,0.63,0.63,86400,0.0,0.0
1981-01-19,0.0,0.71,0.69,0.69,122400,0.0,0.0
1981-01-20,0.0,0.7,0.67,0.67,153600,0.0,0.0
1981-01-21,0.0,0.73,0.69,0.69,67200,0.0,0.0
1981-01-22,0.0,0.69,0.66,0.66,52800,0.0,0.0
1981-01-23,0.0,0.7,0.67,0.67,45600,0.0,0.0
1981-01-26,0.0,0.69,0.66,0.66,38400,0.0,0.0
1981-01-27,0.0,0.69,0.66,0.66,7200,0.0,0.0
1981-01-28,0.0,0.69,0.66,0.66,21600,0.0,0.0
1981-01-29,0.0,0.69,0.66,0.66,278400,0.0,0.0
1981-01-30,0.0,0.69,0.66,0.66,652800,0.0,0.0
1981-02-02,0.0,0.67,0.63,0.63,14400,0.0,0.0
1981-02-03,0.0,0.64,0.62,0.62,16800,0.0,0.0
1981-02-04,0.0,0.66,0.62,0.62,168000,0.0,0.0
1981-02-05,0.0,0.67,0.63,0.63,43200,0.0,0.0
1981-02-06,0.0,0.67,0.63,0.63,9600,0.0,0.0
1981-02-09,0.0,0.67,0.63,0.63,7200,0.0,0.0
1981-02-10,0.0,0.67,0.63,0.63,21600,0.0,0.0
1981-02-11,0.0,0.66,0.63,0.63,86400,0.0,0.0
1981-02-12,0.0,0.66,0.61,0.61,19200,0.0,0.0
1981-02-13,0.0,0.57,0.54,0.54,741600,0.0,0.0
1981-02-17,0.0,0.6,0.56,0.56,112800,0.0,0.0
1981-02-18,0.0,0.62,0.57,0.57,103200,0.0,0.0
1981-02-19,0.0,0.67,0.62,0.62,62400,0.0,0.0
1981-02-20,0.0,0.71,0.67,0.67,163200,0.0,0.0
1981-02-23,0.0,0.63,0.59,0.59,144000,0.0,0.0
1981-02-24,0.0,0.63,0.59,0.59,117600,0.0,0.0
1981-02-25,0.0,0.6,0.58,0.58,36000,0.0,0.0
