Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.29,0.29,0.29,685800,0.0,0.0
1980-03-18,0.0,0.29,0.29,0.29,383800,0.0,0.0
1980-03-19,0.0,0.29,0.28,0.29,470600,0.0,0.0
1980-03-20,0.0,0.29,0.28,0.28,522300,0.0,0.0
1980-03-21,0.0,0.28,0.28,0.28,420500,0.0,0.0
1980-03-24,0.0,0.28,0.27,0.28,400500,0.0,0.0
1980-03-25,0.0,0.28,0.27,0.28,145100,0.0,0.0
1980-03-26,0.0,0.28,0.28,0.28,423800,0.0,0.0
1980-03-27,0.0,0.28,0.28,0.28,275300,0.0,0.0
1980-03-28,0.0,0.28,0.28,0.28,317000,0.0,0.0
1980-03-31,0.0,0.28,0.28,0.28,91700,0.0,0.0
1980-04-01,0.0,0.28,0.28,0.28,290300,0.0,0.0
1980-04-02,0.0,0.28,0.28,0.28,540600,0.0,0.0
1980-04-03,0.0,0.28,0.28,0.28,215200,0.0,0.0
1980-04-07,0.0,0.28,0.27,0.27,659100,0.0,0.0
1980-04-08,0.0,0.28,0.27,0.27,116800,0.0,0.0
1980-04-09,0.0,0.28,0.27,0.27,136800,0.0,0.0
1980-04-10,0.0,0.27,0.27,0.27,525600,0.0,0.0
1980-04-11,0.0,0.27,0.26,0.26,380400,0.0,0.0
1980-04-14,0.0,0.27,0.26,0.27,664100,0.0,0.0
1980-04-15,0.0,0.27,0.26,0.26,343700,0.0,0.0
1980-04-16,0.0,0.27,0.27,0.27,365400,0.0,0.0
1980-04-17,0.0,0.27,0.27,0.27,488900,0.0,0.0
1980-04-18,0.0,0.27,0.27,0.27,392100,0.0,0.0
1980-04-21,0.0,0.27,0.26,0.26,979500,0.0,0.0
1980-04-22,0.0,0.27,0.26,0.27,669100,0.0,0.0
1980-04-23,0.0,0.27,0.26,0.26,1425100,0.0,0.0
1980-04-24,0.0,0.27,0.26,0.27,942800,0.0,0.0
1980-04-25,0.0,0.27,0.27,0.27,370400,0.0,0.0
1980-04-28,0.0,0.28,0.27,0.28,283600,0.0,0.0
1980-04-29,0.0,0.29,0.28,0.29,138500,0.0,0.0
1980-04-30,0.0,0.29,0.29,0.29,113400,0.0,0.0
1980-05-01,0.0,0.29,0.29,0.29,135100,0.0,0.0
1980-05-02,0.0,0.29,0.28,0.29,61700,0.0,0.0
1980-05-05,0.0,0.29,0.28,0.28,452200,0.0,0.0
1980-05-06,0.0,0.29,0.28,0.29,267000,0.0,0.0
1980-05-07,0.0,0.29,0.29,0.29,180200,0.0,0.0
1980-05-08,0.0,0.29,0.28,0.28,310300,0.0,0.0
1980-05-09,0.0,0.29,0.28,0.28,163500,0.0,0.0
1980-05-12,0.0,0.29,0.28,0.29,267000,0.0,0.0
1980-05-13,0.0,0.29,0.28,0.29,1017900,0.0,0.0
1980-05-14,0.0,0.3,0.29,0.3,325400,0.0,0.0
1980-05-15,0.0,0.31,0.31,0.31,348700,0.0,0.0
1980-05-16,0.0,0.31,0.31,0.31,166800,0.0,0.0
1980-05-19,0.0,0.31,0.31,0.31,714200,0.0,0.0
1980-05-20,0.0,0.31,0.31,0.31,171800,0.0,0.0
1980-05-21,0.0,0.31,0.31,0.31,46700,0.0,0.0
1980-05-22,0.0,0.31,0.31,0.31,213600,0.0,0.0
1980-05-23,0.0,0.31,0.31,0.31,160200,0.0,0.0
1980-05-27,0.0,0.31,0.31,0.31,282000,0.0,0.0
1980-05-28,0.0,0.31,0.31,0.31,73400,0.0,0.0
1980-05-29,0.0,0.31,0.31,0.31,98400,0.0,0.0
1980-05-30,0.0,0.31,0.3,0.31,255300,0.0,0.0
1980-06-02,0.0,0.31,0.31,0.31,981200,0.0,0.0
1980-06-03,0.0,0.31,0.31,0.31,170200,0.0,0.0
1980-06-04,0.0,0.31,0.31,0.31,632400,0.0,0.0
1980-06-05,0.0,0.31,0.31,0.31,350400,0.0,0.0
1980-06-06,0.0,0.31,0.31,0.31,231900,0.0,0.0
1980-06-09,0.0,0.31,0.3,0.3,186900,0.0,0.0
1980-06-10,0.0,0.31,0.3,0.31,267000,0.0,0.0
1980-06-11,0.0,0.31,0.3,0.31,1570300,0.0,0.0
1980-06-12,0.0,0.31,0.31,0.31,1516900,0.0,0.0
1980-06-13,0.0,0.31,0.31,0.31,83400,0.0,0.0
1980-06-16,0.0,0.31,0.31,0.31,382100,0.0,0.0
1980-06-17,0.0,0.32,0.31,0.32,275300,0.0,0.0
1980-06-18,0.0,0.32,0.31,0.32,113400,0.0,0.0
1980-06-19,0.0,0.32,0.32,0.32,83400,0.0,0.0
1980-06-20,0.0,0.32,0.32,0.32,208600,0.0,0.0
1980-06-23,0.0,0.32,0.32,0.32,58400,0.0,0.0
1980-06-24,0.0,0.32,0.31,0.32,358700,0.0,0.0
1980-06-25,0.0,0.32,0.32,0.32,116800,0.0,0.0
1980-06-26,0.0,0.32,0.32,0.32,811000,0.0,0.0
1980-06-27,0.0,0.32,0.32,0.32,101700,0.0,0.0
1980-06-30,0.0,0.32,0.32,0.32,524000,0.0,0.0
1980-07-01,0.0,0.32,0.32,0.32,148500,0.0,0.0
1980-07-02,0.0,0.33,0.32,0.32,1266600,0.0,0.0
1980-07-03,0.0,0.33,0.32,0.33,226900,0.0,0.0
1980-07-07,0.0,0.34,0.33,0.34,248600,0.0,0.0
1980-07-08,0.0,0.34,0.33,0.34,602400,0.0,0.0
1980-07-09,0.0,0.34,0.33,0.33,762600,0.0,0.0
1980-07-10,0.0,0.34,0.33,0.33,408800,0.0,0.0
1980-07-11,0.0,0.33,0.33,0.33,191900,0.0,0.0
1980-07-14,0.0,0.33,0.33,0.33,545600,0.0,0.0
1980-07-15,0.0,0.33,0.33,0.33,290300,0.0,0.0
1980-07-16,0.0,0.33,0.32,0.32,225200,0.0,0.0
1980-07-17,0.0,0.33,0.32,0.33,288700,0.0,0.0
1980-07-18,0.0,0.34,0.33,0.33,1388400,0.0,0.0
1980-07-21,0.0,0.34,0.33,0.33,133500,0.0,0.0
1980-07-22,0.0,0.34,0.33,0.33,215200,0.0,0.0
1980-07-23,0.0,0.33,0.33,0.33,518900,0.0,0.0
1980-07-24,0.0,0.34,0.33,0.33,51700,0.0,0.0
1980-07-25,0.0,0.33,0.32,0.33,75000,0.0,0.0
1980-07-28,0.0,0.33,0.32,0.33,216900,0.0,0.0
1980-07-29,0.0,0.33,0.33,0.33,245300,0.0,0.0
1980-07-30,0.0,0.34,0.33,0.34,255300,0.0,0.0
1980-07-31,0.0,0.34,0.33,0.34,282000,0.0,0.0
1980-08-01,0.0,0.34,0.34,0.34,302000,0.0,0.0
1980-08-04,0.0,0.34,0.33,0.33,518900,0.0,0.0
1980-08-05,0.0,0.34,0.33,0.33,68400,0.0,0.0
1980-08-06,0.0,0.33,0.33,0.33,569000,0.0,0.0
