Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-02-11,21.66,21.96,21.01,21.22,50610600.0,0.0,0.0
2011-02-14,21.22,21.39,20.98,20.98,6275900.0,0.0,0.0
2011-02-15,21.12,21.29,21.0,21.14,4337800.0,0.0,0.0
2011-02-16,21.22,21.49,20.95,20.99,4627100.0,0.0,0.0
2011-02-17,20.97,21.25,20.85,20.88,3290700.0,0.0,0.0
2011-02-18,20.97,21.45,20.78,21.44,2583800.0,0.0,0.0
2011-02-22,21.28,21.48,20.99,20.99,2454300.0,0.0,0.0
2011-02-23,21.02,21.12,20.67,20.79,2671200.0,0.0,0.0
2011-02-24,20.88,20.95,20.71,20.82,1698000.0,0.0,0.0
2011-02-25,20.86,21.01,20.71,20.84,2225900.0,0.0,0.0
2011-02-28,20.89,21.04,20.79,20.84,2380400.0,0.0,0.0
2011-03-01,20.95,21.04,20.66,20.81,1908000.0,0.0,0.0
2011-03-02,20.89,20.97,20.68,20.89,2197000.0,0.0,0.0
2011-03-03,20.97,21.03,20.86,21.03,1901800.0,0.0,0.0
2011-03-04,21.05,21.14,20.95,21.08,892300.0,0.0,0.0
2011-03-07,21.14,21.21,20.98,21.12,1049600.0,0.0,0.0
2011-03-08,21.05,21.21,21.05,21.17,827400.0,0.0,0.0
2011-03-09,21.12,21.17,21.01,21.01,294100.0,0.0,0.0
2011-03-10,20.99,20.99,20.33,20.57,2715200.0,0.0,0.0
2011-03-11,20.57,20.83,20.48,20.57,1896900.0,0.0,0.0
2011-03-14,20.5,20.65,20.37,20.5,1967700.0,0.0,0.0
2011-03-15,20.37,20.64,20.23,20.42,1968400.0,0.0,0.0
2011-03-16,20.43,20.61,20.34,20.54,2062200.0,0.0,0.0
2011-03-17,20.64,20.78,20.54,20.6,1511400.0,0.0,0.0
2011-03-18,20.65,20.84,20.56,20.84,1906600.0,0.0,0.0
2011-03-21,20.86,21.19,20.78,21.06,1253000.0,0.0,0.0
2011-03-22,21.12,21.17,20.89,20.98,1014700.0,0.0,0.0
2011-03-23,20.86,20.96,20.47,20.52,2570500.0,0.0,0.0
2011-03-24,20.57,20.67,20.43,20.54,1411600.0,0.0,0.0
2011-03-25,20.51,20.56,20.16,20.17,2687100.0,0.0,0.0
2011-03-28,20.32,20.45,20.2,20.24,1552900.0,0.0,0.0
2011-03-29,20.33,20.43,20.19,20.36,1313800.0,0.0,0.0
2011-03-30,20.41,20.43,20.22,20.29,769700.0,0.0,0.0
2011-03-31,20.37,20.41,20.17,20.26,884400.0,0.0,0.0
2011-04-01,20.36,20.4,20.15,20.16,1869200.0,0.0,0.0
