Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-05-19,1.26,1.26,1.19,1.26,18095200,0.0,0.0
1992-05-20,1.27,1.34,1.26,1.33,3993600,0.0,0.0
1992-05-21,1.33,1.34,1.29,1.33,1164800,0.0,0.0
1992-05-22,1.33,1.37,1.33,1.37,729600,0.0,0.0
1992-05-26,1.37,1.37,1.34,1.35,668800,0.0,0.0
1992-05-27,1.35,1.38,1.33,1.35,673600,0.0,0.0
1992-05-28,1.35,1.37,1.35,1.37,544800,0.0,0.0
1992-05-29,1.36,1.43,1.36,1.4,292800,0.0,0.0
1992-06-01,1.42,1.48,1.4,1.44,1489600,0.0,0.0
1992-06-02,1.44,1.46,1.43,1.45,1423200,0.0,0.0
1992-06-03,1.44,1.45,1.4,1.42,1146400,0.0,0.0
1992-06-04,1.42,1.43,1.4,1.42,408800,0.0,0.0
1992-06-05,1.43,1.43,1.42,1.43,491200,0.0,0.0
1992-06-08,1.43,1.43,1.39,1.42,701600,0.0,0.0
1992-06-09,1.43,1.43,1.35,1.38,880000,0.0,0.0
1992-06-10,1.37,1.38,1.36,1.38,448800,0.0,0.0
1992-06-11,1.39,1.42,1.38,1.39,208800,0.0,0.0
1992-06-12,1.42,1.44,1.4,1.42,518400,0.0,0.0
1992-06-15,1.39,1.45,1.39,1.43,380000,0.0,0.0
1992-06-16,1.44,1.44,1.37,1.38,216000,0.0,0.0
1992-06-17,1.4,1.42,1.38,1.39,816800,0.0,0.0
1992-06-18,1.4,1.4,1.38,1.38,220800,0.0,0.0
1992-06-19,1.37,1.38,1.37,1.38,192800,0.0,0.0
1992-06-22,1.39,1.4,1.36,1.39,954400,0.0,0.0
1992-06-23,1.42,1.44,1.4,1.42,1403200,0.0,0.0
1992-06-24,1.42,1.44,1.39,1.44,1368800,0.0,0.0
1992-06-25,1.44,1.46,1.43,1.44,462400,0.0,0.0
1992-06-26,1.43,1.46,1.43,1.46,803200,0.0,0.0
1992-06-29,1.47,1.55,1.47,1.53,295200,0.0,0.0
1992-06-30,1.51,1.64,1.51,1.64,545600,0.0,0.0
1992-07-01,1.66,1.72,1.56,1.71,2180000,0.0,0.0
1992-07-02,1.71,1.72,1.65,1.66,1099200,0.0,0.0
1992-07-06,1.67,1.7,1.67,1.7,1457600,0.0,0.0
1992-07-07,1.69,1.7,1.69,1.69,692800,0.0,0.0
1992-07-08,1.66,1.67,1.58,1.63,1060800,0.0,0.0
1992-07-09,1.66,1.73,1.66,1.71,1344000,0.0,0.0
1992-07-10,1.71,1.78,1.71,1.78,881600,0.0,0.0
1992-07-13,1.78,1.78,1.72,1.75,387200,0.0,0.0
1992-07-14,1.75,1.75,1.69,1.71,321600,0.0,0.0
1992-07-15,1.71,1.71,1.65,1.69,313600,0.0,0.0
1992-07-16,1.7,1.7,1.65,1.7,717600,0.0,0.0
1992-07-17,1.7,1.7,1.69,1.69,39200,0.0,0.0
1992-07-20,1.69,1.69,1.64,1.64,44800,0.0,0.0
1992-07-21,1.64,1.65,1.64,1.64,304000,0.0,0.0
1992-07-22,1.64,1.65,1.62,1.62,506400,0.0,0.0
1992-07-23,1.62,1.64,1.6,1.62,584000,0.0,0.0
1992-07-24,1.62,1.64,1.6,1.61,446400,0.0,0.0
