Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.04,0.04,0.04,1044000,0.0,0.0
1980-03-18,0.0,0.04,0.04,0.04,853200,0.0,0.0
1980-03-19,0.0,0.04,0.04,0.04,1872000,0.0,0.0
1980-03-20,0.0,0.04,0.04,0.04,720000,0.0,0.0
1980-03-21,0.0,0.04,0.04,0.04,1170000,0.0,0.0
1980-03-24,0.0,0.04,0.04,0.04,3373200,0.0,0.0
1980-03-25,0.0,0.04,0.04,0.04,2466000,0.0,0.0
1980-03-26,0.0,0.04,0.04,0.04,1368000,0.0,0.0
1980-03-27,0.0,0.03,0.03,0.03,2437200,0.0,0.0
1980-03-28,0.0,0.03,0.03,0.03,720000,0.0,0.0
1980-03-31,0.0,0.03,0.03,0.03,468000,0.0,0.0
1980-04-01,0.0,0.04,0.03,0.04,882000,0.0,0.0
1980-04-02,0.0,0.04,0.04,0.04,1998000,0.0,0.0
1980-04-03,0.0,0.04,0.04,0.04,450000,0.0,0.0
1980-04-07,0.0,0.04,0.04,0.04,1656000,0.0,0.0
1980-04-08,0.0,0.04,0.04,0.04,493200,0.0,0.0
1980-04-09,0.0,0.04,0.04,0.04,313200,0.0,0.0
1980-04-10,0.0,0.04,0.04,0.04,288000,0.0,0.0
1980-04-11,0.0,0.04,0.04,0.04,396000,0.0,0.0
1980-04-14,0.0,0.04,0.04,0.04,216000,0.0,0.0
1980-04-15,0.0,0.04,0.04,0.04,223200,0.0,0.0
1980-04-16,0.0,0.04,0.04,0.04,954000,0.0,0.0
1980-04-17,0.0,0.04,0.04,0.04,1429200,0.0,0.0
1980-04-18,0.0,0.04,0.04,0.04,727200,0.0,0.0
1980-04-21,0.0,0.04,0.04,0.04,882000,0.0,0.0
1980-04-22,0.0,0.04,0.04,0.04,2959200,0.0,0.0
1980-04-23,0.0,0.04,0.04,0.04,648000,0.0,0.0
1980-04-24,0.0,0.04,0.04,0.04,1843200,0.0,0.0
1980-04-25,0.0,0.04,0.04,0.04,889200,0.0,0.0
1980-04-28,0.0,0.04,0.04,0.04,961200,0.0,0.0
1980-04-29,0.0,0.04,0.04,0.04,205200,0.0,0.0
1980-04-30,0.0,0.04,0.04,0.04,907200,0.0,0.0
1980-05-01,0.0,0.04,0.04,0.04,835200,0.0,0.0
1980-05-02,0.0,0.04,0.04,0.04,540000,0.0,0.0
1980-05-05,0.0,0.04,0.04,0.04,126000,0.0,0.0
1980-05-06,0.0,0.04,0.04,0.04,3517200,0.0,0.0
1980-05-07,0.0,0.04,0.04,0.04,5814000,0.0,0.0
1980-05-08,0.0,0.05,0.04,0.04,4309200,0.0,0.0
1980-05-09,0.0,0.04,0.04,0.04,2124000,0.0,0.0
1980-05-12,0.0,0.04,0.04,0.04,1159200,0.0,0.0
1980-05-13,0.0,0.04,0.04,0.04,2149200,0.0,0.0
1980-05-14,0.0,0.04,0.04,0.04,5652000,0.0,0.0
1980-05-15,0.0,0.04,0.04,0.04,2257200,0.0,0.0
1980-05-16,0.0,0.04,0.04,0.04,691200,0.0,0.0
1980-05-19,0.0,0.04,0.04,0.04,1483200,0.0,0.0
1980-05-20,0.0,0.04,0.04,0.04,2304000,0.0,0.0
1980-05-21,0.0,0.04,0.04,0.04,1681200,0.0,0.0
1980-05-22,0.0,0.04,0.04,0.04,612000,0.0,0.0
1980-05-23,0.0,0.04,0.04,0.04,1512000,0.0,0.0
1980-05-27,0.0,0.04,0.04,0.04,1224000,0.0,0.0
1980-05-28,0.0,0.04,0.04,0.04,1321200,0.0,0.0
1980-05-29,0.0,0.04,0.04,0.04,2592000,0.0,0.0
1980-05-30,0.0,0.04,0.04,0.04,828000,0.0,0.0
1980-06-02,0.0,0.04,0.04,0.04,702000,0.0,0.0
1980-06-03,0.0,0.04,0.04,0.04,1825200,0.0,0.0
1980-06-04,0.0,0.04,0.04,0.04,2113200,0.0,0.0
1980-06-05,0.0,0.04,0.04,0.04,918000,0.0,0.0
1980-06-06,0.0,0.04,0.04,0.04,2041200,0.0,0.0
1980-06-09,0.0,0.04,0.04,0.04,385200,0.0,0.0
1980-06-10,0.0,0.04,0.04,0.04,612000,0.0,0.0
1980-06-11,0.0,0.04,0.04,0.04,277200,0.0,0.0
1980-06-12,0.0,0.04,0.04,0.04,637200,0.0,0.0
1980-06-13,0.0,0.04,0.04,0.04,97200,0.0,0.0
1980-06-16,0.0,0.04,0.04,0.04,583200,0.0,0.0
1980-06-17,0.0,0.04,0.04,0.04,1123200,0.0,0.0
1980-06-18,0.0,0.05,0.04,0.05,907200,0.0,0.0
1980-06-19,0.0,0.05,0.05,0.05,925200,0.0,0.0
1980-06-20,0.0,0.05,0.05,0.05,3049200,0.0,0.0
1980-06-23,0.0,0.05,0.05,0.05,612000,0.0,0.0
1980-06-24,0.0,0.04,0.04,0.04,648000,0.0,0.0
1980-06-25,0.0,0.05,0.04,0.05,1224000,0.0,0.0
1980-06-26,0.0,0.05,0.05,0.05,637200,0.0,0.0
1980-06-27,0.0,0.04,0.04,0.04,1440000,0.0,0.0
1980-06-30,0.0,0.05,0.04,0.05,1188000,0.0,0.0
1980-07-01,0.0,0.05,0.04,0.05,342000,0.0,0.0
1980-07-02,0.0,0.05,0.05,0.05,540000,0.0,0.0
1980-07-03,0.0,0.05,0.05,0.05,1519200,0.0,0.0
1980-07-07,0.0,0.05,0.05,0.05,2430000,0.0,0.0
1980-07-08,0.0,0.05,0.05,0.05,493200,0.0,0.0
1980-07-09,0.0,0.05,0.05,0.05,2113200,0.0,0.0
1980-07-10,0.0,0.05,0.05,0.05,810000,0.0,0.0
1980-07-11,0.0,0.05,0.05,0.05,673200,0.0,0.0
1980-07-14,0.0,0.05,0.05,0.05,1854000,0.0,0.0
1980-07-15,0.0,0.05,0.05,0.05,1807200,0.0,0.0
1980-07-16,0.0,0.05,0.05,0.05,126000,0.0,0.0
1980-07-17,0.0,0.05,0.05,0.05,2322000,0.0,0.0
1980-07-18,0.0,0.05,0.05,0.05,972000,0.0,0.0
1980-07-21,0.0,0.05,0.05,0.05,702000,0.0,0.0
1980-07-22,0.0,0.05,0.05,0.05,432000,0.0,0.0
1980-07-23,0.0,0.05,0.05,0.05,3211200,0.0,0.0
1980-07-24,0.0,0.05,0.05,0.05,6966000,0.0,0.0
1980-07-25,0.0,0.05,0.05,0.05,1530000,0.0,0.0
1980-07-28,0.0,0.05,0.05,0.05,277200,0.0,0.0
1980-07-29,0.0,0.05,0.05,0.05,655200,0.0,0.0
1980-07-30,0.0,0.05,0.05,0.05,540000,0.0,0.0
1980-07-31,0.0,0.05,0.05,0.05,493200,0.0,0.0
1980-08-01,0.0,0.05,0.05,0.05,468000,0.0,0.0
1980-08-04,0.0,0.05,0.05,0.05,97200,0.0,0.0
1980-08-05,0.0,0.05,0.05,0.05,151200,0.0,0.0
1980-08-06,0.0,0.05,0.05,0.05,799200,0.0,0.0
1980-08-07,0.0,0.05,0.05,0.05,5173200,0.0,0.0
1980-08-08,0.0,0.05,0.05,0.05,4165200,0.0,0.0
1980-08-11,0.0,0.05,0.05,0.05,1897200,0.0,0.0
1980-08-12,0.0,0.05,0.05,0.05,2077200,0.0,0.0
1980-08-13,0.0,0.05,0.05,0.05,5281200,0.0,0.0
1980-08-14,0.0,0.05,0.05,0.05,763200,0.0,0.0
1980-08-15,0.0,0.05,0.05,0.05,972000,0.0,0.0
1980-08-18,0.0,0.05,0.05,0.05,1332000,0.0,0.0
1980-08-19,0.0,0.05,0.05,0.05,1476000,0.0,0.0
1980-08-20,0.0,0.05,0.05,0.05,565200,0.0,0.0
1980-08-21,0.0,0.05,0.05,0.05,1170000,0.0,0.0
1980-08-22,0.0,0.05,0.05,0.05,702000,0.0,0.0
1980-08-25,0.0,0.05,0.05,0.05,349200,0.0,0.0
1980-08-26,0.0,0.05,0.05,0.05,13014000,0.0,0.0
1980-08-27,0.0,0.05,0.05,0.05,684000,0.0,0.0
1980-08-28,0.0,0.05,0.05,0.05,1620000,0.0,0.0
1980-08-29,0.0,0.05,0.05,0.05,1069200,0.0,0.0
1980-09-02,0.0,0.05,0.05,0.05,565200,0.0,0.0
1980-09-03,0.0,0.05,0.05,0.05,1656000,0.0,0.0
1980-09-04,0.0,0.05,0.05,0.05,2448000,0.0,0.0
1980-09-05,0.0,0.05,0.05,0.05,1285200,0.0,0.0
1980-09-08,0.0,0.05,0.05,0.05,1339200,0.0,0.0
1980-09-09,0.0,0.05,0.05,0.05,1609200,0.0,0.0
1980-09-10,0.0,0.05,0.05,0.05,1908000,0.0,0.0
1980-09-11,0.0,0.05,0.05,0.05,367200,0.0,0.0
