Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.25,0.25,0.25,456000,0.0,0.0
1972-06-02,0.25,0.25,0.25,0.25,640000,0.0,0.0
1972-06-05,0.25,0.25,0.25,0.25,464000,0.0,0.0
1972-06-06,0.25,0.25,0.25,0.25,796800,0.0,0.0
1972-06-07,0.25,0.25,0.25,0.25,584000,0.0,0.0
1972-06-08,0.25,0.25,0.25,0.25,726400,0.0,0.0
1972-06-09,0.25,0.25,0.25,0.25,296000,0.0,0.0
1972-06-12,0.25,0.25,0.25,0.25,473600,0.0,0.0
1972-06-13,0.25,0.25,0.25,0.25,478400,0.0,0.0
1972-06-14,0.25,0.26,0.25,0.26,795200,0.0,0.0
1972-06-15,0.26,0.26,0.26,0.26,836800,0.0,0.0
1972-06-16,0.26,0.26,0.25,0.26,267200,0.0,0.0
1972-06-19,0.26,0.26,0.25,0.25,1001600,0.0,0.0
1972-06-20,0.25,0.26,0.25,0.26,345600,0.0,0.0
1972-06-21,0.26,0.26,0.25,0.25,556800,0.0,0.0
1972-06-22,0.25,0.26,0.25,0.26,321600,0.0,0.0
1972-06-23,0.26,0.26,0.26,0.26,212800,0.0,0.0
1972-06-26,0.26,0.26,0.26,0.26,278400,0.0,0.0
1972-06-27,0.26,0.26,0.26,0.26,268800,0.0,0.0
1972-06-28,0.26,0.26,0.25,0.25,433600,0.0,0.0
1972-06-29,0.25,0.26,0.25,0.25,313600,0.0,0.0
1972-06-30,0.25,0.26,0.25,0.26,404800,0.0,0.0
1972-07-03,0.26,0.26,0.26,0.26,240000,0.0,0.0
1972-07-05,0.26,0.26,0.26,0.26,734400,0.0,0.0
1972-07-06,0.27,0.27,0.27,0.27,809600,0.0,0.0
1972-07-07,0.27,0.27,0.27,0.27,595200,0.0,0.0
1972-07-10,0.27,0.27,0.27,0.27,316800,0.0,0.0
1972-07-11,0.27,0.27,0.27,0.27,232000,0.0,0.0
1972-07-12,0.27,0.28,0.27,0.27,1132800,0.0,0.0
1972-07-13,0.27,0.28,0.27,0.27,790400,0.0,0.0
1972-07-14,0.27,0.28,0.27,0.28,950400,0.0,0.0
1972-07-17,0.28,0.28,0.27,0.27,187200,0.0,0.0
1972-07-18,0.27,0.27,0.27,0.27,385600,0.0,0.0
1972-07-19,0.27,0.28,0.27,0.28,636800,0.0,0.0
1972-07-20,0.28,0.28,0.28,0.28,326400,0.0,0.0
1972-07-21,0.28,0.28,0.28,0.28,340800,0.0,0.0
1972-07-24,0.28,0.29,0.28,0.29,811200,0.0,0.0
1972-07-25,0.29,0.29,0.28,0.28,312000,0.0,0.0
1972-07-26,0.29,0.29,0.29,0.29,816000,0.0,0.0
1972-07-27,0.29,0.29,0.29,0.29,422400,0.0,0.0
1972-07-28,0.29,0.29,0.29,0.29,208000,0.0,0.0
1972-07-31,0.29,0.29,0.29,0.29,174400,0.0,0.0
1972-08-01,0.29,0.29,0.29,0.29,368000,0.0,0.0
1972-08-02,0.29,0.29,0.29,0.29,384000,0.0,0.0
1972-08-03,0.29,0.29,0.29,0.29,355200,0.0,0.0
1972-08-04,0.29,0.29,0.29,0.29,193600,0.0,0.0
1972-08-07,0.29,0.29,0.29,0.29,204800,0.01138,0.0
1972-08-08,0.29,0.29,0.29,0.29,243200,0.0,0.0
1972-08-09,0.29,0.29,0.29,0.29,126400,0.0,0.0
1972-08-10,0.29,0.29,0.29,0.29,184000,0.0,0.0
1972-08-11,0.29,0.29,0.29,0.29,180800,0.0,0.0
1972-08-14,0.29,0.3,0.29,0.3,308800,0.0,0.0
