Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.78,0.77,0.77,41600.0,0.0,0.0
1980-03-18,0.0,0.77,0.77,0.77,29200.0,0.0,0.0
1980-03-19,0.0,0.78,0.77,0.78,25600.0,0.0,0.0
1980-03-20,0.0,0.79,0.78,0.78,48000.0,0.0,0.0
1980-03-21,0.0,0.79,0.77,0.77,87600.0,0.0,0.0
1980-03-24,0.0,0.78,0.77,0.77,25600.0,0.0,0.0
1980-03-25,0.0,0.77,0.77,0.77,72400.0,0.0,0.0
1980-03-26,0.0,0.77,0.75,0.75,20400.0,0.0,0.0
1980-03-27,0.0,0.74,0.7,0.7,44800.0,0.0,0.0
1980-03-28,0.0,0.72,0.71,0.71,40000.0,0.0,0.0
1980-03-31,0.0,0.71,0.69,0.71,48400.0,0.0,0.0
1980-04-01,0.0,0.72,0.7,0.72,60000.0,0.0,0.0
1980-04-02,0.0,0.74,0.72,0.74,42000.0,0.0,0.0
1980-04-03,0.0,0.73,0.72,0.73,20800.0,0.0,0.0
1980-04-07,0.0,0.73,0.72,0.72,32400.0,0.0,0.0
1980-04-08,0.0,0.73,0.72,0.73,27600.0,0.0,0.0
1980-04-09,0.0,0.74,0.73,0.74,18000.0,0.0,0.0
1980-04-10,0.0,0.76,0.74,0.75,29200.0,0.0,0.0
1980-04-11,0.0,0.77,0.75,0.77,28000.0,0.0,0.0
1980-04-14,0.0,0.77,0.75,0.75,29200.0,0.0,0.0
1980-04-15,0.0,0.75,0.73,0.73,25600.0,0.0,0.0
1980-04-16,0.0,0.73,0.72,0.72,40400.0,0.0,0.0
1980-04-17,0.0,0.73,0.71,0.73,29200.0,0.0,0.0
1980-04-18,0.0,0.75,0.73,0.74,30400.0,0.0,0.0
1980-04-21,0.0,0.75,0.74,0.74,8800.0,0.0,0.0
1980-04-22,0.0,0.76,0.74,0.76,26400.0,0.0,0.0
1980-04-23,0.0,0.77,0.76,0.77,5600.0,0.0,0.0
1980-04-24,0.0,0.78,0.76,0.78,86800.0,0.0,0.0
1980-04-25,0.0,0.78,0.77,0.78,4800.0,0.0,0.0
1980-04-28,0.0,0.77,0.76,0.77,15200.0,0.0,0.0
1980-04-29,0.0,0.78,0.76,0.77,17600.0,0.0,0.0
1980-04-30,0.0,0.77,0.76,0.77,29600.0,0.0,0.0
1980-05-01,0.0,0.77,0.75,0.75,19200.0,0.0,0.0
1980-05-02,0.0,0.77,0.75,0.76,83200.0,0.0,0.0
1980-05-05,0.0,0.76,0.76,0.76,79600.0,0.0,0.0
1980-05-06,0.0,0.78,0.76,0.78,79200.0,0.0,0.0
1980-05-07,0.0,0.82,0.79,0.81,173600.0,0.0,0.0
1980-05-08,0.0,0.81,0.79,0.79,112400.0,0.0,0.0
1980-05-09,0.0,0.79,0.77,0.77,34400.0,0.0,0.0
1980-05-12,0.0,0.78,0.77,0.77,12800.0,0.0,0.0
1980-05-13,0.0,0.78,0.77,0.77,34800.0,0.0,0.0
1980-05-14,0.0,0.78,0.76,0.78,48400.0,0.0,0.0
1980-05-15,0.0,0.78,0.78,0.78,26400.0,0.0,0.0
1980-05-16,0.0,0.78,0.77,0.78,30800.0,0.0,0.0
1980-05-19,0.0,0.78,0.77,0.77,20800.0,0.0,0.0
1980-05-20,0.0,0.78,0.78,0.78,65600.0,0.0,0.0
1980-05-21,0.0,0.79,0.78,0.78,47200.0,0.0,0.0
1980-05-22,0.0,0.79,0.78,0.78,32800.0,0.0,0.0
1980-05-23,0.0,0.81,0.79,0.81,46000.0,0.0,0.0
1980-05-27,0.0,0.82,0.81,0.81,76400.0,0.0,0.0
1980-05-28,0.0,0.82,0.81,0.82,72000.0,0.0,0.0
1980-05-29,0.0,0.82,0.81,0.81,223600.0,0.0,0.0
1980-05-30,0.0,0.82,0.81,0.82,58800.0,0.0,0.0
1980-06-02,0.0,0.82,0.81,0.81,26800.0,0.0,0.0
