Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-05-04,0.0,2.05,2.03,2.03,2578800,0.0,0.0
1984-05-07,0.0,2.05,2.0,2.0,102600,0.0,0.0
1984-05-08,0.0,2.03,2.0,2.0,137100,0.0,0.0
1984-05-09,0.0,2.03,2.0,2.0,741600,0.0,0.0
1984-05-10,0.0,2.0,1.95,1.95,303600,0.0,0.0
1984-05-11,0.0,1.98,1.93,1.93,228000,0.0,0.0
1984-05-14,0.0,2.0,1.93,1.93,49800,0.0,0.0
1984-05-15,0.0,2.03,1.98,1.98,43500,0.0,0.0
1984-05-16,0.0,2.03,1.98,1.98,35100,0.0,0.0
1984-05-17,0.0,2.0,1.98,1.98,65100,0.0,0.0
1984-05-18,0.0,1.77,1.72,1.72,384600,0.0,0.0
1984-05-21,0.0,1.77,1.72,1.72,225300,0.0,0.0
1984-05-22,0.0,1.77,1.72,1.72,12000,0.0,0.0
1984-05-23,0.0,1.77,1.75,1.75,14700,0.0,0.0
1984-05-24,0.0,1.77,1.75,1.75,23400,0.0,0.0
1984-05-25,0.0,1.77,1.75,1.75,158400,0.0,0.0
1984-05-29,0.0,1.8,1.75,1.75,19200,0.0,0.0
1984-05-30,0.0,1.77,1.75,1.75,33300,0.0,0.0
1984-05-31,0.0,1.77,1.75,1.75,300,0.0,0.0
1984-06-01,0.0,1.85,1.8,1.8,102900,0.0,0.0
1984-06-04,0.0,1.88,1.83,1.83,7200,0.0,0.0
1984-06-05,0.0,1.88,1.85,1.85,103500,0.0,0.0
1984-06-06,0.0,1.88,1.85,1.85,148800,0.0,0.0
1984-06-07,0.0,1.95,1.9,1.9,41400,0.0,0.0
1984-06-08,0.0,1.95,1.9,1.9,117300,0.0,0.0
1984-06-11,0.0,1.98,1.9,1.9,120000,0.0,0.0
1984-06-12,0.0,1.98,1.93,1.93,126300,0.0,0.0
1984-06-13,0.0,2.0,1.93,1.93,72900,0.0,0.0
1984-06-14,0.0,2.03,1.93,1.93,10200,0.0,0.0
1984-06-15,0.0,2.03,1.93,1.93,1200,0.0,0.0
1984-06-18,0.0,2.03,1.93,1.93,4500,0.0,0.0
1984-06-19,0.0,2.03,1.95,1.95,5700,0.0,0.0
1984-06-20,0.0,2.0,1.95,1.95,20700,0.0,0.0
1984-06-21,0.0,2.0,1.95,1.95,10800,0.0,0.0
1984-06-22,0.0,2.0,1.95,1.95,14700,0.0,0.0
1984-06-25,0.0,1.98,1.93,1.93,10800,0.0,0.0
1984-06-26,0.0,1.98,1.88,1.88,15300,0.0,0.0
1984-06-27,0.0,1.95,1.88,1.88,2700,0.0,0.0
1984-06-28,0.0,1.88,1.83,1.83,60300,0.0,0.0
1984-06-29,0.0,1.88,1.83,1.83,3600,0.0,0.0
1984-07-02,0.0,1.85,1.83,1.83,3600,0.0,0.0
1984-07-03,0.0,1.77,1.72,1.72,9000,0.0,0.0
1984-07-05,0.0,1.77,1.72,1.72,3900,0.0,0.0
1984-07-06,0.0,1.77,1.72,1.72,4500,0.0,0.0
1984-07-09,0.0,1.75,1.67,1.67,6600,0.0,0.0
1984-07-10,0.0,1.75,1.67,1.67,900,0.0,0.0
1984-07-11,0.0,1.77,1.7,1.7,48000,0.0,0.0
1984-07-12,0.0,1.75,1.7,1.7,382800,0.0,0.0
1984-07-13,0.0,1.77,1.7,1.7,45000,0.0,0.0
1984-07-16,0.0,1.77,1.7,1.7,44400,0.0,0.0
1984-07-17,0.0,1.77,1.7,1.7,1200,0.0,0.0
1984-07-18,0.0,1.77,1.72,1.72,2700,0.0,0.0
1984-07-19,0.0,1.83,1.75,1.75,74700,0.0,0.0
1984-07-20,0.0,1.83,1.75,1.75,13500,0.0,0.0
1984-07-23,0.0,1.8,1.75,1.75,11700,0.0,0.0
1984-07-24,0.0,1.8,1.75,1.75,4800,0.0,0.0
1984-07-25,0.0,1.8,1.75,1.75,9000,0.0,0.0
1984-07-26,0.0,1.8,1.75,1.75,1200,0.0,0.0
1984-07-27,0.0,1.8,1.75,1.75,12900,0.0,0.0
1984-07-30,0.0,1.8,1.72,1.72,26100,0.0,0.0
1984-07-31,0.0,1.8,1.72,1.72,2100,0.0,0.0
1984-08-01,0.0,1.8,1.72,1.72,13500,0.0,0.0
1984-08-02,0.0,1.8,1.75,1.75,112800,0.0,0.0
1984-08-03,0.0,1.9,1.85,1.85,177600,0.0,0.0
1984-08-06,0.0,2.0,1.95,1.95,56100,0.0,0.0
1984-08-07,0.0,2.0,1.93,1.93,38700,0.0,0.0
1984-08-08,0.0,2.0,1.93,1.93,15600,0.0,0.0
1984-08-09,0.0,2.0,1.93,1.93,111000,0.0,0.0
