Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-02-05,5.66,5.66,5.12,5.35,11325800,0.0,0.0
1992-02-06,5.35,5.35,5.2,5.24,5696400,0.0,0.0
1992-02-07,5.24,5.24,4.85,4.85,1698000,0.0,0.0
1992-02-10,4.89,4.89,4.66,4.69,1104400,0.0,0.0
1992-02-11,4.69,4.77,4.69,4.77,656200,0.0,0.0
1992-02-12,4.77,4.97,4.73,4.93,629600,0.0,0.0
1992-02-13,4.97,5.08,4.93,4.97,808200,0.0,0.0
1992-02-14,4.97,4.97,4.85,4.85,418000,0.0,0.0
1992-02-18,4.89,4.89,4.81,4.85,687200,0.0,0.0
1992-02-19,4.85,4.97,4.85,4.97,638000,0.0,0.0
1992-02-20,4.97,4.97,4.85,4.85,139000,0.0,0.0
1992-02-21,4.93,4.93,4.89,4.93,410600,0.0,0.0
1992-02-24,4.93,4.97,4.89,4.93,353800,0.0,0.0
1992-02-25,4.93,4.93,4.73,4.77,590400,0.0,0.0
1992-02-26,4.81,4.85,4.69,4.73,155200,0.0,0.0
1992-02-27,4.73,4.89,4.73,4.77,438000,0.0,0.0
1992-02-28,4.89,4.89,4.81,4.81,266600,0.0,0.0
1992-03-02,4.73,4.93,4.73,4.85,83800,0.0,0.0
1992-03-03,4.81,4.89,4.81,4.89,177400,0.0,0.0
1992-03-04,4.89,4.89,4.81,4.81,247800,0.0,0.0
1992-03-05,4.85,4.89,4.77,4.77,131200,0.0,0.0
1992-03-06,4.77,4.85,4.77,4.85,453400,0.0,0.0
1992-03-09,4.81,4.85,4.81,4.85,114000,0.0,0.0
1992-03-10,4.81,4.85,4.81,4.81,57800,0.0,0.0
1992-03-11,4.81,4.85,4.77,4.77,104200,0.0,0.0
1992-03-12,4.81,4.81,4.77,4.77,70800,0.0,0.0
1992-03-13,4.77,4.81,4.77,4.77,124800,0.0,0.0
1992-03-16,4.81,4.81,4.73,4.81,34600,0.0,0.0
1992-03-17,4.77,4.81,4.77,4.77,206200,0.0,0.0
1992-03-18,4.77,4.77,4.69,4.77,53000,0.0,0.0
1992-03-19,4.77,4.77,4.66,4.69,155600,0.0,0.0
1992-03-20,4.66,4.66,4.42,4.5,218800,0.0,0.0
1992-03-23,4.42,4.46,4.27,4.34,131600,0.0,0.0
1992-03-24,4.34,4.38,4.19,4.34,231200,0.0,0.0
1992-03-25,4.34,4.93,4.34,4.89,662000,0.0,0.0
1992-03-26,4.85,4.93,4.73,4.73,162600,0.0,0.0
1992-03-27,4.73,4.73,4.54,4.54,120600,0.0,0.0
1992-03-30,4.58,4.58,4.46,4.46,96200,0.0,0.0
1992-03-31,4.42,4.46,4.38,4.42,96400,0.0,0.0
1992-04-01,4.38,4.5,4.38,4.38,503600,0.0,0.0
1992-04-02,4.42,4.69,4.42,4.66,1363800,0.0,0.0
1992-04-03,4.62,4.66,4.54,4.54,308600,0.0,0.0
1992-04-06,4.62,4.62,4.34,4.42,440600,0.0,0.0
1992-04-07,4.46,4.54,4.27,4.31,134200,0.0,0.0
1992-04-08,4.23,4.27,4.0,4.19,136600,0.0,0.0
1992-04-09,4.34,4.34,4.03,4.03,181200,0.0,0.0
1992-04-10,4.07,4.19,4.03,4.19,166600,0.0,0.0
1992-04-13,4.23,4.34,4.11,4.31,146800,0.0,0.0
1992-04-14,4.38,4.38,4.27,4.34,161400,0.0,0.0
1992-04-15,4.34,4.54,4.31,4.42,160600,0.0,0.0
1992-04-16,4.38,4.42,4.27,4.31,113200,0.0,0.0
1992-04-20,4.31,4.31,4.15,4.15,79200,0.0,0.0
1992-04-21,4.11,4.15,4.0,4.03,123400,0.0,0.0
1992-04-22,4.03,4.03,3.92,4.03,142600,0.0,0.0
1992-04-23,4.03,4.03,3.65,3.72,322800,0.0,0.0
