Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-05-25,3.03,3.46,3.02,3.45,395343000,0.0,0.0
2006-05-26,3.48,3.51,3.31,3.37,103044000,0.0,0.0
2006-05-30,3.38,3.38,3.22,3.3,49898000,0.0,0.0
2006-05-31,3.33,3.41,3.33,3.37,30002000,0.0,0.0
2006-06-01,3.37,3.61,3.37,3.57,62344000,0.0,0.0
2006-06-02,3.64,3.66,3.51,3.53,37253000,0.0,0.0
2006-06-05,3.53,3.7,3.53,3.69,37188000,0.0,0.0
2006-06-06,3.75,3.8,3.59,3.63,49045000,0.0,0.0
2006-06-07,3.63,3.63,3.51,3.57,25013000,0.0,0.0
2006-06-08,3.57,3.58,3.42,3.58,34439000,0.0,0.0
2006-06-09,3.66,3.66,3.58,3.59,13372000,0.0,0.0
2006-06-12,3.6,3.62,3.48,3.52,14546000,0.0,0.0
2006-06-13,3.47,3.56,3.4,3.42,16716000,0.0,0.0
2006-06-14,3.37,3.41,3.34,3.39,15971000,0.0,0.0
2006-06-15,3.41,3.46,3.39,3.45,16500000,0.0,0.0
2006-06-16,3.42,3.45,3.38,3.38,12280000,0.0,0.0
2006-06-19,3.41,3.41,3.31,3.33,11509000,0.0,0.0
2006-06-20,3.36,3.38,3.26,3.31,23792000,0.0,0.0
2006-06-21,3.31,3.44,3.3,3.4,18063000,0.0,0.0
2006-06-22,3.48,3.52,3.44,3.5,13038000,0.0,0.0
2006-06-23,3.53,3.6,3.52,3.52,11612000,0.0,0.0
2006-06-26,3.52,3.57,3.49,3.57,8565000,0.0,0.0
2006-06-27,3.57,3.61,3.55,3.55,9826000,0.0,0.0
2006-06-28,3.52,3.56,3.49,3.53,8756000,0.0,0.0
2006-06-29,3.52,3.61,3.52,3.6,14470000,0.0,0.0
2006-06-30,3.58,3.6,3.5,3.6,25964000,0.0,0.0
2006-07-03,3.6,3.6,3.51,3.55,7029000,0.0,0.0
2006-07-05,3.56,3.59,3.51,3.57,13266000,0.0,0.0
2006-07-06,3.55,3.56,3.51,3.51,8097000,0.0,0.0
2006-07-07,3.51,3.52,3.43,3.46,8380000,0.0,0.0
2006-07-10,3.47,3.5,3.46,3.49,4978000,0.0,0.0
2006-07-11,3.49,3.49,3.4,3.48,8079000,0.0,0.0
2006-07-12,3.48,3.48,3.42,3.42,7672000,0.0,0.0
2006-07-13,3.39,3.39,3.33,3.36,16625000,0.0,0.0
2006-07-14,3.35,3.35,3.3,3.3,9663000,0.0,0.0
2006-07-17,3.3,3.32,3.28,3.3,6458000,0.0,0.0
2006-07-18,3.3,3.31,3.28,3.3,12483000,0.0,0.0
2006-07-19,3.3,3.41,3.29,3.4,15840000,0.0,0.0
2006-07-20,3.41,3.44,3.39,3.42,8829000,0.0,0.0
2006-07-21,3.42,3.42,3.36,3.4,8510000,0.0,0.0
2006-07-24,3.41,3.42,3.38,3.38,5017000,0.0,0.0
2006-07-25,3.39,3.48,3.39,3.46,6900000,0.0,0.0
2006-07-26,3.46,3.59,3.44,3.5,10338000,0.0,0.0
2006-07-27,3.52,3.54,3.49,3.49,6009000,0.0,0.0
2006-07-28,3.49,3.51,3.47,3.48,4339000,0.0,0.0
2006-07-31,3.48,3.48,3.44,3.44,4616000,0.0,0.0
2006-08-01,3.45,3.45,3.36,3.38,7390000,0.0,0.0
2006-08-02,3.6,3.76,3.55,3.76,53372000,0.0,0.0
2006-08-03,3.69,3.77,3.65,3.75,21689000,0.0,0.0
2006-08-04,3.78,3.87,3.75,3.76,14216000,0.0,0.0
2006-08-07,3.79,3.85,3.77,3.84,6918000,0.0,0.0
2006-08-08,3.84,3.95,3.83,3.95,14073000,0.0,0.0
2006-08-09,3.98,4.09,3.9,3.97,15043000,0.0,0.0
2006-08-10,3.92,4.05,3.91,4.02,8725000,0.0,0.0
2006-08-11,4.02,4.09,4.0,4.03,9078000,0.0,0.0
2006-08-14,4.04,4.09,4.02,4.07,6314000,0.0,0.0
2006-08-15,4.11,4.12,4.07,4.09,8553000,0.0,0.0
2006-08-16,4.1,4.16,4.07,4.07,15344000,0.0,0.0
2006-08-17,4.07,4.07,3.99,4.01,10216000,0.0,0.0
2006-08-18,3.99,4.03,3.94,4.01,9343000,0.0,0.0
2006-08-21,4.0,4.17,3.96,4.07,12487000,0.0,0.0
2006-08-22,4.07,4.17,4.07,4.15,9761000,0.0,0.0
2006-08-23,4.17,4.19,4.09,4.1,10439000,0.0,0.0
2006-08-24,4.12,4.19,4.12,4.18,5420000,0.0,0.0
2006-08-25,4.19,4.19,4.12,4.13,8016000,0.0,0.0
2006-08-28,4.12,4.16,4.11,4.13,3748000,0.0,0.0
2006-08-29,4.15,4.18,4.14,4.16,3211000,0.0,0.0
2006-08-30,4.17,4.19,4.14,4.15,5801000,0.0,0.0
2006-08-31,4.15,4.22,4.15,4.2,7023000,0.0,0.0
2006-09-01,4.2,4.32,4.2,4.25,20559000,0.0,0.0
2006-09-05,4.27,4.3,4.22,4.27,4618000,0.0,0.0
2006-09-06,4.27,4.42,4.25,4.42,15694000,0.0,0.0
2006-09-07,4.39,4.57,4.39,4.51,26549000,0.0,0.0
2006-09-08,4.58,4.6,4.45,4.49,15176000,0.0,0.0
2006-09-11,4.49,4.65,4.47,4.65,17064000,0.0,0.0
2006-09-12,4.58,4.67,4.58,4.66,16992000,0.0,0.0
2006-09-13,4.65,4.68,4.57,4.61,12355000,0.0,0.0
2006-09-14,4.57,4.75,4.56,4.71,13010000,0.0,0.0
2006-09-15,4.71,4.9,4.71,4.88,19314000,0.0,0.0
2006-09-18,4.94,5.07,4.83,4.89,23656000,0.0,0.0
2006-09-19,4.88,4.97,4.83,4.87,17263000,0.0,0.0
2006-09-20,4.89,5.01,4.84,5.0,13476000,0.0,0.0
2006-09-21,5.07,5.23,5.03,5.18,29063000,0.0,0.0
2006-09-22,5.18,5.22,4.89,4.95,29874000,0.0,0.0
2006-09-25,4.9,4.93,4.67,4.84,35677000,0.0,0.0
2006-09-26,4.76,5.06,4.71,4.96,39969000,0.0,0.0
2006-09-27,5.03,5.1,4.91,5.09,19633000,0.0,0.0
2006-09-28,5.08,5.17,5.08,5.15,13395000,0.0,0.0
2006-09-29,5.14,5.29,5.07,5.28,20056000,0.0,0.0
2006-10-02,5.28,5.28,5.23,5.25,17393000,0.0,0.0
2006-10-03,5.14,5.32,5.14,5.23,16733000,0.0,0.0
2006-10-04,5.26,5.29,5.16,5.23,13679000,0.0,0.0
2006-10-05,5.31,5.54,5.25,5.52,25756000,0.09,0.0
2006-10-06,5.51,5.77,5.48,5.72,35410000,0.0,0.0
2006-10-09,5.47,5.57,5.4,5.54,37084000,0.0,0.0
2006-10-10,5.41,5.57,5.36,5.47,26764000,0.0,0.0
2006-10-11,5.4,5.4,5.19,5.29,35483000,0.0,0.0
2006-10-12,5.26,5.39,5.23,5.36,15117000,0.0,0.0
2006-10-13,5.4,5.45,5.31,5.33,11321000,0.0,0.0
2006-10-16,5.32,5.45,5.31,5.42,8802000,0.0,0.0
2006-10-17,5.41,5.42,5.27,5.29,9865000,0.0,0.0
2006-10-18,5.29,5.41,5.29,5.36,8562000,0.0,0.0
2006-10-19,5.36,5.54,5.31,5.5,13414000,0.0,0.0
2006-10-20,5.54,5.54,5.4,5.42,5264000,0.0,0.0
2006-10-23,5.43,5.45,5.31,5.34,7389000,0.0,0.0
2006-10-24,5.34,5.44,5.32,5.42,8512000,0.0,0.0
2006-10-25,5.42,5.42,5.36,5.38,11349000,0.0,0.0
2006-10-26,5.39,5.63,5.32,5.49,21152000,0.0,0.0
2006-10-27,5.4,5.55,5.25,5.53,26741000,0.0,0.0
2006-10-30,5.52,5.6,5.46,5.52,17471000,0.0,0.0
2006-10-31,5.53,5.8,5.47,5.64,35930000,0.0,0.0
2006-11-01,6.22,6.66,6.22,6.47,141283000,0.0,0.0
2006-11-02,6.38,6.7,6.28,6.66,62536000,0.0,0.0
2006-11-03,6.67,6.83,6.6,6.81,42476000,0.0,0.0
2006-11-06,6.85,7.39,6.84,7.32,97749000,0.0,0.0
2006-11-07,7.28,7.31,7.03,7.04,71623000,0.0,0.0
2006-11-08,7.0,7.0,6.7,6.73,64172000,0.0,0.0
2006-11-09,6.94,7.02,6.71,6.71,62982000,0.0,0.0
2006-11-10,6.74,6.88,6.68,6.78,27782000,0.0,0.0
2006-11-13,7.13,7.45,7.1,7.34,114166000,0.0,0.0
2006-11-14,7.36,7.4,7.18,7.24,38524000,0.0,0.0
2006-11-15,7.24,7.58,7.23,7.25,56606000,0.0,0.0
2006-11-16,7.32,7.39,7.14,7.19,35647000,0.0,0.0
2006-11-17,7.1,7.25,7.0,7.21,28516000,0.0,0.0
2006-11-20,7.15,7.32,7.13,7.32,22904000,0.0,0.0
2006-11-21,7.38,7.67,7.34,7.65,59494000,0.0,0.0
2006-11-22,7.74,7.91,7.67,7.85,42648000,0.0,0.0
2006-11-24,7.75,8.05,7.64,8.02,21600000,0.0,0.0
2006-11-27,8.06,8.26,7.53,7.53,73643000,0.0,0.0
2006-11-28,7.42,7.68,7.26,7.66,61511000,0.0,0.0
2006-11-29,7.79,7.81,7.37,7.55,48996000,0.0,0.0
2006-11-30,7.55,7.76,7.34,7.74,41254000,0.0,0.0
2006-12-01,7.78,7.79,7.54,7.7,35210000,0.0,0.0
2006-12-04,7.68,7.72,7.55,7.61,20276000,0.0,0.0
2006-12-05,7.61,7.78,7.53,7.55,21264000,0.0,0.0
2006-12-06,7.7,7.76,7.49,7.54,30071000,0.0,0.0
2006-12-07,7.55,7.68,7.5,7.58,21763000,0.0,0.0
2006-12-08,7.58,7.67,7.52,7.61,15976000,0.0,0.0
2006-12-11,7.61,7.78,7.53,7.54,30088000,0.0,0.0
2006-12-12,7.51,7.54,7.17,7.28,46602000,0.0,0.0
2006-12-13,7.38,7.43,7.23,7.28,18912000,0.0,0.0
2006-12-14,7.28,7.34,7.21,7.27,24111000,0.0,0.0
2006-12-15,7.33,7.33,7.25,7.32,14585000,0.0,0.0
2006-12-18,7.3,7.3,7.04,7.07,26059000,0.0,0.0
2006-12-19,7.03,7.42,6.88,7.41,31954000,0.0,0.0
2006-12-20,7.41,7.56,7.32,7.42,28211000,0.0,0.0
2006-12-21,7.29,7.33,7.14,7.28,31084000,0.0,0.0
2006-12-22,7.28,7.38,7.24,7.33,13194000,0.0,0.0
2006-12-26,7.34,7.36,7.18,7.24,10227000,0.0,0.0
2006-12-27,7.22,7.57,7.19,7.56,19987000,0.0,0.0
2006-12-28,7.59,7.59,7.42,7.53,22386000,0.0,0.0
2006-12-29,7.52,7.58,7.47,7.49,10887000,0.0,0.0
2007-01-03,7.57,7.58,7.27,7.33,26289000,0.0,0.0
2007-01-04,7.37,7.75,7.25,7.69,27024000,0.0,0.0
2007-01-05,7.68,7.77,7.53,7.69,29632000,0.0,0.0
2007-01-08,7.53,7.78,7.53,7.69,16006000,0.0,0.0
2007-01-09,7.69,8.04,7.65,8.04,36952000,0.0,0.0
2007-01-10,8.1,8.17,7.9,8.04,35099000,0.09,0.0
2007-01-11,8.07,8.29,7.94,8.09,37671000,0.0,0.0
2007-01-12,8.11,8.23,8.04,8.07,18233000,0.0,0.0
2007-01-16,8.08,8.24,8.03,8.13,18028000,0.0,0.0
2007-01-17,8.21,8.46,8.11,8.37,45903000,0.0,0.0
2007-01-18,8.43,8.44,7.81,7.86,42787000,0.0,0.0
2007-01-19,7.86,8.08,7.83,8.06,30029000,0.0,0.0
2007-01-22,8.13,8.29,8.02,8.26,21033000,0.0,0.0
2007-01-23,8.34,8.37,8.21,8.32,21414000,0.0,0.0
2007-01-24,8.35,8.68,8.34,8.55,31643000,0.0,0.0
2007-01-25,8.61,8.61,8.21,8.28,21785000,0.0,0.0
2007-01-26,8.38,8.43,8.17,8.33,17501000,0.0,0.0
2007-01-29,8.36,8.52,8.34,8.42,12105000,0.0,0.0
2007-01-30,8.41,8.56,8.38,8.5,11493000,0.0,0.0
2007-01-31,8.52,8.61,8.5,8.56,13665000,0.0,0.0
2007-02-01,8.6,8.67,8.56,8.59,16003000,0.0,0.0
2007-02-02,8.63,8.65,8.48,8.51,11290000,0.0,0.0
2007-02-05,8.48,8.51,8.43,8.46,9910000,0.0,0.0
2007-02-06,8.5,8.56,8.43,8.48,10621000,0.0,0.0
2007-02-07,8.48,8.64,8.46,8.58,21132000,0.0,0.0
2007-02-08,8.59,8.86,8.52,8.8,37535000,0.0,0.0
2007-02-09,9.05,9.06,7.64,7.95,282063000,0.0,0.0
2007-02-12,7.82,7.88,7.56,7.83,82177000,0.0,0.0
2007-02-13,7.98,8.06,7.89,8.03,73214000,0.0,0.0
2007-02-14,7.99,8.35,7.99,8.29,49005000,0.0,0.0
2007-02-15,8.29,8.35,8.22,8.29,34999000,0.0,0.0
2007-02-16,8.29,8.37,8.14,8.31,20471000,0.0,0.0
2007-02-20,8.31,8.32,8.17,8.27,19803000,0.0,0.0
2007-02-21,8.26,8.38,8.11,8.23,20648000,0.0,0.0
2007-02-22,8.28,8.36,8.06,8.12,21767000,0.0,0.0
2007-02-23,8.12,8.18,7.96,8.02,30432000,0.0,0.0
2007-02-26,8.04,8.13,7.94,7.98,11669000,0.0,0.0
