Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-03-10,3.05,3.09,3.05,3.07,3188700,0.0,0.0
1994-03-11,3.07,3.1,3.07,3.1,318000,0.0,0.0
1994-03-14,3.1,3.1,3.07,3.1,373900,0.0,0.0
1994-03-15,3.1,3.1,3.07,3.09,295900,0.0,0.0
1994-03-16,3.09,3.1,3.07,3.09,235700,0.0,0.0
1994-03-17,3.09,3.1,3.07,3.09,185100,0.0,0.0
1994-03-18,3.09,3.14,3.09,3.12,202300,0.0,0.0
1994-03-21,3.12,3.14,3.1,3.14,146300,0.0,0.0
1994-03-22,3.12,3.14,3.12,3.14,105200,0.0,0.0
1994-03-23,3.14,3.18,3.12,3.18,229800,0.0,0.0
1994-03-24,3.18,3.22,3.18,3.2,273100,0.0,0.0
1994-03-25,3.18,3.22,3.18,3.2,136900,0.0,0.0
1994-03-28,3.18,3.22,3.18,3.22,175300,0.0,0.0
1994-03-29,3.2,3.22,3.09,3.09,121900,0.0,0.0
1994-03-30,3.07,3.09,3.03,3.07,240900,0.0,0.0
1994-03-31,3.05,3.07,2.99,3.07,249700,0.0,0.0
1994-04-04,2.91,2.99,2.85,2.99,93500,0.0,0.0
1994-04-05,3.01,3.07,3.01,3.07,106600,0.0,0.0
1994-04-06,3.07,3.09,3.05,3.09,131200,0.0,0.0
1994-04-07,3.1,3.1,3.05,3.05,44800,0.0,0.0
1994-04-08,3.07,3.07,3.05,3.05,10300,0.0,0.0
1994-04-11,3.05,3.07,3.03,3.07,37900,0.0,0.0
1994-04-12,3.07,3.09,3.05,3.07,76900,0.0,0.0
1994-04-13,3.09,3.12,3.05,3.07,84000,0.0,0.0
1994-04-14,3.07,3.09,3.03,3.09,29400,0.0,0.0
1994-04-15,3.09,3.09,3.01,3.03,77900,0.0,0.0
1994-04-18,3.05,3.05,3.01,3.01,52500,0.0,0.0
1994-04-19,3.01,3.03,3.01,3.01,21300,0.0,0.0
1994-04-20,3.01,3.01,2.97,3.01,27400,0.0,0.0
1994-04-21,3.03,3.03,2.99,3.01,70100,0.0,0.0
1994-04-22,3.03,3.07,3.03,3.07,32900,0.0,0.0
1994-04-25,3.05,3.07,3.05,3.07,14100,0.0,0.0
1994-04-26,3.07,3.09,3.07,3.09,14600,0.0,0.0
1994-04-28,3.07,3.07,3.05,3.05,20600,0.0,0.0
1994-04-29,3.03,3.09,3.03,3.09,38100,0.0,0.0
1994-05-02,3.07,3.09,3.07,3.07,58300,0.0,0.0
1994-05-03,3.07,3.1,3.07,3.1,33800,0.0,0.0
1994-05-04,3.07,3.1,3.07,3.07,17600,0.0,0.0
1994-05-05,3.07,3.07,3.05,3.07,47400,0.0,0.0
1994-05-06,3.04,3.06,3.04,3.06,33100,0.07,0.0
1994-05-09,3.04,3.06,3.02,3.02,41700,0.0,0.0
1994-05-10,3.02,3.04,3.0,3.0,60600,0.0,0.0
1994-05-11,3.0,3.02,2.98,3.02,17900,0.0,0.0
1994-05-12,3.04,3.04,3.02,3.04,26800,0.0,0.0
1994-05-13,3.02,3.04,3.02,3.04,33100,0.0,0.0
1994-05-16,3.04,3.06,3.02,3.02,17400,0.0,0.0
1994-05-17,3.06,3.06,3.04,3.04,23400,0.0,0.0
1994-05-18,3.04,3.06,3.02,3.04,45700,0.0,0.0
1994-05-19,3.02,3.02,2.98,3.0,58700,0.0,0.0
1994-05-20,3.0,3.06,3.0,3.04,50800,0.0,0.0
1994-05-23,3.02,3.04,3.0,3.04,10700,0.0,0.0
1994-05-24,3.0,3.02,2.98,3.0,23800,0.0,0.0
1994-05-25,3.0,3.0,2.98,3.0,9300,0.0,0.0
1994-05-26,3.0,3.0,2.96,2.96,61500,0.0,0.0
1994-05-27,2.96,2.98,2.96,2.96,15400,0.0,0.0
1994-05-31,2.96,3.0,2.96,3.0,20200,0.0,0.0
1994-06-01,3.06,3.06,3.04,3.06,134800,0.0,0.0
1994-06-02,3.06,3.08,3.06,3.08,24100,0.0,0.0
1994-06-03,3.08,3.1,3.08,3.08,16800,0.0,0.0
1994-06-06,3.1,3.2,3.08,3.18,174900,0.0,0.0
1994-06-07,3.18,3.18,3.14,3.14,33400,0.0,0.0
1994-06-08,3.16,3.16,3.12,3.12,23300,0.0,0.0
1994-06-09,3.12,3.14,3.06,3.08,14000,0.0,0.0
1994-06-10,3.08,3.18,3.08,3.16,128100,0.0,0.0
1994-06-13,3.18,3.2,3.16,3.16,71100,0.0,0.0
1994-06-14,3.18,3.2,3.16,3.18,31200,0.0,0.0
1994-06-15,3.16,3.2,3.16,3.18,49800,0.0,0.0
1994-06-16,3.18,3.18,3.14,3.14,93800,0.0,0.0
1994-06-17,3.18,3.18,3.16,3.16,20100,0.0,0.0
1994-06-20,3.16,3.16,3.08,3.1,130800,0.0,0.0
1994-06-21,3.16,3.16,3.08,3.08,17900,0.0,0.0
1994-06-22,3.12,3.12,3.08,3.1,7300,0.0,0.0
1994-06-23,3.12,3.14,3.08,3.08,22800,0.0,0.0
1994-06-24,3.08,3.12,3.08,3.12,73600,0.0,0.0
1994-06-27,3.12,3.12,3.08,3.1,60800,0.0,0.0
1994-06-28,3.1,3.12,3.06,3.08,18900,0.0,0.0
1994-06-29,3.0,3.08,3.0,3.08,20400,0.0,0.0
1994-06-30,3.08,3.08,3.06,3.08,12800,0.0,0.0
1994-07-01,3.1,3.1,3.08,3.1,8200,0.0,0.0
1994-07-05,3.1,3.12,3.08,3.12,10600,0.0,0.0
1994-07-06,3.08,3.1,3.06,3.08,44700,0.0,0.0
1994-07-07,3.04,3.12,3.04,3.12,95300,0.0,0.0
1994-07-08,3.12,3.12,3.07,3.1,20300,0.0,0.0
1994-07-11,3.08,3.1,3.08,3.08,29300,0.0,0.0
1994-07-12,3.08,3.12,3.08,3.1,33300,0.0,0.0
1994-07-13,3.12,3.14,3.12,3.12,31000,0.0,0.0
1994-07-14,3.12,3.14,3.12,3.14,22700,0.0,0.0
1994-07-15,3.14,3.14,3.12,3.14,18800,0.0,0.0
1994-07-18,3.14,3.14,3.06,3.1,165400,0.0,0.0
