Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-10-13,4.43,4.45,4.37,4.41,553600,0.0,0.0
1993-10-14,4.38,4.38,4.24,4.3,812000,0.0,0.0
1993-10-15,4.3,4.32,4.26,4.28,615300,0.0,0.0
1993-10-18,4.28,4.38,4.28,4.36,1029200,0.0,0.0
1993-10-19,4.3,4.53,4.3,4.48,849000,0.0,0.0
1993-10-20,4.48,4.48,4.42,4.44,678500,0.0,0.0
1993-10-21,4.44,4.46,4.42,4.44,567800,0.0,0.0
1993-10-22,4.44,4.44,4.3,4.3,806500,0.0,0.0
1993-10-25,4.26,4.28,4.24,4.24,1183500,0.0,0.0
1993-10-26,4.26,4.3,4.24,4.26,921900,0.0,0.0
1993-10-27,4.26,4.36,4.26,4.36,494500,0.0,0.0
1993-10-28,4.36,4.44,4.32,4.4,1411300,0.0,0.0
1993-10-29,4.4,4.4,4.32,4.34,1052700,0.0,0.0
1993-11-01,4.3,4.4,4.3,4.4,453200,0.0,0.0
1993-11-02,4.38,4.38,4.32,4.34,394800,0.0,0.0
1993-11-03,4.34,4.38,4.26,4.28,838400,0.0,0.0
1993-11-04,4.26,4.26,4.09,4.11,487400,0.0,0.0
1993-11-05,4.07,4.11,4.03,4.11,693300,0.0,0.0
1993-11-08,4.11,4.11,4.05,4.05,312900,0.0,0.0
1993-11-09,4.09,4.13,4.05,4.07,443300,0.0,0.0
1993-11-10,4.09,4.26,4.09,4.22,884300,0.0,0.0
1993-11-11,4.17,4.2,4.13,4.17,643200,0.0,0.0
1993-11-12,4.17,4.22,4.15,4.2,617600,0.0,0.0
1993-11-15,4.15,4.17,4.07,4.11,531500,0.0,0.0
1993-11-16,4.09,4.11,4.05,4.09,303600,0.0,0.0
1993-11-17,4.07,4.07,3.95,3.99,785600,0.0,0.0
1993-11-18,3.99,3.99,3.89,3.91,1038000,0.0,0.0
1993-11-19,3.91,3.91,3.84,3.89,652500,0.0,0.0
1993-11-22,3.84,3.86,3.76,3.8,546100,0.0,0.0
1993-11-23,3.8,4.01,3.78,3.93,1059200,0.0,0.0
1993-11-24,3.95,3.99,3.93,3.93,863700,0.0,0.0
1993-11-26,3.95,3.97,3.93,3.97,209900,0.0,0.0
1993-11-29,3.97,3.99,3.8,3.8,537800,0.0,0.0
1993-11-30,3.82,4.01,3.8,4.01,482300,0.0,0.0
1993-12-01,4.11,4.2,4.03,4.13,688300,0.0,0.0
1993-12-02,4.17,4.28,4.15,4.28,1442400,0.0,0.0
1993-12-03,4.28,4.28,4.22,4.26,1172900,0.0,0.0
1993-12-06,4.22,4.22,4.09,4.11,605500,0.0,0.0
1993-12-07,4.09,4.13,4.05,4.13,1014800,0.0,0.0
1993-12-08,4.32,4.46,4.32,4.44,2686800,0.0,0.0
1993-12-09,4.42,4.67,4.42,4.59,1005300,0.0,0.0
1993-12-10,4.55,4.59,4.46,4.59,1508600,0.0,0.0
1993-12-13,4.57,4.65,4.55,4.65,1091200,0.0,0.0
1993-12-14,4.65,4.73,4.63,4.73,983800,0.0,0.0
1993-12-15,4.71,4.71,4.57,4.57,747500,0.0,0.0
1993-12-16,4.59,4.65,4.59,4.61,524900,0.0,0.0
1993-12-17,4.63,4.65,4.59,4.59,617800,0.0,0.0
1993-12-20,4.58,4.6,4.41,4.43,482800,0.0,0.0
1993-12-21,4.48,4.62,4.39,4.6,433100,0.0,0.0
1993-12-22,4.58,4.64,4.56,4.64,594300,0.0,0.0
1993-12-23,4.62,4.7,4.6,4.66,742800,0.0,0.0
1993-12-27,4.66,4.7,4.64,4.7,249200,0.0,0.0
1993-12-28,4.68,4.81,4.68,4.77,779800,0.0,0.0
1993-12-29,4.77,4.79,4.7,4.72,483400,0.0,0.0
1993-12-30,4.72,4.79,4.68,4.77,1262000,0.0,0.0
1993-12-31,4.79,4.81,4.7,4.81,290500,0.0,0.0
1994-01-03,4.72,4.77,4.66,4.72,804800,0.0,0.0
1994-01-04,4.7,4.77,4.66,4.77,1027600,0.0,0.0
1994-01-05,4.74,4.74,4.64,4.66,642500,0.0,0.0
1994-01-06,4.7,4.74,4.64,4.7,520000,0.0,0.0
1994-01-07,4.72,4.77,4.7,4.74,410600,0.0,0.0
1994-01-10,4.77,4.83,4.72,4.83,1021800,0.0,0.0
1994-01-11,4.83,4.83,4.74,4.81,636600,0.0,0.0
1994-01-12,4.83,4.91,4.83,4.85,839900,0.0,0.0
1994-01-13,4.83,4.83,4.7,4.77,440800,0.0,0.0
1994-01-14,4.79,4.83,4.72,4.79,556600,0.0,0.0
1994-01-17,4.79,4.81,4.77,4.79,209200,0.0,0.0
1994-01-18,4.79,4.81,4.68,4.68,312900,0.0,0.0
1994-01-19,4.68,4.72,4.66,4.72,444000,0.0,0.0
1994-01-20,4.72,4.79,4.68,4.79,693500,0.0,0.0
1994-01-21,4.81,4.81,4.68,4.72,639100,0.0,0.0
1994-01-24,4.74,4.77,4.68,4.68,333000,0.0,0.0
1994-01-25,4.77,4.85,4.52,4.56,749200,0.0,0.0
1994-01-26,4.58,4.66,4.56,4.64,230000,0.0,0.0
1994-01-27,4.62,4.68,4.56,4.6,135000,0.0,0.0
1994-01-28,4.64,4.87,4.64,4.87,292800,0.0,0.0
1994-01-31,4.83,4.89,4.79,4.87,452300,0.0,0.0
1994-02-01,4.87,4.87,4.62,4.85,1003800,0.0,0.0
1994-02-02,4.79,4.79,4.64,4.77,1619600,0.0,0.0
1994-02-03,4.74,5.06,4.74,4.95,1443500,0.0,0.0
1994-02-04,4.97,5.12,4.91,4.91,1266200,0.0,0.0
1994-02-07,4.85,4.87,4.72,4.83,877100,0.0,0.0
1994-02-08,4.85,4.93,4.72,4.87,530000,0.0,0.0
