Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1976-06-17,0.0,1.02,0.92,1.0,600000,0.0,0.0
1976-06-18,0.0,1.05,0.99,1.04,855300,0.0,0.0
1976-06-21,0.0,1.05,1.02,1.02,486200,0.0,0.0
1976-06-22,0.0,1.04,0.97,1.0,290000,0.0,0.0
1976-06-23,0.0,0.99,0.87,0.92,278200,0.0,0.0
1976-06-24,0.0,0.95,0.91,0.95,123100,0.0,0.0
1976-06-25,0.0,0.97,0.95,0.97,230700,0.0,0.0
1976-06-28,0.0,0.99,0.95,0.97,127200,0.0,0.0
1976-06-29,0.0,0.99,0.94,0.94,68700,0.0,0.0
1976-06-30,0.0,0.97,0.92,0.97,131200,0.0,0.0
1976-07-01,0.0,0.97,0.94,0.94,66000,0.0,0.0
1976-07-02,0.0,0.95,0.92,0.94,84700,0.0,0.0
1976-07-06,0.0,0.94,0.91,0.91,92500,0.0,0.0
1976-07-07,0.0,0.94,0.89,0.94,142200,0.0,0.0
1976-07-08,0.0,0.94,0.92,0.92,80700,0.0,0.0
1976-07-09,0.0,1.0,0.92,1.0,241500,0.0,0.0
1976-07-12,0.0,1.0,0.97,0.99,108200,0.0,0.0
1976-07-13,0.0,1.0,0.92,0.94,303100,0.0,0.0
1976-07-14,0.0,0.94,0.92,0.92,83200,0.0,0.0
1976-07-15,0.0,0.94,0.92,0.92,52000,0.0,0.0
1976-07-16,0.0,0.94,0.91,0.92,125800,0.0,0.0
1976-07-19,0.0,0.92,0.91,0.91,79100,0.0,0.0
1976-07-20,0.0,0.91,0.87,0.89,74500,0.0,0.0
1976-07-21,0.0,0.89,0.87,0.87,84700,0.0,0.0
1976-07-22,0.0,0.89,0.87,0.87,154000,0.0,0.0
1976-07-23,0.0,0.89,0.87,0.89,39700,0.0,0.0
1976-07-26,0.0,0.89,0.84,0.87,77700,0.0,0.0
1976-07-27,0.0,0.87,0.84,0.84,65700,0.0,0.0
1976-07-28,0.0,0.84,0.81,0.83,44600,0.0,0.0
1976-07-29,0.0,0.84,0.81,0.83,40200,0.0,0.0
1976-07-30,0.0,0.86,0.83,0.84,41500,0.0,0.0
1976-08-02,0.0,0.86,0.83,0.83,38200,0.0,0.0
1976-08-03,0.0,0.86,0.83,0.86,41500,0.0,0.0
1976-08-04,0.0,0.87,0.84,0.86,55600,0.0,0.0
1976-08-05,0.0,0.86,0.84,0.84,221000,0.0,0.0
1976-08-06,0.0,0.84,0.83,0.83,58500,0.0,0.0
