Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-11-10,12.39,12.39,12.21,12.21,728000,0.0,0.0
1994-11-11,12.16,12.21,12.16,12.16,151800,0.0,0.0
1994-11-14,12.16,12.16,12.11,12.11,36800,0.0,0.0
1994-11-15,12.11,12.11,12.02,12.02,114800,0.0,0.0
1994-11-16,12.07,12.11,12.02,12.02,751200,0.0,0.0
1994-11-17,12.07,12.07,11.93,11.98,603600,0.0,0.0
1994-11-18,11.98,12.02,11.88,11.98,543600,0.0,0.0
1994-11-21,12.02,12.07,12.02,12.07,266800,0.0,0.0
1994-11-22,12.11,12.11,11.79,11.79,649800,0.0,0.0
1994-11-23,11.7,11.7,11.47,11.65,796400,0.0,0.0
1994-11-25,11.65,11.74,11.65,11.74,62800,0.0,0.0
1994-11-28,11.74,11.74,11.65,11.65,131400,0.0,0.0
1994-11-29,11.65,11.7,11.33,11.42,427200,0.0,0.0
1994-11-30,11.47,11.61,11.42,11.61,1915200,0.0,0.0
1994-12-01,11.56,11.93,11.56,11.84,752800,0.0,0.0
1994-12-02,11.84,11.98,11.79,11.98,437000,0.0,0.0
1994-12-05,12.02,12.02,11.74,11.74,636000,0.0,0.0
1994-12-06,11.74,11.74,11.65,11.7,390000,0.0,0.0
1994-12-07,11.7,11.7,11.56,11.61,260200,0.0,0.0
1994-12-08,11.56,11.65,11.28,11.33,546400,0.0,0.0
1994-12-09,11.38,11.52,11.33,11.52,279000,0.25,0.0
1994-12-12,11.52,11.52,11.33,11.47,331600,0.0,0.0
1994-12-13,11.52,11.75,11.52,11.7,962200,0.0,0.0
1994-12-14,11.8,12.03,11.8,11.94,651200,0.0,0.0
1994-12-15,11.94,11.94,11.75,11.85,324200,0.0,0.0
1994-12-16,11.89,12.03,11.8,11.99,538600,0.0,0.0
1994-12-19,12.03,12.03,11.89,11.94,344800,0.0,0.0
1994-12-20,11.94,11.99,11.89,11.94,513400,0.0,0.0
1994-12-21,11.99,12.17,11.99,12.08,460800,0.0,0.0
1994-12-22,12.22,12.27,12.08,12.13,555200,0.0,0.0
1994-12-23,12.27,12.27,12.17,12.22,86600,0.0,0.0
1994-12-27,12.22,12.27,12.17,12.27,119000,0.0,0.0
1994-12-28,12.22,12.27,12.17,12.22,280600,0.0,0.0
1994-12-29,12.22,12.36,12.22,12.32,215000,0.0,0.0
1994-12-30,12.32,12.41,12.27,12.27,300400,0.0,0.0
1995-01-03,12.32,12.5,12.32,12.41,436000,0.0,0.0
1995-01-04,12.46,12.5,12.27,12.36,378600,0.0,0.0
1995-01-05,12.36,12.46,12.32,12.41,180000,0.0,0.0
1995-01-06,12.41,12.5,12.32,12.41,427800,0.0,0.0
1995-01-09,12.41,12.41,12.27,12.36,263400,0.0,0.0
1995-01-10,12.32,12.32,12.22,12.22,376000,0.0,0.0
1995-01-11,12.27,12.27,11.99,12.03,289800,0.0,0.0
1995-01-12,12.13,12.17,12.03,12.17,258600,0.0,0.0
1995-01-13,12.17,12.36,12.17,12.36,200600,0.0,0.0
1995-01-16,12.22,12.46,12.22,12.36,399600,0.0,0.0
1995-01-17,12.36,12.41,12.32,12.32,107600,0.0,0.0
1995-01-18,12.46,12.79,12.41,12.79,1093000,0.0,0.0
1995-01-19,12.79,13.02,12.79,12.88,893600,0.0,0.0
1995-01-20,12.93,12.97,12.79,12.79,218600,0.0,0.0
1995-01-23,12.79,12.93,12.69,12.93,892000,0.0,0.0
1995-01-24,12.93,13.11,12.69,12.93,2862600,0.0,0.0
1995-01-25,12.83,13.26,12.79,13.16,1194400,0.0,0.0
1995-01-26,13.16,13.4,13.16,13.3,500200,0.0,0.0
1995-01-27,13.4,13.44,13.3,13.44,257600,0.0,0.0
1995-01-30,13.35,13.44,13.3,13.44,279200,0.0,0.0
1995-01-31,13.44,13.87,13.44,13.87,1417000,0.0,0.0
1995-02-01,13.91,13.96,13.73,13.82,939000,0.0,0.0
1995-02-02,13.73,13.91,13.73,13.87,2699800,0.0,0.0
1995-02-03,13.87,13.96,13.87,13.91,356200,0.0,0.0
1995-02-06,13.82,13.91,13.82,13.87,291800,0.0,0.0
1995-02-07,13.87,13.91,13.82,13.87,95200,0.0,0.0
1995-02-08,13.87,13.96,13.87,13.96,321800,0.0,0.0
1995-02-09,13.96,14.05,13.82,13.87,293800,0.0,0.0
