Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-06-13,13.1,13.31,12.93,12.99,69567200.0,0.0,0
2001-06-14,12.89,12.89,12.27,12.54,31979800.0,0.0,0
2001-06-15,12.48,12.79,12.45,12.72,14369300.0,0.0,0
2001-06-18,12.5,12.72,12.5,12.61,4019800.0,0.0,0
2001-06-19,12.72,12.77,12.56,12.64,5690300.0,0.0,0
2001-06-20,12.64,12.72,12.55,12.6,3791600.0,0.0,0
2001-06-21,12.62,12.62,12.48,12.48,6027200.0,0.0,0
2001-06-22,12.48,12.48,12.38,12.48,4847700.0,0.0,0
2001-06-25,12.48,12.54,12.41,12.54,2420300.0,0.0,0
2001-06-26,12.48,12.51,12.4,12.49,3333300.0,0.0,0
2001-06-27,12.45,12.48,12.4,12.45,3182300.0,0.0,0
2001-06-28,12.47,12.66,12.46,12.65,2778100.0,0.0,0
2001-06-29,12.68,12.89,12.61,12.89,5777800.0,0.0,0
2001-07-02,12.77,12.77,12.65,12.67,3167600.0,0.0,0
2001-07-03,12.67,12.74,12.65,12.71,608700.0,0.0,0
2001-07-05,12.79,12.9,12.74,12.86,2085500.0,0.0,0
2001-07-06,12.88,12.88,12.68,12.75,945300.0,0.0,0
2001-07-09,12.72,12.78,12.58,12.63,2295300.0,0.0,0
2001-07-10,12.66,12.83,12.59,12.62,3301300.0,0.0,0
2001-07-11,12.62,12.62,12.48,12.6,2023000.0,0.0,0
2001-07-12,12.75,12.85,12.56,12.85,1912500.0,0.0,0
2001-07-13,12.85,12.88,12.67,12.78,995400.0,0.0,0
2001-07-16,12.78,12.9,12.75,12.77,1198100.0,0.0,0
2001-07-17,12.85,13.08,12.83,13.08,3792700.0,0.0,0
2001-07-18,13.08,13.1,12.81,13.09,5645100.0,0.0,0
2001-07-19,13.2,13.2,12.55,13.02,3326000.0,0.0,0
2001-07-20,12.99,13.03,12.9,12.97,1390900.0,0.0,0
2001-07-23,12.93,12.97,12.86,12.89,1756000.0,0.0,0
2001-07-24,12.97,12.97,12.85,12.92,1146500.0,0.0,0
2001-07-25,12.89,12.89,12.69,12.77,860600.0,0.0,0
2001-07-26,12.87,12.97,12.73,12.94,1901900.0,0.0,0
2001-07-27,12.97,12.97,12.81,12.85,1541800.0,0.0,0
2001-07-30,12.93,12.93,12.68,12.72,1233900.0,0.0,0
2001-07-31,12.68,12.96,12.68,12.87,2020200.0,0.0,0
