Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-04-05,8.31,9.02,8.2,8.88,77084700,0.0,0.0
2000-04-06,8.81,9.09,8.73,8.91,17167700,0.0,0.0
2000-04-07,8.81,8.91,8.66,8.77,15131500,0.0,0.0
2000-04-10,8.84,8.88,8.73,8.84,6324900,0.0,0.0
2000-04-11,8.77,8.81,8.63,8.66,6087800,0.0,0.0
2000-04-12,8.73,9.59,8.66,9.27,12169800,0.0,0.0
2000-04-13,9.31,9.88,9.13,9.74,11922400,0.0,0.0
2000-04-14,9.7,9.74,9.06,9.09,10659300,0.0,0.0
2000-04-17,9.16,9.41,9.16,9.24,3951900,0.0,0.0
2000-04-18,9.27,9.34,8.88,9.24,6083900,0.0,0.0
2000-04-19,9.27,9.27,9.02,9.16,6001300,0.0,0.0
2000-04-20,9.02,9.13,8.81,8.84,7755200,0.0,0.0
2000-04-24,8.88,9.16,8.84,9.13,3494800,0.0,0.0
2000-04-25,9.13,9.27,9.09,9.16,8311100,0.0,0.0
2000-04-26,9.13,9.2,9.09,9.2,6666500,0.0,0.0
2000-04-27,9.13,9.16,8.88,9.13,2788000,0.0,0.0
2000-04-28,9.13,9.67,8.81,9.49,6977400,0.0,0.0
2000-05-01,9.81,10.31,9.67,10.31,6605300,0.0,0.0
2000-05-02,10.1,10.27,9.95,10.2,3514700,0.0,0.0
2000-05-03,10.17,10.2,9.88,10.02,2223500,0.0,0.0
2000-05-04,9.95,10.02,9.27,10.02,3848200,0.0,0.0
2000-05-05,9.88,10.2,9.77,10.06,2043700,0.0,0.0
2000-05-08,10.24,10.63,10.2,10.31,3250900,0.0,0.0
2000-05-09,10.42,10.52,9.59,9.81,4750800,0.0,0.0
2000-05-10,9.74,10.2,9.74,10.06,3684000,0.0,0.0
2000-05-11,10.1,10.49,9.95,10.31,3363000,0.0,0.0
2000-05-12,10.38,10.63,10.35,10.56,2162300,0.0,0.0
2000-05-15,10.88,11.03,10.67,10.85,3025800,0.0,0.0
2000-05-16,10.88,11.2,10.78,10.92,5590500,0.0,0.0
2000-05-17,10.92,11.28,10.52,10.92,1769600,0.0,0.0
2000-05-18,10.88,10.95,10.7,10.84,3207300,0.0,0.0
2000-05-19,10.6,10.6,10.24,10.42,4300100,0.0,0.0
2000-05-22,10.45,10.52,9.95,10.45,1921600,0.0,0.0
2000-05-23,10.45,10.88,10.45,10.81,2349300,0.0,0.0
2000-05-24,10.81,11.17,10.67,11.1,1765000,0.0,0.0
2000-05-25,11.06,11.1,10.74,10.99,1944000,0.0,0.0
2000-05-26,10.95,11.35,10.85,11.31,2967200,0.0,0.0
2000-05-30,11.42,11.53,11.17,11.38,3622900,0.0,0.0
2000-05-31,11.38,11.74,11.1,11.74,3982600,0.0,0.0
2000-06-01,11.71,11.74,11.42,11.46,3229500,0.0,0.0
2000-06-02,12.03,12.06,11.67,12.03,3866500,0.0,0.0
2000-06-05,11.74,11.96,11.67,11.78,2666200,0.0,0.0
2000-06-06,11.96,11.96,11.67,11.71,3314200,0.0,0.0
2000-06-07,11.74,11.85,11.63,11.85,1034900,0.0,0.0
2000-06-08,11.78,11.81,11.6,11.71,1083000,0.0,0.0
2000-06-09,11.74,12.03,11.74,12.03,1342800,0.0,0.0
2000-06-12,11.88,11.92,11.28,11.71,1203400,0.0,0.0
2000-06-13,11.85,11.92,11.56,11.92,1093800,0.0,0.0
2000-06-14,11.78,11.81,11.35,11.46,2592200,0.0,0.0
2000-06-15,11.46,11.6,11.38,11.46,2809900,0.0,0.0
2000-06-16,11.56,11.6,11.31,11.49,3592700,0.0,0.0
2000-06-19,11.46,11.53,11.31,11.46,1431100,0.0,0.0
2000-06-20,11.38,11.49,10.63,10.78,3278500,0.0,0.0
2000-06-21,10.78,10.95,10.38,10.6,2741600,0.0,0.0
2000-06-22,10.7,11.17,10.6,10.99,2202800,0.0,0.0
2000-06-23,10.88,11.17,10.74,11.06,2425300,0.0,0.0
