Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-02-17,17.6,17.85,16.91,16.99,4478600,0.0,0
1994-02-18,17.08,17.25,16.73,16.99,777900,0.0,0
1994-02-22,16.73,16.91,16.56,16.82,361900,0.0,0
1994-02-23,16.82,16.91,16.04,16.04,284500,0.0,0
1994-02-24,15.96,16.04,15.7,15.87,494600,0.0,0
1994-02-25,15.87,16.47,15.87,16.39,102000,0.0,0
1994-02-28,16.47,16.56,16.39,16.47,115200,0.0,0
1994-03-01,16.39,16.56,15.96,16.04,246600,0.0,0
1994-03-02,15.7,15.78,15.61,15.7,355900,0.0,0
1994-03-03,15.7,15.87,15.7,15.78,51500,0.0,0
1994-03-04,15.87,16.13,15.7,15.96,145500,0.0,0
1994-03-07,15.96,16.04,15.87,15.87,102200,0.0,0
1994-03-08,15.87,15.96,15.78,15.87,34700,0.0,0
1994-03-09,15.96,15.96,15.78,15.78,101100,0.0,0
1994-03-10,15.78,15.87,15.27,15.35,220400,0.0,0
1994-03-11,15.27,15.44,15.18,15.44,42100,0.0,0
1994-03-14,15.35,15.53,15.27,15.35,11900,0.0,0
1994-03-15,15.7,15.87,15.53,15.7,128500,0.0,0
1994-03-16,15.7,15.78,15.53,15.7,93800,0.0,0
1994-03-17,15.78,15.78,15.53,15.61,43700,0.0,0
1994-03-18,15.53,15.78,15.53,15.78,125000,0.0,0
1994-03-21,15.7,15.96,15.7,15.96,81100,0.0,0
1994-03-22,15.87,16.3,15.87,16.22,91800,0.0,0
1994-03-23,16.73,17.16,16.73,16.73,332700,0.0,0
1994-03-24,16.82,16.82,16.56,16.56,113300,0.0,0
1994-03-25,16.56,16.73,16.56,16.56,54700,0.0,0
1994-03-28,16.73,16.73,16.39,16.56,67900,0.0,0
1994-03-29,16.47,16.56,15.53,15.53,174400,0.0,0
1994-03-30,15.35,15.35,15.18,15.27,198000,0.0,0
1994-03-31,15.35,15.44,14.84,15.18,201000,0.0,0
1994-04-04,14.92,14.92,14.49,14.84,206600,0.0,0
1994-04-05,14.84,15.7,14.84,15.7,40500,0.0,0
1994-04-06,15.7,15.78,15.53,15.78,31700,0.0,0
1994-04-07,15.78,15.78,15.61,15.78,14500,0.0,0
1994-04-08,15.78,15.78,15.27,15.53,29900,0.0,0
1994-04-11,15.7,15.7,15.35,15.61,28900,0.0,0
1994-04-12,15.53,15.53,15.18,15.27,56200,0.0,0
1994-04-13,15.35,15.44,14.66,15.01,48100,0.0,0
1994-04-14,14.84,14.84,14.66,14.75,81800,0.0,0
1994-04-15,14.75,14.75,14.66,14.75,23400,0.0,0
1994-04-18,14.75,14.75,14.15,14.15,119100,0.0,0
1994-04-19,14.15,14.15,13.8,13.89,23100,0.0,0
1994-04-20,13.89,13.89,13.46,13.63,72900,0.0,0
1994-04-21,13.54,13.71,13.46,13.63,67100,0.0,0
1994-04-22,13.46,13.63,13.46,13.63,8000,0.0,0
1994-04-25,13.46,13.54,12.59,13.54,130900,0.0,0
