Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.08,0.08,0.08,0.08,164400,0.0,0.0
1973-02-22,0.08,0.08,0.08,0.08,188400,0.0,0.0
1973-02-23,0.08,0.08,0.08,0.08,222000,0.0,0.0
1973-02-26,0.08,0.08,0.08,0.08,61200,0.0,0.0
1973-02-27,0.08,0.08,0.08,0.08,368400,0.0,0.0
1973-02-28,0.08,0.08,0.08,0.08,414000,0.0,0.0
1973-03-01,0.07,0.07,0.07,0.07,444000,0.0,0.0
1973-03-02,0.08,0.08,0.08,0.08,109200,0.0,0.0
1973-03-05,0.08,0.08,0.08,0.08,135600,0.0,0.0
1973-03-06,0.08,0.08,0.08,0.08,202800,0.0,0.0
1973-03-07,0.08,0.08,0.08,0.08,184800,0.0,0.0
1973-03-08,0.08,0.08,0.08,0.08,64800,0.0,0.0
1973-03-09,0.08,0.08,0.08,0.08,290400,0.0,0.0
1973-03-12,0.08,0.08,0.08,0.08,312000,0.0,0.0
1973-03-13,0.08,0.08,0.08,0.08,50400,0.0,0.0
1973-03-14,0.08,0.08,0.08,0.08,73200,0.0,0.0
1973-03-15,0.08,0.08,0.08,0.08,147600,0.0,0.0
1973-03-16,0.07,0.07,0.07,0.07,73200,0.0,0.0
1973-03-19,0.08,0.08,0.08,0.08,109200,0.0,0.0
1973-03-20,0.07,0.07,0.07,0.07,169200,0.0,0.0
1973-03-21,0.07,0.07,0.07,0.07,168000,0.0,0.0
1973-03-22,0.07,0.07,0.07,0.07,108000,0.0,0.0
1973-03-23,0.07,0.07,0.07,0.07,231600,0.0,0.0
1973-03-26,0.08,0.08,0.08,0.08,80400,0.0,0.0
1973-03-27,0.08,0.08,0.08,0.08,1088400,0.0,0.0
1973-03-28,0.08,0.08,0.08,0.08,162000,0.0,0.0
1973-03-29,0.08,0.08,0.08,0.08,124800,0.0,0.0
1973-03-30,0.08,0.08,0.08,0.08,150000,0.0,0.0
1973-04-02,0.08,0.08,0.08,0.08,97200,0.0,0.0
1973-04-03,0.08,0.08,0.08,0.08,60000,0.0,0.0
1973-04-04,0.08,0.08,0.08,0.08,54000,0.0,0.0
1973-04-05,0.08,0.08,0.08,0.08,106800,0.0,0.0
1973-04-06,0.08,0.08,0.08,0.08,97200,0.0,0.0
1973-04-09,0.08,0.08,0.08,0.08,116400,0.0,0.0
1973-04-10,0.08,0.08,0.08,0.08,322800,0.0,0.0
1973-04-11,0.08,0.08,0.08,0.08,346800,0.0,0.0
1973-04-12,0.08,0.08,0.08,0.08,164400,0.0,0.0
1973-04-13,0.08,0.08,0.08,0.08,183600,0.0,0.0
1973-04-16,0.08,0.08,0.08,0.08,69600,0.0,0.0
1973-04-17,0.08,0.08,0.08,0.08,213600,0.0,0.0
1973-04-18,0.08,0.08,0.08,0.08,52800,0.0,0.0
1973-04-19,0.09,0.09,0.09,0.09,348000,0.0,0.0
1973-04-23,0.09,0.09,0.09,0.09,175200,0.0,0.0
1973-04-24,0.08,0.08,0.08,0.08,327600,0.0,0.0
1973-04-25,0.08,0.08,0.08,0.08,164400,0.0,0.0
1973-04-26,0.08,0.08,0.08,0.08,489600,0.0,0.0
1973-04-27,0.08,0.08,0.08,0.08,118800,0.0,0.0
