Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1970-01-02,0.42,0.42,0.42,0.42,72000,0.0,0.0
1970-01-05,0.42,0.42,0.42,0.42,446400,0.0,0.0
1970-01-06,0.42,0.42,0.42,0.42,176000,0.0,0.0
1970-01-07,0.42,0.43,0.42,0.43,164800,0.0,0.0
1970-01-08,0.43,0.43,0.43,0.43,304000,0.0,0.0
1970-01-09,0.43,0.43,0.43,0.43,139200,0.0,0.0
1970-01-12,0.43,0.43,0.43,0.43,118400,0.0,0.0
1970-01-13,0.43,0.43,0.43,0.43,262400,0.0,0.0
1970-01-14,0.43,0.44,0.43,0.44,377600,0.0,0.0
1970-01-15,0.43,0.43,0.43,0.43,169600,0.0,0.0
1970-01-16,0.43,0.43,0.42,0.42,289600,0.0,0.0
1970-01-19,0.42,0.42,0.41,0.42,179200,0.0,0.0
1970-01-20,0.42,0.42,0.41,0.42,172800,0.0,0.0
1970-01-21,0.42,0.42,0.41,0.42,272000,0.0,0.0
1970-01-22,0.42,0.42,0.42,0.42,318400,0.0,0.0
1970-01-23,0.42,0.42,0.42,0.42,176000,0.0,0.0
1970-01-26,0.42,0.42,0.41,0.41,278400,0.0,0.0
1970-01-27,0.41,0.41,0.4,0.4,217600,0.0,0.0
1970-01-28,0.4,0.4,0.4,0.4,344000,0.0,0.0
1970-01-29,0.4,0.4,0.39,0.39,296000,0.0,0.0
1970-01-30,0.39,0.39,0.38,0.38,430400,0.0,0.0
1970-02-02,0.38,0.38,0.38,0.38,340800,0.0,0.0
1970-02-03,0.38,0.39,0.38,0.39,692800,0.0,0.0
1970-02-04,0.39,0.39,0.38,0.38,392000,0.0,0.0
1970-02-05,0.38,0.38,0.38,0.38,292800,0.0,0.0
1970-02-06,0.38,0.38,0.38,0.38,313600,0.0,0.0
1970-02-09,0.38,0.39,0.38,0.39,283200,0.0,0.0
1970-02-10,0.39,0.39,0.38,0.39,267200,0.0,0.0
1970-02-11,0.39,0.39,0.39,0.39,392000,0.0,0.0
1970-02-12,0.39,0.39,0.39,0.39,217600,0.0,0.0
1970-02-13,0.39,0.4,0.39,0.39,148800,0.0,0.0
1970-02-16,0.4,0.4,0.4,0.4,142400,0.0,0.0
1970-02-17,0.4,0.41,0.4,0.41,158400,0.0,0.0
1970-02-18,0.41,0.42,0.41,0.41,683200,0.0,0.0
1970-02-19,0.41,0.42,0.41,0.41,272000,0.0,0.0
1970-02-20,0.41,0.42,0.41,0.41,584000,0.0,0.0
1970-02-24,0.41,0.41,0.41,0.41,193600,0.0,0.0
1970-02-25,0.41,0.42,0.41,0.42,299200,0.0,0.0
