Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,118.0,118.25,117.53,117.93,3545904,0,0
2018-03-05,122.55,123.26,122.38,123.0,2947390,0,0
2018-03-13,123.56,123.8,123.27,123.59,1273139,0,0
2018-03-14,123.65,123.73,122.9,123.15,3513183,0,0
2018-03-15,123.2,123.35,116.25,117.2,15708174,0,0
2018-03-16,117.55,119.0,117.47,117.77,5534522,0,0
2018-03-19,117.53,118.23,117.01,117.64,3030619,0,0
2018-03-20,117.87,119.09,117.45,118.36,2245470,0,0
2018-03-21,118.68,119.56,118.38,119.02,5480735,0,0
2018-03-22,118.75,119.0,117.36,117.53,2662056,0,0
2018-03-23,117.8,118.4,116.99,117.15,2073763,0,0
2018-03-26,117.86,117.86,116.9,117.69,1833238,0,0
2018-03-27,117.76,118.46,117.04,117.58,2002320,0,0
2018-03-28,117.79,117.99,116.75,116.75,1991470,0,0
2018-03-29,117.11,117.87,116.0,116.69,2586759,0,0
2018-04-02,116.86,117.52,116.18,116.6,2222630,0,0
2018-04-03,116.85,117.26,116.24,117.0,14408380,0,0
2018-04-04,116.6,116.98,116.17,116.75,1920013,0,0
2018-04-05,116.6,118.12,116.36,118.05,3299008,0,0
2018-04-06,117.75,118.86,117.39,117.86,2424848,0,0
2018-04-09,118.0,126.8,117.41,125.15,16260314,0,0
2018-04-10,124.99,126.0,124.23,125.01,12141971,0,0
2018-04-11,125.56,125.66,124.93,125.2,8462853,0,0
2018-04-12,125.2,125.75,125.13,125.31,5130278,0,0
2018-04-13,125.4,125.61,125.26,125.4,3108586,0,0
2018-04-16,125.4,125.75,125.24,125.7,3813086,0,0
2018-04-17,125.7,125.9,125.45,125.45,2857149,0,0
2018-04-18,125.5,125.56,124.82,124.95,4082838,0,0
2018-04-19,124.9,125.07,124.27,124.6,3919135,0,0
2018-04-20,124.99,125.39,124.85,125.0,3713250,0,0
2018-04-23,124.8,125.05,124.6,125.05,3193885,0,0
2018-04-24,125.05,125.12,124.51,124.74,2444633,0,0
2018-04-25,125.0,125.0,124.35,124.68,2678337,0,0
2018-04-26,124.99,125.27,124.86,124.99,3644144,0,0
2018-04-27,124.93,125.24,124.86,125.07,2092791,0,0
2018-04-30,124.98,125.44,124.94,125.37,1752056,0,0
2018-05-01,125.38,125.61,125.22,125.61,2886705,0,0
2018-05-02,125.41,125.55,124.94,125.2,3295137,0,0
2018-05-03,125.06,125.18,124.65,125.1,3744534,0,0
2018-05-04,124.93,125.09,124.75,124.83,2462836,0,0
2018-05-07,125.0,125.6,124.81,125.05,1940042,0,0
2018-05-08,124.8,125.01,124.69,124.93,2897764,0,0
2018-05-09,125.0,125.1,124.3,124.69,3304496,0,0
2018-05-10,124.71,124.89,124.57,124.89,2505188,0,0
2018-05-11,124.9,125.08,124.7,124.97,1995963,0,0
2018-05-14,125.0,125.08,124.83,124.95,2166127,0,0
2018-05-15,124.85,125.31,124.76,125.29,1913223,0,0
2018-05-16,125.14,125.5,125.07,125.44,2870649,0,0
2018-05-17,125.32,125.58,125.25,125.49,1981651,0,0
2018-05-18,125.42,126.0,125.4,125.85,3423088,0,0
2018-05-21,125.86,126.07,125.7,125.9,1919622,0,0
2018-05-22,126.0,126.16,125.67,125.73,2052730,0,0
2018-05-23,125.69,125.9,125.08,125.31,2979744,0,0
2018-05-24,125.4,125.94,125.13,125.38,1975974,0,0
2018-05-25,125.48,127.3,125.48,126.5,5031959,0,0
2018-05-29,126.65,127.65,126.51,127.41,13138860,0,0
2018-05-30,127.55,127.62,127.26,127.51,6966990,0,0
2018-05-31,127.54,127.68,127.37,127.46,7287641,0,0
2018-06-01,127.45,127.56,127.43,127.56,4087439,0,0
2018-06-04,127.88,127.89,127.83,127.86,6933745,0,0
2018-06-05,127.87,127.94,127.86,127.93,5418379,0,0
2018-06-06,127.94,127.97,127.92,127.95,34600552,0,0
