Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-01-26,7.48,7.64,7.32,7.48,7244600.0,0.0,0.0
1988-01-27,7.52,8.05,7.44,8.05,3652400.0,0.0,0.0
1988-01-28,7.97,8.17,7.89,8.17,2180000.0,0.0,0.0
1988-01-29,8.09,8.17,7.72,7.97,1335400.0,0.0,0.0
1988-02-01,7.89,7.97,7.76,7.8,488800.0,0.0,0.0
1988-02-02,7.8,7.8,7.68,7.8,476800.0,0.0,0.0
1988-02-03,7.8,8.21,7.8,7.89,1284600.0,0.0,0.0
1988-02-04,7.89,8.01,7.84,8.01,328000.0,0.0,0.0
1988-02-05,7.97,8.09,7.97,8.05,403600.0,0.0,0.0
1988-02-08,7.89,7.89,7.72,7.8,143400.0,0.0,0.0
1988-02-09,7.89,7.89,7.72,7.72,157000.0,0.0,0.0
1988-02-10,7.8,8.01,7.8,7.97,456400.0,0.0,0.0
1988-02-11,8.05,8.17,8.05,8.05,484000.0,0.0,0.0
1988-02-12,8.13,8.33,8.13,8.29,222600.0,0.0,0.0
1988-02-16,8.33,8.62,8.33,8.62,838000.0,0.0,0.0
1988-02-17,8.62,8.74,8.37,8.5,642400.0,0.0,0.0
1988-02-18,8.45,8.66,8.41,8.62,516000.0,0.0,0.0
1988-02-19,8.62,9.51,8.62,9.27,1103400.0,0.0,0.0
1988-02-22,9.19,9.27,9.11,9.23,326600.0,0.0,0.0
1988-02-23,9.19,9.19,8.98,9.11,245000.0,0.0,0.0
1988-02-24,9.06,9.06,8.94,9.02,271600.0,0.0,0.0
1988-02-25,9.02,9.27,9.02,9.15,948000.0,0.0,0.0
1988-02-26,9.15,9.19,9.11,9.19,256000.0,0.0,0.0
1988-02-29,9.27,9.88,9.23,9.84,647800.0,0.0,0.0
1988-03-01,9.88,10.0,9.67,9.67,587200.0,0.0,0.0
1988-03-02,9.63,9.88,9.63,9.88,192000.0,0.0,0.0
1988-03-03,9.96,9.96,9.76,9.76,232800.0,0.0,0.0
1988-03-04,9.67,10.08,9.67,10.08,426000.0,0.0,0.0
1988-03-07,9.92,10.45,9.92,10.37,463400.0,0.0,0.0
