Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-01-03,2.62,2.68,2.62,2.63,227800.0,0.0,0.0
1977-01-04,2.62,2.62,2.57,2.57,164100.0,0.0,0.0
1977-01-05,2.58,2.63,2.58,2.58,193000.0,0.0,0.0
1977-01-06,2.58,2.6,2.57,2.57,139200.0,0.0,0.0
1977-01-07,2.57,2.58,2.53,2.53,119300.0,0.0,0.0
1977-01-10,2.53,2.54,2.48,2.5,235700.0,0.0,0.0
1977-01-11,2.49,2.49,2.44,2.44,201900.0,0.0,0.0
1977-01-12,2.43,2.43,2.38,2.41,184000.0,0.0,0.0
1977-01-13,2.43,2.44,2.43,2.43,241700.0,0.0,0.0
1977-01-14,2.43,2.47,2.41,2.46,761100.0,0.0,0.0
1977-01-17,2.46,2.47,2.45,2.47,672600.0,0.0,0.0
1977-01-18,2.47,2.48,2.47,2.47,222800.0,0.0,0.0
1977-01-19,2.47,2.51,2.47,2.51,94500.0,0.0,0.0
1977-01-20,2.52,2.55,2.52,2.52,176100.0,0.0,0.0
1977-01-21,2.52,2.54,2.52,2.53,1066600.0,0.0,0.0
1977-01-24,2.53,2.55,2.51,2.52,511400.0,0.0,0.0
1977-01-25,2.52,2.52,2.45,2.45,317400.0,0.0,0.0
1977-01-26,2.45,2.48,2.44,2.45,117400.0,0.0,0.0
1977-01-27,2.42,2.42,2.36,2.37,254700.0,0.0,0.0
1977-01-28,2.38,2.42,2.38,2.41,112400.0,0.0,0.0
1977-01-31,2.41,2.41,2.34,2.37,202900.0,0.0,0.0
1977-02-01,2.37,2.39,2.36,2.38,81500.0,0.0,0.0
1977-02-02,2.38,2.4,2.35,2.35,538200.0,0.0,0.0
1977-02-03,2.35,2.36,2.34,2.34,126300.0,0.0,0.0
1977-02-04,2.34,2.34,2.25,2.26,359100.0,0.0,0.0
1977-02-07,2.26,2.26,2.18,2.18,299400.0,0.0,0.0
1977-02-08,2.18,2.23,2.18,2.21,422800.0,0.0,0.0
1977-02-09,2.21,2.21,2.17,2.17,14900.0,0.0,0.0
1977-02-10,2.17,2.18,2.15,2.15,269600.0,0.0,0.0
1977-02-11,2.15,2.17,2.15,2.17,292500.0,0.0,0.0
1977-02-14,2.17,2.19,2.15,2.19,306400.0,0.0,0.0
1977-02-15,2.19,2.2,2.18,2.18,502400.0,0.0,0.0
1977-02-16,2.18,2.21,2.18,2.19,328300.0,0.0,0.0
1977-02-17,2.18,2.18,2.15,2.16,142200.0,0.0,0.0
1977-02-18,2.15,2.15,2.05,2.12,305400.0,0.0,0.0
1977-02-22,2.12,2.12,2.1,2.11,133300.0,0.0,0.0
1977-02-23,2.11,2.11,2.09,2.1,69600.0,0.0,0.0
1977-02-24,2.09,2.09,2.06,2.06,154200.0,0.0,0.0
1977-02-25,2.06,2.09,2.05,2.09,309400.0,0.0,0.0
1977-02-28,2.08,2.08,2.08,2.08,140200.0,0.0,0.0
1977-03-01,2.08,2.14,2.08,2.14,340200.0,0.0,0.0
1977-03-02,2.14,2.16,2.13,2.14,327300.0,0.0,0.0
1977-03-03,2.15,2.23,2.15,2.22,267600.0,0.0,0.0
1977-03-04,2.22,2.22,2.2,2.22,217800.0,0.0,0.0
1977-03-07,2.23,2.25,2.23,2.25,143200.0,0.0,0.0
1977-03-08,2.25,2.25,2.22,2.22,295500.0,0.0,0.0
1977-03-09,2.21,2.21,2.17,2.18,114400.0,0.0,0.0
1977-03-10,2.18,2.19,2.14,2.19,264600.0,0.0,0.0
1977-03-11,2.19,2.21,2.19,2.19,92500.0,0.0,0.0
1977-03-14,2.19,2.25,2.19,2.24,175100.0,0.0,0.0
1977-03-15,2.25,2.29,2.25,2.27,298500.0,0.0,0.0
1977-03-16,2.27,2.29,2.27,2.29,240700.0,0.0,0.0
1977-03-17,2.29,2.32,2.28,2.31,266600.0,0.0,0.0
1977-03-18,2.31,2.34,2.31,2.31,200900.0,0.0,0.0
1977-03-21,2.31,2.32,2.28,2.28,324300.0,0.0,0.0
1977-03-22,2.29,2.3,2.26,2.3,175100.0,0.02111,0.0
1977-03-23,2.3,2.3,2.22,2.22,193000.0,0.0,0.0
1977-03-24,2.22,2.25,2.18,2.19,309400.0,0.0,0.0
1977-03-25,2.19,2.19,2.17,2.18,163100.0,0.0,0.0
1977-03-28,2.17,2.17,2.16,2.16,188000.0,0.0,0.0
1977-03-29,2.16,2.19,2.16,2.16,239700.0,0.0,0.0
1977-03-30,2.16,2.2,2.16,2.16,210900.0,0.0,0.0
1977-03-31,2.16,2.19,2.16,2.18,67600.0,0.0,0.0
1977-04-01,2.18,2.2,2.17,2.2,163100.0,0.0,0.0
1977-04-04,2.2,2.22,2.17,2.17,119300.0,0.0,0.0
1977-04-05,2.17,2.18,2.16,2.18,130300.0,0.0,0.0
1977-04-06,2.18,2.18,2.16,2.16,171100.0,0.0,0.0
1977-04-07,2.16,2.17,2.16,2.16,92500.0,0.0,0.0
1977-04-11,2.16,2.16,2.13,2.13,433800.0,0.0,0.0
1977-04-12,2.13,2.13,2.11,2.11,153200.0,0.0,0.0
1977-04-13,2.11,2.12,2.11,2.12,90500.0,0.0,0.0
1977-04-14,2.13,2.19,2.13,2.19,573100.0,0.0,0.0
