Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.02,0.02,0.02,104000,0.0,0.0
1980-03-18,0.0,0.02,0.02,0.02,30000,0.0,0.0
1980-03-19,0.0,0.02,0.02,0.02,100000,0.0,0.0
1980-03-20,0.0,0.02,0.02,0.02,38000,0.0,0.0
1980-03-21,0.0,0.02,0.02,0.02,54000,0.0,0.0
1980-03-24,0.0,0.02,0.02,0.02,40000,0.0,0.0
1980-03-25,0.0,0.02,0.02,0.02,72000,0.0,0.0
1980-03-26,0.0,0.02,0.02,0.02,6000,0.0,0.0
1980-03-27,0.0,0.02,0.02,0.02,136000,0.0,0.0
1980-03-28,0.0,0.02,0.02,0.02,94000,0.0,0.0
1980-03-31,0.0,0.02,0.02,0.02,88000,0.0,0.0
1980-04-01,0.0,0.02,0.02,0.02,36000,0.0,0.0
1980-04-02,0.0,0.02,0.02,0.02,74000,0.0,0.0
1980-04-03,0.0,0.02,0.02,0.02,28000,0.0,0.0
1980-04-07,0.0,0.02,0.02,0.02,84000,0.0,0.0
1980-04-08,0.0,0.02,0.02,0.02,32000,0.0,0.0
1980-04-09,0.0,0.02,0.02,0.02,14000,0.0,0.0
1980-04-10,0.0,0.02,0.02,0.02,24000,0.0,0.0
1980-04-11,0.0,0.02,0.02,0.02,80000,0.0,0.0
1980-04-14,0.0,0.02,0.02,0.02,46000,0.0,0.0
1980-04-15,0.0,0.02,0.02,0.02,46000,0.0,0.0
1980-04-16,0.0,0.02,0.02,0.02,34000,0.0,0.0
1980-04-17,0.0,0.02,0.02,0.02,152000,0.0,0.0
1980-04-18,0.0,0.02,0.02,0.02,22000,0.0,0.0
1980-04-21,0.0,0.02,0.02,0.02,8000,0.0,0.0
1980-04-22,0.0,0.02,0.02,0.02,10000,0.0,0.0
1980-04-23,0.0,0.02,0.02,0.02,84000,0.0,0.0
1980-04-24,0.0,0.02,0.02,0.02,34000,0.0,0.0
1980-04-25,0.0,0.02,0.02,0.02,14000,0.0,0.0
