Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-04-17,11.56,13.4,11.56,13.1,951100,0.0,0
2014-04-21,13.08,13.39,12.59,12.97,444300,0.0,0
2014-04-22,12.82,13.11,12.82,12.95,576700,0.0,0
2014-04-23,12.96,12.99,12.88,12.94,1608900,0.0,0
2014-04-24,12.99,13.0,12.68,12.82,368900,0.0,0
2014-04-25,13.03,13.04,12.58,13.02,1086500,0.0,0
2014-04-28,13.05,13.05,12.63,12.85,1187900,0.0,0
2014-04-29,12.81,13.01,12.68,12.86,648500,0.0,0
2014-04-30,12.87,12.87,12.61,12.76,26746200,0.0,0
2014-05-01,12.43,13.38,12.43,13.11,3650100,0.0,0
2014-05-02,13.11,13.34,13.01,13.07,2995000,0.0,0
2014-05-05,13.05,13.31,12.74,12.96,3978400,0.0,0
2014-05-06,12.87,12.95,12.53,12.6,14309200,0.0,0
2014-05-07,12.61,12.81,12.54,12.8,5692900,0.0,0
2014-05-08,12.72,12.83,12.61,12.68,5668200,0.0,0
2014-05-09,12.57,12.73,12.36,12.55,2797000,0.0,0
2014-05-12,12.55,12.76,12.16,12.3,6980100,0.0,0
2014-05-13,12.17,12.44,12.17,12.22,8292000,0.0,0
2014-05-14,12.16,12.37,11.95,12.13,4577500,0.0,0
2014-05-15,12.07,12.34,12.02,12.13,4919000,0.0,0
2014-05-16,12.07,12.3,12.07,12.23,2786900,0.0,0
2014-05-19,12.15,12.37,12.08,12.35,4532400,0.0,0
2014-05-20,12.41,12.46,12.2,12.29,9754800,0.0,0
2014-05-21,12.28,12.44,12.2,12.28,1743600,0.0,0
2014-05-22,12.21,12.37,12.18,12.31,2128900,0.0,0
2014-05-23,12.34,12.44,12.31,12.39,2826400,0.0,0
2014-05-27,12.4,12.6,12.17,12.32,1726900,0.0,0
2014-05-28,12.35,12.37,12.08,12.09,4219100,0.0,0
2014-05-29,12.13,12.2,11.97,12.09,3463400,0.0,0
2014-05-30,12.05,12.27,12.05,12.18,5261300,0.0,0
2014-06-02,12.21,12.29,12.17,12.19,2986800,0.0,0
2014-06-03,12.8,12.8,12.13,12.2,3483500,0.0,0
2014-06-04,12.14,12.42,12.13,12.37,3231500,0.15,0
2014-06-05,12.48,12.98,12.38,12.97,4582400,0.0,0
2014-06-06,13.04,13.19,12.93,12.97,1622700,0.0,0
2014-06-09,12.93,13.08,12.74,13.08,3169300,0.0,0
2014-06-10,13.01,13.23,13.0,13.08,3441800,0.0,0
2014-06-11,13.02,13.21,13.02,13.14,1857100,0.0,0
2014-06-12,13.08,13.23,12.98,13.03,2336400,0.0,0
2014-06-13,13.01,13.12,12.88,12.97,1485600,0.0,0
2014-06-16,12.97,13.15,12.92,13.06,804900,0.0,0
2014-06-17,12.99,13.2,12.95,13.11,1268800,0.0,0
2014-06-18,13.04,13.33,12.99,13.28,2268100,0.0,0
2014-06-19,13.24,13.48,13.02,13.38,3754000,0.0,0
2014-06-20,13.45,13.64,13.35,13.59,3907900,0.0,0
2014-06-23,13.58,13.83,13.58,13.76,4460000,0.0,0
2014-06-24,13.75,13.82,13.68,13.74,2609200,0.0,0
