Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01,13.04,13.04,13.04,13.04,1300,0.0,0
2002-07-02,13.47,14.34,13.04,13.15,7000,0.0,0
2002-07-03,12.17,13.9,12.17,13.04,10200,0.0,0
2002-07-05,13.04,13.04,13.04,13.04,500,0.0,0
2002-07-08,12.17,12.17,12.17,12.17,300,0.0,0
2002-07-09,12.17,13.47,12.17,13.47,2300,0.0,0
2002-07-10,11.95,13.47,11.95,13.47,500,0.0,0
2002-07-11,13.47,13.47,13.47,13.47,0,0.0,0
2002-07-12,13.04,13.04,13.04,13.04,100,0.0,0
2002-07-15,12.82,12.82,10.86,11.08,42700,0.0,0
2002-07-16,11.08,11.08,10.86,10.86,5900,0.0,0
2002-07-17,10.86,10.86,10.65,10.86,2400,0.0,0
2002-07-18,10.69,10.69,10.21,10.21,1400,0.0,0
2002-07-19,10.08,10.08,8.73,9.12,10700,0.0,0
2002-07-22,9.12,9.12,8.69,8.86,4600,0.0,0
2002-07-23,8.86,8.86,8.86,8.86,100,0.0,0
2002-07-24,8.86,9.12,8.86,9.12,2200,0.0,0
2002-07-25,9.12,9.12,8.82,8.82,1300,0.0,0
2002-07-26,8.82,8.82,8.82,8.82,0,0.0,0
2002-07-29,9.12,9.65,9.08,9.65,4100,0.0,0
2002-07-30,9.78,10.3,9.78,9.99,8900,0.0,0
2002-07-31,10.34,10.43,10.21,10.43,5000,0.0,0
2002-08-01,10.25,10.34,10.25,10.25,4300,0.0,0
2002-08-02,10.25,10.25,10.25,10.25,0,0.0,0
2002-08-05,10.34,10.43,10.3,10.3,28600,0.0,0
2002-08-06,10.43,10.43,10.43,10.43,10000,0.0,0
2002-08-07,10.41,10.47,10.38,10.47,4400,0.0,0
2002-08-08,10.52,10.52,10.47,10.52,12300,0.0,0
2002-08-09,10.56,10.56,10.56,10.56,3400,0.0,0
2002-08-12,10.56,10.56,10.52,10.56,24400,0.0,0
2002-08-13,10.6,10.6,10.52,10.6,3900,0.0,0
2002-08-14,10.56,10.6,10.56,10.6,3700,0.0,0
2002-08-15,10.56,10.56,10.52,10.52,700,0.0,0
2002-08-16,10.43,10.56,10.43,10.56,8600,0.0,0
2002-08-19,10.56,10.56,10.12,10.12,8700,0.0,0
2002-08-20,10.08,10.08,10.08,10.08,100,0.0,0
2002-08-21,10.34,10.43,10.21,10.21,16400,0.0,0
2002-08-22,10.21,10.21,9.56,9.56,35500,0.0,0
2002-08-23,9.56,9.65,9.56,9.65,3700,0.0,0
2002-08-26,9.56,9.56,9.43,9.45,11900,0.0,0
2002-08-27,9.43,9.56,9.13,9.13,23900,0.0,0
2002-08-28,9.12,9.12,8.69,8.78,24700,0.0,0
2002-08-29,8.86,8.86,8.78,8.86,8500,0.0,0
2002-08-30,8.95,8.95,8.69,8.69,4200,0.0,0
2002-09-03,8.65,8.69,8.08,8.6,8000,0.0,0
2002-09-04,8.13,8.26,7.73,8.08,89100,0.0,0
2002-09-05,8.08,8.08,8.08,8.08,3100,0.0,0
2002-09-06,8.08,8.43,8.08,8.43,30400,0.0,0
2002-09-09,8.47,8.6,8.43,8.52,26000,0.0,0
2002-09-10,8.6,8.65,8.53,8.6,36200,0.0,0
2002-09-11,8.69,8.73,8.6,8.73,2400,0.0,0
2002-09-12,8.78,8.78,8.6,8.6,4000,0.0,0
2002-09-13,8.6,8.64,8.6,8.64,2800,0.0,0
2002-09-16,8.64,8.69,8.56,8.69,10300,0.0,0
2002-09-17,8.47,8.6,8.47,8.6,4800,0.0,0
2002-09-18,8.58,8.58,8.58,8.58,1500,0.0,0
2002-09-19,8.52,8.52,8.52,8.52,6200,0.0,0
2002-09-20,8.39,8.39,8.17,8.17,2700,0.0,0
2002-09-23,8.47,8.47,8.43,8.43,1200,0.0,0
2002-09-24,8.17,8.17,8.17,8.17,2000,0.0,0
2002-09-25,8.34,8.43,8.26,8.34,7000,0.0,0
