Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,6.43,6.16,6.34,519300.0,0.0,0.0
1980-03-18,0.0,6.51,5.87,6.51,659200.0,0.0,0.0
1980-03-19,0.0,6.69,6.39,6.65,408000.0,0.0,0.0
1980-03-20,0.0,6.8,6.53,6.67,607100.0,0.0,0.0
1980-03-21,0.0,6.69,6.39,6.59,229100.0,0.0,0.0
1980-03-24,0.0,6.55,6.08,6.14,256800.0,0.0,0.0
1980-03-25,0.0,6.24,5.99,6.22,315700.0,0.0,0.0
1980-03-26,0.0,6.28,6.1,6.1,315000.0,0.0,0.0
1980-03-27,0.0,6.04,5.38,5.77,609000.0,0.0,0.0
1980-03-28,0.0,6.18,5.77,6.18,277100.0,0.0,0.0
1980-03-31,0.0,6.51,6.26,6.32,419200.0,0.0,0.0
1980-04-01,0.0,6.39,6.16,6.16,162700.0,0.0,0.0
1980-04-02,0.0,5.93,5.81,5.89,419200.0,0.0,0.0
1980-04-03,0.0,5.89,5.66,5.68,352500.0,0.0,0.0
1980-04-07,0.0,5.66,5.56,5.6,187500.0,0.0,0.0
1980-04-08,0.0,5.97,5.56,5.97,624300.0,0.0,0.0
1980-04-09,0.0,6.26,6.14,6.18,207300.0,0.0,0.0
1980-04-10,0.0,6.28,6.04,6.1,176200.0,0.0,0.0
1980-04-11,0.0,6.1,5.81,5.85,222300.0,0.0,0.0
1980-04-14,0.0,5.91,5.79,5.81,558700.0,0.0,0.0
1980-04-15,0.0,5.79,5.62,5.62,106500.0,0.0,0.0
1980-04-16,0.0,5.68,5.4,5.4,121100.0,0.0,0.0
1980-04-17,0.0,5.38,5.27,5.29,173600.0,0.0,0.0
1980-04-18,0.0,5.36,5.23,5.29,228000.0,0.0,0.0
1980-04-21,0.0,5.42,5.27,5.27,127800.0,0.0,0.0
1980-04-22,0.0,5.64,5.44,5.64,196500.0,0.0,0.0
1980-04-23,0.0,5.85,5.58,5.79,178800.0,0.0,0.0
1980-04-24,0.0,6.01,5.73,5.89,229100.0,0.0,0.0
1980-04-25,0.0,6.14,5.85,5.93,325800.0,0.0,0.0
1980-04-28,0.0,5.99,5.77,5.77,151800.0,0.0,0.0
1980-04-29,0.0,5.85,5.79,5.79,126700.0,0.0,0.0
1980-04-30,0.0,5.83,5.77,5.83,63000.0,0.0,0.0
1980-05-01,0.0,5.83,5.44,5.44,157500.0,0.0,0.0
1980-05-02,0.0,5.6,5.27,5.58,258000.0,0.0,0.0
1980-05-05,0.0,5.54,5.4,5.46,84700.0,0.0,0.0
1980-05-06,0.0,5.52,5.31,5.4,178800.0,0.0,0.0
1980-05-07,0.0,5.52,5.36,5.36,150300.0,0.0,0.0
1980-05-08,0.0,5.42,5.19,5.31,230600.0,0.0,0.0
1980-05-09,0.0,5.27,5.07,5.15,110200.0,0.0,0.0
1980-05-12,0.0,5.23,5.03,5.15,271500.0,0.0,0.0
1980-05-13,0.0,5.33,5.13,5.29,480000.0,0.0,0.0
1980-05-14,0.0,5.5,5.33,5.5,195000.0,0.0,0.0
1980-05-15,0.0,5.73,5.48,5.66,117000.0,0.0,0.0
1980-05-16,0.0,5.93,5.68,5.85,255000.0,0.0,0.0
1980-05-19,0.0,6.22,5.81,5.93,269200.0,0.0,0.0
1980-05-20,0.0,5.93,5.83,5.93,287600.0,0.0,0.0
1980-05-21,0.0,6.1,5.89,6.01,290200.0,0.0,0.0
1980-05-22,0.0,6.06,5.95,6.01,194600.0,0.0,0.0
1980-05-23,0.0,6.34,6.1,6.28,319800.0,0.0,0.0
1980-05-27,0.0,6.53,6.36,6.43,327700.0,0.0,0.0
1980-05-28,0.0,6.39,6.26,6.3,85500.0,0.0,0.0
1980-05-29,0.0,6.3,6.18,6.22,89600.0,0.0,0.0
1980-05-30,0.0,6.32,6.01,6.3,202500.0,0.0,0.0
1980-06-02,0.0,6.47,6.36,6.36,208100.0,0.0,0.0
1980-06-03,0.0,6.34,6.16,6.18,149200.0,0.0,0.0
1980-06-04,0.0,6.47,6.2,6.47,323200.0,0.0,0.0
1980-06-05,0.0,6.55,6.39,6.43,423000.0,0.0,0.0
1980-06-06,0.0,6.69,6.51,6.63,408300.0,0.0,0.0
1980-06-09,0.0,6.9,6.78,6.88,405700.0,0.0,0.0
1980-06-10,0.0,6.86,6.71,6.76,210000.0,0.0,0.0
1980-06-11,0.0,6.82,6.69,6.71,271100.0,0.0,0.0
1980-06-12,0.0,6.76,6.53,6.71,370100.0,0.0,0.0
1980-06-13,0.0,6.71,6.61,6.69,359200.0,0.0,0.0
1980-06-16,0.0,6.71,6.47,6.65,396700.0,0.0,0.0
1980-06-17,0.0,6.63,6.43,6.49,336000.0,0.0,0.0
1980-06-18,0.0,6.53,6.36,6.39,199100.0,0.0,0.0
1980-06-19,0.0,6.39,6.22,6.34,109500.0,0.0,0.0
1980-06-20,0.0,6.3,6.12,6.22,206600.0,0.0,0.0
1980-06-23,0.0,6.34,6.16,6.22,92600.0,0.0,0.0
1980-06-24,0.0,6.22,6.08,6.22,429000.0,0.0,0.0
1980-06-25,0.0,6.63,6.34,6.51,397500.0,0.0,0.0
1980-06-26,0.0,6.8,6.57,6.59,277500.0,0.0,0.0
1980-06-27,0.0,6.88,6.71,6.78,453000.0,0.0,0.0
1980-06-30,0.0,7.0,6.84,6.86,229800.0,0.0,0.0
1980-07-01,0.0,7.35,6.88,7.35,212200.0,0.0,0.0
1980-07-02,0.0,7.5,7.25,7.25,476600.0,0.0,0.0
1980-07-03,0.0,7.21,6.92,7.11,314600.0,0.0,0.0
1980-07-07,0.0,7.13,6.84,6.92,400800.0,0.0,0.0
1980-07-08,0.0,7.19,7.0,7.09,444000.0,0.0,0.0
1980-07-09,0.0,7.13,7.02,7.02,92200.0,0.0,0.0
1980-07-10,0.0,7.09,6.94,6.94,168700.0,0.0,0.0
1980-07-11,0.0,7.04,6.94,7.04,87000.0,0.0,0.0
