Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,1.21,1.21,1.2,1.21,33800.0,0.0,0.0
1982-01-04,1.2,1.21,1.2,1.2,65000.0,0.0,0.0
1982-01-05,1.2,1.21,1.2,1.2,318000.0,0.0,0.0
1982-01-06,1.17,1.19,1.15,1.16,369200.0,0.0,0.0
1982-01-07,1.13,1.14,1.12,1.14,151400.0,0.0,0.0
1982-01-08,1.16,1.19,1.14,1.18,305400.0,0.0,0.0
1982-01-11,1.12,1.17,1.06,1.06,687300.0,0.0,0.0
1982-01-12,1.05,1.06,1.03,1.03,238400.0,0.0,0.0
1982-01-13,1.0,1.02,0.98,0.98,478100.0,0.0,0.0
1982-01-14,1.0,1.0,0.99,0.99,130100.0,0.0,0.0
1982-01-15,1.01,1.02,1.0,1.02,564400.0,0.0,0.0
1982-01-18,1.0,1.01,1.0,1.0,813500.0,0.0,0.0
1982-01-19,1.0,1.01,0.99,1.0,345300.0,0.0,0.0
1982-01-20,1.02,1.03,1.0,1.03,763000.0,0.0,0.0
1982-01-21,1.05,1.06,1.04,1.06,56400.0,0.0,0.0
1982-01-22,1.08,1.09,1.07,1.09,82300.0,0.0,0.0
1982-01-25,1.11,1.12,1.11,1.11,70300.0,0.0,0.0
1982-01-26,1.12,1.13,1.11,1.12,292800.0,0.0,0.0
1982-01-27,1.12,1.12,1.12,1.12,95600.0,0.0,0.0
1982-01-28,1.12,1.12,1.12,1.12,67000.0,0.0,0.0
1982-01-29,1.13,1.14,1.12,1.13,115500.0,0.0,0.0
1982-02-01,1.14,1.15,1.13,1.14,320700.0,0.0,0.0
1982-02-02,1.15,1.16,1.13,1.16,79600.0,0.0,0.0
1982-02-03,1.18,1.22,1.13,1.15,929700.0,0.0,0.0
1982-02-04,1.15,1.16,1.13,1.14,195200.0,0.0,0.0
1982-02-05,1.15,1.16,1.13,1.15,132800.0,0.0,0.0
1982-02-08,1.14,1.15,1.12,1.12,71000.0,0.0,0.0
1982-02-09,1.11,1.12,1.09,1.1,156700.0,0.0,0.0
1982-02-10,1.07,1.09,1.06,1.06,39100.0,0.0,0.0
1982-02-11,1.05,1.06,1.05,1.06,61000.0,0.0,0.0
1982-02-12,1.05,1.06,1.04,1.04,51100.0,0.0,0.0
1982-02-16,1.05,1.07,1.04,1.07,71000.0,0.0,0.0
1982-02-17,1.08,1.08,1.07,1.07,35100.0,0.0,0.0
1982-02-18,1.08,1.09,1.07,1.09,161300.0,0.0,0.0
1982-02-19,1.09,1.09,1.08,1.09,94200.0,0.0,0.0
1982-02-22,1.08,1.09,1.06,1.06,146700.0,0.0,0.0
1982-02-23,1.06,1.06,1.05,1.06,71700.0,0.06776,0.0
1982-02-24,1.06,1.07,1.06,1.06,67700.0,0.0,0.0
1982-02-25,1.07,1.07,1.06,1.06,71000.0,0.0,0.0
1982-02-26,1.06,1.06,1.06,1.06,4600.0,0.0,0.0
1982-03-01,1.06,1.06,1.06,1.06,17900.0,0.0,0.0
1982-03-02,1.07,1.07,1.06,1.06,19200.0,0.0,0.0
1982-03-03,1.07,1.08,1.06,1.07,108900.0,0.0,0.0
1982-03-04,1.07,1.08,1.07,1.07,182600.0,0.0,0.0
1982-03-05,1.07,1.08,1.07,1.07,102200.0,0.0,0.0
1982-03-08,1.05,1.08,1.03,1.03,222400.0,0.0,0.0
1982-03-09,0.99,1.01,0.97,0.99,230400.0,0.0,0.0
1982-03-10,1.0,1.01,0.99,1.0,183200.0,0.0,0.0
1982-03-11,0.98,1.01,0.96,0.96,389800.0,0.0,0.0
1982-03-12,0.93,0.94,0.91,0.92,312100.0,0.0,0.0
1982-03-15,0.92,0.93,0.92,0.92,303400.0,0.0,0.0
1982-03-16,0.92,0.93,0.92,0.92,309400.0,0.0,0.0
1982-03-17,0.93,0.93,0.92,0.93,250300.0,0.0,0.0
1982-03-18,0.96,0.97,0.94,0.97,261600.0,0.0,0.0
1982-03-19,0.98,0.99,0.98,0.99,87600.0,0.0,0.0
1982-03-22,1.01,1.01,1.0,1.01,29200.0,0.0,0.0
1982-03-23,1.03,1.05,1.01,1.05,102900.0,0.0,0.0
1982-03-24,1.05,1.05,1.05,1.05,34500.0,0.0,0.0
1982-03-25,1.07,1.08,1.05,1.07,110200.0,0.0,0.0
1982-03-26,1.07,1.08,1.06,1.08,115500.0,0.0,0.0
1982-03-29,1.08,1.08,1.08,1.08,117500.0,0.0,0.0
1982-03-30,1.09,1.09,1.08,1.09,33200.0,0.0,0.0
1982-03-31,1.09,1.1,1.08,1.08,141400.0,0.0,0.0
1982-04-01,1.08,1.08,1.07,1.07,140100.0,0.0,0.0
1982-04-02,1.1,1.12,1.07,1.1,624900.0,0.0,0.0
1982-04-05,1.07,1.1,1.05,1.05,454200.0,0.0,0.0
1982-04-06,1.06,1.06,1.05,1.06,154000.0,0.0,0.0
1982-04-07,1.06,1.07,1.06,1.06,238400.0,0.0,0.0
1982-04-08,1.06,1.06,1.06,1.06,75000.0,0.0,0.0
1982-04-12,1.09,1.1,1.08,1.1,253000.0,0.0,0.0
1982-04-13,1.15,1.16,1.13,1.13,272200.0,0.0,0.0
1982-04-14,1.13,1.14,1.12,1.13,118200.0,0.0,0.0
1982-04-15,1.13,1.13,1.12,1.13,164600.0,0.0,0.0
1982-04-16,1.13,1.14,1.12,1.13,178600.0,0.0,0.0
1982-04-19,1.13,1.13,1.13,1.13,27800.0,0.0,0.0
1982-04-20,1.13,1.13,1.12,1.13,65700.0,0.0,0.0
1982-04-21,1.11,1.12,1.11,1.11,67000.0,0.0,0.0
1982-04-22,1.11,1.12,1.1,1.12,278200.0,0.0,0.0
1982-04-23,1.12,1.13,1.12,1.12,74300.0,0.0,0.0
1982-04-26,1.13,1.15,1.12,1.15,79600.0,0.0,0.0
1982-04-27,1.15,1.15,1.14,1.14,58400.0,0.0,0.0
1982-04-28,1.14,1.14,1.13,1.13,136800.0,0.0,0.0
1982-04-29,1.13,1.13,1.12,1.13,56400.0,0.0,0.0
1982-04-30,1.13,1.13,1.12,1.12,53100.0,0.0,0.0
1982-05-03,1.15,1.18,1.12,1.17,479400.0,0.0,0.0
1982-05-04,1.19,1.22,1.17,1.21,1107600.0,0.0,0.0
1982-05-05,1.24,1.27,1.21,1.24,614200.0,0.0,0.0
1982-05-06,1.24,1.26,1.22,1.22,935600.0,0.0,0.0
1982-05-07,1.23,1.24,1.22,1.23,293500.0,0.0,0.0
1982-05-10,1.23,1.23,1.22,1.22,405700.0,0.0,0.0
1982-05-11,1.21,1.22,1.21,1.22,138100.0,0.0,0.0
1982-05-12,1.22,1.25,1.18,1.19,77000.0,0.0,0.0
1982-05-13,1.18,1.19,1.18,1.18,68400.0,0.0,0.0
1982-05-14,1.18,1.19,1.18,1.18,189200.0,0.0,0.0
1982-05-17,1.18,1.19,1.18,1.18,18500.0,0.0,0.0
1982-05-18,1.18,1.19,1.17,1.19,35800.0,0.0,0.0
1982-05-19,1.19,1.21,1.18,1.21,118200.0,0.0,0.0
1982-05-20,1.19,1.21,1.16,1.17,237700.0,0.0,0.0
1982-05-21,1.17,1.17,1.17,1.17,98900.0,0.0,0.0
1982-05-24,1.17,1.18,1.17,1.17,326700.0,0.0,0.0
1982-05-25,1.18,1.19,1.17,1.18,209100.0,0.06776,0.0
1982-05-26,1.17,1.17,1.17,1.17,154000.0,0.0,0.0
1982-05-27,1.18,1.18,1.17,1.18,128100.0,0.0,0.0
1982-05-28,1.16,1.17,1.16,1.16,159300.0,0.0,0.0
1982-06-01,1.15,1.16,1.14,1.15,85000.0,0.0,0.0
1982-06-02,1.14,1.15,1.14,1.14,103500.0,0.0,0.0
1982-06-03,1.14,1.14,1.13,1.13,80300.0,0.0,0.0
1982-06-04,1.13,1.16,1.13,1.16,118200.0,0.0,0.0
1982-06-07,1.15,1.16,1.14,1.15,35100.0,0.0,0.0
1982-06-08,1.15,1.16,1.14,1.14,39800.0,0.0,0.0
1982-06-09,1.14,1.14,1.13,1.14,237700.0,0.0,0.0
1982-06-10,1.15,1.16,1.14,1.14,480700.0,0.0,0.0
1982-06-11,1.18,1.21,1.14,1.2,402400.0,0.0,0.0
1982-06-14,1.19,1.2,1.17,1.18,111500.0,0.0,0.0
1982-06-15,1.19,1.21,1.17,1.21,231700.0,0.0,0.0
1982-06-16,1.21,1.23,1.19,1.23,483400.0,0.0,0.0
1982-06-17,1.21,1.22,1.21,1.21,166600.0,0.0,0.0
1982-06-18,1.2,1.21,1.2,1.2,77000.0,0.0,0.0
1982-06-21,1.2,1.21,1.19,1.21,136100.0,0.0,0.0
1982-06-22,1.21,1.22,1.2,1.21,273600.0,0.0,0.0
1982-06-23,1.22,1.23,1.21,1.23,104200.0,0.0,0.0
1982-06-24,1.22,1.23,1.21,1.22,504000.0,0.0,0.0
1982-06-25,1.16,1.22,1.11,1.11,989400.0,0.0,0.0
1982-06-28,1.09,1.11,1.05,1.08,755700.0,0.0,0.0
1982-06-29,1.05,1.08,1.03,1.03,533900.0,0.0,0.0
1982-06-30,1.06,1.08,1.03,1.06,804800.0,0.0,0.0
1982-07-01,1.07,1.08,1.06,1.08,144700.0,0.0,0.0
1982-07-02,1.09,1.09,1.08,1.09,71700.0,0.0,0.0
1982-07-06,1.09,1.1,1.08,1.1,79600.0,0.0,0.0
1982-07-07,1.12,1.13,1.1,1.12,541800.0,0.0,0.0
1982-07-08,1.12,1.14,1.11,1.13,482100.0,0.0,0.0
1982-07-09,1.15,1.16,1.14,1.16,2216700.0,0.0,0.0
1982-07-12,1.18,1.2,1.16,1.19,187200.0,0.0,0.0
1982-07-13,1.17,1.18,1.16,1.16,203200.0,0.0,0.0
1982-07-14,1.16,1.2,1.16,1.19,187200.0,0.0,0.0
1982-07-15,1.22,1.24,1.2,1.24,648800.0,0.0,0.0
1982-07-16,1.25,1.26,1.24,1.24,118800.0,0.0,0.0
1982-07-19,1.25,1.26,1.24,1.24,480700.0,0.0,0.0
1982-07-20,1.24,1.25,1.22,1.23,326700.0,0.0,0.0
1982-07-21,1.24,1.25,1.23,1.24,776300.0,0.0,0.0
1982-07-22,1.27,1.29,1.24,1.26,542500.0,0.0,0.0
1982-07-23,1.26,1.26,1.25,1.25,227100.0,0.0,0.0
1982-07-26,1.25,1.25,1.24,1.25,112200.0,0.0,0.0
1982-07-27,1.25,1.26,1.25,1.25,83000.0,0.0,0.0
1982-07-28,1.24,1.26,1.23,1.23,330000.0,0.0,0.0
1982-07-29,1.26,1.27,1.23,1.26,1006000.0,0.0,0.0
1982-07-30,1.26,1.27,1.24,1.24,130100.0,0.0,0.0
1982-08-02,1.26,1.28,1.24,1.25,525900.0,0.0,0.0
1982-08-03,1.26,1.26,1.25,1.25,138700.0,0.0,0.0
1982-08-04,1.22,1.25,1.2,1.21,1231200.0,0.0,0.0
1982-08-05,1.18,1.21,1.16,1.17,1370000.0,0.0,0.0
1982-08-06,1.17,1.18,1.16,1.17,330000.0,0.0,0.0
1982-08-09,1.15,1.16,1.14,1.16,193900.0,0.0,0.0
1982-08-10,1.18,1.19,1.16,1.17,322700.0,0.0,0.0
1982-08-11,1.17,1.18,1.16,1.17,136100.0,0.0,0.0
1982-08-12,1.19,1.2,1.17,1.19,312100.0,0.0,0.0
1982-08-13,1.21,1.23,1.2,1.23,180600.0,0.0,0.0
1982-08-16,1.21,1.23,1.19,1.2,93600.0,0.0,0.0
1982-08-17,1.2,1.21,1.18,1.21,255600.0,0.0,0.0
1982-08-18,1.23,1.25,1.22,1.22,387100.0,0.0,0.0
1982-08-19,1.21,1.23,1.2,1.2,301400.0,0.0,0.0
1982-08-20,1.22,1.24,1.19,1.24,206500.0,0.0,0.0
1982-08-23,1.28,1.33,1.23,1.33,405000.0,0.0,0.0
1982-08-24,1.34,1.35,1.32,1.34,613600.0,0.06776,0.0
1982-08-25,1.35,1.37,1.33,1.36,397700.0,0.0,0.0
1982-08-26,1.35,1.38,1.33,1.34,224400.0,0.0,0.0
1982-08-27,1.32,1.34,1.3,1.31,701900.0,0.0,0.0
1982-08-30,1.3,1.32,1.28,1.31,193200.0,0.0,0.0
1982-08-31,1.36,1.4,1.32,1.4,793500.0,0.0,0.0
1982-09-01,1.4,1.42,1.38,1.41,1214600.0,0.0,0.0
1982-09-02,1.41,1.44,1.38,1.43,1134900.0,0.0,0.0
1982-09-03,1.46,1.48,1.44,1.46,1063100.0,0.0,0.0
1982-09-07,1.44,1.46,1.42,1.44,521300.0,0.0,0.0
1982-09-08,1.44,1.45,1.43,1.43,434300.0,0.0,0.0
1982-09-09,1.44,1.45,1.43,1.43,235000.0,0.0,0.0
1982-09-10,1.43,1.44,1.43,1.43,154700.0,0.0,0.0
1982-09-13,1.4,1.44,1.35,1.39,625500.0,0.0,0.0
1982-09-14,1.41,1.43,1.38,1.42,334000.0,0.0,0.0
1982-09-15,1.41,1.43,1.39,1.41,289500.0,0.0,0.0
1982-09-16,1.41,1.42,1.4,1.4,215800.0,0.0,0.0
1982-09-17,1.38,1.4,1.37,1.39,591600.0,0.0,0.0
1982-09-20,1.38,1.39,1.37,1.38,948300.0,0.0,0.0
1982-09-21,1.43,1.46,1.39,1.45,302800.0,0.0,0.0
1982-09-22,1.46,1.49,1.44,1.44,524600.0,0.0,0.0
1982-09-23,1.44,1.45,1.43,1.45,306100.0,0.0,0.0
1982-09-24,1.45,1.46,1.43,1.45,73700.0,0.0,0.0
1982-09-27,1.45,1.46,1.44,1.45,219100.0,0.0,0.0
1982-09-28,1.47,1.48,1.47,1.47,224400.0,0.0,0.0
1982-09-29,1.45,1.48,1.43,1.43,479400.0,0.0,0.0
1982-09-30,1.43,1.43,1.42,1.42,230400.0,0.0,0.0
1982-10-01,1.43,1.44,1.42,1.43,76300.0,0.0,0.0
1982-10-04,1.45,1.45,1.43,1.45,275500.0,0.0,0.0
1982-10-05,1.48,1.49,1.47,1.47,253000.0,0.0,0.0
1982-10-06,1.52,1.55,1.48,1.55,460800.0,0.0,0.0
1982-10-07,1.57,1.61,1.53,1.55,713800.0,0.0,0.0
1982-10-08,1.54,1.57,1.51,1.51,1433000.0,0.0,0.0
1982-10-11,1.52,1.53,1.5,1.5,338000.0,0.0,0.0
1982-10-12,1.48,1.51,1.45,1.47,226400.0,0.0,0.0
1982-10-13,1.47,1.48,1.46,1.48,300100.0,0.0,0.0
1982-10-14,1.48,1.49,1.47,1.47,299500.0,0.0,0.0
1982-10-15,1.47,1.48,1.45,1.48,234400.0,0.0,0.0
1982-10-18,1.48,1.5,1.47,1.49,490700.0,0.0,0.0
1982-10-19,1.53,1.56,1.5,1.56,619500.0,0.0,0.0
1982-10-20,1.64,1.7,1.58,1.69,2394000.0,0.0,0.0
1982-10-21,1.69,1.71,1.66,1.7,1253700.0,0.0,0.0
1982-10-22,1.74,1.78,1.69,1.76,335300.0,0.0,0.0
1982-10-25,1.74,1.76,1.73,1.73,1026600.0,0.0,0.0
1982-10-26,1.71,1.73,1.68,1.7,672700.0,0.0,0.0
1982-10-27,1.68,1.71,1.66,1.69,1111000.0,0.0,0.0
1982-10-28,1.71,1.73,1.69,1.71,1061800.0,0.0,0.0
1982-10-29,1.74,1.75,1.72,1.75,746400.0,0.0,0.0
1982-11-01,1.77,1.8,1.74,1.8,377100.0,0.0,0.0
1982-11-02,1.81,1.84,1.79,1.79,541200.0,0.0,0.0
1982-11-03,1.79,1.79,1.77,1.78,596300.0,0.0,0.0
1982-11-04,1.77,1.79,1.75,1.75,474100.0,0.0,0.0
1982-11-05,1.72,1.74,1.7,1.7,214400.0,0.0,0.0
1982-11-08,1.69,1.7,1.67,1.69,292100.0,0.0,0.0
1982-11-09,1.59,1.62,1.56,1.57,1692700.0,0.0,0.0
1982-11-10,1.55,1.58,1.52,1.53,1636900.0,0.0,0.0
1982-11-11,1.5,1.54,1.47,1.5,1076400.0,0.0,0.0
1982-11-12,1.43,1.46,1.4,1.45,1310200.0,0.0,0.0
1982-11-15,1.46,1.47,1.44,1.45,938300.0,0.0,0.0
1982-11-16,1.44,1.47,1.41,1.44,1909200.0,0.0,0.0
1982-11-17,1.48,1.51,1.46,1.51,790200.0,0.0,0.0
1982-11-18,1.51,1.52,1.48,1.5,391800.0,0.0,0.0
1982-11-19,1.49,1.5,1.48,1.49,743100.0,0.0,0.0
1982-11-22,1.48,1.49,1.48,1.48,427600.0,0.06776,0.0
1982-11-23,1.46,1.48,1.43,1.44,447500.0,0.0,0.0
1982-11-24,1.45,1.47,1.44,1.47,430300.0,0.0,0.0
1982-11-26,1.48,1.48,1.48,1.48,57100.0,0.0,0.0
1982-11-29,1.45,1.49,1.41,1.45,583000.0,0.0,0.0
1982-11-30,1.48,1.52,1.44,1.52,386400.0,0.0,0.0
1982-12-01,1.55,1.58,1.53,1.58,581700.0,0.0,0.0
1982-12-02,1.68,1.7,1.66,1.66,405000.0,0.0,0.0
1982-12-03,1.63,1.65,1.61,1.64,409000.0,0.0,0.0
1982-12-06,1.71,1.77,1.65,1.76,699900.0,0.0,0.0
1982-12-07,1.76,1.79,1.73,1.74,702600.0,0.0,0.0
1982-12-08,1.72,1.73,1.71,1.72,356600.0,0.0,0.0
1982-12-09,1.71,1.72,1.71,1.71,219800.0,0.0,0.0
1982-12-10,1.73,1.73,1.72,1.72,96900.0,0.0,0.0
1982-12-13,1.72,1.72,1.71,1.72,151400.0,0.0,0.0
1982-12-14,1.72,1.75,1.69,1.69,209100.0,0.0,0.0
1982-12-15,1.68,1.69,1.67,1.68,166000.0,0.0,0.0
1982-12-16,1.66,1.67,1.66,1.67,281500.0,0.0,0.0
1982-12-17,1.68,1.69,1.66,1.69,482100.0,0.0,0.0
1982-12-20,1.69,1.69,1.68,1.68,178600.0,0.0,0.0
1982-12-21,1.7,1.72,1.68,1.72,79600.0,0.0,0.0
1982-12-22,1.74,1.75,1.74,1.74,518600.0,0.0,0.0
1982-12-23,1.78,1.8,1.76,1.79,184600.0,0.0,0.0
1982-12-27,1.8,1.8,1.79,1.79,212500.0,0.0,0.0
1982-12-28,1.79,1.8,1.78,1.78,198500.0,0.0,0.0
1982-12-29,1.78,1.79,1.77,1.77,156000.0,0.0,0.0
1982-12-30,1.78,1.79,1.77,1.77,140700.0,0.0,0.0
1982-12-31,1.79,1.8,1.77,1.8,191200.0,0.0,0.0
1983-01-03,1.78,1.79,1.76,1.76,144100.0,0.0,0.0
1983-01-04,1.77,1.77,1.76,1.77,214400.0,0.0,0.0
1983-01-05,1.77,1.77,1.77,1.77,133400.0,0.0,0.0
1983-01-06,1.76,1.77,1.75,1.76,330700.0,0.0,0.0
1983-01-07,1.76,1.76,1.75,1.76,332000.0,0.0,0.0
1983-01-10,1.75,1.75,1.74,1.74,916400.0,0.0,0.0
1983-01-11,1.76,1.76,1.75,1.75,121500.0,0.0,0.0
1983-01-12,1.75,1.76,1.74,1.75,86300.0,0.0,0.0
1983-01-13,1.78,1.8,1.75,1.79,205800.0,0.0,0.0
1983-01-14,1.84,1.86,1.81,1.86,670000.0,0.0,0.0
1983-01-17,1.87,1.89,1.85,1.85,195900.0,0.0,0.0
1983-01-18,1.83,1.85,1.82,1.82,292800.0,0.0,0.0
1983-01-19,1.83,1.83,1.82,1.83,175300.0,0.0,0.0
1983-01-20,1.83,1.84,1.82,1.82,90900.0,0.0,0.0
1983-01-21,1.83,1.84,1.81,1.81,252300.0,0.0,0.0
1983-01-24,1.75,1.76,1.73,1.73,494000.0,0.0,0.0
1983-01-25,1.72,1.73,1.71,1.71,383800.0,0.0,0.0
1983-01-26,1.72,1.73,1.72,1.73,222400.0,0.0,0.0
1983-01-27,1.76,1.78,1.74,1.77,92900.0,0.0,0.0
1983-01-28,1.75,1.77,1.73,1.74,255600.0,0.0,0.0
1983-01-31,1.74,1.75,1.73,1.74,71700.0,0.0,0.0
1983-02-01,1.74,1.75,1.73,1.73,217100.0,0.0,0.0
1983-02-02,1.7,1.72,1.69,1.7,150700.0,0.0,0.0
1983-02-03,1.71,1.72,1.7,1.71,89600.0,0.0,0.0
1983-02-04,1.74,1.75,1.72,1.75,491400.0,0.0,0.0
1983-02-07,1.76,1.77,1.75,1.75,428900.0,0.0,0.0
1983-02-08,1.75,1.76,1.73,1.75,159300.0,0.0,0.0
1983-02-09,1.74,1.75,1.73,1.74,306800.0,0.0,0.0
1983-02-10,1.74,1.75,1.73,1.75,56400.0,0.0,0.0
1983-02-11,1.75,1.75,1.74,1.75,41800.0,0.0,0.0
1983-02-14,1.77,1.78,1.77,1.77,164600.0,0.0,0.0
1983-02-15,1.8,1.82,1.78,1.8,269600.0,0.0,0.0
1983-02-16,1.81,1.82,1.8,1.8,92900.0,0.0,0.0
1983-02-17,1.8,1.8,1.79,1.8,442200.0,0.0,0.0
1983-02-18,1.77,1.8,1.74,1.74,323400.0,0.0,0.0
1983-02-22,1.72,1.74,1.7,1.7,398400.0,0.06776,0.0
1983-02-23,1.7,1.7,1.69,1.7,101600.0,0.0,0.0
1983-02-24,1.71,1.71,1.7,1.7,124100.0,0.0,0.0
1983-02-25,1.72,1.73,1.71,1.73,69700.0,0.0,0.0
1983-02-28,1.72,1.72,1.71,1.72,90300.0,0.0,0.0
1983-03-01,1.72,1.73,1.71,1.72,94900.0,0.0,0.0
1983-03-02,1.74,1.77,1.71,1.77,176600.0,0.0,0.0
1983-03-03,1.8,1.82,1.78,1.82,208500.0,0.0,0.0
1983-03-04,1.84,1.85,1.83,1.85,155300.0,0.0,0.0
1983-03-07,1.85,1.86,1.84,1.86,124800.0,0.0,0.0
1983-03-08,1.84,1.86,1.82,1.82,99600.0,0.0,0.0
1983-03-09,1.8,1.81,1.79,1.79,136800.0,0.0,0.0
1983-03-10,1.79,1.8,1.77,1.77,341300.0,0.0,0.0
1983-03-11,1.78,1.79,1.77,1.79,83600.0,0.0,0.0
1983-03-14,1.78,1.79,1.77,1.79,85600.0,0.0,0.0
1983-03-15,1.78,1.79,1.76,1.76,39800.0,0.0,0.0
1983-03-16,1.74,1.76,1.73,1.73,190500.0,0.0,0.0
1983-03-17,1.71,1.72,1.7,1.72,339300.0,0.0,0.0
1983-03-18,1.72,1.73,1.71,1.73,262300.0,0.0,0.0
1983-03-21,1.73,1.74,1.73,1.74,60400.0,0.0,0.0
1983-03-22,1.74,1.76,1.73,1.75,125500.0,0.0,0.0
1983-03-23,1.75,1.8,1.75,1.8,181900.0,0.0,0.0
1983-03-24,1.8,1.8,1.79,1.8,56400.0,0.0,0.0
1983-03-25,1.8,1.8,1.79,1.8,90300.0,0.0,0.0
1983-03-28,1.82,1.84,1.82,1.83,183900.0,0.0,0.0
1983-03-29,1.83,1.84,1.81,1.81,187200.0,0.0,0.0
1983-03-30,1.81,1.81,1.78,1.78,122800.0,0.0,0.0
1983-03-31,1.77,1.79,1.77,1.77,187200.0,0.0,0.0
1983-04-04,1.77,1.77,1.75,1.75,164000.0,0.0,0.0
1983-04-05,1.76,1.76,1.7,1.7,56400.0,0.0,0.0
1983-04-06,1.7,1.7,1.63,1.63,766300.0,0.0,0.0
1983-04-07,1.62,1.62,1.58,1.59,330000.0,0.0,0.0
1983-04-08,1.59,1.59,1.58,1.59,163300.0,0.0,0.0
1983-04-11,1.63,1.65,1.61,1.65,428300.0,0.0,0.0
1983-04-12,1.65,1.67,1.65,1.66,80300.0,0.0,0.0
1983-04-13,1.68,1.71,1.68,1.71,403700.0,0.0,0.0
1983-04-14,1.71,1.75,1.71,1.75,551100.0,0.0,0.0
1983-04-15,1.75,1.82,1.75,1.82,396400.0,0.0,0.0
1983-04-18,1.77,1.82,1.77,1.77,336000.0,0.0,0.0
1983-04-19,1.83,1.83,1.78,1.83,216400.0,0.0,0.0
1983-04-20,1.83,1.84,1.81,1.83,383800.0,0.0,0.0
1983-04-21,1.83,1.93,1.83,1.93,745100.0,0.0,0.0
1983-04-22,1.92,2.01,1.92,2.01,497300.0,0.0,0.0
1983-04-25,2.02,2.04,1.99,2.0,404400.0,0.0,0.0
1983-04-26,1.96,1.99,1.93,1.95,350600.0,0.0,0.0
1983-04-27,1.97,1.98,1.95,1.98,318700.0,0.0,0.0
1983-04-28,2.0,2.01,1.98,2.0,119500.0,0.0,0.0
1983-04-29,2.0,2.01,2.0,2.0,209800.0,0.0,0.0
1983-05-02,1.99,2.0,1.99,1.99,324700.0,0.0,0.0
1983-05-03,1.99,1.99,1.98,1.98,160000.0,0.0,0.0
1983-05-04,1.96,1.97,1.94,1.95,181900.0,0.0,0.0
1983-05-05,1.94,1.95,1.94,1.94,46400.0,0.0,0.0
1983-05-06,1.95,2.0,1.95,2.0,209800.0,0.0,0.0
1983-05-09,1.99,2.03,1.99,2.02,93600.0,0.0,0.0
1983-05-10,2.04,2.05,2.03,2.03,189200.0,0.0,0.0
1983-05-11,2.03,2.07,2.03,2.07,222400.0,0.0,0.0
1983-05-12,2.08,2.08,2.06,2.06,112200.0,0.0,0.0
1983-05-13,2.07,2.08,2.07,2.08,53100.0,0.0,0.0
1983-05-16,2.08,2.08,2.07,2.07,361200.0,0.0,0.0
1983-05-17,2.07,2.09,2.06,2.08,114200.0,0.0,0.0
1983-05-18,2.09,2.13,2.09,2.11,132100.0,0.0,0.0
1983-05-19,2.11,2.12,2.09,2.1,64400.0,0.0,0.0
1983-05-20,2.08,2.09,2.07,2.08,98200.0,0.0,0.0
1983-05-23,2.07,2.08,2.07,2.07,360500.0,0.06776,0.0
1983-05-24,2.08,2.08,2.08,2.08,28500.0,0.0,0.0
1983-05-25,2.09,2.1,2.09,2.1,247700.0,0.0,0.0
1983-05-26,2.11,2.17,2.11,2.17,259600.0,0.0,0.0
1983-05-27,2.2,2.24,2.2,2.23,148700.0,0.0,0.0
1983-05-31,2.22,2.22,2.16,2.16,177300.0,0.0,0.0
1983-06-01,2.16,2.17,2.14,2.17,688600.0,0.0,0.0
1983-06-02,2.17,2.18,2.16,2.16,525200.0,0.0,0.0
1983-06-03,2.16,2.17,2.16,2.16,73000.0,0.0,0.0
1983-06-06,2.17,2.17,2.16,2.17,74300.0,0.0,0.0
1983-06-07,2.19,2.19,2.17,2.17,150000.0,0.0,0.0
1983-06-08,2.16,2.16,2.14,2.14,219800.0,0.0,0.0
1983-06-09,2.14,2.14,2.11,2.11,133400.0,0.0,0.0
1983-06-10,2.12,2.12,2.11,2.11,29800.0,0.0,0.0
1983-06-13,2.13,2.16,2.13,2.16,251000.0,0.0,0.0
1983-06-14,2.18,2.22,2.18,2.2,249600.0,0.0,0.0
1983-06-15,2.23,2.27,2.21,2.26,245000.0,0.0,0.0
1983-06-16,2.31,2.31,2.29,2.31,92300.0,0.0,0.0
1983-06-17,2.31,2.32,2.31,2.32,152000.0,0.0,0.0
1983-06-20,2.32,2.32,2.27,2.27,354600.0,0.0,0.0
1983-06-21,2.29,2.29,2.27,2.29,51700.0,0.0,0.0
