Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-12-02,8.46,8.57,8.46,8.57,160000,0.0,0.0
2003-12-03,8.69,8.69,8.69,8.69,300000,0.0,0.0
2003-12-04,9.02,9.02,9.02,9.02,50000,0.0,0.0
2003-12-05,9.02,9.02,9.02,9.02,0,0.0,0.0
2003-12-08,9.35,9.71,9.35,9.71,954000,0.0,0.0
2003-12-09,9.71,10.13,9.71,9.86,3014200,0.0,0.0
2003-12-10,9.91,10.25,9.91,10.02,2994600,0.0,0.0
2003-12-11,10.13,10.25,10.08,10.2,2203200,0.0,0.0
2003-12-12,10.25,10.27,10.21,10.22,709000,0.0,0.0
2003-12-15,10.2,10.2,9.98,9.98,1287000,0.0,0.0
2003-12-16,9.96,9.96,9.71,9.78,885600,0.0,0.0
2003-12-17,9.76,9.76,9.53,9.55,1150800,0.0,0.0
2003-12-18,9.55,9.6,9.55,9.6,2425200,0.0,0.0
2003-12-19,9.6,9.71,9.6,9.71,1421800,0.0,0.0
2003-12-22,9.64,9.71,9.64,9.64,5200,0.0,0.0
2003-12-23,9.67,9.73,9.67,9.71,133800,0.0,0.0
2003-12-24,9.71,9.73,9.71,9.73,20200,0.0,0.0
2003-12-26,9.73,9.73,9.73,9.73,1000,0.0,0.0
2003-12-29,9.71,9.71,9.71,9.71,1200,0.0,0.0
2003-12-30,9.73,9.76,9.73,9.76,31600,0.0,0.0
2003-12-31,9.76,9.8,9.76,9.76,14200,0.0,0.0
2004-01-02,9.8,10.0,9.78,10.0,557600,0.0,0.0
2004-01-05,10.0,10.02,9.93,9.98,136000,0.0,0.0
2004-01-06,9.98,10.02,9.97,10.0,160600,0.0,0.0
2004-01-07,9.98,9.98,9.8,9.91,283400,0.0,0.0
2004-01-08,9.96,9.96,9.89,9.92,385200,0.0,0.0
2004-01-09,9.93,9.93,9.42,9.42,3456200,0.0,0.0
2004-01-12,9.47,9.47,9.44,9.44,17800,0.0,0.0
2004-01-13,9.47,9.51,9.34,9.35,1069600,0.0,0.0
2004-01-14,9.38,9.4,9.35,9.35,208600,0.0,0.0
2004-01-15,9.35,9.35,9.24,9.29,54200,0.0,0.0
2004-01-16,9.24,9.31,9.24,9.27,493800,0.0,0.0
2004-01-20,9.35,9.38,9.34,9.35,856600,0.0,0.0
2004-01-21,9.38,9.42,9.35,9.35,969600,0.0,0.0
2004-01-22,9.4,9.62,9.4,9.58,863600,0.0,0.0
