Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-11-21,0.93,1.15,0.93,1.11,51412800,0.0,0.0
1995-11-22,1.11,1.39,1.1,1.35,11921600,0.0,0.0
1995-11-24,1.35,1.47,1.35,1.46,2419200,0.0,0.0
1995-11-27,1.54,1.57,1.33,1.37,6720000,0.0,0.0
1995-11-28,1.37,1.39,1.35,1.38,3451200,0.0,0.0
1995-11-29,1.35,1.57,1.35,1.56,3628800,0.0,0.0
1995-11-30,1.56,1.72,1.53,1.64,8254400,0.0,0.0
1995-12-01,1.66,1.7,1.61,1.62,2616000,0.0,0.0
1995-12-04,1.62,2.08,1.62,2.03,5961600,0.0,0.0
1995-12-05,2.03,2.06,1.91,1.91,2907200,0.0,0.0
1995-12-06,1.93,1.96,1.8,1.81,3456000,0.0,0.0
1995-12-07,1.81,1.81,1.72,1.72,2665600,0.0,0.0
1995-12-08,1.72,1.96,1.72,1.91,3099200,0.0,0.0
1995-12-11,1.92,1.93,1.88,1.93,564800,0.0,0.0
1995-12-12,1.95,2.04,1.88,1.99,2086400,0.0,0.0
1995-12-13,2.02,2.02,1.97,2.0,1510400,0.0,0.0
1995-12-14,1.99,2.02,1.99,1.99,668800,0.0,0.0
1995-12-15,1.99,2.03,1.93,1.93,2635200,0.0,0.0
1995-12-18,1.95,1.99,1.7,1.74,1246400,0.0,0.0
1995-12-19,1.69,1.79,1.65,1.76,4568000,0.0,0.0
1995-12-20,1.81,1.87,1.73,1.84,2275200,0.0,0.0
1995-12-21,1.87,1.88,1.81,1.83,321600,0.0,0.0
1995-12-22,1.79,1.89,1.79,1.84,1657600,0.0,0.0
1995-12-26,1.84,1.97,1.83,1.96,2286400,0.0,0.0
1995-12-27,1.97,2.04,1.9,2.02,2633600,0.0,0.0
1995-12-28,1.99,2.16,1.99,2.12,2569600,0.0,0.0
1995-12-29,2.15,2.26,2.12,2.17,1920000,0.0,0.0
1996-01-02,2.16,2.16,2.06,2.06,1892800,0.0,0.0
1996-01-03,2.06,2.08,1.81,1.84,3336000,0.0,0.0
1996-01-04,1.85,1.85,1.46,1.62,6041600,0.0,0.0
1996-01-05,1.64,1.79,1.57,1.68,3273600,0.0,0.0
1996-01-08,1.7,1.73,1.69,1.69,166400,0.0,0.0
1996-01-09,1.73,1.73,1.43,1.46,2500800,0.0,0.0
1996-01-10,1.39,1.49,1.37,1.41,3016000,0.0,0.0
1996-01-11,1.53,1.64,1.5,1.56,3654400,0.0,0.0
1996-01-12,1.62,1.62,1.46,1.51,793600,0.0,0.0
1996-01-15,1.51,1.53,1.42,1.47,668800,0.0,0.0
1996-01-16,1.45,1.46,1.23,1.46,3932800,0.0,0.0
1996-01-17,1.38,1.46,1.37,1.45,1545600,0.0,0.0
1996-01-18,1.41,1.46,1.41,1.46,3180800,0.0,0.0
1996-01-19,1.45,1.66,1.42,1.58,4825600,0.0,0.0
1996-01-22,1.62,1.68,1.58,1.62,1913600,0.0,0.0
1996-01-23,1.61,1.66,1.61,1.64,1126400,0.0,0.0
1996-01-24,1.65,1.79,1.64,1.73,1267200,0.0,0.0
1996-01-25,1.77,1.88,1.73,1.83,2702400,0.0,0.0
1996-01-26,1.81,1.89,1.79,1.86,982400,0.0,0.0
1996-01-29,1.85,1.89,1.83,1.84,936000,0.0,0.0
1996-01-30,1.8,1.84,1.62,1.73,3513600,0.0,0.0
1996-01-31,1.7,1.8,1.66,1.66,1129600,0.0,0.0
1996-02-01,1.69,1.76,1.66,1.7,857600,0.0,0.0
1996-02-02,1.76,1.76,1.66,1.68,1857600,0.0,0.0
1996-02-05,1.68,1.74,1.66,1.74,964800,0.0,0.0
1996-02-06,1.74,1.91,1.72,1.8,2483200,0.0,0.0
1996-02-07,1.84,1.89,1.77,1.84,3126400,0.0,0.0
1996-02-08,1.91,2.02,1.87,1.96,2886400,0.0,0.0
1996-02-09,1.96,2.07,1.93,1.93,1934400,0.0,0.0
1996-02-12,1.95,1.95,1.79,1.91,2108800,0.0,0.0
1996-02-13,1.85,2.04,1.81,1.95,2425600,0.0,0.0
1996-02-14,1.97,2.06,1.95,2.05,2414400,0.0,0.0
1996-02-15,2.05,2.18,2.02,2.1,4148800,0.0,0.0
1996-02-16,2.19,2.23,1.91,1.93,4108800,0.0,0.0
1996-02-20,1.92,1.97,1.88,1.88,1452800,0.0,0.0
1996-02-21,1.89,1.95,1.88,1.95,1270400,0.0,0.0
1996-02-22,1.95,2.04,1.93,2.03,2659200,0.0,0.0
1996-02-23,2.0,2.04,1.87,1.92,2572800,0.0,0.0
1996-02-26,1.87,1.87,1.81,1.84,3064000,0.0,0.0
1996-02-27,1.86,1.86,1.77,1.8,2192000,0.0,0.0
1996-02-28,1.79,1.84,1.79,1.8,763200,0.0,0.0
1996-02-29,1.8,1.85,1.65,1.72,2452800,0.0,0.0
1996-03-01,1.74,1.74,1.66,1.68,456000,0.0,0.0
1996-03-04,1.72,1.72,1.66,1.72,278400,0.0,0.0
1996-03-05,1.72,1.73,1.68,1.68,670400,0.0,0.0
1996-03-06,1.68,1.76,1.68,1.7,166400,0.0,0.0
1996-03-07,1.7,1.76,1.7,1.72,398400,0.0,0.0
1996-03-08,1.72,1.77,1.69,1.69,246400,0.0,0.0
1996-03-11,1.69,1.74,1.69,1.74,163200,0.0,0.0
1996-03-12,1.69,1.74,1.68,1.68,187200,0.0,0.0
1996-03-13,1.73,1.73,1.68,1.68,137600,0.0,0.0
1996-03-14,1.73,1.73,1.68,1.69,499200,0.0,0.0
1996-03-15,1.69,1.74,1.69,1.74,3489600,0.0,0.0
1996-03-18,1.69,1.74,1.69,1.69,1588800,0.0,0.0
1996-03-19,1.74,1.74,1.69,1.7,144000,0.0,0.0
1996-03-20,1.7,1.73,1.66,1.66,534400,0.0,0.0
1996-03-21,1.66,1.72,1.66,1.66,563200,0.0,0.0
1996-03-22,1.72,1.72,1.62,1.66,1032000,0.0,0.0
1996-03-25,1.72,1.74,1.66,1.74,340800,0.0,0.0
1996-03-26,1.69,1.74,1.66,1.66,475200,0.0,0.0
1996-03-27,1.72,1.72,1.66,1.72,339200,0.0,0.0
1996-03-28,1.72,1.72,1.66,1.66,163200,0.0,0.0
1996-03-29,1.72,1.72,1.66,1.72,796800,0.0,0.0
1996-04-01,1.72,1.72,1.56,1.61,1193600,0.0,0.0
1996-04-02,1.61,1.61,1.56,1.56,729600,0.0,0.0
1996-04-03,1.56,1.61,1.56,1.56,48000,0.0,0.0
1996-04-04,1.61,1.61,1.46,1.49,1596800,0.0,0.0
1996-04-08,1.49,1.51,1.46,1.46,491200,0.0,0.0
1996-04-09,1.46,1.51,1.46,1.47,500800,0.0,0.0
1996-04-10,1.46,1.51,1.46,1.46,1577600,0.0,0.0
1996-04-11,1.51,1.51,1.46,1.47,809600,0.0,0.0
1996-04-12,1.51,1.51,1.41,1.46,6328000,0.0,0.0
1996-04-15,1.51,1.51,1.46,1.46,809600,0.0,0.0
1996-04-16,1.51,1.51,1.46,1.46,606400,0.0,0.0
1996-04-17,1.46,1.51,1.46,1.46,128000,0.0,0.0
1996-04-18,1.51,1.51,1.46,1.51,96000,0.0,0.0
1996-04-19,1.46,1.54,1.46,1.52,1664000,0.0,0.0
1996-04-22,1.54,1.54,1.49,1.53,500800,0.0,0.0
1996-04-23,1.5,1.57,1.5,1.57,822400,0.0,0.0
1996-04-24,1.57,1.62,1.51,1.62,1388800,0.0,0.0
1996-04-25,1.6,1.77,1.57,1.72,1884800,0.0,0.0
1996-04-26,1.77,1.89,1.73,1.85,1382400,0.0,0.0
1996-04-29,1.89,1.89,1.83,1.83,483200,0.0,0.0
1996-04-30,1.87,1.87,1.73,1.73,766400,0.0,0.0
1996-05-01,1.79,1.79,1.7,1.7,243200,0.0,0.0
1996-05-02,1.76,1.76,1.7,1.7,206400,0.0,0.0
1996-05-03,1.73,1.76,1.68,1.73,392000,0.0,0.0
1996-05-06,1.69,1.73,1.68,1.73,1449600,0.0,0.0
1996-05-07,1.79,1.79,1.73,1.79,331200,0.0,0.0
1996-05-08,1.73,1.79,1.73,1.79,2251200,0.0,0.0
1996-05-09,1.74,1.95,1.74,1.95,2867200,0.0,0.0
1996-05-10,1.92,2.01,1.89,2.01,3934400,0.0,0.0
1996-05-13,2.03,2.12,1.97,2.08,3163200,0.0,0.0
